1094508.3	31899.10
Tsac_2128	fig|31899.10.peg.1785
Tsac_2130	fig|31899.10.peg.1783
Tsac_2620	fig|31899.10.peg.2345
-	fig|31899.10.peg.2422
Tsac_0131,Tsac_1678,Tsac_1805	fig|31899.10.peg.1008,fig|31899.10.peg.2280,fig|31899.10.peg.2653,fig|31899.10.peg.2703
Tsac_0316	fig|31899.10.peg.1074
Tsac_2664	-
Tsac_1439	-
Tsac_2343	-
Tsac_1573	-
Tsac_0569	fig|31899.10.peg.1110
Tsac_2493	fig|31899.10.peg.1051,fig|31899.10.peg.1961
Tsac_2102	fig|31899.10.peg.1738
-	fig|31899.10.peg.2258
Tsac_0558	fig|31899.10.peg.2296
Tsac_0687	fig|31899.10.peg.2304
Tsac_0089	fig|31899.10.peg.2748
Tsac_0087	fig|31899.10.peg.2746
Tsac_2360	-
Tsac_2357	fig|31899.10.peg.931
Tsac_2050	fig|31899.10.peg.1757
-	fig|31899.10.peg.134
Tsac_2427	-
Tsac_1145	-
-	fig|31899.10.peg.2334
-	fig|31899.10.peg.1490,fig|31899.10.peg.1997,fig|31899.10.peg.2000
Tsac_0305	fig|31899.10.peg.333
Tsac_0016	fig|31899.10.peg.1493
Tsac_2398	-
Tsac_0809	fig|31899.10.peg.1735
Tsac_0548	fig|31899.10.peg.364
Tsac_1020	fig|31899.10.peg.2245
Tsac_1004	fig|31899.10.peg.1264
Tsac_2012	fig|31899.10.peg.2202
Tsac_0547	fig|31899.10.peg.363
Tsac_1151	fig|31899.10.peg.1701
Tsac_0935	fig|31899.10.peg.1081
Tsac_0823	fig|31899.10.peg.1092
Tsac_0375	-
Tsac_0812	-
Tsac_1426	fig|31899.10.peg.1915
Tsac_0545	fig|31899.10.peg.361
Tsac_2175,Tsac_2232	-
-	fig|31899.10.peg.2330
Tsac_1146	-
Tsac_0750	fig|31899.10.peg.2031
Tsac_0749	fig|31899.10.peg.2032,fig|31899.10.peg.957
Tsac_0535	-
Tsac_0664	fig|31899.10.peg.719
Tsac_0611	fig|31899.10.peg.2977
Tsac_0625	fig|31899.10.peg.2131
Tsac_0542	fig|31899.10.peg.357
Tsac_0631	fig|31899.10.peg.351
Tsac_0981	fig|31899.10.peg.2611
Tsac_1301	-
Tsac_2576	fig|31899.10.peg.2584
Tsac_0173	-
Tsac_1413	fig|31899.10.peg.1162
Tsac_2526	fig|31899.10.peg.2039
Tsac_2636	-
Tsac_2635	-
Tsac_2634	-
Tsac_1042,Tsac_1043,Tsac_0253,Tsac_2633	fig|31899.10.peg.1321,fig|31899.10.peg.2196,fig|31899.10.peg.2197
Tsac_2644	-
Tsac_2641	-
Tsac_2639	-
Tsac_2637	-
Tsac_0292	fig|31899.10.peg.1963
Tsac_1476,Tsac_2540	fig|31899.10.peg.1634
Tsac_2683	fig|31899.10.peg.2188
Tsac_2682	fig|31899.10.peg.2187
Tsac_2681	fig|31899.10.peg.2186
Tsac_2675	fig|31899.10.peg.2178
Tsac_2118	fig|31899.10.peg.1793
Tsac_2480	fig|31899.10.peg.2849
Tsac_1147,Tsac_2364	fig|31899.10.peg.2607
Tsac_1243	fig|31899.10.peg.1930
Tsac_1357	fig|31899.10.peg.733
Tsac_2488	-
Tsac_0219	-
Tsac_0523	fig|31899.10.peg.1345
Tsac_2587	fig|31899.10.peg.1924
Tsac_2580	fig|31899.10.peg.1939
Tsac_2579	fig|31899.10.peg.1938
Tsac_2578	fig|31899.10.peg.1937
Tsac_0099	-
Tsac_0101	-
fig|1094508.3.peg.1081	-
Tsac_1071	-
Tsac_1072	-
Tsac_1076	-
fig|1094508.3.peg.1089	-
fig|1094508.3.peg.1090	-
Tsac_1080	-
Tsac_1081	-
Tsac_1082	-
Tsac_1085	-
Tsac_1088	-
Tsac_1089	-
Tsac_1091	-
fig|1094508.3.peg.1104	-
Tsac_1092	-
Tsac_1093	-
Tsac_1094	-
Tsac_1095	-
Tsac_1096	-
Tsac_1106	fig|31899.10.peg.236,fig|31899.10.peg.3055
Tsac_1108	-
fig|1094508.3.peg.1121	-
fig|1094508.3.peg.1122	-
Tsac_1113	-
Tsac_1115	-
fig|1094508.3.peg.1132	-
Tsac_1122,Tsac_1193,Tsac_0241,fig|1094508.3.peg.816	fig|31899.10.peg.195,fig|31899.10.peg.2455,fig|31899.10.peg.2742,fig|31899.10.peg.726
fig|1094508.3.peg.1136	-
Tsac_1125	-
Tsac_1126	-
Tsac_1127	-
Tsac_1133	-
Tsac_1137	-
fig|1094508.3.peg.1162	-
Tsac_1152	-
Tsac_1154	-
Tsac_1158	fig|31899.10.peg.572
Tsac_1160	-
Tsac_1161	-
Tsac_1162	fig|31899.10.peg.575
Tsac_1165	-
fig|1094508.3.peg.1188	-
fig|1094508.3.peg.1189	-
Tsac_1194	-
Tsac_1207	-
Tsac_1215	-
Tsac_0123	-
Tsac_1271	-
Tsac_1159,Tsac_1272,Tsac_1350,Tsac_1446,Tsac_1458,Tsac_1464,Tsac_0149,Tsac_1511,Tsac_1515,Tsac_0165,Tsac_0201,Tsac_2089,Tsac_2256,Tsac_2302,Tsac_2323,Tsac_0340,Tsac_0495,Tsac_0694	fig|31899.10.peg.1030,fig|31899.10.peg.1055,fig|31899.10.peg.124,fig|31899.10.peg.1311,fig|31899.10.peg.2576,fig|31899.10.peg.2599,fig|31899.10.peg.2628,fig|31899.10.peg.2642,fig|31899.10.peg.2881,fig|31899.10.peg.2907,fig|31899.10.peg.2954,fig|31899.10.peg.470,fig|31899.10.peg.573,fig|31899.10.peg.816,fig|31899.10.peg.89
Tsac_1274	-
Tsac_1276	fig|31899.10.peg.2445
Tsac_1282	-
Tsac_1289	-
Tsac_1290	-
Tsac_1291	-
Tsac_0129	-
Tsac_1299	-
fig|1094508.3.peg.1323	-
fig|1094508.3.peg.1324	-
Tsac_1328	-
fig|1094508.3.peg.1344	-
fig|1094508.3.peg.1345	-
Tsac_1334	-
Tsac_1341	-
Tsac_1343,Tsac_1513	-
Tsac_1346	-
fig|1094508.3.peg.1364	-
Tsac_1356	-
Tsac_0136,Tsac_0137,Tsac_0140	fig|31899.10.peg.2831,fig|31899.10.peg.486,fig|31899.10.peg.490
Tsac_1367	-
fig|1094508.3.peg.1382	-
Tsac_1368	-
Tsac_1370,Tsac_0467	-
Tsac_1372	-
Tsac_1373	-
Tsac_1374	-
fig|1094508.3.peg.1390	-
Tsac_1375	-
Tsac_1376	-
fig|1094508.3.peg.1394	-
Tsac_1380	-
Tsac_1381	-
fig|1094508.3.peg.1400	-
Tsac_1391	-
fig|1094508.3.peg.1414	-
fig|1094508.3.peg.1421	-
Tsac_1402	-
Tsac_1404,Tsac_1409	-
Tsac_1408	-
Tsac_0141	-
fig|1094508.3.peg.1458	-
Tsac_1448	fig|31899.10.peg.1314
Tsac_0147	-
Tsac_1472	-
Tsac_1473	-
Tsac_0148	-
Tsac_1505	-
Tsac_1506	-
fig|1094508.3.peg.1534	-
Tsac_1514	-
Tsac_1525	-
Tsac_1545	-
fig|1094508.3.peg.1578	-
Tsac_1557	-
Tsac_1584	-
Tsac_0161	-
Tsac_1624	-
Tsac_1627	-
Tsac_1629	-
Tsac_1641	-
fig|1094508.3.peg.1685	-
Tsac_1664	-
Tsac_1666	-
fig|1094508.3.peg.1689	-
Tsac_1668	-
fig|1094508.3.peg.1727	-
fig|1094508.3.peg.1762	-
Tsac_1741	-
Tsac_1760	fig|31899.10.peg.1655
Tsac_0180	-
Tsac_0181	-
Tsac_0183	-
fig|1094508.3.peg.1857	-
Tsac_0185	-
Tsac_0186	-
Tsac_1849	-
Tsac_0187	-
Tsac_0188	-
Tsac_0194	-
Tsac_1952	-
Tsac_1953	-
fig|1094508.3.peg.1989	-
Tsac_1966	-
Tsac_1983	-
Tsac_1985	-
Tsac_1986	-
Tsac_1992	-
Tsac_1993	-
Tsac_1994	-
fig|1094508.3.peg.2020	-
Tsac_2007	-
Tsac_2016	-
Tsac_2017	-
Tsac_2028	-
Tsac_2032	-
Tsac_2033	-
Tsac_0205	-
Tsac_2035	-
Tsac_2036	-
Tsac_2037	-
fig|1094508.3.peg.2077	-
Tsac_2059	-
Tsac_2063	-
Tsac_2080	-
Tsac_2084	-
Tsac_2088	-
Tsac_1202,Tsac_2091	fig|31899.10.peg.1403
Tsac_0211	-
Tsac_2096	-
Tsac_0214,Tsac_0216	-
Tsac_2148	-
Tsac_2163	-
Tsac_1064,Tsac_2180	fig|31899.10.peg.1576
Tsac_0220	-
Tsac_0221	-
fig|1094508.3.peg.2239	-
Tsac_2219	-
fig|1094508.3.peg.2268	-
fig|1094508.3.peg.2272	-
Tsac_2251	-
fig|1094508.3.peg.228	-
Tsac_2252	-
Tsac_2253	fig|31899.10.peg.1027
Tsac_0151,Tsac_2258,Tsac_0342	-
Tsac_2262	-
Tsac_2276	-
Tsac_0229	-
Tsac_2281	-
Tsac_2283	-
Tsac_2289	-
Tsac_2291	-
Tsac_2293	-
Tsac_2294	-
Tsac_2300	-
Tsac_2305	-
fig|1094508.3.peg.2335	-
Tsac_2311	-
Tsac_2312	-
fig|1094508.3.peg.2348	-
Tsac_2325	-
fig|1094508.3.peg.2361	-
Tsac_2340	-
Tsac_0236	-
Tsac_2373	-
Tsac_2374	-
fig|1094508.3.peg.2406	-
Tsac_2377	-
fig|1094508.3.peg.2410	-
Tsac_2378	-
Tsac_2381	-
Tsac_2383	-
Tsac_2384	-
Tsac_2390	-
Tsac_2392	-
fig|1094508.3.peg.2426	-
fig|1094508.3.peg.2427	-
Tsac_2399	-
fig|1094508.3.peg.2434	-
fig|1094508.3.peg.2435	-
fig|1094508.3.peg.2436	-
Tsac_2403	-
Tsac_2404	-
Tsac_2406	-
Tsac_2407	-
Tsac_2409	-
Tsac_2410	-
Tsac_2411	-
Tsac_2412	-
Tsac_2413	-
Tsac_2414	-
Tsac_2415	-
Tsac_2416	-
Tsac_2417	-
Tsac_2420	-
Tsac_2421	-
Tsac_2422	-
Tsac_2423	-
Tsac_2424	-
Tsac_2426	-
Tsac_2428	-
Tsac_2430	-
Tsac_2431	-
Tsac_2433	-
fig|1094508.3.peg.2469	-
Tsac_2435	-
Tsac_2436	-
Tsac_2437	-
Tsac_2438	-
Tsac_2441	-
Tsac_2443	-
Tsac_2444	-
Tsac_2447	-
Tsac_2448	-
Tsac_2449	-
Tsac_2450	-
Tsac_2451	-
Tsac_2454	-
fig|1094508.3.peg.2490	-
Tsac_2481	-
Tsac_2502	-
Tsac_2506	-
Tsac_2513	-
Tsac_2516	-
fig|1094508.3.peg.2553	-
Tsac_2519	-
Tsac_2521	-
Tsac_2531	fig|31899.10.peg.1439
Tsac_2534	-
fig|1094508.3.peg.2592	-
Tsac_2557	fig|31899.10.peg.2429
Tsac_2563	fig|31899.10.peg.2275
Tsac_0259	-
fig|1094508.3.peg.2611	-
Tsac_0260	-
Tsac_2585	-
Tsac_2595	-
Tsac_2611	-
fig|1094508.3.peg.2647	-
fig|1094508.3.peg.2668	-
Tsac_2667	-
fig|1094508.3.peg.271	-
Tsac_2673	-
Tsac_2685	-
Tsac_2687	-
Tsac_2688	-
Tsac_2689	-
Tsac_2691	-
Tsac_2692	-
Tsac_2693	-
Tsac_2694	-
Tsac_2695	-
Tsac_2696	fig|31899.10.peg.3128
Tsac_2697	-
fig|1094508.3.peg.2734	-
Tsac_2699	-
Tsac_2700	-
Tsac_2701	-
Tsac_2702	-
Tsac_2705	-
Tsac_2706	-
Tsac_2707	-
Tsac_2708	-
Tsac_2709	-
Tsac_2710	-
Tsac_2711	-
Tsac_2712	-
Tsac_2714	-
Tsac_2715	-
Tsac_2716	-
Tsac_2717	-
Tsac_2718	-
Tsac_2719	-
Tsac_2720	-
Tsac_2721	-
Tsac_2722	-
Tsac_2724	-
Tsac_2725	-
fig|1094508.3.peg.276	-
fig|1094508.3.peg.2760	-
Tsac_2727	-
Tsac_2728	-
Tsac_2729	-
Tsac_2732	-
Tsac_2736	-
Tsac_2737	-
fig|1094508.3.peg.277	-
Tsac_2738	-
Tsac_2739	-
Tsac_2740	-
Tsac_2741	-
Tsac_2742	-
Tsac_2744	-
Tsac_2745	-
Tsac_2746	-
Tsac_2748	-
Tsac_2749	-
Tsac_2750	-
Tsac_2751	-
Tsac_2752	-
Tsac_2753	-
Tsac_2754	-
Tsac_2755	-
Tsac_2757	-
Tsac_2758	-
Tsac_2759	-
Tsac_2760	-
Tsac_2761	-
Tsac_2762	-
Tsac_2764	-
Tsac_2765	-
Tsac_2767	-
Tsac_2770	-
Tsac_2771	-
Tsac_2772	-
fig|1094508.3.peg.2801	-
Tsac_2773	-
Tsac_2774	-
Tsac_2775	-
Tsac_2776	-
Tsac_2778	-
Tsac_2779	-
fig|1094508.3.peg.2808	-
fig|1094508.3.peg.281	-
Tsac_2781	-
Tsac_2782	-
Tsac_2783	-
Tsac_2784	-
Tsac_2786	-
Tsac_2787	-
Tsac_2788	-
Tsac_2789	-
Tsac_2790	-
Tsac_2791	-
Tsac_2793	-
Tsac_2794	-
Tsac_2795	-
Tsac_2796	-
Tsac_2797	-
Tsac_2798	-
Tsac_2799	-
Tsac_2800	-
Tsac_2803	-
Tsac_2807	-
Tsac_2808	-
Tsac_2809	-
Tsac_2811	-
Tsac_2812	-
Tsac_2815	-
Tsac_2816	-
Tsac_2817	-
Tsac_2818	-
Tsac_2820	-
fig|1094508.3.peg.2848	-
Tsac_2822	-
Tsac_2823	-
Tsac_2824	-
Tsac_2825	-
Tsac_2826	-
Tsac_2827	-
Tsac_0286	-
Tsac_0287	-
Tsac_0290	-
fig|1094508.3.peg.3	-
Tsac_0329	-
Tsac_0332	-
Tsac_0344	-
Tsac_0345	-
fig|1094508.3.peg.348	-
Tsac_0357	-
Tsac_0358	-
Tsac_0361	-
Tsac_0364	-
fig|1094508.3.peg.370	-
Tsac_0378	-
Tsac_0379	fig|31899.10.peg.1072
Tsac_2076,Tsac_0384	fig|31899.10.peg.170,fig|31899.10.peg.598
Tsac_0385	-
Tsac_0401	-
Tsac_0402	-
Tsac_0403	-
Tsac_0404	-
Tsac_0405	-
Tsac_0406	-
Tsac_0407	-
Tsac_0415	-
Tsac_0428	-
Tsac_0429	-
Tsac_0432	-
Tsac_0451	-
fig|1094508.3.peg.457	-
Tsac_0453	-
Tsac_0454	-
Tsac_0458	-
Tsac_0460	-
fig|1094508.3.peg.466	-
fig|1094508.3.peg.467	-
fig|1094508.3.peg.468	-
Tsac_0464	-
Tsac_0465	-
Tsac_1371,Tsac_0468	-
Tsac_0469	-
Tsac_0470	-
Tsac_0472	-
Tsac_0473	-
Tsac_0475	-
Tsac_0476	-
fig|1094508.3.peg.482	-
fig|1094508.3.peg.483	-
fig|1094508.3.peg.484	-
Tsac_0480	-
Tsac_0481	-
Tsac_0484	-
Tsac_0485	-
Tsac_0486	-
Tsac_0487	-
fig|1094508.3.peg.502	-
Tsac_0499	fig|31899.10.peg.2910
Tsac_0500	-
Tsac_0502	-
Tsac_0504	-
Tsac_0049	-
Tsac_0506	-
Tsac_0507	-
Tsac_0508	-
Tsac_0509	-
Tsac_0510	-
Tsac_0516	-
Tsac_0528	-
fig|1094508.3.peg.557	-
Tsac_0054	fig|31899.10.peg.1913
Tsac_0582	-
Tsac_0583	-
Tsac_0584	-
Tsac_0585	-
Tsac_0586	-
fig|1094508.3.peg.595	-
Tsac_0592	-
Tsac_0593	-
Tsac_0596	-
Tsac_0600	-
Tsac_0601	-
Tsac_0603	-
Tsac_0604	-
fig|1094508.3.peg.614	-
fig|1094508.3.peg.615	-
Tsac_0621	-
Tsac_0650	fig|31899.10.peg.131
Tsac_0654	-
Tsac_0659	-
Tsac_0660	-
Tsac_0661	-
Tsac_0662	-
fig|1094508.3.peg.670	-
fig|1094508.3.peg.674	-
Tsac_0674	-
fig|1094508.3.peg.70	-
Tsac_0691	-
fig|1094508.3.peg.71	-
Tsac_0707	-
Tsac_0709	-
fig|1094508.3.peg.718	-
Tsac_0711	-
fig|1094508.3.peg.72	-
Tsac_0712	-
fig|1094508.3.peg.726	-
Tsac_0763	-
Tsac_0765	-
Tsac_0645,Tsac_0767	-
Tsac_0769	-
Tsac_0777	-
Tsac_0778	-
Tsac_0779	-
Tsac_0785	-
Tsac_0786	-
Tsac_0794	-
Tsac_0798	-
Tsac_0800	-
fig|1094508.3.peg.807	-
Tsac_0811	-
Tsac_0818	-
Tsac_0826	-
Tsac_0828	fig|31899.10.peg.1095
fig|1094508.3.peg.837	-
Tsac_0830	-
fig|1094508.3.peg.841	-
Tsac_0839	-
fig|1094508.3.peg.851	-
fig|1094508.3.peg.857	-
fig|1094508.3.peg.858	-
fig|1094508.3.peg.861	-
Tsac_0855	fig|31899.10.peg.2817
Tsac_0858	-
Tsac_0859	fig|31899.10.peg.3091
Tsac_0084	-
Tsac_0866	-
fig|1094508.3.peg.879	-
Tsac_0872	-
Tsac_0873	-
Tsac_0874	-
fig|1094508.3.peg.884	-
Tsac_0876	-
Tsac_0877	-
Tsac_0878	-
Tsac_0880	-
Tsac_0882	-
Tsac_0883	-
Tsac_0888	-
Tsac_0890	-
Tsac_0891	-
Tsac_0892	-
Tsac_0894	-
Tsac_0899	-
Tsac_0090	-
Tsac_0929	-
Tsac_0091	-
Tsac_0930	-
Tsac_0931	-
Tsac_0092	-
fig|1094508.3.peg.956	-
Tsac_1186,Tsac_2286,Tsac_0948	fig|31899.10.peg.371
fig|1094508.3.peg.96	-
Tsac_0095	-
Tsac_0976	-
Tsac_0098	-
Tsac_0833	fig|31899.10.peg.531
Tsac_0836	fig|31899.10.peg.534
-	fig|31899.10.peg.596
Tsac_2214	-
Tsac_2624	fig|31899.10.peg.1708
Tsac_1401	-
Tsac_0685	fig|31899.10.peg.1573
Tsac_0668	-
Tsac_0233	fig|31899.10.peg.2457
Tsac_0886	-
Tsac_0893	-
Tsac_0887	-
Tsac_0885	-
Tsac_0895	-
Tsac_0002	fig|31899.10.peg.1139
Tsac_1435	fig|31899.10.peg.2424
Tsac_1361	fig|31899.10.peg.1751
Tsac_1287	fig|31899.10.peg.2792
Tsac_0282	-
-	fig|31899.10.peg.2619
-	fig|31899.10.peg.639
Tsac_0896	fig|31899.10.peg.3044
Tsac_0267	fig|31899.10.peg.2673,fig|31899.10.peg.2967
Tsac_2638	-
-	fig|31899.10.peg.1667
Tsac_0790,Tsac_0085	-
Tsac_0923	fig|31899.10.peg.2671
Tsac_0925	-
Tsac_1441	-
Tsac_1552	-
Tsac_0198	fig|31899.10.peg.1144
Tsac_0590	-
Tsac_0251	fig|31899.10.peg.1319
Tsac_1318	fig|31899.10.peg.2123
-	fig|31899.10.peg.1659
Tsac_2337	fig|31899.10.peg.641
Tsac_1384	-
-	fig|31899.10.peg.930
Tsac_2537,Tsac_2549	fig|31899.10.peg.1299
-	fig|31899.10.peg.1136
Tsac_2274	-
Tsac_2273	-
Tsac_1991	fig|31899.10.peg.1542
-	fig|31899.10.peg.674
Tsac_1469	-
Tsac_1521	-
Tsac_1275	-
Tsac_1278	fig|31899.10.peg.1584
Tsac_1201	fig|31899.10.peg.2450
Tsac_0589	-
Tsac_1625	-
Tsac_2662	fig|31899.10.peg.2443
Tsac_0017	-
Tsac_0388	fig|31899.10.peg.217,fig|31899.10.peg.511
Tsac_1714	fig|31899.10.peg.1515
Tsac_2040	fig|31899.10.peg.1903
Tsac_2045	fig|31899.10.peg.1762
Tsac_2060	fig|31899.10.peg.2048
Tsac_1494	-
Tsac_1493	-
Tsac_1497	-
Tsac_1432	-
Tsac_1589	-
Tsac_1580	fig|31899.10.peg.2004
Tsac_1565	fig|31899.10.peg.1233
Tsac_1761	fig|31899.10.peg.1444
Tsac_1764	fig|31899.10.peg.1447
Tsac_2810	-
Tsac_2327	fig|31899.10.peg.633
Tsac_0245	-
Tsac_0916	-
-	fig|31899.10.peg.646
-	fig|31899.10.peg.648
Tsac_0053	fig|31899.10.peg.1912
Tsac_1853	fig|31899.10.peg.1467
Tsac_2551	fig|31899.10.peg.1297
-	fig|31899.10.peg.3113
Tsac_0841,Tsac_0849	-
Tsac_0411	-
Tsac_0248	fig|31899.10.peg.848
Tsac_0215	-
Tsac_0121	-
Tsac_0210	-
-	fig|31899.10.peg.2771
Tsac_2164	-
Tsac_0753	fig|31899.10.peg.2474
Tsac_0034	-
-	fig|31899.10.peg.833
Tsac_0300,Tsac_0822	fig|31899.10.peg.616
Tsac_0298	fig|31899.10.peg.1088
Tsac_1228	fig|31899.10.peg.1249
Tsac_2631	fig|31899.10.peg.2654
Tsac_1405,Tsac_0419	fig|31899.10.peg.841
Tsac_1259	fig|31899.10.peg.2908
Tsac_1630	-
Tsac_1466	-
Tsac_0619	-
Tsac_0441	-
-	fig|31899.10.peg.2930
Tsac_1547	-
Tsac_0138,Tsac_1454	fig|31899.10.peg.1034,fig|31899.10.peg.1313,fig|31899.10.peg.2601,fig|31899.10.peg.487,fig|31899.10.peg.87
Tsac_2290	-
Tsac_1052	fig|31899.10.peg.2498
Tsac_1980	fig|31899.10.peg.1819
Tsac_0223	-
Tsac_0218	fig|31899.10.peg.2633,fig|31899.10.peg.968
Tsac_0217	-
-	fig|31899.10.peg.1511
Tsac_0514	fig|31899.10.peg.1540
-	fig|31899.10.peg.2878
-	fig|31899.10.peg.2851
Tsac_1284	fig|31899.10.peg.2793
-	fig|31899.10.peg.2758
-	fig|31899.10.peg.2950
-	fig|31899.10.peg.171
-	fig|31899.10.peg.178
-	fig|31899.10.peg.927
-	fig|31899.10.peg.2068
Tsac_2666	-
Tsac_2665	-
-	fig|31899.10.peg.2107
Tsac_0207	fig|31899.10.peg.2953
-	fig|31899.10.peg.1217
-	fig|31899.10.peg.193
-	fig|31899.10.peg.706
-	fig|31899.10.peg.602
-	fig|31899.10.peg.583
-	fig|31899.10.peg.1057,fig|31899.10.peg.580
Tsac_2386	-
Tsac_2387	-
-	fig|31899.10.peg.1186
Tsac_0317	fig|31899.10.peg.1073
Tsac_1498	fig|31899.10.peg.1983
Tsac_1248	fig|31899.10.peg.775
Tsac_2115	fig|31899.10.peg.1796
Tsac_2015	fig|31899.10.peg.2205,fig|31899.10.peg.2779
Tsac_2009	fig|31899.10.peg.2199
Tsac_0026	fig|31899.10.peg.1349
Tsac_2195	fig|31899.10.peg.1771
Tsac_2669	-
Tsac_2203	fig|31899.10.peg.1260
Tsac_2205	fig|31899.10.peg.2276
Tsac_0174	-
Tsac_1112	-
Tsac_2577	fig|31899.10.peg.1936
Tsac_0237	fig|31899.10.peg.2688
Tsac_0037	fig|31899.10.peg.2288
Tsac_0802	fig|31899.10.peg.1560
Tsac_0961	-
Tsac_1049,Tsac_2087,Tsac_2222,Tsac_0285	fig|31899.10.peg.1398,fig|31899.10.peg.2808
Tsac_2486	fig|31899.10.peg.1900
Tsac_1653	-
-	fig|31899.10.peg.1942
-	fig|31899.10.peg.1941
Tsac_0130,Tsac_1804	fig|31899.10.peg.2704
Tsac_0133,Tsac_0081	fig|31899.10.peg.1906
Tsac_0757	fig|31899.10.peg.2055
Tsac_0435	fig|31899.10.peg.1558
Tsac_0444	-
-	fig|31899.10.peg.1280
-	fig|31899.10.peg.1211
Tsac_1821,Tsac_1914,Tsac_0354,Tsac_0889	fig|31899.10.peg.1800,fig|31899.10.peg.2319
Tsac_0416	-
-	fig|31899.10.peg.306
Tsac_1702	fig|31899.10.peg.1865
Tsac_1686	fig|31899.10.peg.797
Tsac_0789	fig|31899.10.peg.2306
Tsac_1813	fig|31899.10.peg.2326
Tsac_1750	fig|31899.10.peg.1637
Tsac_1751	-
Tsac_0175,Tsac_0176	-
Tsac_1229	-
-	fig|31899.10.peg.1850,fig|31899.10.peg.2283,fig|31899.10.peg.2293
Tsac_1603	fig|31899.10.peg.444
Tsac_1807	fig|31899.10.peg.2701
Tsac_1794	fig|31899.10.peg.2714
-	fig|31899.10.peg.1808
Tsac_2152,Tsac_2467	-
Tsac_0195	-
-	fig|31899.10.peg.987
-	fig|31899.10.peg.1719
-	fig|31899.10.peg.2175
Tsac_1492	fig|31899.10.peg.2145
Tsac_0979	fig|31899.10.peg.2338
Tsac_0103	fig|31899.10.peg.2918
Tsac_1774	fig|31899.10.peg.2737
-	fig|31899.10.peg.627
Tsac_1148	-
Tsac_0652	-
-	fig|31899.10.peg.2176,fig|31899.10.peg.2180,fig|31899.10.peg.2750,fig|31899.10.peg.622
-	fig|31899.10.peg.614
Tsac_2610	fig|31899.10.peg.2016
Tsac_2544	-
Tsac_1045	fig|31899.10.peg.2194
Tsac_1012	fig|31899.10.peg.2253
Tsac_2085	fig|31899.10.peg.1085
-	fig|31899.10.peg.3034
Tsac_1231	fig|31899.10.peg.2933
Tsac_1528	fig|31899.10.peg.1002
Tsac_2127	fig|31899.10.peg.1786
Tsac_1887	fig|31899.10.peg.1802
Tsac_0677	fig|31899.10.peg.1565
-	fig|31899.10.peg.2456
Tsac_1355	fig|31899.10.peg.123
Tsac_1596	-
Tsac_1593	fig|31899.10.peg.1206
Tsac_1079,Tsac_0466,Tsac_0477,Tsac_0844	fig|31899.10.peg.2360,fig|31899.10.peg.658
Tsac_2358	-
Tsac_0967	fig|31899.10.peg.2005
Tsac_2210	fig|31899.10.peg.2034
Tsac_0371	fig|31899.10.peg.2681
-	fig|31899.10.peg.2776
Tsac_1955	fig|31899.10.peg.2394,fig|31899.10.peg.2395
Tsac_0997	-
