1094508.3	31899.10
Tsac_1728	fig|31899.10.peg.1528|SAMN05216182_1326
Tsac_1246	-
-	-
-	-
-	-
Tsac_1712	fig|31899.10.peg.2670|SAMN05216182_2428
-	-
-	-
-	-
Tsac_1703	fig|31899.10.peg.1866|SAMN05216182_1654
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1736	fig|31899.10.peg.2687|SAMN05216182_2445
-	-
-	-
-	-
-	-
Tsac_1220	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0376	fig|31899.10.peg.2478|SAMN05216182_2261
Tsac_1597	fig|31899.10.peg.149|SAMN05216182_0081
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1520	-
-	-
Tsac_1892,Tsac_1907,Tsac_2098	fig|31899.10.peg.1742|SAMN05216182_1532,fig|31899.10.peg.1767|SAMN05216182_1557,fig|31899.10.peg.2054|SAMN05216182_1847
-	-
-	-
-	-
Tsac_1906	fig|31899.10.peg.2191|SAMN05216182_1971,fig|31899.10.peg.855|SAMN05216182_0696
Tsac_0036	fig|31899.10.peg.2284|SAMN05216182_2072
-	-
-	-
Tsac_1910	fig|31899.10.peg.1831|SAMN05216182_1621
-	-
Tsac_1922	fig|31899.10.peg.1777|SAMN05216182_1567
-	-
Tsac_1926	fig|31899.10.peg.1482|SAMN05216182_1280
-	-
-	-
-	-
Tsac_1885	fig|31899.10.peg.1807|SAMN05216182_1597
-	-
-	-
Tsac_1932	fig|31899.10.peg.1475|SAMN05216182_1273
-	-
-	-
-	-
-	-
Tsac_1948	-
-	-
-	-
-	-
-	-
-	-
Tsac_1957	fig|31899.10.peg.2397|SAMN05216182_2183
-	-
-	-
-	-
Tsac_1945	fig|31899.10.peg.2209|SAMN05216182_1991
Tsac_1959	fig|31899.10.peg.2405|SAMN05216182_2189
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1970	-
-	-
Tsac_1979	fig|31899.10.peg.1694|SAMN05216182_1485
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	fig|31899.10.peg.1703|SAMN05216182_1493
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0096	-
-	fig|31899.10.peg.1392|SAMN05216182_1198
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2247	-
Tsac_1699	fig|31899.10.peg.1949|SAMN05216182_1735
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1200	fig|31899.10.peg.2452|SAMN05216182_2235
-	-
-	-
-	-
-	-
-	-
Tsac_2141	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2128	fig|31899.10.peg.1785|SAMN05216182_1575
Tsac_2130	fig|31899.10.peg.1783|SAMN05216182_1573
-	-
-	-
Tsac_2620	fig|31899.10.peg.2345|SAMN05216182_2132
-	-
-	-
-	fig|31899.10.peg.2422|SAMN05216182_2206
Tsac_0131,Tsac_1678,Tsac_1805	fig|31899.10.peg.1008|SAMN05216182_0839,fig|31899.10.peg.2280|SAMN05216182_2068,fig|31899.10.peg.2653|SAMN05216182_2413,fig|31899.10.peg.2703|SAMN05216182_2461
-	-
Tsac_0316	fig|31899.10.peg.1074|SAMN05216182_0898
-	-
-	-
Tsac_2664	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1439	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2343	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1573	-
-	-
Tsac_0569	fig|31899.10.peg.1110|SAMN05216182_0931
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2493	fig|31899.10.peg.1051|SAMN05216182_0877,fig|31899.10.peg.1961|SAMN05216182_1747
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2102	fig|31899.10.peg.1738|SAMN05216182_1528
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	fig|31899.10.peg.2258|SAMN05216182_2046
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0558	fig|31899.10.peg.2296|SAMN05216182_2084
-	-
-	-
-	-
Tsac_0687	fig|31899.10.peg.2304|SAMN05216182_2092
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0089	fig|31899.10.peg.2748|SAMN05216182_2505
Tsac_0087	fig|31899.10.peg.2746|SAMN05216182_2503
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2360	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2357	fig|31899.10.peg.931|SAMN05216182_0762
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2050	fig|31899.10.peg.1757|SAMN05216182_1547
-	fig|31899.10.peg.134|SAMN05216182_0062
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2427	-
Tsac_1145	-
-	-
-	-
-	-
-	-
-	-
-	-
-	fig|31899.10.peg.2334|SAMN05216182_2121
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	fig|31899.10.peg.1490|SAMN05216182_1288,fig|31899.10.peg.1997|SAMN05216182_1783,fig|31899.10.peg.2000|SAMN05216182_1786
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0305	fig|31899.10.peg.333|SAMN05216182_0207
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0016	fig|31899.10.peg.1493|SAMN05216182_1291
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2398	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0809	fig|31899.10.peg.1735|SAMN05216182_1525
-	-
-	-
-	-
Tsac_0548	fig|31899.10.peg.364|SAMN05216182_0238
-	-
Tsac_1020	fig|31899.10.peg.2245|SAMN05216182_2034
-	-
-	-
-	-
Tsac_1004	fig|31899.10.peg.1264|SAMN05216182_1077
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2012	fig|31899.10.peg.2202|SAMN05216182_1984
Tsac_0547	fig|31899.10.peg.363|SAMN05216182_0237
-	-
-	-
-	-
Tsac_1151	fig|31899.10.peg.1701|SAMN05216182_1491
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0935	fig|31899.10.peg.1081|SAMN05216182_0905
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0823	fig|31899.10.peg.1092|SAMN05216182_0915
-	-
Tsac_0375	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0812	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1426	fig|31899.10.peg.1915|SAMN05216182_1701
Tsac_0545	fig|31899.10.peg.361|SAMN05216182_0235
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2175,Tsac_2232	-
-	-
-	-
-	-
-	-
-	-
-	-
-	fig|31899.10.peg.2330|SAMN05216182_2117
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1146	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0750	fig|31899.10.peg.2031|SAMN05216182_1822
Tsac_0749	fig|31899.10.peg.2032|SAMN05216182_1823,fig|31899.10.peg.957|SAMN05216182_0787
-	-
Tsac_0535	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0664	fig|31899.10.peg.719|SAMN05216182_0562
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0611	fig|31899.10.peg.2977|SAMN05216182_2719
-	-
-	-
-	-
-	-
-	-
Tsac_0625	fig|31899.10.peg.2131|SAMN05216182_1912
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0542	fig|31899.10.peg.357|SAMN05216182_0231
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0631	fig|31899.10.peg.351|SAMN05216182_0225
-	-
-	-
-	-
-	-
-	-
Tsac_0981	fig|31899.10.peg.2611|SAMN05216182_2376
-	-
-	-
-	-
-	-
-	-
Tsac_1301	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2576	fig|31899.10.peg.2584|SAMN05216182_2349
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0173	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1413	fig|31899.10.peg.1162|SAMN05216182_0974
-	-
Tsac_2526	fig|31899.10.peg.2039|SAMN05216182_1831
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2636	-
Tsac_2635	-
Tsac_2634	-
Tsac_1042,Tsac_1043,Tsac_0253,Tsac_2633	fig|31899.10.peg.1321|SAMN05216182_1133,fig|31899.10.peg.2196|SAMN05216182_1978,fig|31899.10.peg.2197|SAMN05216182_1979
-	-
Tsac_2644	-
-	-
Tsac_2641	-
Tsac_2639	-
Tsac_2637	-
-	-
-	-
-	-
Tsac_0292	fig|31899.10.peg.1963|SAMN05216182_1749
-	-
Tsac_1476,Tsac_2540	fig|31899.10.peg.1634|SAMN05216182_1430
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2683	fig|31899.10.peg.2188|SAMN05216182_1968
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2682	fig|31899.10.peg.2187|SAMN05216182_1967
Tsac_2681	fig|31899.10.peg.2186|SAMN05216182_1966
-	-
-	-
Tsac_2675	fig|31899.10.peg.2178|SAMN05216182_1958
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2118	fig|31899.10.peg.1793|SAMN05216182_1583
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2480	fig|31899.10.peg.2849|SAMN05216182_2602
-	-
-	-
-	-
Tsac_1147,Tsac_2364	fig|31899.10.peg.2607|SAMN05216182_2372
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1243	fig|31899.10.peg.1930|SAMN05216182_1716
-	-
Tsac_1357	fig|31899.10.peg.733|SAMN05216182_0576
Tsac_2488	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0219	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0523	fig|31899.10.peg.1345|SAMN05216182_1158
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2587	fig|31899.10.peg.1924|SAMN05216182_1710
-	-
-	-
Tsac_2580	fig|31899.10.peg.1939|SAMN05216182_1725
Tsac_2579	fig|31899.10.peg.1938|SAMN05216182_1724
Tsac_2578	fig|31899.10.peg.1937|SAMN05216182_1723
-	-
-	-
-	-
Tsac_0099	-
Tsac_0101	-
fig|1094508.3.peg.1081	-
Tsac_1071	-
Tsac_1072	-
Tsac_1076	-
fig|1094508.3.peg.1089	-
fig|1094508.3.peg.1090	-
Tsac_1080	-
Tsac_1081	-
Tsac_1082	-
Tsac_1085	-
Tsac_1088	-
Tsac_1089	-
Tsac_1091	-
fig|1094508.3.peg.1104	-
Tsac_1092	-
Tsac_1093	-
Tsac_1094	-
Tsac_1095	-
Tsac_1096	-
Tsac_1106	fig|31899.10.peg.236|SAMN05216182_0147,fig|31899.10.peg.3055|SAMN05216182_2791
Tsac_1108	-
fig|1094508.3.peg.1121	-
fig|1094508.3.peg.1122	-
Tsac_1113	-
Tsac_1115	-
fig|1094508.3.peg.1132	-
Tsac_1122,Tsac_1193,Tsac_0241,fig|1094508.3.peg.816	fig|31899.10.peg.195|SAMN05216182_0117,fig|31899.10.peg.2455|SAMN05216182_2238,fig|31899.10.peg.2742|SAMN05216182_2499,fig|31899.10.peg.726|SAMN05216182_0569
fig|1094508.3.peg.1136	-
Tsac_1125	-
Tsac_1126	-
Tsac_1127	-
Tsac_1133	-
Tsac_1137	-
fig|1094508.3.peg.1162	-
Tsac_1152	-
Tsac_1154	-
Tsac_1158	fig|31899.10.peg.572|SAMN05216182_0430
Tsac_1160	-
Tsac_1161	-
Tsac_1162	fig|31899.10.peg.575|SAMN05216182_0433
Tsac_1165	-
fig|1094508.3.peg.1188	-
fig|1094508.3.peg.1189	-
Tsac_1194	-
Tsac_1207	-
Tsac_1215	-
Tsac_0123	-
Tsac_1271	-
Tsac_1159,Tsac_1272,Tsac_1350,Tsac_1446,Tsac_1458,Tsac_1464,Tsac_0149,Tsac_1511,Tsac_1515,Tsac_0165,Tsac_0201,Tsac_2089,Tsac_2256,Tsac_2302,Tsac_2323,Tsac_0340,Tsac_0495,Tsac_0694	fig|31899.10.peg.1030|SAMN05216182_0861,fig|31899.10.peg.1055|SAMN05216182_0881,fig|31899.10.peg.124|SAMN05216182_0053,fig|31899.10.peg.1311|SAMN05216182_1123,fig|31899.10.peg.2576|SAMN05216182_2341,fig|31899.10.peg.2599|SAMN05216182_2364,fig|31899.10.peg.2628|SAMN05216182_2390,fig|31899.10.peg.2642|SAMN05216182_2403,fig|31899.10.peg.2881|SAMN05216182_2628,fig|31899.10.peg.2907|SAMN05216182_2654,fig|31899.10.peg.2954|SAMN05216182_2697,fig|31899.10.peg.470|SAMN05216182_0340,fig|31899.10.peg.573|SAMN05216182_0431,fig|31899.10.peg.816|SAMN05216182_0662,fig|31899.10.peg.89|SAMN05216182_0021
Tsac_1274	-
Tsac_1276	fig|31899.10.peg.2445|SAMN05216182_2227
Tsac_1282	-
Tsac_1289	-
Tsac_1290	-
Tsac_1291	-
Tsac_0129	-
Tsac_1299	-
fig|1094508.3.peg.1323	-
fig|1094508.3.peg.1324	-
Tsac_1328	-
fig|1094508.3.peg.1344	-
fig|1094508.3.peg.1345	-
Tsac_1334	-
Tsac_1341	-
Tsac_1343,Tsac_1513	-
Tsac_1346	-
fig|1094508.3.peg.1364	-
Tsac_1356	-
Tsac_0136,Tsac_0137,Tsac_0140	fig|31899.10.peg.2831|SAMN05216182_2585,fig|31899.10.peg.486|SAMN05216182_0356,fig|31899.10.peg.490|SAMN05216182_0360
Tsac_1367	-
fig|1094508.3.peg.1382	-
Tsac_1368	-
Tsac_1370,Tsac_0467	-
Tsac_1372	-
Tsac_1373	-
Tsac_1374	-
fig|1094508.3.peg.1390	-
Tsac_1375	-
Tsac_1376	-
fig|1094508.3.peg.1394	-
Tsac_1380	-
Tsac_1381	-
fig|1094508.3.peg.1400	-
Tsac_1391	-
fig|1094508.3.peg.1414	-
fig|1094508.3.peg.1421	-
Tsac_1402	-
Tsac_1404,Tsac_1409	-
Tsac_1408	-
Tsac_0141	-
fig|1094508.3.peg.1458	-
Tsac_1448	fig|31899.10.peg.1314|SAMN05216182_1126
Tsac_0147	-
Tsac_1472	-
Tsac_1473	-
Tsac_0148	-
Tsac_1505	-
Tsac_1506	-
fig|1094508.3.peg.1534	-
Tsac_1514	-
Tsac_1525	-
Tsac_1545	-
fig|1094508.3.peg.1578	-
Tsac_1557	-
Tsac_1584	-
Tsac_0161	-
Tsac_1624	-
Tsac_1627	-
Tsac_1629	-
Tsac_1641	-
fig|1094508.3.peg.1685	-
Tsac_1664	-
Tsac_1666	-
fig|1094508.3.peg.1689	-
Tsac_1668	-
fig|1094508.3.peg.1727	-
fig|1094508.3.peg.1762	-
Tsac_1741	-
Tsac_1760	fig|31899.10.peg.1655|SAMN05216182_1448
Tsac_0180	-
Tsac_0181	-
Tsac_0183	-
fig|1094508.3.peg.1857	-
Tsac_0185	-
Tsac_0186	-
Tsac_1849	-
Tsac_0187	-
Tsac_0188	-
Tsac_0194	-
Tsac_1952	-
Tsac_1953	-
fig|1094508.3.peg.1989	-
Tsac_1966	-
Tsac_1983	-
Tsac_1985	-
Tsac_1986	-
Tsac_1992	-
Tsac_1993	-
Tsac_1994	-
fig|1094508.3.peg.2020	-
Tsac_2007	-
Tsac_2016	-
Tsac_2017	-
Tsac_2028	-
Tsac_2032	-
Tsac_2033	-
Tsac_0205	-
Tsac_2035	-
Tsac_2036	-
Tsac_2037	-
fig|1094508.3.peg.2077	-
Tsac_2059	-
Tsac_2063	-
Tsac_2080	-
Tsac_2084	-
Tsac_2088	-
Tsac_1202,Tsac_2091	fig|31899.10.peg.1403|SAMN05216182_1208
Tsac_0211	-
Tsac_2096	-
Tsac_0214,Tsac_0216	-
Tsac_2148	-
Tsac_2163	-
Tsac_1064,Tsac_2180	fig|31899.10.peg.1576|SAMN05216182_1374
Tsac_0220	-
Tsac_0221	-
fig|1094508.3.peg.2239	-
Tsac_2219	-
fig|1094508.3.peg.2268	-
fig|1094508.3.peg.2272	-
Tsac_2251	-
fig|1094508.3.peg.228	-
Tsac_2252	-
Tsac_2253	fig|31899.10.peg.1027|SAMN05216182_0859
Tsac_0151,Tsac_2258,Tsac_0342	-
Tsac_2262	-
Tsac_2276	-
Tsac_0229	-
Tsac_2281	-
Tsac_2283	-
Tsac_2289	-
Tsac_2291	-
Tsac_2293	-
Tsac_2294	-
Tsac_2300	-
Tsac_2305	-
fig|1094508.3.peg.2335	-
Tsac_2311	-
Tsac_2312	-
fig|1094508.3.peg.2348	-
Tsac_2325	-
fig|1094508.3.peg.2361	-
Tsac_2340	-
Tsac_0236	-
Tsac_2373	-
Tsac_2374	-
fig|1094508.3.peg.2406	-
Tsac_2377	-
fig|1094508.3.peg.2410	-
Tsac_2378	-
Tsac_2381	-
Tsac_2383	-
Tsac_2384	-
Tsac_2390	-
Tsac_2392	-
fig|1094508.3.peg.2426	-
fig|1094508.3.peg.2427	-
Tsac_2399	-
fig|1094508.3.peg.2434	-
fig|1094508.3.peg.2435	-
fig|1094508.3.peg.2436	-
Tsac_2403	-
Tsac_2404	-
Tsac_2406	-
Tsac_2407	-
Tsac_2409	-
Tsac_2410	-
Tsac_2411	-
Tsac_2412	-
Tsac_2413	-
Tsac_2414	-
