Tag	1094508.3	203119.11
TAG1361	Tsac_0631	Cthe_3090
TAG1367	Tsac_0981	Cthe_1786
TAG1368	-	Cthe_1785
TAG1373	Tsac_1301	-
TAG1383	-	Cthe_2215
TAG1386	Tsac_2576	Cthe_1937
TAG1402	Tsac_0173	-
TAG1421	Tsac_1413	Cthe_2739
TAG1423	Tsac_2526	-
TAG1452	Tsac_2636	-
TAG1453	Tsac_2635	-
TAG1454	Tsac_2634	-
TAG1455	"Tsac_1042,Tsac_1043,Tsac_0253,Tsac_2633"	"Cthe_1801,Cthe_2934,Cthe_2936"
TAG1457	Tsac_2644	-
TAG1459	Tsac_2641	-
TAG1460	Tsac_2639	-
TAG1461	Tsac_2637	-
TAG1465	Tsac_0292	"Cthe_1051,Cthe_2636"
TAG1467	"Tsac_1476,Tsac_2540"	Cthe_2183
TAG1478	Tsac_2683	Cthe_2248
TAG1486	Tsac_2682	Cthe_2247
TAG1487	Tsac_2681	Cthe_2246
TAG1490	Tsac_2675	Cthe_2239
TAG1503	Tsac_2118	Cthe_0092
TAG1536	Tsac_2480	-
TAG1540	"Tsac_1147,Tsac_2364"	Cthe_2703
TAG1549	Tsac_1243	Cthe_0309
TAG1551	Tsac_1357	Cthe_0116
TAG1552	Tsac_2488	-
TAG1568	Tsac_0219	-
TAG1605	-	Cthe_1635
TAG1622	-	Cthe_0522
TAG1631	Tsac_0523	Cthe_2256
TAG1673	Tsac_2587	Cthe_0375
TAG1676	Tsac_2580	Cthe_1248
TAG1677	Tsac_2579	Cthe_1247
TAG1678	Tsac_2578	Cthe_1246
TAG1682	Tsac_0099	-
TAG1683	Tsac_0101	-
TAG1684	fig|1094508.3.peg.1081	-
TAG1685	Tsac_1071	-
TAG1686	Tsac_1072	-
TAG1687	Tsac_1076	-
TAG1688	fig|1094508.3.peg.1089	-
TAG1689	fig|1094508.3.peg.1090	-
TAG1690	Tsac_1080	-
TAG1691	Tsac_1081	-
TAG1692	Tsac_1082	-
TAG1693	Tsac_1085	-
TAG1694	Tsac_1088	-
TAG1695	Tsac_1089	-
TAG1696	Tsac_1091	-
TAG1697	fig|1094508.3.peg.1104	-
TAG1698	Tsac_1092	-
TAG1699	Tsac_1093	-
TAG1700	Tsac_1094	-
TAG1701	Tsac_1095	-
TAG1702	Tsac_1096	-
TAG1703	Tsac_1106	-
TAG1704	Tsac_1108	-
TAG1705	fig|1094508.3.peg.1121	-
TAG1706	fig|1094508.3.peg.1122	-
TAG1707	Tsac_1113	Cthe_3142
TAG1708	Tsac_1115	-
TAG1709	fig|1094508.3.peg.1132	-
TAG1710	"Tsac_1122,Tsac_1193,Tsac_0241,fig|1094508.3.peg.816"	"Cthe_1697,Cthe_0245"
TAG1711	fig|1094508.3.peg.1136	-
TAG1712	Tsac_1125	-
TAG1713	Tsac_1126	-
TAG1714	Tsac_1127	-
TAG1715	Tsac_1133	-
TAG1716	Tsac_1137	-
TAG1717	fig|1094508.3.peg.1162	-
TAG1718	Tsac_1152	-
TAG1719	Tsac_1154	-
TAG1720	Tsac_1158	-
TAG1721	Tsac_1160	-
TAG1722	Tsac_1161	-
TAG1723	Tsac_1162	-
TAG1724	Tsac_1165	-
TAG1725	fig|1094508.3.peg.1188	-
TAG1726	fig|1094508.3.peg.1189	-
TAG1727	Tsac_1194	-
TAG1728	Tsac_1207	-
TAG1729	Tsac_1215	-
TAG1730	Tsac_0123	-
TAG1731	Tsac_1271	-
TAG1732	"Tsac_1159,Tsac_1272,Tsac_1350,Tsac_1446,Tsac_1458,Tsac_1464,Tsac_0149,Tsac_1511,Tsac_1515,Tsac_0165,Tsac_0201,Tsac_2089,Tsac_2256,Tsac_2302,Tsac_2323,Tsac_0340,Tsac_0495,Tsac_0694"	"Cthe_1018,Cthe_2125"
TAG1733	Tsac_1274	-
TAG1734	Tsac_1276	-
TAG1735	Tsac_1282	-
TAG1736	Tsac_1289	-
TAG1737	Tsac_1290	-
TAG1738	Tsac_1291	-
TAG1739	Tsac_0129	-
TAG1740	Tsac_1299	-
TAG1741	fig|1094508.3.peg.1323	-
TAG1742	fig|1094508.3.peg.1324	-
TAG1743	Tsac_1328	-
TAG1744	fig|1094508.3.peg.1344	-
TAG1745	fig|1094508.3.peg.1345	-
TAG1746	Tsac_1334	-
TAG1747	Tsac_1341	-
TAG1748	"Tsac_1343,Tsac_1513"	-
TAG1749	Tsac_1346	-
TAG1750	fig|1094508.3.peg.1364	-
TAG1751	Tsac_1356	-
TAG1752	"Tsac_0136,Tsac_0137,Tsac_0140"	Cthe_0393
TAG1753	Tsac_1367	-
TAG1754	fig|1094508.3.peg.1382	-
TAG1755	Tsac_1368	-
TAG1756	"Tsac_1370,Tsac_0467"	Cthe_1886
TAG1757	Tsac_1372	-
TAG1758	Tsac_1373	-
TAG1759	Tsac_1374	-
TAG1760	fig|1094508.3.peg.1390	-
TAG1761	Tsac_1375	-
TAG1762	Tsac_1376	-
TAG1763	fig|1094508.3.peg.1394	-
TAG1764	Tsac_1380	-
TAG1765	Tsac_1381	-
TAG1766	fig|1094508.3.peg.1400	-
TAG1767	Tsac_1391	-
TAG1768	fig|1094508.3.peg.1414	-
TAG1769	fig|1094508.3.peg.1421	-
TAG1770	Tsac_1402	-
TAG1771	"Tsac_1404,Tsac_1409"	-
TAG1772	Tsac_1408	-
TAG1773	Tsac_0141	-
TAG1774	fig|1094508.3.peg.1458	-
TAG1775	Tsac_1448	-
TAG1776	Tsac_0147	-
TAG1777	Tsac_1472	-
TAG1778	Tsac_1473	-
TAG1779	Tsac_0148	-
TAG1780	Tsac_1505	-
TAG1781	Tsac_1506	-
TAG1782	fig|1094508.3.peg.1534	-
TAG1783	Tsac_1514	-
TAG1784	Tsac_1525	-
TAG1785	Tsac_1545	-
TAG1786	fig|1094508.3.peg.1578	-
TAG1787	Tsac_1557	-
TAG1788	Tsac_1584	-
TAG1789	Tsac_0161	-
TAG1790	Tsac_1624	-
TAG1791	Tsac_1627	-
TAG1792	Tsac_1629	-
TAG1793	Tsac_1641	-
TAG1794	fig|1094508.3.peg.1685	-
TAG1795	Tsac_1664	-
TAG1796	Tsac_1666	-
TAG1797	fig|1094508.3.peg.1689	-
TAG1798	Tsac_1668	-
TAG1799	fig|1094508.3.peg.1727	-
TAG1800	fig|1094508.3.peg.1762	-
TAG1801	Tsac_1741	-
TAG1802	Tsac_1760	Cthe_0926
TAG1803	Tsac_0180	-
TAG1804	Tsac_0181	-
TAG1805	Tsac_0183	-
TAG1806	fig|1094508.3.peg.1857	-
TAG1807	Tsac_0185	-
TAG1808	Tsac_0186	-
TAG1809	Tsac_1849	-
TAG1810	Tsac_0187	-
TAG1811	Tsac_0188	-
TAG1812	Tsac_0194	-
TAG1813	Tsac_1952	-
TAG1814	Tsac_1953	-
TAG1815	fig|1094508.3.peg.1989	-
TAG1816	Tsac_1966	-
TAG1817	Tsac_1983	-
TAG1818	Tsac_1985	-
TAG1819	Tsac_1986	-
TAG1820	Tsac_1992	-
TAG1821	Tsac_1993	-
TAG1822	Tsac_1994	-
TAG1823	fig|1094508.3.peg.2020	-
TAG1824	Tsac_2007	-
TAG1825	Tsac_2016	-
TAG1826	Tsac_2017	-
TAG1827	Tsac_2028	-
TAG1828	Tsac_2032	-
TAG1829	Tsac_2033	-
TAG1830	Tsac_0205	-
TAG1831	Tsac_2035	-
TAG1832	Tsac_2036	-
TAG1833	Tsac_2037	-
TAG1834	fig|1094508.3.peg.2077	-
TAG1835	Tsac_2059	-
TAG1836	Tsac_2063	-
TAG1837	Tsac_2080	-
TAG1838	Tsac_2084	-
TAG1839	Tsac_2088	-
TAG1840	"Tsac_1202,Tsac_2091"	-
TAG1841	Tsac_0211	Cthe_2430
TAG1842	Tsac_2096	-
TAG1843	"Tsac_0214,Tsac_0216"	-
TAG1844	Tsac_2148	-
TAG1845	Tsac_2163	-
TAG1846	"Tsac_1064,Tsac_2180"	-
TAG1847	Tsac_0220	-
TAG1848	Tsac_0221	-
TAG1849	fig|1094508.3.peg.2239	-
TAG1850	Tsac_2219	-
TAG1851	fig|1094508.3.peg.2268	-
TAG1852	fig|1094508.3.peg.2272	-
TAG1853	Tsac_2251	-
TAG1854	fig|1094508.3.peg.228	-
TAG1855	Tsac_2252	-
TAG1856	Tsac_2253	-
TAG1857	"Tsac_0151,Tsac_2258,Tsac_0342"	Cthe_1020
TAG1858	Tsac_2262	-
TAG1859	Tsac_2276	-
TAG1860	Tsac_0229	-
TAG1861	Tsac_2281	-
TAG1862	Tsac_2283	-
TAG1863	Tsac_2289	-
TAG1864	Tsac_2291	-
TAG1865	Tsac_2293	-
TAG1866	Tsac_2294	-
TAG1867	Tsac_2300	-
TAG1868	Tsac_2305	-
TAG1869	fig|1094508.3.peg.2335	-
TAG1870	Tsac_2311	-
TAG1871	Tsac_2312	-
TAG1872	fig|1094508.3.peg.2348	-
TAG1873	Tsac_2325	-
TAG1874	fig|1094508.3.peg.2361	-
TAG1875	Tsac_2340	-
TAG1876	Tsac_0236	-
TAG1877	Tsac_2373	-
TAG1878	Tsac_2374	-
TAG1879	fig|1094508.3.peg.2406	-
TAG1880	Tsac_2377	-
TAG1881	fig|1094508.3.peg.2410	-
TAG1882	Tsac_2378	-
TAG1883	Tsac_2381	-
TAG1884	Tsac_2383	-
TAG1885	Tsac_2384	-
TAG1886	Tsac_2390	-
TAG1887	Tsac_2392	-
TAG1888	fig|1094508.3.peg.2426	-
TAG1889	fig|1094508.3.peg.2427	-
TAG1890	Tsac_2399	-
TAG1891	fig|1094508.3.peg.2434	-
TAG1892	fig|1094508.3.peg.2435	-
TAG1893	fig|1094508.3.peg.2436	-
TAG1894	Tsac_2403	-
TAG1895	Tsac_2404	-
TAG1896	Tsac_2406	-
TAG1897	Tsac_2407	-
TAG1898	Tsac_2409	-
TAG1899	Tsac_2410	-
TAG1900	Tsac_2411	-
TAG1901	Tsac_2412	-
TAG1902	Tsac_2413	-
TAG1903	Tsac_2414	-
TAG1904	Tsac_2415	-
TAG1905	Tsac_2416	-
TAG1906	Tsac_2417	-
TAG1907	Tsac_2420	-
TAG1908	Tsac_2421	Cthe_1715
TAG1909	Tsac_2422	-
TAG1910	Tsac_2423	-
TAG1911	Tsac_2424	-
TAG1912	Tsac_2426	-
TAG1913	Tsac_2428	-
TAG1914	Tsac_2430	-
TAG1915	Tsac_2431	-
TAG1916	Tsac_2433	-
TAG1917	fig|1094508.3.peg.2469	-
TAG1918	Tsac_2435	-
TAG1919	Tsac_2436	-
TAG1920	Tsac_2437	-
TAG1921	Tsac_2438	-
TAG1922	Tsac_2441	-
TAG1923	Tsac_2443	-
TAG1924	Tsac_2444	-
TAG1925	Tsac_2447	-
TAG1926	Tsac_2448	-
TAG1927	Tsac_2449	-
TAG1928	Tsac_2450	-
TAG1929	Tsac_2451	-
TAG1930	Tsac_2454	-
TAG1931	fig|1094508.3.peg.2490	-
TAG1932	Tsac_2481	-
TAG1933	Tsac_2502	-
TAG1934	Tsac_2506	-
TAG1935	Tsac_2513	-
TAG1936	Tsac_2516	-
TAG1937	fig|1094508.3.peg.2553	-
TAG1938	Tsac_2519	-
TAG1939	Tsac_2521	-
TAG1940	Tsac_2531	-
TAG1941	Tsac_2534	-
TAG1942	fig|1094508.3.peg.2592	-
TAG1943	Tsac_2557	Cthe_2961
TAG1944	Tsac_2563	Cthe_1388
TAG1945	Tsac_0259	-
TAG1946	fig|1094508.3.peg.2611	-
TAG1947	Tsac_0260	-
TAG1948	Tsac_2585	-
TAG1949	Tsac_2595	-
TAG1950	Tsac_2611	-
TAG1951	fig|1094508.3.peg.2647	-
TAG1952	fig|1094508.3.peg.2668	-
TAG1953	Tsac_2667	-
TAG1954	fig|1094508.3.peg.271	-
TAG1955	Tsac_2673	-
TAG1956	Tsac_2685	-
TAG1957	Tsac_2687	-
TAG1958	Tsac_2688	-
TAG1959	Tsac_2689	-
TAG1960	Tsac_2691	-
TAG1961	Tsac_2692	-
TAG1962	Tsac_2693	-
TAG1963	Tsac_2694	-
TAG1964	Tsac_2695	-
TAG1965	Tsac_2696	-
TAG1966	Tsac_2697	-
TAG1967	fig|1094508.3.peg.2734	-
TAG1968	Tsac_2699	-
TAG1969	Tsac_2700	-
TAG1970	Tsac_2701	-
TAG1971	Tsac_2702	-
TAG1972	Tsac_2705	-
TAG1973	Tsac_2706	-
TAG1974	Tsac_2707	-
TAG1975	Tsac_2708	-
TAG1976	Tsac_2709	-
TAG1977	Tsac_2710	-
TAG1978	Tsac_2711	-
TAG1979	Tsac_2712	-
TAG1980	Tsac_2714	-
TAG1981	Tsac_2715	-
TAG1982	Tsac_2716	-
TAG1983	Tsac_2717	-
TAG1984	Tsac_2718	-
TAG1985	Tsac_2719	-
TAG1986	Tsac_2720	-
TAG1987	Tsac_2721	-
TAG1988	Tsac_2722	-
TAG1989	Tsac_2724	-
TAG1990	Tsac_2725	-
TAG1991	fig|1094508.3.peg.276	-
TAG1992	fig|1094508.3.peg.2760	-
TAG1993	Tsac_2727	-
TAG1994	Tsac_2728	-
TAG1995	Tsac_2729	-
TAG1996	Tsac_2732	-
TAG1997	Tsac_2736	-
TAG1998	Tsac_2737	-
TAG1999	fig|1094508.3.peg.277	-
TAG2000	Tsac_2738	-
TAG2001	Tsac_2739	-
TAG2002	Tsac_2740	-
TAG2003	Tsac_2741	-
TAG2004	Tsac_2742	-
TAG2005	Tsac_2744	-
TAG2006	Tsac_2745	-
TAG2007	Tsac_2746	-
TAG2008	Tsac_2748	-
TAG2009	Tsac_2749	-
TAG2010	Tsac_2750	-
TAG2011	Tsac_2751	-
TAG2012	Tsac_2752	-
TAG2013	Tsac_2753	-
TAG2014	Tsac_2754	-
TAG2015	Tsac_2755	-
TAG2016	Tsac_2757	-
TAG2017	Tsac_2758	-
TAG2018	Tsac_2759	-
TAG2019	Tsac_2760	-
TAG2020	Tsac_2761	-
TAG2021	Tsac_2762	-
TAG2022	Tsac_2764	-
TAG2023	Tsac_2765	-
TAG2024	Tsac_2767	-
TAG2025	Tsac_2770	-
TAG2026	Tsac_2771	-
TAG2027	Tsac_2772	-
TAG2028	fig|1094508.3.peg.2801	-
TAG2029	Tsac_2773	-
TAG2030	Tsac_2774	-
TAG2031	Tsac_2775	-
TAG2032	Tsac_2776	-
TAG2033	Tsac_2778	-
TAG2034	Tsac_2779	-
TAG2035	fig|1094508.3.peg.2808	-
TAG2036	fig|1094508.3.peg.281	-
TAG2037	Tsac_2781	-
TAG2038	Tsac_2782	-
TAG2039	Tsac_2783	-
TAG2040	Tsac_2784	-
TAG2041	Tsac_2786	-
TAG2042	Tsac_2787	-
TAG2043	Tsac_2788	-
TAG2044	Tsac_2789	-
TAG2045	Tsac_2790	-
TAG2046	Tsac_2791	-
TAG2047	Tsac_2793	-
TAG2048	Tsac_2794	-
TAG2049	Tsac_2795	-
TAG2050	Tsac_2796	-
TAG2051	Tsac_2797	-
TAG2052	Tsac_2798	-
TAG2053	Tsac_2799	-
TAG2054	Tsac_2800	-
TAG2055	Tsac_2803	-
TAG2056	Tsac_2807	-
TAG2057	Tsac_2808	-
TAG2058	Tsac_2809	-
TAG2059	Tsac_2811	-
TAG2060	Tsac_2812	-
TAG2061	Tsac_2815	-
TAG2062	Tsac_2816	-
TAG2063	Tsac_2817	-
TAG2064	Tsac_2818	-
TAG2065	Tsac_2820	-
TAG2066	fig|1094508.3.peg.2848	-
TAG2067	Tsac_2822	-
TAG2068	Tsac_2823	-
TAG2069	Tsac_2824	-
TAG2070	Tsac_2825	-
TAG2071	Tsac_2826	-
TAG2072	Tsac_2827	-
TAG2073	Tsac_0286	-
TAG2074	Tsac_0287	-
TAG2075	Tsac_0290	-
TAG2076	fig|1094508.3.peg.3	-
TAG2077	Tsac_0329	-
TAG2078	Tsac_0332	-
TAG2079	Tsac_0344	-
TAG2080	Tsac_0345	-
TAG2081	fig|1094508.3.peg.348	-
TAG2082	Tsac_0357	-
TAG2083	Tsac_0358	-
TAG2084	Tsac_0361	-
TAG2085	Tsac_0364	-
TAG2086	fig|1094508.3.peg.370	-
TAG2087	Tsac_0378	-
TAG2088	Tsac_0379	Cthe_2327
TAG2089	"Tsac_2076,Tsac_0384"	-
TAG2090	Tsac_0385	-
TAG2091	Tsac_0401	-
TAG2092	Tsac_0402	-
TAG2093	Tsac_0403	-
TAG2094	Tsac_0404	-
TAG2095	Tsac_0405	-
TAG2096	Tsac_0406	-
TAG2097	Tsac_0407	-
TAG2098	Tsac_0415	-
TAG2099	Tsac_0428	-
TAG2100	Tsac_0429	-
TAG2101	Tsac_0432	-
TAG2102	Tsac_0451	-
TAG2103	fig|1094508.3.peg.457	-
TAG2104	Tsac_0453	-
TAG2105	Tsac_0454	-
TAG2106	Tsac_0458	-
TAG2107	Tsac_0460	-
TAG2108	fig|1094508.3.peg.466	-
TAG2109	fig|1094508.3.peg.467	-
TAG2110	fig|1094508.3.peg.468	-
TAG2111	Tsac_0464	-
TAG2112	Tsac_0465	-
TAG2113	"Tsac_1371,Tsac_0468"	-
TAG2114	Tsac_0469	-
TAG2115	Tsac_0470	-
TAG2116	Tsac_0472	-
TAG2117	Tsac_0473	-
TAG2118	Tsac_0475	-
TAG2119	Tsac_0476	-
TAG2120	fig|1094508.3.peg.482	-
TAG2121	fig|1094508.3.peg.483	-
TAG2122	fig|1094508.3.peg.484	-
TAG2123	Tsac_0480	-
TAG2124	Tsac_0481	-
TAG2125	Tsac_0484	-
TAG2126	Tsac_0485	-
TAG2127	Tsac_0486	-
TAG2128	Tsac_0487	-
TAG2129	fig|1094508.3.peg.502	-
TAG2130	Tsac_0499	-
TAG2131	Tsac_0500	-
TAG2132	Tsac_0502	-
TAG2133	Tsac_0504	-
TAG2134	Tsac_0049	-
TAG2135	Tsac_0506	-
TAG2136	Tsac_0507	-
TAG2137	Tsac_0508	-
TAG2138	Tsac_0509	-
TAG2139	Tsac_0510	-
TAG2140	Tsac_0516	-
TAG2141	Tsac_0528	-
TAG2142	fig|1094508.3.peg.557	-
TAG2143	Tsac_0054	-
TAG2144	Tsac_0582	-
TAG2145	Tsac_0583	-
TAG2146	Tsac_0584	-
TAG2147	Tsac_0585	-
TAG2148	Tsac_0586	-
TAG2149	fig|1094508.3.peg.595	-
TAG2150	Tsac_0592	-
TAG2151	Tsac_0593	-
TAG2152	Tsac_0596	-
TAG2153	Tsac_0600	-
TAG2154	Tsac_0601	-
TAG2155	Tsac_0603	-
TAG2156	Tsac_0604	-
TAG2157	fig|1094508.3.peg.614	-
TAG2158	fig|1094508.3.peg.615	-
TAG2159	Tsac_0621	-
TAG2160	Tsac_0650	Cthe_2099
TAG2161	Tsac_0654	-
TAG2162	Tsac_0659	-
TAG2163	Tsac_0660	-
TAG2164	Tsac_0661	-
TAG2165	Tsac_0662	-
TAG2166	fig|1094508.3.peg.670	-
TAG2167	fig|1094508.3.peg.674	-
TAG2168	Tsac_0674	-
TAG2169	fig|1094508.3.peg.70	-
TAG2170	Tsac_0691	-
TAG2171	fig|1094508.3.peg.71	-
TAG2172	Tsac_0707	-
TAG2173	Tsac_0709	-
TAG2174	fig|1094508.3.peg.718	-
TAG2175	Tsac_0711	-
TAG2176	fig|1094508.3.peg.72	-
TAG2177	Tsac_0712	-
TAG2178	fig|1094508.3.peg.726	-
TAG2179	Tsac_0763	-
TAG2180	Tsac_0765	-
TAG2181	"Tsac_0645,Tsac_0767"	-
TAG2182	Tsac_0769	-
TAG2183	Tsac_0777	-
TAG2184	Tsac_0778	-
TAG2185	Tsac_0779	-
TAG2186	Tsac_0785	-
TAG2187	Tsac_0786	-
TAG2188	Tsac_0794	-
TAG2189	Tsac_0798	-
TAG2190	Tsac_0800	-
TAG2191	fig|1094508.3.peg.807	-
TAG2192	Tsac_0811	-
TAG2193	Tsac_0818	-
TAG2194	Tsac_0826	-
TAG2195	Tsac_0828	Cthe_2662
TAG2196	fig|1094508.3.peg.837	-
TAG2197	Tsac_0830	-
TAG2198	fig|1094508.3.peg.841	-
TAG2199	Tsac_0839	-
TAG2200	fig|1094508.3.peg.851	-
TAG2201	fig|1094508.3.peg.857	-
TAG2202	fig|1094508.3.peg.858	-
TAG2203	fig|1094508.3.peg.861	-
TAG2204	Tsac_0855	-
TAG2205	Tsac_0858	-
TAG2206	Tsac_0859	-
TAG2207	Tsac_0084	-
TAG2208	Tsac_0866	-
TAG2209	fig|1094508.3.peg.879	-
TAG2210	Tsac_0872	-
TAG2211	Tsac_0873	-
TAG2212	Tsac_0874	-
TAG2213	fig|1094508.3.peg.884	-
TAG2214	Tsac_0876	-
TAG2215	Tsac_0877	-
TAG2216	Tsac_0878	-
TAG2217	Tsac_0880	-
TAG2218	Tsac_0882	-
TAG2219	Tsac_0883	-
TAG2220	Tsac_0888	-
TAG2221	Tsac_0890	-
TAG2222	Tsac_0891	-
TAG2223	Tsac_0892	-
TAG2224	Tsac_0894	-
TAG2225	Tsac_0899	-
TAG2226	Tsac_0090	-
TAG2227	Tsac_0929	-
TAG2228	Tsac_0091	-
TAG2229	Tsac_0930	-
TAG2230	Tsac_0931	-
TAG2231	Tsac_0092	-
TAG2232	fig|1094508.3.peg.956	-
TAG2233	"Tsac_1186,Tsac_2286,Tsac_0948"	-
TAG2234	fig|1094508.3.peg.96	-
TAG2235	Tsac_0095	-
TAG2236	Tsac_0976	-
TAG2237	Tsac_0098	-
TAG2248	Tsac_0833	-
TAG2251	Tsac_0836	-
TAG2254	-	-
TAG2257	Tsac_2214	-
TAG2277	Tsac_2624	-
TAG2279	Tsac_1401	-
TAG2286	Tsac_0685	Cthe_3014
TAG2289	Tsac_0668	-
TAG2305	Tsac_0233	-
TAG2308	Tsac_0886	-
TAG2310	Tsac_0893	-
TAG2313	Tsac_0887	-
TAG2314	Tsac_0885	-
TAG2318	Tsac_0895	-
TAG2350	Tsac_0002	Cthe_2251
TAG2370	Tsac_1435	-
TAG2372	Tsac_1361	Cthe_1262
TAG2379	Tsac_1287	-
TAG2382	Tsac_0282	-
TAG2383	-	-
TAG2420	-	-
TAG2423	Tsac_0896	-
TAG2436	Tsac_0267	Cthe_0389
TAG2437	Tsac_2638	-
TAG2440	-	-
TAG2441	"Tsac_0790,Tsac_0085"	-
TAG2443	Tsac_0923	Cthe_0410
TAG2453	Tsac_0925	-
TAG2476	Tsac_1441	-
TAG2509	Tsac_1552	Cthe_0427
TAG2529	Tsac_0198	-
TAG2540	-	Cthe_0322
TAG2558	Tsac_0590	-
TAG2584	Tsac_0251	-
TAG2602	Tsac_1318	Cthe_1840
TAG2615	-	-
TAG2618	Tsac_2337	-
TAG2623	Tsac_1384	-
TAG2639	-	Cthe_2586
