Tag	1094508.3	203119.11	31899.1
TAG1423	fig|1094508.3.peg.2561	-	fig|31899.10.peg.2039
TAG1452	fig|1094508.3.peg.2673	-	-
TAG1453	fig|1094508.3.peg.2672	-	-
TAG1454	fig|1094508.3.peg.2671	-	-
TAG1455	"fig|1094508.3.peg.1054,fig|1094508.3.peg.1055,fig|1094508.3.peg.254,fig|1094508.3.peg.2670"	"fig|203119.11.peg.1901,fig|203119.11.peg.3137,fig|203119.11.peg.3139"	"fig|31899.10.peg.1321
TAG1457	fig|1094508.3.peg.2681	-	-
TAG1459	fig|1094508.3.peg.2678	-	-
TAG1460	fig|1094508.3.peg.2676	-	-
TAG1461	fig|1094508.3.peg.2674	-	-
TAG1465	fig|1094508.3.peg.294	"fig|203119.11.peg.1108,fig|203119.11.peg.2807"	fig|31899.10.peg.1963
TAG1467	"fig|1094508.3.peg.1496,fig|1094508.3.peg.2575"	fig|203119.11.peg.2323	fig|31899.10.peg.1634
TAG1478	fig|1094508.3.peg.2721	fig|203119.11.peg.2391	fig|31899.10.peg.2188
TAG1486	fig|1094508.3.peg.2720	fig|203119.11.peg.2390	fig|31899.10.peg.2187
TAG1487	fig|1094508.3.peg.2719	fig|203119.11.peg.2389	fig|31899.10.peg.2186
TAG1490	fig|1094508.3.peg.2713	fig|203119.11.peg.2382	fig|31899.10.peg.2178
TAG1503	fig|1094508.3.peg.2145	fig|203119.11.peg.100	fig|31899.10.peg.1793
TAG1536	fig|1094508.3.peg.2515	-	fig|31899.10.peg.2849
TAG1540	"fig|1094508.3.peg.1160,fig|1094508.3.peg.2395"	fig|203119.11.peg.2877	fig|31899.10.peg.2607
TAG1549	fig|1094508.3.peg.1257	fig|203119.11.peg.328	fig|31899.10.peg.1930
TAG1551	fig|1094508.3.peg.1371	fig|203119.11.peg.125	fig|31899.10.peg.733
TAG1552	fig|1094508.3.peg.2523	-	-
TAG1568	fig|1094508.3.peg.219	-	-
TAG1605	-	fig|203119.11.peg.1732	-
TAG1622	-	fig|203119.11.peg.547	-
TAG1631	fig|1094508.3.peg.527	fig|203119.11.peg.2401	fig|31899.10.peg.1345
TAG1673	fig|1094508.3.peg.2624	fig|203119.11.peg.399	fig|31899.10.peg.1924
TAG1676	fig|1094508.3.peg.2617	fig|203119.11.peg.1317	fig|31899.10.peg.1939
TAG1677	fig|1094508.3.peg.2616	fig|203119.11.peg.1316	fig|31899.10.peg.1938
TAG1678	fig|1094508.3.peg.2615	fig|203119.11.peg.1315	fig|31899.10.peg.1937
TAG1682	fig|1094508.3.peg.100	-	-
TAG1683	fig|1094508.3.peg.102	-	-
TAG1684	fig|1094508.3.peg.1081	-	-
TAG1685	fig|1094508.3.peg.1083	-	-
TAG1686	fig|1094508.3.peg.1084	-	-
TAG1687	fig|1094508.3.peg.1088	-	-
TAG1688	fig|1094508.3.peg.1089	-	-
TAG1689	fig|1094508.3.peg.1090	-	-
TAG1690	fig|1094508.3.peg.1092	-	-
TAG1691	fig|1094508.3.peg.1093	-	-
TAG1692	fig|1094508.3.peg.1094	-	-
TAG1693	fig|1094508.3.peg.1097	-	-
TAG1694	fig|1094508.3.peg.1100	-	-
TAG1695	fig|1094508.3.peg.1101	-	-
TAG1696	fig|1094508.3.peg.1103	-	-
TAG1697	fig|1094508.3.peg.1104	-	-
TAG1698	fig|1094508.3.peg.1105	-	-
TAG1699	fig|1094508.3.peg.1106	-	-
TAG1700	fig|1094508.3.peg.1107	-	-
TAG1701	fig|1094508.3.peg.1108	-	-
TAG1702	fig|1094508.3.peg.1109	-	-
TAG1703	fig|1094508.3.peg.1118	-	"fig|31899.10.peg.236
TAG1704	fig|1094508.3.peg.1120	-	-
TAG1705	fig|1094508.3.peg.1121	-	-
TAG1706	fig|1094508.3.peg.1122	-	-
TAG1707	fig|1094508.3.peg.1125	fig|203119.11.peg.3355	-
TAG1708	fig|1094508.3.peg.1127	-	-
TAG1709	fig|1094508.3.peg.1132	-	-
TAG1710	"fig|1094508.3.peg.1134,fig|1094508.3.peg.1207,fig|1094508.3.peg.242,fig|1094508.3.peg.816"	"fig|203119.11.peg.1794,fig|203119.11.peg.257"	"fig|31899.10.peg.195
TAG1711	fig|1094508.3.peg.1136	-	-
TAG1712	fig|1094508.3.peg.1138	-	-
TAG1713	fig|1094508.3.peg.1139	-	-
TAG1714	fig|1094508.3.peg.1140	-	-
TAG1715	fig|1094508.3.peg.1146	-	-
TAG1716	fig|1094508.3.peg.1150	-	-
TAG1717	fig|1094508.3.peg.1162	-	-
TAG1718	fig|1094508.3.peg.1166	-	-
TAG1719	fig|1094508.3.peg.1168	-	-
TAG1720	fig|1094508.3.peg.1172	-	fig|31899.10.peg.572
TAG1721	fig|1094508.3.peg.1174	-	-
TAG1722	fig|1094508.3.peg.1175	-	-
TAG1723	fig|1094508.3.peg.1176	-	fig|31899.10.peg.575
TAG1724	fig|1094508.3.peg.1179	-	-
TAG1725	fig|1094508.3.peg.1188	-	-
TAG1726	fig|1094508.3.peg.1189	-	-
TAG1727	fig|1094508.3.peg.1208	-	-
TAG1728	fig|1094508.3.peg.1221	-	-
TAG1729	fig|1094508.3.peg.1229	-	-
TAG1730	fig|1094508.3.peg.124	-	-
TAG1731	fig|1094508.3.peg.1285	-	-
TAG1732	"fig|1094508.3.peg.1173,fig|1094508.3.peg.1286,fig|1094508.3.peg.1363,fig|1094508.3.peg.1467,fig|1094508.3.peg.1479,fig|1094508.3.peg.1485,fig|1094508.3.peg.150,fig|1094508.3.peg.1531,fig|1094508.3.peg.1536,fig|1094508.3.peg.166,fig|1094508.3.peg.201,fig|1094508.3.peg.2116,fig|1094508.3.peg.2284,fig|1094508.3.peg.2331,fig|1094508.3.peg.2353,fig|1094508.3.peg.342,fig|1094508.3.peg.499,fig|1094508.3.peg.703"	"fig|203119.11.peg.1070,fig|203119.11.peg.2255"	"fig|31899.10.peg.1030
TAG1733	fig|1094508.3.peg.1288	-	-
TAG1734	fig|1094508.3.peg.1290	-	fig|31899.10.peg.2445
TAG1735	fig|1094508.3.peg.1296	-	-
TAG1736	fig|1094508.3.peg.1303	-	-
TAG1737	fig|1094508.3.peg.1304	-	-
TAG1738	fig|1094508.3.peg.1305	-	-
TAG1739	fig|1094508.3.peg.130	-	-
TAG1740	fig|1094508.3.peg.1313	-	-
TAG1741	fig|1094508.3.peg.1323	-	-
TAG1742	fig|1094508.3.peg.1324	-	-
TAG1743	fig|1094508.3.peg.1342	-	-
TAG1744	fig|1094508.3.peg.1344	-	-
TAG1745	fig|1094508.3.peg.1345	-	-
TAG1746	fig|1094508.3.peg.1348	-	-
TAG1747	fig|1094508.3.peg.1354	-	-
TAG1748	"fig|1094508.3.peg.1356,fig|1094508.3.peg.1533"	-	-
TAG1749	fig|1094508.3.peg.1359	-	-
TAG1750	fig|1094508.3.peg.1364	-	-
TAG1751	fig|1094508.3.peg.1370	-	-
TAG1752	"fig|1094508.3.peg.137,fig|1094508.3.peg.138,fig|1094508.3.peg.141"	fig|203119.11.peg.417	"fig|31899.10.peg.2831
TAG1753	fig|1094508.3.peg.1381	-	-
TAG1754	fig|1094508.3.peg.1382	-	-
TAG1755	fig|1094508.3.peg.1383	-	-
TAG1756	"fig|1094508.3.peg.1385,fig|1094508.3.peg.472"	fig|203119.11.peg.1999	-
TAG1757	fig|1094508.3.peg.1387	-	-
TAG1758	fig|1094508.3.peg.1388	-	-
TAG1759	fig|1094508.3.peg.1389	-	-
TAG1760	fig|1094508.3.peg.1390	-	-
TAG1761	fig|1094508.3.peg.1391	-	-
TAG1762	fig|1094508.3.peg.1392	-	-
TAG1763	fig|1094508.3.peg.1394	-	-
TAG1764	fig|1094508.3.peg.1397	-	-
TAG1765	fig|1094508.3.peg.1398	-	-
TAG1766	fig|1094508.3.peg.1400	-	-
TAG1767	fig|1094508.3.peg.1409	-	-
TAG1768	fig|1094508.3.peg.1414	-	-
TAG1769	fig|1094508.3.peg.1421	-	-
TAG1770	fig|1094508.3.peg.1422	-	-
TAG1771	"fig|1094508.3.peg.1424,fig|1094508.3.peg.1429"	-	-
TAG1772	fig|1094508.3.peg.1428	-	-
TAG1773	fig|1094508.3.peg.142	-	-
TAG1774	fig|1094508.3.peg.1458	-	-
TAG1775	fig|1094508.3.peg.1469	-	fig|31899.10.peg.1314
TAG1776	fig|1094508.3.peg.148	-	-
TAG1777	fig|1094508.3.peg.1492	-	-
TAG1778	fig|1094508.3.peg.1493	-	-
TAG1779	fig|1094508.3.peg.149	-	-
TAG1780	fig|1094508.3.peg.1525	-	-
TAG1781	fig|1094508.3.peg.1526	-	-
TAG1782	fig|1094508.3.peg.1534	-	-
TAG1783	fig|1094508.3.peg.1535	-	-
TAG1784	fig|1094508.3.peg.1546	-	-
TAG1785	fig|1094508.3.peg.1566	-	-
TAG1786	fig|1094508.3.peg.1578	-	-
TAG1787	fig|1094508.3.peg.1579	-	-
TAG1788	fig|1094508.3.peg.1606	-	-
TAG1789	fig|1094508.3.peg.162	-	-
TAG1790	fig|1094508.3.peg.1645	-	-
TAG1791	fig|1094508.3.peg.1648	-	-
TAG1792	fig|1094508.3.peg.1650	-	-
TAG1793	fig|1094508.3.peg.1662	-	-
TAG1794	fig|1094508.3.peg.1685	-	-
TAG1795	fig|1094508.3.peg.1686	-	-
TAG1796	fig|1094508.3.peg.1688	-	-
TAG1797	fig|1094508.3.peg.1689	-	-
TAG1798	fig|1094508.3.peg.1690	-	-
TAG1799	fig|1094508.3.peg.1727	-	-
TAG1800	fig|1094508.3.peg.1762	-	-
TAG1801	fig|1094508.3.peg.1765	-	-
TAG1802	fig|1094508.3.peg.1784	fig|203119.11.peg.973	fig|31899.10.peg.1655
TAG1803	fig|1094508.3.peg.180	-	-
TAG1804	fig|1094508.3.peg.181	-	-
TAG1805	fig|1094508.3.peg.183	-	-
TAG1806	fig|1094508.3.peg.1857	-	-
TAG1807	fig|1094508.3.peg.185	-	-
TAG1808	fig|1094508.3.peg.186	-	-
TAG1809	fig|1094508.3.peg.1874	-	-
TAG1810	fig|1094508.3.peg.187	-	-
TAG1811	fig|1094508.3.peg.188	-	-
TAG1812	fig|1094508.3.peg.194	-	-
TAG1813	fig|1094508.3.peg.1977	-	-
TAG1814	fig|1094508.3.peg.1978	-	-
TAG1815	fig|1094508.3.peg.1989	-	-
TAG1816	fig|1094508.3.peg.1991	-	-
TAG1817	fig|1094508.3.peg.2008	-	-
TAG1818	fig|1094508.3.peg.2010	-	-
TAG1819	fig|1094508.3.peg.2011	-	-
TAG1820	fig|1094508.3.peg.2017	-	-
TAG1821	fig|1094508.3.peg.2018	-	-
TAG1822	fig|1094508.3.peg.2019	-	-
TAG1823	fig|1094508.3.peg.2020	-	-
TAG1824	fig|1094508.3.peg.2033	-	-
TAG1825	fig|1094508.3.peg.2042	-	-
TAG1826	fig|1094508.3.peg.2043	-	-
TAG1827	fig|1094508.3.peg.2054	-	-
TAG1828	fig|1094508.3.peg.2058	-	-
TAG1829	fig|1094508.3.peg.2059	-	-
TAG1830	fig|1094508.3.peg.205	-	-
TAG1831	fig|1094508.3.peg.2061	-	-
TAG1832	fig|1094508.3.peg.2062	-	-
TAG1833	fig|1094508.3.peg.2063	-	-
TAG1834	fig|1094508.3.peg.2077	-	-
TAG1835	fig|1094508.3.peg.2086	-	-
TAG1836	fig|1094508.3.peg.2090	-	-
TAG1837	fig|1094508.3.peg.2107	-	-
TAG1838	fig|1094508.3.peg.2111	-	-
TAG1839	fig|1094508.3.peg.2115	-	-
TAG1840	"fig|1094508.3.peg.1216,fig|1094508.3.peg.2118"	-	fig|31899.10.peg.1403
TAG1841	fig|1094508.3.peg.211	fig|203119.11.peg.2584	-
TAG1842	fig|1094508.3.peg.2123	-	-
TAG1843	"fig|1094508.3.peg.214,fig|1094508.3.peg.216"	-	-
TAG1844	fig|1094508.3.peg.2175	-	-
TAG1845	fig|1094508.3.peg.2190	-	-
TAG1846	"fig|1094508.3.peg.1075,fig|1094508.3.peg.2207"	-	fig|31899.10.peg.1576
TAG1847	fig|1094508.3.peg.220	-	-
TAG1848	fig|1094508.3.peg.221	-	-
TAG1849	fig|1094508.3.peg.2239	-	-
TAG1850	fig|1094508.3.peg.2246	-	-
TAG1851	fig|1094508.3.peg.2268	-	-
TAG1852	fig|1094508.3.peg.2272	-	-
TAG1853	fig|1094508.3.peg.2279	-	-
TAG1854	fig|1094508.3.peg.228	-	-
TAG1855	fig|1094508.3.peg.2280	-	-
TAG1856	fig|1094508.3.peg.2281	-	fig|31899.10.peg.1027
TAG1857	"fig|1094508.3.peg.152,fig|1094508.3.peg.2286,fig|1094508.3.peg.344"	fig|203119.11.peg.1072	-
TAG1858	fig|1094508.3.peg.2291	-	-
TAG1859	fig|1094508.3.peg.2305	-	-
TAG1860	fig|1094508.3.peg.230	-	-
TAG1861	fig|1094508.3.peg.2310	-	-
TAG1862	fig|1094508.3.peg.2312	-	-
TAG1863	fig|1094508.3.peg.2318	-	-
TAG1864	fig|1094508.3.peg.2320	-	-
TAG1865	fig|1094508.3.peg.2322	-	-
TAG1866	fig|1094508.3.peg.2323	-	-
TAG1867	fig|1094508.3.peg.2329	-	-
TAG1868	fig|1094508.3.peg.2334	-	-
TAG1869	fig|1094508.3.peg.2335	-	-
TAG1870	fig|1094508.3.peg.2340	-	-
TAG1871	fig|1094508.3.peg.2341	-	-
TAG1872	fig|1094508.3.peg.2348	-	-
TAG1873	fig|1094508.3.peg.2355	-	-
TAG1874	fig|1094508.3.peg.2361	-	-
TAG1875	fig|1094508.3.peg.2371	-	-
TAG1876	fig|1094508.3.peg.237	-	-
TAG1877	fig|1094508.3.peg.2404	-	-
TAG1878	fig|1094508.3.peg.2405	-	-
TAG1879	fig|1094508.3.peg.2406	-	-
TAG1880	fig|1094508.3.peg.2409	-	-
TAG1881	fig|1094508.3.peg.2410	-	-
TAG1882	fig|1094508.3.peg.2411	-	-
TAG1883	fig|1094508.3.peg.2414	-	-
TAG1884	fig|1094508.3.peg.2416	-	-
TAG1885	fig|1094508.3.peg.2417	-	-
TAG1886	fig|1094508.3.peg.2423	-	-
TAG1887	fig|1094508.3.peg.2425	-	-
TAG1888	fig|1094508.3.peg.2426	-	-
TAG1889	fig|1094508.3.peg.2427	-	-
TAG1890	fig|1094508.3.peg.2432	-	-
TAG1891	fig|1094508.3.peg.2434	-	-
TAG1892	fig|1094508.3.peg.2435	-	-
TAG1893	fig|1094508.3.peg.2436	-	-
TAG1894	fig|1094508.3.peg.2437	-	-
TAG1895	fig|1094508.3.peg.2438	-	-
TAG1896	fig|1094508.3.peg.2440	-	-
TAG1897	fig|1094508.3.peg.2441	-	-
TAG1898	fig|1094508.3.peg.2443	-	-
TAG1899	fig|1094508.3.peg.2444	-	-
TAG1900	fig|1094508.3.peg.2445	-	-
TAG1901	fig|1094508.3.peg.2446	-	-
TAG1902	fig|1094508.3.peg.2447	-	-
TAG1903	fig|1094508.3.peg.2448	-	-
TAG1904	fig|1094508.3.peg.2449	-	-
TAG1905	fig|1094508.3.peg.2450	-	-
TAG1906	fig|1094508.3.peg.2451	-	-
TAG1907	fig|1094508.3.peg.2455	-	-
TAG1908	fig|1094508.3.peg.2456	fig|203119.11.peg.1812	-
TAG1909	fig|1094508.3.peg.2457	-	-
TAG1910	fig|1094508.3.peg.2458	-	-
TAG1911	fig|1094508.3.peg.2459	-	-
TAG1912	fig|1094508.3.peg.2461	-	-
TAG1913	fig|1094508.3.peg.2463	-	-
TAG1914	fig|1094508.3.peg.2464	-	-
TAG1915	fig|1094508.3.peg.2465	-	-
TAG1916	fig|1094508.3.peg.2467	-	-
TAG1917	fig|1094508.3.peg.2469	-	-
TAG1918	fig|1094508.3.peg.2470	-	-
TAG1919	fig|1094508.3.peg.2471	-	-
TAG1920	fig|1094508.3.peg.2472	-	-
TAG1921	fig|1094508.3.peg.2473	-	-
TAG1922	fig|1094508.3.peg.2476	-	-
TAG1923	fig|1094508.3.peg.2478	-	-
TAG1924	fig|1094508.3.peg.2479	-	-
TAG1925	fig|1094508.3.peg.2481	-	-
TAG1926	fig|1094508.3.peg.2482	-	-
TAG1927	fig|1094508.3.peg.2483	-	-
TAG1928	fig|1094508.3.peg.2484	-	-
TAG1929	fig|1094508.3.peg.2485	-	-
TAG1930	fig|1094508.3.peg.2488	-	-
TAG1931	fig|1094508.3.peg.2490	-	-
TAG1932	fig|1094508.3.peg.2516	-	-
TAG1933	fig|1094508.3.peg.2537	-	-
TAG1934	fig|1094508.3.peg.2541	-	-
TAG1935	fig|1094508.3.peg.2548	-	-
TAG1936	fig|1094508.3.peg.2551	-	-
TAG1937	fig|1094508.3.peg.2553	-	-
TAG1938	fig|1094508.3.peg.2554	-	-
TAG1939	fig|1094508.3.peg.2556	-	-
TAG1940	fig|1094508.3.peg.2566	-	fig|31899.10.peg.1439
TAG1941	fig|1094508.3.peg.2569	-	-
TAG1942	fig|1094508.3.peg.2592	-	-
