patric_id	NCBI new locus_tag	NCBI old locus_tag
fig|31899.10.peg.107	ATHE_RS12935	Athe_2566
fig|31899.10.peg.108	ATHE_RS12940	Athe_2567
fig|31899.10.repeat.28	-	-
fig|31899.10.peg.109	-	-
fig|31899.10.peg.110	ATHE_RS12945	Athe_2568
fig|31899.10.peg.111	-	-
fig|31899.10.peg.112	ATHE_RS12950	Athe_2569
fig|31899.10.peg.113	ATHE_RS12955	Athe_2570
fig|31899.10.peg.114	-	-
fig|31899.10.peg.115	-	-
fig|31899.10.repeat.29	-	-
fig|31899.10.peg.116	ATHE_RS12965	Athe_2572
fig|31899.10.repeat.30	-	-
fig|31899.10.rna.3	-	-
fig|31899.10.rna.4	-	-
fig|31899.10.repeat.31	-	-
fig|31899.10.rna.5	-	-
fig|31899.10.peg.117	-	-
fig|31899.10.repeat.32	-	-
fig|31899.10.peg.118	-	-
fig|31899.10.peg.119	-	-
fig|31899.10.peg.120	-	-
fig|31899.10.peg.121	ATHE_RS12990	Athe_2574
fig|31899.10.peg.122	ATHE_RS12995	Athe_2575
fig|31899.10.peg.123	ATHE_RS13000	Athe_2576
fig|31899.10.peg.124	ATHE_RS13005	Athe_2577
fig|31899.10.peg.125	ATHE_RS13010	Athe_2578
fig|31899.10.peg.126	ATHE_RS13015	Athe_2579
fig|31899.10.peg.127	ATHE_RS13020	Athe_2580
fig|31899.10.peg.128	ATHE_RS13025	Athe_2581
fig|31899.10.peg.129	ATHE_RS13030	Athe_2582
fig|31899.10.peg.130	ATHE_RS13035	Athe_2583
fig|31899.10.peg.131	ATHE_RS13040	Athe_2584
fig|31899.10.peg.132	-	-
fig|31899.10.peg.133	ATHE_RS13045	Athe_2585
fig|31899.10.peg.134	ATHE_RS13050	Athe_2586
fig|31899.10.peg.135	ATHE_RS13055	Athe_2587
fig|31899.10.peg.136	-	-
fig|31899.10.peg.137	-	-
fig|31899.10.peg.138	-	-
fig|31899.10.peg.139	-	-
fig|31899.10.peg.140	ATHE_RS13070	Athe_2592
fig|31899.10.peg.141	-	-
fig|31899.10.peg.142	ATHE_RS13080	Athe_2594
fig|31899.10.peg.143	ATHE_RS13085	Athe_2595
fig|31899.10.peg.144	-	-
fig|31899.10.peg.145	-	-
fig|31899.10.peg.146	ATHE_RS13100	Athe_2598
fig|31899.10.rna.6	-	-
fig|31899.10.rna.7	-	-
fig|31899.10.rna.8	-	-
fig|31899.10.rna.9	-	-
fig|31899.10.rna.10	-	-
fig|31899.10.peg.147	ATHE_RS13130	Athe_2599
fig|31899.10.peg.148	ATHE_RS13135	Athe_2600
fig|31899.10.peg.149	ATHE_RS13140	Athe_2601
fig|31899.10.peg.150	ATHE_RS13145	Athe_2602
fig|31899.10.peg.151	ATHE_RS13150	Athe_2603
fig|31899.10.peg.152	ATHE_RS13155	Athe_2604
fig|31899.10.peg.153	ATHE_RS13160	Athe_2605
fig|31899.10.peg.154	-	-
fig|31899.10.peg.155	ATHE_RS13170	Athe_2607
fig|31899.10.peg.156	ATHE_RS13175	Athe_2608
fig|31899.10.peg.157	ATHE_RS13180	Athe_2609
fig|31899.10.peg.158	ATHE_RS13185	Athe_2610
fig|31899.10.peg.159	ATHE_RS13190	Athe_2611
fig|31899.10.peg.160	ATHE_RS13195	Athe_2612
fig|31899.10.peg.161	-	-
fig|31899.10.peg.162	ATHE_RS13200	Athe_2613
fig|31899.10.peg.163	ATHE_RS13205	Athe_2614
fig|31899.10.peg.164	ATHE_RS13210	Athe_2615
fig|31899.10.peg.165	ATHE_RS13215	Athe_2616
fig|31899.10.peg.166	ATHE_RS13220	Athe_2617
fig|31899.10.peg.167	-	-
fig|31899.10.peg.168	-	-
fig|31899.10.peg.169	ATHE_RS13230	Athe_2619
fig|31899.10.peg.170	ATHE_RS13235	Athe_2620
fig|31899.10.peg.171	-	-
fig|31899.10.peg.172	ATHE_RS13240	Athe_2621
fig|31899.10.peg.173	ATHE_RS13245	Athe_2622
fig|31899.10.peg.174	ATHE_RS13250	Athe_2623
fig|31899.10.peg.175	ATHE_RS13255	Athe_2624
fig|31899.10.peg.176	ATHE_RS13260	Athe_2625
fig|31899.10.peg.177	-	-
fig|31899.10.peg.178	ATHE_RS13265	Athe_2626
fig|31899.10.peg.179	ATHE_RS13270	Athe_2627
fig|31899.10.peg.180	-	-
fig|31899.10.peg.181	-	-
fig|31899.10.peg.182	-	-
fig|31899.10.peg.183	ATHE_RS13275	Athe_2630
fig|31899.10.peg.184	ATHE_RS13280	Athe_2631
fig|31899.10.peg.185	ATHE_RS13285	Athe_2632
fig|31899.10.peg.186	ATHE_RS13290	Athe_2633
fig|31899.10.peg.187	-	-
fig|31899.10.peg.188	ATHE_RS13295	Athe_2635
fig|31899.10.peg.189	-	-
fig|31899.10.peg.190	-	-
fig|31899.10.peg.191	-	-
fig|31899.10.peg.192	-	-
fig|31899.10.peg.193	ATHE_RS13305	Athe_2638
fig|31899.10.peg.194	-	-
fig|31899.10.peg.195	ATHE_RS13310	Athe_2639
fig|31899.10.peg.196	ATHE_RS13315	Athe_2640
fig|31899.10.peg.197	ATHE_RS13320	Athe_2641
fig|31899.10.peg.198	ATHE_RS13325	Athe_2642
fig|31899.10.peg.199	ATHE_RS13330	Athe_2643
fig|31899.10.peg.200	ATHE_RS13335	Athe_2644
fig|31899.10.peg.201	ATHE_RS13340	Athe_2645
fig|31899.10.peg.202	ATHE_RS13345	Athe_2646
fig|31899.10.peg.203	ATHE_RS13350	Athe_2647
fig|31899.10.peg.204	ATHE_RS13355	Athe_2648
fig|31899.10.peg.205	ATHE_RS13360	Athe_2649
fig|31899.10.repeat.33	-	-
fig|31899.10.peg.206	-	-
fig|31899.10.peg.207	-	-
fig|31899.10.peg.208	-	-
fig|31899.10.peg.209	ATHE_RS13370	Athe_2651
fig|31899.10.peg.210	ATHE_RS13375	Athe_2652
fig|31899.10.crispr_array.1	-	-
fig|31899.10.crispr_repeat.1	-	-
fig|31899.10.crispr_spacer.1	-	-
fig|31899.10.crispr_repeat.2	-	-
fig|31899.10.crispr_spacer.2	-	-
fig|31899.10.crispr_repeat.3	-	-
fig|31899.10.peg.211	ATHE_RS13385	Athe_2653
fig|31899.10.repeat.34	-	-
fig|31899.10.repeat.35	-	-
fig|31899.10.peg.212	ATHE_RS13390	Athe_2654
fig|31899.10.repeat.36	-	-
fig|31899.10.peg.213	-	-
fig|31899.10.peg.214	-	-
fig|31899.10.peg.215	ATHE_RS13410	Athe_2658
fig|31899.10.peg.216	ATHE_RS13415	Athe_2659
fig|31899.10.peg.217	-	-
fig|31899.10.peg.218	ATHE_RS13425	Athe_2661
fig|31899.10.peg.219	ATHE_RS13430	Athe_2662
fig|31899.10.peg.220	ATHE_RS13435	Athe_2663
fig|31899.10.peg.221	ATHE_RS13440	Athe_2664
fig|31899.10.peg.222	-	-
fig|31899.10.repeat.37	-	-
fig|31899.10.peg.223	-	-
fig|31899.10.crispr_array.2	-	-
fig|31899.10.crispr_repeat.4	-	-
fig|31899.10.crispr_spacer.3	-	-
fig|31899.10.crispr_repeat.5	-	-
fig|31899.10.crispr_spacer.4	-	-
fig|31899.10.crispr_repeat.6	-	-
fig|31899.10.crispr_spacer.5	-	-
fig|31899.10.peg.224	-	-
fig|31899.10.crispr_repeat.7	-	-
fig|31899.10.crispr_spacer.6	-	-
fig|31899.10.crispr_repeat.8	-	-
fig|31899.10.crispr_spacer.7	-	-
fig|31899.10.crispr_repeat.9	-	-
fig|31899.10.crispr_spacer.8	-	-
fig|31899.10.crispr_repeat.10	-	-
fig|31899.10.crispr_spacer.9	-	-
fig|31899.10.peg.225	-	-
fig|31899.10.crispr_repeat.11	-	-
fig|31899.10.crispr_spacer.10	-	-
fig|31899.10.crispr_repeat.12	-	-
fig|31899.10.crispr_spacer.11	-	-
fig|31899.10.crispr_repeat.13	-	-
fig|31899.10.crispr_spacer.12	-	-
fig|31899.10.crispr_repeat.14	-	-
fig|31899.10.crispr_spacer.13	-	-
fig|31899.10.crispr_repeat.15	-	-
fig|31899.10.crispr_spacer.14	-	-
fig|31899.10.crispr_repeat.16	-	-
fig|31899.10.crispr_spacer.15	-	-
fig|31899.10.crispr_repeat.17	-	-
fig|31899.10.crispr_spacer.16	-	-
fig|31899.10.crispr_repeat.18	-	-
fig|31899.10.crispr_spacer.17	-	-
fig|31899.10.crispr_repeat.19	-	-
fig|31899.10.crispr_spacer.18	-	-
fig|31899.10.crispr_repeat.20	-	-
fig|31899.10.crispr_spacer.19	-	-
fig|31899.10.crispr_repeat.21	-	-
fig|31899.10.crispr_spacer.20	-	-
fig|31899.10.crispr_repeat.22	-	-
fig|31899.10.crispr_spacer.21	-	-
fig|31899.10.crispr_repeat.23	-	-
fig|31899.10.crispr_spacer.22	-	-
fig|31899.10.crispr_repeat.24	-	-
fig|31899.10.crispr_spacer.23	-	-
fig|31899.10.crispr_repeat.25	-	-
fig|31899.10.crispr_spacer.24	-	-
fig|31899.10.crispr_repeat.26	-	-
fig|31899.10.crispr_spacer.25	-	-
fig|31899.10.crispr_repeat.27	-	-
fig|31899.10.crispr_spacer.26	-	-
fig|31899.10.peg.226	-	-
fig|31899.10.crispr_repeat.28	-	-
fig|31899.10.crispr_spacer.27	-	-
fig|31899.10.crispr_repeat.29	-	-
fig|31899.10.crispr_spacer.28	-	-
fig|31899.10.crispr_repeat.30	-	-
fig|31899.10.crispr_spacer.29	-	-
fig|31899.10.crispr_repeat.31	-	-
fig|31899.10.crispr_spacer.30	-	-
fig|31899.10.crispr_repeat.32	-	-
fig|31899.10.crispr_spacer.31	-	-
fig|31899.10.crispr_repeat.33	-	-
fig|31899.10.crispr_spacer.32	-	-
fig|31899.10.crispr_repeat.34	-	-
fig|31899.10.crispr_spacer.33	-	-
fig|31899.10.crispr_repeat.35	-	-
fig|31899.10.crispr_spacer.34	-	-
fig|31899.10.crispr_repeat.36	-	-
fig|31899.10.crispr_spacer.35	-	-
fig|31899.10.crispr_repeat.37	-	-
fig|31899.10.crispr_spacer.36	-	-
fig|31899.10.crispr_repeat.38	-	-
fig|31899.10.crispr_spacer.37	-	-
fig|31899.10.crispr_repeat.39	-	-
fig|31899.10.crispr_spacer.38	-	-
fig|31899.10.peg.227	-	-
fig|31899.10.crispr_repeat.40	-	-
fig|31899.10.crispr_spacer.39	-	-
fig|31899.10.crispr_repeat.41	-	-
fig|31899.10.crispr_spacer.40	-	-
fig|31899.10.crispr_repeat.42	-	-
fig|31899.10.crispr_spacer.41	-	-
fig|31899.10.crispr_repeat.43	-	-
fig|31899.10.crispr_spacer.42	-	-
fig|31899.10.peg.228	-	-
fig|31899.10.crispr_repeat.44	-	-
fig|31899.10.crispr_spacer.43	-	-
fig|31899.10.crispr_repeat.45	-	-
fig|31899.10.crispr_spacer.44	-	-
fig|31899.10.crispr_repeat.46	-	-
fig|31899.10.crispr_spacer.45	-	-
fig|31899.10.crispr_repeat.47	-	-
fig|31899.10.crispr_spacer.46	-	-
fig|31899.10.crispr_repeat.48	-	-
fig|31899.10.crispr_spacer.47	-	-
fig|31899.10.crispr_repeat.49	-	-
fig|31899.10.crispr_spacer.48	-	-
fig|31899.10.crispr_repeat.50	-	-
fig|31899.10.crispr_spacer.49	-	-
fig|31899.10.peg.229	-	-
fig|31899.10.crispr_repeat.51	-	-
fig|31899.10.crispr_spacer.50	-	-
fig|31899.10.crispr_repeat.52	-	-
fig|31899.10.crispr_spacer.51	-	-
fig|31899.10.crispr_repeat.53	-	-
fig|31899.10.crispr_spacer.52	-	-
fig|31899.10.crispr_repeat.54	-	-
fig|31899.10.crispr_spacer.53	-	-
fig|31899.10.crispr_repeat.55	-	-
fig|31899.10.peg.230	-	-
fig|31899.10.crispr_spacer.54	-	-
fig|31899.10.crispr_repeat.56	-	-
fig|31899.10.peg.231	-	-
fig|31899.10.repeat.38	-	-
fig|31899.10.peg.232	-	-
fig|31899.10.peg.233	ATHE_RS13460	Athe_2668
fig|31899.10.peg.234	ATHE_RS13465	Athe_2669
fig|31899.10.repeat.39	-	-
fig|31899.10.peg.235	ATHE_RS13470	Athe_2670
fig|31899.10.peg.236	ATHE_RS13475	Athe_2671
fig|31899.10.peg.237	ATHE_RS13480	Athe_2672
fig|31899.10.peg.238	ATHE_RS13485	Athe_2673
fig|31899.10.peg.239	-	-
fig|31899.10.repeat.40	-	-
fig|31899.10.peg.240	-	-
fig|31899.10.repeat.41	-	-
fig|31899.10.peg.241	-	-
fig|31899.10.peg.242	-	-
fig|31899.10.peg.243	-	-
fig|31899.10.peg.244	-	-
fig|31899.10.peg.245	ATHE_RS13500	Athe_2676
fig|31899.10.repeat.42	-	-
fig|31899.10.peg.246	-	-
fig|31899.10.peg.247	-	-
fig|31899.10.peg.248	ATHE_RS13510	Athe_2677
fig|31899.10.repeat.43	-	-
fig|31899.10.peg.249	-	-
fig|31899.10.peg.250	-	-
fig|31899.10.peg.251	ATHE_RS13520	Athe_2678
fig|31899.10.peg.252	ATHE_RS13525	NA
fig|31899.10.repeat.44	-	-
fig|31899.10.peg.253	-	-
fig|31899.10.peg.254	-	-
fig|31899.10.peg.255	-	-
fig|31899.10.peg.256	-	-
fig|31899.10.peg.257	ATHE_RS13540	Athe_2682
fig|31899.10.peg.258	-	-
fig|31899.10.peg.259	-	-
fig|31899.10.peg.260	ATHE_RS13550	Athe_2684
fig|31899.10.peg.261	-	-
fig|31899.10.peg.262	-	-
fig|31899.10.peg.263	-	-
fig|31899.10.peg.264	-	-
fig|31899.10.repeat.45	-	-
fig|31899.10.crispr_array.3	-	-
fig|31899.10.crispr_repeat.57	-	-
fig|31899.10.crispr_spacer.55	-	-
fig|31899.10.crispr_repeat.58	-	-
fig|31899.10.crispr_spacer.56	-	-
fig|31899.10.crispr_repeat.59	-	-
fig|31899.10.crispr_spacer.57	-	-
fig|31899.10.crispr_repeat.60	-	-
fig|31899.10.crispr_spacer.58	-	-
fig|31899.10.peg.265	-	-
fig|31899.10.crispr_repeat.61	-	-
fig|31899.10.crispr_spacer.59	-	-
fig|31899.10.crispr_repeat.62	-	-
fig|31899.10.crispr_spacer.60	-	-
fig|31899.10.crispr_repeat.63	-	-
fig|31899.10.crispr_spacer.61	-	-
fig|31899.10.crispr_repeat.64	-	-
fig|31899.10.crispr_spacer.62	-	-
fig|31899.10.crispr_repeat.65	-	-
fig|31899.10.crispr_spacer.63	-	-
fig|31899.10.crispr_repeat.66	-	-
fig|31899.10.crispr_spacer.64	-	-
fig|31899.10.crispr_repeat.67	-	-
fig|31899.10.crispr_spacer.65	-	-
fig|31899.10.crispr_repeat.68	-	-
fig|31899.10.crispr_spacer.66	-	-
fig|31899.10.crispr_repeat.69	-	-
fig|31899.10.crispr_spacer.67	-	-
fig|31899.10.crispr_repeat.70	-	-
fig|31899.10.crispr_spacer.68	-	-
fig|31899.10.crispr_repeat.71	-	-
fig|31899.10.repeat.46	-	-
fig|31899.10.crispr_spacer.69	-	-
fig|31899.10.crispr_repeat.72	-	-
fig|31899.10.crispr_spacer.70	-	-
fig|31899.10.peg.266	-	-
fig|31899.10.crispr_repeat.73	-	-
fig|31899.10.crispr_spacer.71	-	-
fig|31899.10.crispr_repeat.74	-	-
fig|31899.10.crispr_spacer.72	-	-
fig|31899.10.crispr_repeat.75	-	-
fig|31899.10.crispr_spacer.73	-	-
fig|31899.10.crispr_repeat.76	-	-
fig|31899.10.crispr_spacer.74	-	-
fig|31899.10.crispr_repeat.77	-	-
fig|31899.10.repeat.47	-	-
fig|31899.10.crispr_spacer.75	-	-
fig|31899.10.crispr_repeat.78	-	-
fig|31899.10.crispr_spacer.76	-	-
fig|31899.10.crispr_repeat.79	-	-
fig|31899.10.crispr_spacer.77	-	-
fig|31899.10.peg.267	-	-
fig|31899.10.crispr_repeat.80	-	-
fig|31899.10.crispr_spacer.78	-	-
fig|31899.10.crispr_repeat.81	-	-
fig|31899.10.repeat.48	-	-
fig|31899.10.crispr_spacer.79	-	-
fig|31899.10.crispr_repeat.82	-	-
fig|31899.10.crispr_spacer.80	-	-
fig|31899.10.peg.268	-	-
fig|31899.10.crispr_repeat.83	-	-
fig|31899.10.crispr_spacer.81	-	-
fig|31899.10.crispr_repeat.84	-	-
fig|31899.10.crispr_spacer.82	-	-
fig|31899.10.peg.269	-	-
fig|31899.10.crispr_repeat.85	-	-
fig|31899.10.crispr_spacer.83	-	-
fig|31899.10.crispr_repeat.86	-	-
fig|31899.10.crispr_spacer.84	-	-
fig|31899.10.crispr_repeat.87	-	-
fig|31899.10.crispr_spacer.85	-	-
fig|31899.10.crispr_repeat.88	-	-
fig|31899.10.repeat.49	-	-
fig|31899.10.crispr_spacer.86	-	-
fig|31899.10.crispr_repeat.89	-	-
fig|31899.10.peg.270	-	-
fig|31899.10.crispr_spacer.87	-	-
fig|31899.10.crispr_repeat.90	-	-
fig|31899.10.crispr_spacer.88	-	-
fig|31899.10.crispr_repeat.91	-	-
fig|31899.10.crispr_spacer.89	-	-
fig|31899.10.crispr_repeat.92	-	-
fig|31899.10.crispr_spacer.90	-	-
fig|31899.10.crispr_repeat.93	-	-
fig|31899.10.crispr_spacer.91	-	-
fig|31899.10.crispr_repeat.94	-	-
fig|31899.10.crispr_spacer.92	-	-
fig|31899.10.crispr_repeat.95	-	-
fig|31899.10.crispr_spacer.93	-	-
fig|31899.10.crispr_repeat.96	-	-
fig|31899.10.peg.271	-	-
fig|31899.10.peg.272	ATHE_RS13565	Athe_2687
fig|31899.10.peg.273	ATHE_RS13570	Athe_2688
fig|31899.10.peg.274	ATHE_RS13575	Athe_2689
fig|31899.10.peg.275	ATHE_RS13580	Athe_2690
fig|31899.10.repeat.50	-	-
fig|31899.10.peg.276	-	-
fig|31899.10.peg.277	-	-
fig|31899.10.peg.278	-	-
fig|31899.10.peg.279	-	-
fig|31899.10.peg.280	ATHE_RS13595	Athe_2692
fig|31899.10.peg.281	ATHE_RS13600	Athe_2693
fig|31899.10.peg.282	ATHE_RS13605	Athe_2694
fig|31899.10.peg.283	ATHE_RS13610	Athe_2695
fig|31899.10.peg.284	ATHE_RS13615	Athe_2696
fig|31899.10.peg.285	ATHE_RS13620	Athe_2697
fig|31899.10.peg.286	ATHE_RS13625	Athe_2698
fig|31899.10.peg.287	ATHE_RS13630	Athe_2699
fig|31899.10.peg.288	ATHE_RS13635	Athe_2700
fig|31899.10.peg.289	ATHE_RS13640	Athe_2701
fig|31899.10.peg.290	ATHE_RS13645	Athe_2702
fig|31899.10.peg.291	ATHE_RS13650	Athe_2703
fig|31899.10.peg.292	ATHE_RS13655	Athe_2704
fig|31899.10.repeat.51	-	-
fig|31899.10.peg.293	-	-
fig|31899.10.repeat.52	-	-
fig|31899.10.peg.294	-	-
fig|31899.10.peg.295	-	-
fig|31899.10.peg.296	ATHE_RS13670	Athe_2707
fig|31899.10.peg.297	-	-
fig|31899.10.peg.298	-	-
fig|31899.10.peg.299	-	-
fig|31899.10.peg.300	-	-
fig|31899.10.crispr_array.4	-	-
fig|31899.10.crispr_repeat.97	-	-
fig|31899.10.crispr_spacer.94	-	-
fig|31899.10.crispr_repeat.98	-	-
fig|31899.10.crispr_spacer.95	-	-
fig|31899.10.crispr_repeat.99	-	-
fig|31899.10.crispr_spacer.96	-	-
fig|31899.10.crispr_repeat.100	-	-
fig|31899.10.crispr_spacer.97	-	-
fig|31899.10.crispr_repeat.101	-	-
fig|31899.10.crispr_spacer.98	-	-
fig|31899.10.crispr_repeat.102	-	-
fig|31899.10.crispr_spacer.99	-	-
fig|31899.10.crispr_repeat.103	-	-
fig|31899.10.crispr_spacer.100	-	-
fig|31899.10.crispr_repeat.104	-	-
fig|31899.10.crispr_spacer.101	-	-
fig|31899.10.crispr_repeat.105	-	-
fig|31899.10.crispr_spacer.102	-	-
fig|31899.10.crispr_repeat.106	-	-
fig|31899.10.crispr_spacer.103	-	-
fig|31899.10.crispr_repeat.107	-	-
fig|31899.10.crispr_spacer.104	-	-
fig|31899.10.crispr_repeat.108	-	-
fig|31899.10.crispr_spacer.105	-	-
fig|31899.10.crispr_repeat.109	-	-
fig|31899.10.peg.301	ATHE_RS13685	Athe_2709
fig|31899.10.peg.302	ATHE_RS13690	Athe_2710
fig|31899.10.peg.303	-	-
fig|31899.10.peg.304	-	-
fig|31899.10.peg.305	ATHE_RS13695	Athe_2711
fig|31899.10.peg.306	ATHE_RS13700	Athe_2712
fig|31899.10.peg.307	ATHE_RS13705	Athe_2713
fig|31899.10.peg.308	-	-
fig|31899.10.peg.309	-	-
fig|31899.10.peg.310	ATHE_RS13710	Athe_2714
fig|31899.10.peg.311	ATHE_RS13715	Athe_2715
fig|31899.10.peg.312	ATHE_RS13720	Athe_2716
fig|31899.10.peg.313	-	-
fig|31899.10.peg.314	-	-
fig|31899.10.peg.315	-	-
fig|31899.10.peg.316	-	-
fig|31899.10.peg.317	-	-
fig|31899.10.crispr_array.5	-	-
fig|31899.10.crispr_repeat.110	-	-
fig|31899.10.crispr_spacer.106	-	-
fig|31899.10.crispr_repeat.111	-	-
fig|31899.10.crispr_spacer.107	-	-
fig|31899.10.peg.318	-	-
fig|31899.10.crispr_repeat.112	-	-
fig|31899.10.crispr_spacer.108	-	-
fig|31899.10.crispr_repeat.113	-	-
fig|31899.10.crispr_spacer.109	-	-
fig|31899.10.crispr_repeat.114	-	-
fig|31899.10.crispr_spacer.110	-	-
fig|31899.10.crispr_repeat.115	-	-
fig|31899.10.crispr_spacer.111	-	-
fig|31899.10.peg.319	-	-
fig|31899.10.crispr_repeat.116	-	-
fig|31899.10.crispr_spacer.112	-	-
fig|31899.10.crispr_repeat.117	-	-
fig|31899.10.crispr_spacer.113	-	-
fig|31899.10.crispr_repeat.118	-	-
fig|31899.10.crispr_spacer.114	-	-
fig|31899.10.crispr_repeat.119	-	-
fig|31899.10.crispr_spacer.115	-	-
fig|31899.10.crispr_repeat.120	-	-
fig|31899.10.crispr_spacer.116	-	-
fig|31899.10.crispr_repeat.121	-	-
fig|31899.10.crispr_spacer.117	-	-
fig|31899.10.crispr_repeat.122	-	-
fig|31899.10.crispr_spacer.118	-	-
fig|31899.10.peg.320	-	-
fig|31899.10.crispr_repeat.123	-	-
fig|31899.10.crispr_spacer.119	-	-
fig|31899.10.crispr_repeat.124	-	-
fig|31899.10.crispr_spacer.120	-	-
fig|31899.10.crispr_repeat.125	-	-
fig|31899.10.crispr_spacer.121	-	-
fig|31899.10.crispr_repeat.126	-	-
fig|31899.10.crispr_spacer.122	-	-
fig|31899.10.crispr_repeat.127	-	-
fig|31899.10.crispr_spacer.123	-	-
fig|31899.10.crispr_repeat.128	-	-
fig|31899.10.crispr_spacer.124	-	-
fig|31899.10.crispr_repeat.129	-	-
fig|31899.10.crispr_spacer.125	-	-
fig|31899.10.crispr_repeat.130	-	-
fig|31899.10.crispr_spacer.126	-	-
fig|31899.10.peg.321	-	-
fig|31899.10.crispr_repeat.131	-	-
fig|31899.10.crispr_spacer.127	-	-
fig|31899.10.crispr_repeat.132	-	-
fig|31899.10.crispr_spacer.128	-	-
fig|31899.10.crispr_repeat.133	-	-
fig|31899.10.crispr_spacer.129	-	-
fig|31899.10.crispr_repeat.134	-	-
fig|31899.10.crispr_spacer.130	-	-
fig|31899.10.crispr_repeat.135	-	-
fig|31899.10.crispr_spacer.131	-	-
fig|31899.10.crispr_repeat.136	-	-
fig|31899.10.crispr_spacer.132	-	-
fig|31899.10.crispr_repeat.137	-	-
fig|31899.10.crispr_spacer.133	-	-
fig|31899.10.crispr_repeat.138	-	-
fig|31899.10.crispr_spacer.134	-	-
fig|31899.10.crispr_repeat.139	-	-
fig|31899.10.crispr_spacer.135	-	-
fig|31899.10.crispr_repeat.140	-	-
fig|31899.10.crispr_spacer.136	-	-
fig|31899.10.peg.322	-	-
fig|31899.10.crispr_repeat.141	-	-
fig|31899.10.crispr_spacer.137	-	-
fig|31899.10.crispr_repeat.142	-	-
fig|31899.10.crispr_spacer.138	-	-
fig|31899.10.crispr_repeat.143	-	-
fig|31899.10.crispr_spacer.139	-	-
fig|31899.10.crispr_repeat.144	-	-
fig|31899.10.peg.323	ATHE_RS13735	Athe_2718
fig|31899.10.peg.324	ATHE_RS13740	Athe_2719
fig|31899.10.repeat.53	-	-
fig|31899.10.repeat.54	-	-
fig|31899.10.peg.325	ATHE_RS13745	Athe_2720
fig|31899.10.crispr_array.6	-	-
fig|31899.10.crispr_repeat.145	-	-
fig|31899.10.crispr_spacer.140	-	-
fig|31899.10.crispr_repeat.146	-	-
fig|31899.10.crispr_spacer.141	-	-
fig|31899.10.peg.326	-	-
fig|31899.10.crispr_repeat.147	-	-
fig|31899.10.crispr_spacer.142	-	-
fig|31899.10.crispr_repeat.148	-	-
fig|31899.10.crispr_spacer.143	-	-
fig|31899.10.crispr_repeat.149	-	-
fig|31899.10.crispr_spacer.144	-	-
fig|31899.10.crispr_repeat.150	-	-
fig|31899.10.peg.327	-	-
fig|31899.10.peg.328	ATHE_RS13755	Athe_2722
fig|31899.10.peg.329	ATHE_RS13760	Athe_2723
fig|31899.10.peg.330	ATHE_RS13765	Athe_2724
fig|31899.10.peg.331	ATHE_RS13775	Athe_2726
fig|31899.10.peg.332	ATHE_RS13780	Athe_2727
fig|31899.10.peg.333	ATHE_RS14435	Athe_2728
fig|31899.10.peg.334	ATHE_RS13785	Athe_2729
fig|31899.10.peg.335	ATHE_RS13790	Athe_2730
fig|31899.10.peg.336	ATHE_RS13795	Athe_2731
fig|31899.10.peg.337	ATHE_RS13800	Athe_2732
fig|31899.10.peg.338	ATHE_RS13805	Athe_2733
fig|31899.10.peg.339	-	-
fig|31899.10.peg.340	-	-
