1473	-	-	-	-	-	-	-	-	-	-	-
1474	-	-	-	-	-	-	-	-	-	-	-
1475	-	-	-	-	-	-	-	-	-	-	-
1478	-	-	-	-	-	-	-	-	-	-	-
2788	-	-	-
1490	-	-	-	-	-	-	-	-	-	-	-
2482	-	-	-	-	-
1492	-	-	-	-	-	-	-	-	-	-	-
1493	-	-	-	-	-	-	-	-	-	-	-
1494	-	-	-	-	-	-	-	-	-	-	-
1495	-	-	-	-	-	-	-	-	-	-	-
1496	-	-	-	-	-	-	-	-	-	-	-
1500	-	-	-	-	-	-	-	-	-	-	-
1504	-	-	-	-	-	-	-	-	-	-	-
2642|Csac_2450	-	-	-	-	-	-
217	-	-	-
1517	-	-	-	-	-	-	-	-	-	-	-
458	-
1519	-	-	-	-	-	-	-	-	-	-	-
1520	-	-	-	-	-	-	-	-	-	-	-
1521	-	-	-	-	-	-	-	-	-	-	-
1522	-	-	-	-	-	-	-	-	-	-	-
1523	-	-	-	-	-	-	-	-	-	-	-
1524	-	-	-	-	-	-	-	-	-	-	-
1525	-	-	-	-	-	-	-	-	-	-	-
1534	-	-	-	-	-	-	-	-	-	-	-
1535	-	-	-	-	-	-	-	-	-	-	-
1546	-	-	-	-	-	-	-	-	-	-	-
1556	-	-	-	-	-	-	-	-	-	-	-
2422|Calow_2258
1569	-	-	-	-	-	-	-	-	-	-	-
1582	-	-	-	-	-	-	-	-	-	-	-
1585	-	-	-	-	-	-	-	-	-	-	-
1590	-	-	-	-	-	-	-	-	-	-	-
722	-	-	-	-	-	-	-	-
1592	-	-	-	-	-	-	-	-	-	-	-
1593	-	-	-	-	-	-	-	-	-	-	-
419|Calow_0376
1660	-	-	-	-	-	-	-	-	-	-	-
2203|Calhy_2104	-	-	-	-
1663	-	-	-	-	-	-	-	-	-	-	-
2068	-	-	-	-	-	-	-
1665	-	-	-	-	-	-	-	-	-	-	-
1666	-	-	-	-	-	-	-	-	-	-	-
1677	-	-	-	-	-	-	-	-	-	-	-
1678	-	-	-	-	-	-	-	-	-	-	-
1680	-	-	-	-	-	-	-	-	-	-	-
1162	-	-	-	-
1725	-	-	-	-	-	-	-	-	-	-	-
1005|COB47_0923	-	-	-	-	-
1728	-	-	-	-	-	-	-	-	-	-	-
1729	-	-	-	-	-	-	-	-	-	-	-
1004|COB47_0922	-	-	-	-	-
1731	-	-	-	-	-	-	-	-	-	-	-
1732	-	-	-	-	-	-	-	-	-	-	-
1733	-	-	-	-	-	-	-	-	-	-	-
1826|CallaDRAFT_1758	-
1736	-	-	-	-	-	-	-	-	-	-	-
1804	-	-	-	-	-	-	-	-	-
1739	-	-	-	-	-	-	-	-	-	-	-
1744	-	-	-	-	-	-	-	-	-	-	-
1772	-	-	-	-	-	-	-	-	-	-	-
1777	-	-	-	-	-	-	-	-	-	-	-
1870	-	-	-	-	-	-	-	-	-	-	-
1876	-	-	-	-	-	-	-	-	-	-	-
1877	-	-	-	-	-	-	-	-	-	-	-
452	-	-	-
191	-	-	-	-	-	-	-	-	-	-	-
2069	-	-	-	-	-
1944	-	-	-	-	-	-	-	-	-	-	-
797|Calow_0732
201	-	-	-	-	-	-	-	-	-	-	-
2018	-	-	-	-	-	-	-	-	-	-	-
2027	-	-	-	-	-	-	-	-	-	-	-
1082	-	-	-	-	-
2064	-	-	-	-	-	-	-	-	-	-
1576|CallaDRAFT_1516	-
2059	-	-	-	-	-	-	-	-	-	-	-
1244|Calow_1159
2060	-	-	-	-	-	-	-	-	-	-	-
77|Calkro_0073	-	-
84	-	-	-	-	-
2069	-	-	-	-	-	-	-	-	-	-	-
2070	-	-	-	-	-	-	-	-	-	-	-
92|Calkro_0089	-	-
87|Calhy_0080	-	-	-	-
103|Calkro_0099	-	-
104|Calkro_0100	-	-
2086	-	-	-	-	-	-	-	-	-	-	-
2087	-	-	-	-	-	-	-	-	-	-	-
112|Calkro_0108	-	-
2096	-	-	-	-	-	-	-	-	-	-	-
2097	-	-	-	-	-	-	-	-	-	-	-
2098	-	-	-	-	-	-	-	-	-	-	-
2099	-	-	-	-	-	-	-	-	-	-	-
724|Calhy_0669	-	-	-	-
2117	-	-	-	-	-	-	-	-	-	-	-
59|Calow_0056
2282|Calow_2129
2134	-	-	-	-	-	-	-	-	-	-	-
2659|Calkr_2443	-	-	-
471|CallaDRAFT_0453	-
2151	-	-	-	-	-	-	-	-	-	-	-
2152	-	-	-	-	-	-	-	-	-	-	-
2164	-	-	-	-	-	-	-	-	-	-	-
1745|Calow_1646
2168	-	-	-	-	-	-	-	-	-	-	-
2171	-	-	-	-	-	-	-	-	-	-	-
2174	-	-	-	-	-	-	-	-	-	-	-
2175	-	-	-	-	-	-	-	-	-	-	-
218	-	-	-	-	-	-	-	-	-	-	-
2188	-	-	-	-	-	-	-	-	-	-	-
2195	-	-	-	-	-	-	-	-	-	-	-
684	-	-	-	-	-	-	-	-
2208	-	-	-	-	-	-	-	-	-	-	-
59	-	-	-	-
2225	-	-	-	-	-	-	-	-	-	-	-
2231	-	-	-	-	-	-	-	-	-	-	-
2232	-	-	-	-	-	-	-	-	-	-	-
2233	-	-	-	-	-	-	-	-	-	-	-
2234	-	-	-	-	-	-	-	-	-	-	-
1387|CallaDRAFT_1327	-
2266	-	-	-	-	-	-	-	-	-	-	-
2267	-	-	-	-	-	-	-	-	-	-	-
2269	-	-	-	-	-	-	-	-	-	-	-
2270	-	-	-	-	-	-	-	-	-	-	-
2274	-	-	-	-	-	-	-	-	-	-	-
2278	-	-	-	-	-	-	-	-	-	-	-
2320	-	-	-	-	-	-	-	-	-	-	-
702|Calow_0640
2344	-	-	-	-	-	-	-	-	-	-	-
2368	-	-	-	-	-	-	-	-	-	-	-
2479|CallaDRAFT_2383	-
1380|SAMN05216182_1189	-	-	-	-	-	-	-
2374	-	-	-	-	-	-	-	-	-	-	-
2377	-	-	-	-	-	-	-	-	-	-	-
2412	-	-	-	-	-	-	-	-	-	-	-
2415	-	-	-	-	-	-	-	-	-	-	-
2416	-	-	-	-	-	-	-	-	-	-	-
2417	-	-	-	-	-	-	-	-	-	-	-
2418	-	-	-	-	-	-	-	-	-	-	-
2419	-	-	-	-	-	-	-	-	-	-	-
2420	-	-	-	-	-	-	-	-	-	-	-
2421	-	-	-	-	-	-	-	-	-	-	-
2422	-	-	-	-	-	-	-	-	-	-	-
2423	-	-	-	-	-	-	-	-	-	-	-
2426	-	-	-	-	-	-	-	-	-	-	-
2428	-	-	-	-	-	-	-	-	-	-	-
2435	-	-	-	-	-	-	-	-	-	-	-
2440	-	-	-	-	-	-	-	-	-	-	-
609|Calkro_0571	-	-
606|Calkro_0568	-	-
2455	-	-	-	-	-	-	-	-	-	-	-
2458	-	-	-	-	-	-	-	-	-	-	-
2459	-	-	-	-	-	-	-	-	-	-	-
2460	-	-	-	-	-	-	-	-	-	-	-
1737|CallaDRAFT_1671	-
2466	-	-	-	-	-	-	-	-	-	-	-
2467	-	-	-	-	-	-	-	-	-	-	-
2468	-	-	-	-	-	-	-	-	-	-	-
2469	-	-	-	-	-	-	-	-	-	-	-
2470	-	-	-	-	-	-	-	-	-	-	-
2471	-	-	-	-	-	-	-	-	-	-	-
2472	-	-	-	-	-	-	-	-	-	-	-
2473	-	-	-	-	-	-	-	-	-	-	-
2474	-	-	-	-	-	-	-	-	-	-	-
1566|Csac_1412	-	-	-	-	-	-
768	-	-	-	-	-	-	-	-	-
2479	-	-	-	-	-	-	-	-	-	-	-
2480	-	-	-	-	-	-	-	-	-	-	-
2483	-	-	-	-	-	-	-	-	-	-	-
2487	-	-	-	-	-	-	-	-	-	-	-
250	-	-	-	-	-	-	-	-	-	-	-
2511	-	-	-	-	-	-	-	-	-	-	-
2512	-	-	-	-	-	-	-	-	-	-	-
2513	-	-	-	-	-	-	-	-	-	-	-
2515	-	-	-	-	-	-	-	-	-	-	-
2517	-	-	-	-	-	-	-	-	-	-	-
2522	-	-	-	-	-	-	-	-	-	-	-
2523	-	-	-	-	-	-	-	-	-	-	-
2524	-	-	-	-	-	-	-	-	-	-	-
2525	-	-	-	-	-	-	-	-	-	-	-
2526	-	-	-	-	-	-	-	-	-	-	-
2527	-	-	-	-	-	-	-	-	-	-	-
2528	-	-	-	-	-	-	-	-	-	-	-
2347|Calkro_2231	-	-
2537	-	-	-	-	-	-	-	-	-	-	-
2539	-	-	-	-	-	-	-	-	-	-	-
2540	-	-	-	-	-	-	-	-	-	-	-
2541	-	-	-	-	-	-	-	-	-	-	-
2542	-	-	-	-	-	-	-	-	-	-	-
2543	-	-	-	-	-	-	-	-	-	-	-
2544	-	-	-	-	-	-	-	-	-	-	-
2545	-	-	-	-	-	-	-	-	-	-	-
2546	-	-	-	-	-	-	-	-	-	-	-
2547	-	-	-	-	-	-	-	-	-	-	-
2691|Csac_2495	-	-	-	-	-	-
2550	-	-	-	-	-	-	-	-	-	-	-
2551	-	-	-	-	-	-	-	-	-	-	-
2552	-	-	-	-	-	-	-	-	-	-	-
2553	-	-	-	-	-	-	-	-	-	-	-
2554	-	-	-	-	-	-	-	-	-	-	-
2603|Calkro_2466	-	-
2556	-	-	-	-	-	-	-	-	-	-	-
995	-	-	-	-	-	-	-	-
2561	-	-	-	-	-	-	-	-	-	-	-
2562	-	-	-	-	-	-	-	-	-	-	-
2563	-	-	-	-	-	-	-	-	-	-	-
706	-	-	-	-	-	-	-
2572	-	-	-	-	-	-	-	-	-	-	-
2575	-	-	-	-	-	-	-	-	-	-	-
399	-	-	-
2579	-	-	-	-	-	-	-	-	-	-	-
2580	-	-	-	-	-	-	-	-	-	-	-
2581	-	-	-	-	-	-	-	-	-	-	-
642|CallaDRAFT_0618	-
2585	-	-	-	-	-	-	-	-	-	-	-
314	-	-	-	-	-	-	-	-	-	-	-
315	-	-	-	-	-	-	-	-	-	-	-
32	-	-	-	-	-	-	-	-	-	-	-
352	-	-	-	-	-	-	-	-	-	-	-
353	-	-	-	-	-	-	-	-	-	-	-
2376|Calhy_2268	-	-	-	-
2377|Calhy_2269	-	-	-	-
372	-	-	-	-	-	-	-	-	-	-	-
407	-	-	-	-	-	-	-	-	-	-	-
212|Calow_0193
417	-	-	-	-	-	-	-	-	-	-	-
2769|CallaDRAFT_2692	-
1676|CallaDRAFT_1609	-
430	-	-	-	-	-	-	-	-	-	-	-
193|Calow_0174
457	-	-	-	-	-	-	-	-	-	-	-
461	-	-	-	-	-	-	-	-	-	-	-
462	-	-	-	-	-	-	-	-	-	-	-
463	-	-	-	-	-	-	-	-	-	-	-
464	-	-	-	-	-	-	-	-	-	-	-
465	-	-	-	-	-	-	-	-	-	-	-
466	-	-	-	-	-	-	-	-	-	-	-
467	-	-	-	-	-	-	-	-	-	-	-
2530|Calhy_2412	-	-	-	-
2531	-	-	-	-
2532|Calhy_2414	-	-	-	-
2533|Calhy_2415	-	-	-	-
2534|Calhy_2416	-	-	-	-
2536|Calhy_2418	-	-	-	-
228|Calkr_0181	-	-	-
8|Calow_0008
507	-	-	-	-	-	-	-	-	-	-	-
2365
516	-	-	-	-	-	-	-	-	-	-	-
519	-	-	-	-	-	-	-	-	-	-	-
2608|Csac_2418	-	-	-	-	-	-
2609	-	-	-	-	-	-
548	-	-	-	-	-	-	-	-	-	-	-
91|Calow_0080
561	-	-	-	-	-	-	-	-	-	-	-
562	-	-	-	-	-	-	-	-	-	-	-
610	-	-	-	-	-	-	-	-	-	-	-
626	-	-	-	-	-	-	-	-	-	-	-
1687|Calow_1590
766	-	-	-	-	-	-	-	-	-	-	-
767	-	-	-	-	-	-	-	-	-	-	-
768	-	-	-	-	-	-	-	-	-	-	-
528|Calow_0475
822	-	-	-	-	-	-	-	-	-	-	-
540|Calow_0488
835	-	-	-	-	-	-	-	-	-	-	-
844	-	-	-	-	-	-	-	-	-	-	-
845	-	-	-	-	-	-	-	-	-	-	-
846	-	-	-	-	-	-	-	-	-	-	-
847	-	-	-	-	-	-	-	-	-	-	-
87	-	-	-	-	-	-	-	-	-	-	-
879	-	-	-	-	-	-	-	-	-	-	-
896	-	-	-	-	-	-	-	-	-	-	-
906	-	-	-	-	-	-	-	-	-	-	-
924	-	-	-	-	-	-	-	-	-	-	-
932	-	-	-	-	-	-	-	-	-	-	-
818	-	-
10|CallaDRAFT_0010	-
944	-	-	-	-	-	-	-	-	-	-	-
1375|CallaDRAFT_1314	-
-	1000	-	-	-	-	-	-	-	-	-	-
-	1002	-	-	-	-	-	-	-	-	-	-
710|Calow_0648
-	1023	-	-	-	-	-	-	-	-	-	-
-	1025	-	-	-	-	-	-	-	-	-	-
-	1038	-	-	-	-	-	-	-	-	-	-
-	1048	-	-	-	-	-	-	-	-	-	-
-	1049	-	-	-	-	-	-	-	-	-	-
1007|Csac_0888	-	-	-	-	-	-
-	107	-	-	-	-	-	-	-	-	-	-
-	1071	-	-	-	-	-	-	-	-	-	-
-	1072	-	-	-	-	-	-	-	-	-	-
-	1073	-	-	-	-	-	-	-	-	-	-
-	1075	-	-	-	-	-	-	-	-	-	-
-	1095	-	-	-	-	-	-	-	-	-	-
-	1102	-	-	-	-	-	-	-	-	-	-
-	1103	-	-	-	-	-	-	-	-	-	-
-	1104	-	-	-	-	-	-	-	-	-	-
-	1107	-	-	-	-	-	-	-	-	-	-
-	1108	-	-	-	-	-	-	-	-	-	-
-	1112	-	-	-	-	-	-	-	-	-	-
-	1114	-	-	-	-	-	-	-	-	-	-
976|Calow_0905
-	1146	-	-	-	-	-	-	-	-	-	-
-	1147	-	-	-	-	-	-	-	-	-	-
-	1149	-	-	-	-	-	-	-	-	-	-
-	115	-	-	-	-	-	-	-	-	-	-
-	1151	-	-	-	-	-	-	-	-	-	-
-	1152	-	-	-	-	-	-	-	-	-	-
-	116	-	-	-	-	-	-	-	-	-	-
-	1162	-	-	-	-	-	-	-	-	-	-
-	1166	-	-	-	-	-	-	-	-	-	-
2721|CallaDRAFT_2631	-
-	596|Csac_0518	-	-	-	-	-	-
872
-	1177	-	-	-	-	-	-	-	-	-	-
-	118	-	-	-	-	-	-	-	-	-	-
-	2641	-	-	-	-
-	2599|Calkro_2463	-	-
-	1811|Calow_1707
-	1196	-	-	-	-	-	-	-	-	-	-
-	1197	-	-	-	-	-	-	-	-	-	-
-	1226	-	-	-	-	-	-	-	-	-	-
-	1234	-	-	-	-	-	-	-	-	-	-
-	1235	-	-	-	-	-	-	-	-	-	-
-	1238	-	-	-	-	-	-	-	-	-	-
-	124	-	-	-	-	-	-	-	-	-	-
-	1240	-	-	-	-	-	-	-	-	-	-
-	1243	-	-	-	-	-	-	-	-	-	-
-	1245	-	-	-	-	-	-	-	-	-	-
-	254	-	-	-	-
-	255|Calhy_0230	-	-	-	-
-	262	-	-	-	-
-	126	-	-	-	-	-	-	-	-	-	-
-	1262	-	-	-	-	-	-	-	-	-	-
-	127	-	-	-	-	-	-	-	-	-	-
-	1272	-	-	-	-	-	-	-	-	-	-
-	1273	-	-	-	-	-	-	-	-	-	-
-	1274	-	-	-	-	-	-	-	-	-	-
-	1275	-	-	-	-	-	-	-	-	-	-
-	1278	-	-	-	-	-	-	-	-	-	-
-	2468|COB47_2278	-	-	-	-	-
-	1284	-	-	-	-	-	-	-	-	-	-
-	1294	-	-	-	-	-	-	-	-	-	-
-	1295	-	-	-	-	-	-	-	-	-	-
2421|Calow_2257
-	1315	-	-	-	-	-	-	-	-	-	-
-	1317	-	-	-	-	-	-	-	-	-	-
-	1327	-	-	-	-	-	-	-	-	-	-
-	1328	-	-	-	-	-	-	-	-	-	-
-	1329	-	-	-	-	-	-	-	-	-	-
-	1331	-	-	-	-	-	-	-	-	-	-
-	1332	-	-	-	-	-	-	-	-	-	-
389|CallaDRAFT_0389	-
-	1335	-	-	-	-	-	-	-	-	-	-
-	1336	-	-	-	-	-	-	-	-	-	-
-	134	-	-	-	-	-	-	-	-	-	-
-	2762	-	-	-	-	-	-
-	1347	-	-	-	-	-	-	-	-	-	-
-	1348	-	-	-	-	-	-	-	-	-	-
-	1351	-	-	-	-	-	-	-	-	-	-
22|Calow_0021
-	1363	-	-	-	-	-	-	-	-	-	-
-	1364	-	-	-	-	-	-	-	-	-	-
-	1368	-	-	-	-	-	-	-	-	-	-
-	1369	-	-	-	-	-	-	-	-	-	-
-	1371	-	-	-	-	-	-	-	-	-	-
-	1372	-	-	-	-	-	-	-	-	-	-
-	1373	-	-	-	-	-	-	-	-	-	-
-	1374	-	-	-	-	-	-	-	-	-	-
-	2982	-	-	-	-	-	-
-	1379	-	-	-	-	-	-	-	-	-	-
2301|Calow_2144
-	1389	-	-	-	-	-	-	-	-	-	-
-	1390	-	-	-	-	-	-	-	-	-	-
-	1391	-	-	-	-	-	-	-	-	-	-
-	1382|Csac_1238	-	-	-	-	-	-
-	1380	-	-	-	-	-	-
-	1416	-	-	-	-	-	-	-	-	-	-
566|Calow_0513
-	1434	-	-	-	-	-	-	-	-	-	-
-	1435	-	-	-	-	-	-	-	-	-	-
-	67
-	1439	-	-	-	-	-	-	-	-	-	-
-	1440	-	-	-	-	-	-	-	-	-	-
-	1450	-	-	-	-	-	-	-	-	-	-
-	1458	-	-	-	-	-	-	-	-	-	-
784|Calow_0719
-	1468	-	-	-	-	-	-	-	-	-	-
-	2567|Calkro_2435	-	-
-	1473	-	-	-	-	-	-	-	-	-	-
2286|Calow_2132
-	15	-	-	-	-	-	-	-	-	-	-
-	1500	-	-	-	-	-	-	-	-	-	-
-	1501	-	-	-	-	-	-	-	-	-	-
2243|Calow_2096
-	1506	-	-	-	-	-	-	-	-	-	-
-	1510	-	-	-	-	-	-	-	-	-	-
-	1513	-	-	-	-	-	-	-	-	-	-
-	1516	-	-	-	-	-	-	-	-	-	-
110|Calkro_0106	-	-
-	1529	-	-	-	-	-	-	-	-	-	-
-	1530	-	-	-	-	-	-	-	-	-	-
-	1532	-	-	-	-	-	-	-	-	-	-
-	1533	-	-	-	-	-	-	-	-	-	-
-	1536	-	-	-	-	-	-	-	-	-	-
1592	-	-	-	-	-	-	-	-
-	1032	-	-	-
-	1546	-	-	-	-	-	-	-	-	-	-
-	903	-	-	-	-	-	-
-	1563	-	-	-	-	-	-	-	-	-	-
-	1573	-	-	-	-	-	-	-	-	-	-
-	1575	-	-	-	-	-	-	-	-	-	-
-	1588	-	-	-	-	-	-	-	-	-	-
-	1602	-	-	-	-	-	-	-	-	-	-
-	1603	-	-	-	-	-	-	-	-	-	-
-	1614	-	-	-	-	-	-	-	-	-	-
-	1615	-	-	-	-	-	-	-	-	-	-
-	1620	-	-	-	-	-	-	-	-	-	-
-	1627	-	-	-	-	-	-	-	-	-	-
-	1629	-	-	-	-	-	-	-	-	-	-
-	1630	-	-	-	-	-	-	-	-	-	-
1476|Calow_1390
1463|Calow_1377
-	17	-	-	-	-	-	-	-	-	-	-
-	1701	-	-	-	-	-	-	-	-	-	-
-	1747	-	-	-	-	-	-	-	-	-	-
-	1748	-	-	-	-	-	-	-	-	-	-
-	1751	-	-	-	-	-	-	-	-	-	-
-	1752	-	-	-	-	-	-	-	-	-	-
-	1760	-	-	-	-	-	-	-	-	-	-
-	1763	-	-	-	-	-	-	-	-	-	-
-	1764	-	-	-	-	-	-	-	-	-	-
-	556|Csac_0483	-	-	-	-	-	-
-	1768	-	-	-	-	-	-	-	-	-	-
-	1769	-	-	-	-	-	-	-	-	-	-
-	1775	-	-	-	-	-	-	-	-	-	-
-	1776	-	-	-	-	-	-	-	-	-	-
-	1777	-	-	-	-	-	-	-	-	-	-
-	1783	-	-	-	-	-	-	-	-	-	-
-	1785	-	-	-	-	-	-	-	-	-	-
-	1805	-	-	-	-	-	-	-	-	-	-
1806	-	-	-	-	-	-	-	-	-	-
-	1823	-	-	-	-	-	-	-	-	-	-
-	1829	-	-	-	-	-	-	-	-	-	-
-	1830	-	-	-	-	-	-	-	-	-	-
-	2063|Calkro_1958	-	-
-	1850	-	-	-	-	-	-	-	-	-	-
-	1856	-	-	-	-	-	-	-	-	-	-
-	283	-	-	-	-	-	-	-	-
-	1859	-	-	-	-	-	-	-	-	-	-
-	1860	-	-	-	-	-	-	-	-	-	-
1261|Calow_1176
-	1872	-	-	-	-	-	-	-	-	-	-
-	1873	-	-	-	-	-	-	-	-	-	-
-	1874	-	-	-	-	-	-	-	-	-	-
-	1875	-	-	-	-	-	-	-	-	-	-
-	1876	-	-	-	-	-	-	-	-	-	-
-	1877	-	-	-	-	-	-	-	-	-	-
-	1878	-	-	-	-	-	-	-	-	-	-
-	1879	-	-	-	-	-	-	-	-	-	-
-	1880	-	-	-	-	-	-	-	-	-	-
-	1887	-	-	-	-	-	-	-	-	-	-
-	1888	-	-	-	-	-	-	-	-	-	-
-	193	-	-	-	-	-	-	-	-	-	-
1770|Calow_1671
-	194	-	-	-	-	-	-	-	-	-	-
-	1967	-	-	-	-	-	-	-	-	-	-
-	1970	-	-	-	-	-	-	-	-	-	-
-	1980	-	-	-	-	-	-	-	-	-	-
-	1985	-	-	-	-	-	-	-	-	-	-
-	1986	-	-	-	-	-	-	-	-	-	-
-	475|CallaDRAFT_0456	-
-	1988	-	-	-	-	-	-	-	-	-	-
-	199	-	-	-	-	-	-	-	-	-	-
-	23	-	-	-	-	-	-
-	1999	-	-	-	-	-	-	-	-	-	-
-	2000	-	-	-	-	-	-	-	-	-	-
-	2001	-	-	-	-	-	-	-	-	-	-
-	2002	-	-	-	-	-	-	-	-	-	-
-	2003	-	-	-	-	-	-	-	-	-	-
-	2004	-	-	-	-	-	-	-	-	-	-
-	2005	-	-	-	-	-	-	-	-	-	-
-	2744|SAMN05216182_2501	-	-	-	-	-	-	-
-	2014	-	-	-	-	-	-	-	-	-	-
-	2016	-	-	-	-	-	-	-	-	-	-
-	2018	-	-	-	-	-	-	-	-	-	-
-	2020	-	-	-	-	-	-	-	-	-	-
518|Calow_0466
1254|Calhy_1172	-	-	-	-
-	1393|CallaDRAFT_1333	-
-	2053	-	-	-	-	-	-	-	-	-	-
-	2054	-	-	-	-	-	-	-	-	-	-
-	2055	-	-	-	-	-	-	-	-	-	-
-	1	-	-	-	-	-	-	-	-	-
-	2061	-	-	-	-	-	-	-	-	-	-
-	2066	-	-	-	-	-	-	-	-	-	-
-	2067	-	-	-	-	-	-	-	-	-	-
-	335
-	2069	-	-	-	-	-	-	-	-	-	-
-	2070	-	-	-	-	-	-	-	-	-	-
-	2088	-	-	-	-	-	-	-	-	-	-
-	2090	-	-	-	-	-	-	-	-	-	-
1270|Calow_1185
722|Calow_0660
-	2137	-	-	-	-	-	-	-	-	-	-
-	2138	-	-	-	-	-	-	-	-	-	-
-	2139	-	-	-	-	-	-	-	-	-	-
-	2141|Calow_2002
-	2144	-	-	-	-	-	-	-	-	-	-
-	2147	-	-	-	-	-	-	-	-	-	-
-	2152	-	-	-	-	-	-	-	-	-	-
-	2153	-	-	-	-	-	-	-	-	-	-
-	283|Csac_0243	-	-	-	-	-	-
2077
381|Calkro_0352	-	-
-	218	-	-	-	-	-	-	-	-	-	-
-	2182	-	-	-	-	-	-	-	-	-	-
-	2199	-	-	-	-	-	-	-	-	-	-
-	2200	-	-	-	-	-	-	-	-	-	-
-	2203	-	-	-	-	-	-	-	-	-	-
-	2211	-	-	-	-	-	-	-	-	-	-
-	542	-	-	-	-	-	-	-	-
-	2242	-	-	-	-	-	-	-	-	-	-
-	2248	-	-	-	-	-	-	-	-	-	-
-	2258	-	-	-	-	-	-	-	-	-	-
-	227	-	-	-	-	-	-	-	-	-	-
-	2272	-	-	-	-	-	-	-	-	-	-
-	2284	-	-	-	-	-	-	-	-	-	-
-	2291	-	-	-	-	-	-	-	-	-	-
-	1290	-	-	-	-	-	-
-	2294	-	-	-	-	-	-	-	-	-	-
-	2295	-	-	-	-	-	-	-	-	-	-
-	2302	-	-	-	-	-	-	-	-	-	-
-	2303	-	-	-	-	-	-	-	-	-	-
1150|Calow_1069
1163|Calow_1082
-	2383	-	-	-	-	-	-	-	-	-	-
1223|Calow_1139
-	2406	-	-	-	-	-	-	-	-	-	-
-	832|Csac_0725	-	-	-	-	-	-
-	2409	-	-	-	-	-	-	-	-	-	-
-	2411	-	-	-	-	-	-	-	-	-	-
-	2418	-	-	-	-	-	-	-	-	-	-
-	2437	-	-	-	-	-	-	-	-	-	-
-	64|Csac_0053	-	-	-	-	-	-
-	2442	-	-	-	-	-	-	-	-	-	-
-	2447	-	-	-	-	-	-	-	-	-	-
-	2448	-	-	-	-	-	-	-	-	-	-
-	2451	-	-	-	-	-	-	-	-	-	-
-	246	-	-	-	-	-	-	-	-	-	-
-	2460	-	-	-	-	-	-	-	-	-	-
-	2461	-	-	-	-	-	-	-	-	-	-
-	247	-	-	-	-	-	-	-	-	-	-
-	248	-	-	-	-	-	-	-	-	-	-
