TAG	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0033	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1203	fig|1214564.3.peg.2184	fig|1387555.3.peg.149	fig|1387557.3.peg.2716	fig|31899.10.peg.2851|SAMN05216182_2603	fig|351627.8.peg.262|Csac_0223	fig|608506.3.peg.2188|COB47_2047	fig|632292.3.peg.519|Calhy_0474	fig|632335.8.peg.2488|Calkr_2298	fig|632348.3.peg.377|Calkro_0348	fig|632516.3.peg.2079|CallaDRAFT_2008	fig|632518.3.peg.2115|Calow_1982
TAG0034	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1212	fig|1214564.3.peg.2173	fig|1387555.3.peg.144	fig|1387557.3.peg.2707	fig|31899.10.peg.2842|SAMN05216182_2595	fig|351627.8.peg.271|Csac_0232	fig|608506.3.peg.2179|COB47_2039	fig|632292.3.peg.529|Calhy_0483	fig|632335.8.peg.2479|Calkr_2290	fig|632348.3.peg.385|Calkro_0356	fig|632516.3.peg.2087|CallaDRAFT_2016	fig|632518.3.peg.2103|Calow_1972
TAG0035	1121259.3	fig|1121259.3.peg.1220	-	-	-	-	-	-	-	-	-	-	-
TAG0036	1121259.3;1214564.3;1387557.3;31899.10;351627.8;632292.3;632348.3;632518.3	fig|1121259.3.peg.1238	fig|1214564.3.peg.368	-	fig|1387557.3.peg.2643	fig|31899.10.peg.2806|SAMN05216182_2561	fig|351627.8.peg.823|Csac_0717	-	fig|632292.3.peg.580|Calhy_0533	-	fig|632348.3.peg.432|Calkro_0404	-	fig|632518.3.peg.2046|Calow_1923
TAG0037	1121259.3;31899.10;608506.3;632348.3;632518.3	fig|1121259.3.peg.1247	-	-	-	fig|31899.10.peg.2798|SAMN05216182_2553	-	fig|608506.3.peg.2150|COB47_2011	-	-	fig|632348.3.peg.440|Calkro_0412	-	fig|632518.3.peg.2039|Calow_1916
TAG0038	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632516.3;632518.3	fig|1121259.3.peg.1276	fig|1214564.3.peg.1405	fig|1387555.3.peg.829	fig|1387557.3.peg.2615	fig|31899.10.peg.2758	fig|351627.8.peg.1372	fig|608506.3.peg.2117	fig|632292.3.peg.611	fig|632335.8.peg.429	-	fig|632516.3.peg.2189	fig|632518.3.peg.2009
TAG0039	1121259.3	fig|1121259.3.peg.1282	-	-	-	-	-	-	-	-	-	-	-
TAG0040	1121259.3	fig|1121259.3.peg.1288	-	-	-	-	-	-	-	-	-	-	-
TAG0041	1121259.3	fig|1121259.3.peg.1312	-	-	-	-	-	-	-	-	-	-	-
TAG0042	1121259.3	fig|1121259.3.peg.1315	-	-	-	-	-	-	-	-	-	-	-
TAG0043	1121259.3	fig|1121259.3.peg.1317	-	-	-	-	-	-	-	-	-	-	-
TAG0044	1121259.3	fig|1121259.3.peg.1321	-	-	-	-	-	-	-	-	-	-	-
TAG0045	1121259.3	fig|1121259.3.peg.1336	-	-	-	-	-	-	-	-	-	-	-
TAG0046	1121259.3	fig|1121259.3.peg.1351	-	-	-	-	-	-	-	-	-	-	-
TAG0047	1121259.3;632292.3	fig|1121259.3.peg.1357	-	-	-	-	-	-	fig|632292.3.peg.218	-	-	-	-
TAG0048	1121259.3;632335.8	fig|1121259.3.peg.1359	-	-	-	-	-	-	-	fig|632335.8.peg.2557	-	-	-
TAG0049	1121259.3;632348.3	fig|1121259.3.peg.1374	-	-	-	-	-	-	-	-	fig|632348.3.peg.216	-	-
TAG0050	1121259.3;632516.3	fig|1121259.3.peg.1380	-	-	-	-	-	-	-	-	-	fig|632516.3.peg.932|CallaDRAFT_0885	-
TAG0051	1121259.3	fig|1121259.3.peg.1381	-	-	-	-	-	-	-	-	-	-	-
TAG0052	1121259.3	fig|1121259.3.peg.1383	-	-	-	-	-	-	-	-	-	-	-
TAG0053	1121259.3	fig|1121259.3.peg.1384	-	-	-	-	-	-	-	-	-	-	-
TAG0054	1121259.3	fig|1121259.3.peg.1386	-	-	-	-	-	-	-	-	-	-	-
TAG0055	1121259.3	fig|1121259.3.peg.1387	-	-	-	-	-	-	-	-	-	-	-
TAG0056	1121259.3	fig|1121259.3.peg.1388	-	-	-	-	-	-	-	-	-	-	-
TAG0057	1121259.3	fig|1121259.3.peg.1389	-	-	-	-	-	-	-	-	-	-	-
TAG0058	1121259.3	fig|1121259.3.peg.1390	-	-	-	-	-	-	-	-	-	-	-
TAG0059	1121259.3	fig|1121259.3.peg.1391	-	-	-	-	-	-	-	-	-	-	-
TAG0060	1121259.3	fig|1121259.3.peg.1392	-	-	-	-	-	-	-	-	-	-	-
TAG0061	1121259.3	fig|1121259.3.peg.1393	-	-	-	-	-	-	-	-	-	-	-
TAG0062	1121259.3	fig|1121259.3.peg.1394	-	-	-	-	-	-	-	-	-	-	-
TAG0063	1121259.3	fig|1121259.3.peg.1410	-	-	-	-	-	-	-	-	-	-	-
TAG0064	1121259.3	fig|1121259.3.peg.1426	-	-	-	-	-	-	-	-	-	-	-
TAG0065	1121259.3	fig|1121259.3.peg.1428	-	-	-	-	-	-	-	-	-	-	-
TAG0066	1121259.3;31899.10	fig|1121259.3.peg.1447	-	-	-	fig|31899.10.peg.171	-	-	-	-	-	-	-
TAG0067	1121259.3;632518.3	fig|1121259.3.peg.1449	-	-	-	-	-	-	-	-	-	-	fig|632518.3.peg.2341|Calow_2184
TAG0068	1121259.3	fig|1121259.3.peg.1451	-	-	-	-	-	-	-	-	-	-	-
TAG0069	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3	fig|1121259.3.peg.1456	fig|1214564.3.peg.1178	fig|1387555.3.peg.2544	"fig|1387557.3.peg.2786,fig|1387557.3.peg.94"	fig|31899.10.peg.178|SAMN05216182_0106	fig|351627.8.peg.588|Csac_0511	fig|608506.3.peg.2399|COB47_2232	fig|632292.3.peg.2637|Calhy_2510	fig|632335.8.peg.77|Calkr_0050	fig|632348.3.peg.2595|Calkro_2459	fig|632516.3.peg.486|CallaDRAFT_0467	-
TAG0070	1121259.3;632292.3	fig|1121259.3.peg.1462	-	-	-	-	-	-	fig|632292.3.peg.736|Calhy_0678	-	-	-	-
TAG0071	1121259.3	fig|1121259.3.peg.1463	-	-	-	-	-	-	-	-	-	-	-
TAG0072	1121259.3	fig|1121259.3.peg.1470	-	-	-	-	-	-	-	-	-	-	-
TAG0073	1121259.3	fig|1121259.3.peg.1472	-	-	-	-	-	-	-	-	-	-	-
TAG0074	1121259.3	fig|1121259.3.peg.1473	-	-	-	-	-	-	-	-	-	-	-
TAG0075	1121259.3	fig|1121259.3.peg.1474	-	-	-	-	-	-	-	-	-	-	-
TAG0076	1121259.3	fig|1121259.3.peg.1475	-	-	-	-	-	-	-	-	-	-	-
TAG0077	1121259.3	fig|1121259.3.peg.1478	-	-	-	-	-	-	-	-	-	-	-
TAG0078	1121259.3;632335.8	fig|1121259.3.peg.1479	-	-	-	-	-	-	-	fig|632335.8.peg.2788	-	-	-
TAG0079	1121259.3	fig|1121259.3.peg.1490	-	-	-	-	-	-	-	-	-	-	-
TAG0080	1121259.3;351627.8;608506.3	fig|1121259.3.peg.1491	-	-	-	-	fig|351627.8.peg.43	fig|608506.3.peg.2482	-	-	-	-	-
TAG0081	1121259.3	fig|1121259.3.peg.1492	-	-	-	-	-	-	-	-	-	-	-
TAG0082	1121259.3	fig|1121259.3.peg.1493	-	-	-	-	-	-	-	-	-	-	-
TAG0083	1121259.3	fig|1121259.3.peg.1494	-	-	-	-	-	-	-	-	-	-	-
TAG0084	1121259.3	fig|1121259.3.peg.1495	-	-	-	-	-	-	-	-	-	-	-
TAG0085	1121259.3	fig|1121259.3.peg.1496	-	-	-	-	-	-	-	-	-	-	-
TAG0086	1121259.3	fig|1121259.3.peg.1500	-	-	-	-	-	-	-	-	-	-	-
TAG0087	1121259.3	fig|1121259.3.peg.1504	-	-	-	-	-	-	-	-	-	-	-
TAG0088	1121259.3;1214564.3;1387555.3;31899.10;351627.8	fig|1121259.3.peg.1505	fig|1214564.3.peg.1789	fig|1387555.3.peg.179	-	"fig|31899.10.peg.2874|SAMN05216182_2622,fig|31899.10.peg.477|SAMN05216182_0348"	fig|351627.8.peg.2642|Csac_2450	-	-	-	-	-	-
TAG0089	1121259.3;632335.8	fig|1121259.3.peg.1516	-	-	-	-	-	-	-	fig|632335.8.peg.217	-	-	-
TAG0090	1121259.3	fig|1121259.3.peg.1517	-	-	-	-	-	-	-	-	-	-	-
TAG0091	1121259.3;608506.3;632335.8;632516.3	fig|1121259.3.peg.1518	-	-	-	-	-	fig|608506.3.peg.2417	-	fig|632335.8.peg.2746	-	fig|632516.3.peg.458	-
TAG0092	1121259.3	fig|1121259.3.peg.1519	-	-	-	-	-	-	-	-	-	-	-
TAG0093	1121259.3	fig|1121259.3.peg.1520	-	-	-	-	-	-	-	-	-	-	-
TAG0094	1121259.3	fig|1121259.3.peg.1521	-	-	-	-	-	-	-	-	-	-	-
TAG0095	1121259.3	fig|1121259.3.peg.1522	-	-	-	-	-	-	-	-	-	-	-
TAG0096	1121259.3	fig|1121259.3.peg.1523	-	-	-	-	-	-	-	-	-	-	-
TAG0097	1121259.3	fig|1121259.3.peg.1524	-	-	-	-	-	-	-	-	-	-	-
TAG0098	1121259.3	fig|1121259.3.peg.1525	-	-	-	-	-	-	-	-	-	-	-
TAG0099	1121259.3	fig|1121259.3.peg.1534	-	-	-	-	-	-	-	-	-	-	-
TAG0100	1121259.3	fig|1121259.3.peg.1535	-	-	-	-	-	-	-	-	-	-	-
TAG0101	1121259.3	fig|1121259.3.peg.1546	-	-	-	-	-	-	-	-	-	-	-
TAG0102	1121259.3	fig|1121259.3.peg.1556	-	-	-	-	-	-	-	-	-	-	-
TAG0103	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1561	fig|1214564.3.peg.1307	fig|1387555.3.peg.378	fig|1387557.3.peg.248	fig|31899.10.peg.362|SAMN05216182_0236	fig|351627.8.peg.2998|Csac_2770	fig|608506.3.peg.2522|COB47_2323	fig|632292.3.peg.2749|Calhy_2615	fig|632335.8.peg.2909|Calkr_2625	fig|632348.3.peg.2741|Calkro_2577	fig|632516.3.peg.376|CallaDRAFT_0376	fig|632518.3.peg.2422|Calow_2258
TAG0104	1121259.3	fig|1121259.3.peg.1569	-	-	-	-	-	-	-	-	-	-	-
TAG0105	1121259.3	fig|1121259.3.peg.1582	-	-	-	-	-	-	-	-	-	-	-
TAG0106	1121259.3	fig|1121259.3.peg.1585	-	-	-	-	-	-	-	-	-	-	-
TAG0107	1121259.3	fig|1121259.3.peg.1590	-	-	-	-	-	-	-	-	-	-	-
TAG0108	1121259.3;1387557.3	fig|1121259.3.peg.1591	-	-	fig|1387557.3.peg.722	-	-	-	-	-	-	-	-
TAG0109	1121259.3	fig|1121259.3.peg.1592	-	-	-	-	-	-	-	-	-	-	-
TAG0110	1121259.3	fig|1121259.3.peg.1593	-	-	-	-	-	-	-	-	-	-	-
TAG0111	1121259.3;1387555.3;1387557.3;31899.10;351627.8;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1618	-	fig|1387555.3.peg.204	fig|1387557.3.peg.749	"fig|31899.10.peg.715|SAMN05216182_0558,fig|31899.10.peg.951|SAMN05216182_0781"	fig|351627.8.peg.216|Csac_0182	-	fig|632292.3.peg.2252|Calhy_2149	"fig|632335.8.peg.1942|Calkr_1801,fig|632335.8.peg.313|Calkr_0265"	"fig|632348.3.peg.2242|Calkro_2127,fig|632348.3.peg.2435|Calkro_2314"	"fig|632516.3.peg.1750|CallaDRAFT_1684,fig|632516.3.peg.1865|CallaDRAFT_1797"	fig|632518.3.peg.419|Calow_0376
TAG0112	1121259.3	fig|1121259.3.peg.1660	-	-	-	-	-	-	-	-	-	-	-
TAG0113	1121259.3;632292.3	fig|1121259.3.peg.1662	-	-	-	-	-	-	fig|632292.3.peg.2203|Calhy_2104	-	-	-	-
TAG0114	1121259.3	fig|1121259.3.peg.1663	-	-	-	-	-	-	-	-	-	-	-
TAG0115	1121259.3;31899.10	fig|1121259.3.peg.1664	-	-	-	fig|31899.10.peg.2068	-	-	-	-	-	-	-
TAG0116	1121259.3	fig|1121259.3.peg.1665	-	-	-	-	-	-	-	-	-	-	-
TAG0117	1121259.3	fig|1121259.3.peg.1666	-	-	-	-	-	-	-	-	-	-	-
TAG0118	1121259.3	fig|1121259.3.peg.1677	-	-	-	-	-	-	-	-	-	-	-
TAG0119	1121259.3	fig|1121259.3.peg.1678	-	-	-	-	-	-	-	-	-	-	-
TAG0120	1121259.3	fig|1121259.3.peg.1680	-	-	-	-	-	-	-	-	-	-	-
TAG0121	1121259.3;632292.3	fig|1121259.3.peg.1720	-	-	-	-	-	-	fig|632292.3.peg.1162	-	-	-	-
TAG0122	1121259.3	fig|1121259.3.peg.1725	-	-	-	-	-	-	-	-	-	-	-
TAG0123	1121259.3;608506.3	fig|1121259.3.peg.1726	-	-	-	-	-	fig|608506.3.peg.1005|COB47_0923	-	-	-	-	-
TAG0124	1121259.3	fig|1121259.3.peg.1728	-	-	-	-	-	-	-	-	-	-	-
TAG0125	1121259.3	fig|1121259.3.peg.1729	-	-	-	-	-	-	-	-	-	-	-
TAG0126	1121259.3;608506.3	fig|1121259.3.peg.1730	-	-	-	-	-	fig|608506.3.peg.1004|COB47_0922	-	-	-	-	-
TAG0127	1121259.3	fig|1121259.3.peg.1731	-	-	-	-	-	-	-	-	-	-	-
TAG0128	1121259.3	fig|1121259.3.peg.1732	-	-	-	-	-	-	-	-	-	-	-
TAG0129	1121259.3	fig|1121259.3.peg.1733	-	-	-	-	-	-	-	-	-	-	-
TAG0130	1121259.3;608506.3;632516.3	fig|1121259.3.peg.1735	-	-	-	-	-	fig|608506.3.peg.1006|COB47_0924	-	-	-	fig|632516.3.peg.1826|CallaDRAFT_1758	-
TAG0131	1121259.3	fig|1121259.3.peg.1736	-	-	-	-	-	-	-	-	-	-	-
TAG0132	1121259.3;1387555.3	fig|1121259.3.peg.1738	-	fig|1387555.3.peg.1804	-	-	-	-	-	-	-	-	-
TAG0133	1121259.3	fig|1121259.3.peg.1739	-	-	-	-	-	-	-	-	-	-	-
TAG0134	1121259.3	fig|1121259.3.peg.1744	-	-	-	-	-	-	-	-	-	-	-
TAG0135	1121259.3	fig|1121259.3.peg.1772	-	-	-	-	-	-	-	-	-	-	-
TAG0136	1121259.3	fig|1121259.3.peg.1777	-	-	-	-	-	-	-	-	-	-	-
TAG0137	1121259.3	fig|1121259.3.peg.1870	-	-	-	-	-	-	-	-	-	-	-
TAG0138	1121259.3	fig|1121259.3.peg.1876	-	-	-	-	-	-	-	-	-	-	-
TAG0139	1121259.3	fig|1121259.3.peg.1877	-	-	-	-	-	-	-	-	-	-	-
TAG0140	1121259.3;632335.8	fig|1121259.3.peg.1885	-	-	-	-	-	-	-	fig|632335.8.peg.452	-	-	-
TAG0141	1121259.3	fig|1121259.3.peg.191	-	-	-	-	-	-	-	-	-	-	-
TAG0142	1121259.3;608506.3	fig|1121259.3.peg.1915	-	-	-	-	-	fig|608506.3.peg.2069	-	-	-	-	-
TAG0143	1121259.3	fig|1121259.3.peg.1944	-	-	-	-	-	-	-	-	-	-	-
TAG0144	1121259.3;1214564.3;1387557.3;351627.8;632292.3;632335.8;632516.3;632518.3	fig|1121259.3.peg.198	"fig|1214564.3.peg.1227,fig|1214564.3.peg.254"	-	fig|1387557.3.peg.1596	-	fig|351627.8.peg.2099|Csac_1919	-	fig|632292.3.peg.1456|Calhy_1370	"fig|632335.8.peg.1036|Calkr_0927,fig|632335.8.peg.1468|Calkr_1346,fig|632335.8.peg.739"	-	fig|632516.3.peg.2307|CallaDRAFT_2222	"fig|632518.3.peg.1231|Calow_1146,fig|632518.3.peg.797|Calow_0732"
TAG0145	1121259.3	fig|1121259.3.peg.201	-	-	-	-	-	-	-	-	-	-	-
TAG0146	1121259.3	fig|1121259.3.peg.2018	-	-	-	-	-	-	-	-	-	-	-
TAG0147	1121259.3	fig|1121259.3.peg.2027	-	-	-	-	-	-	-	-	-	-	-
TAG0148	1121259.3;608506.3	fig|1121259.3.peg.2032	-	-	-	-	-	fig|608506.3.peg.1082	-	-	-	-	-
TAG0149	1121259.3;1214564.3	fig|1121259.3.peg.2049	fig|1214564.3.peg.2064	-	-	-	-	-	-	-	-	-	-
TAG0150	1121259.3;1387555.3;1387557.3;31899.10;632292.3;632335.8;632348.3;632516.3	fig|1121259.3.peg.2054	-	fig|1387555.3.peg.1240	fig|1387557.3.peg.1849	fig|31899.10.peg.2107|SAMN05216182_1888	-	-	fig|632292.3.peg.1233|Calhy_1151	fig|632335.8.peg.1746|Calkr_1615	fig|632348.3.peg.1193|Calkro_1125	fig|632516.3.peg.1576|CallaDRAFT_1516	-
TAG0151	1121259.3	fig|1121259.3.peg.2059	-	-	-	-	-	-	-	-	-	-	-
TAG0152	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.206	fig|1214564.3.peg.2417	fig|1387555.3.peg.1551	fig|1387557.3.peg.1607	fig|31899.10.peg.1860|SAMN05216182_1649	"fig|351627.8.peg.2107|Csac_1927,fig|351627.8.peg.551|Csac_0478"	-	fig|632292.3.peg.1445|Calhy_1359	fig|632335.8.peg.1487|Calkr_1365	fig|632348.3.peg.1414|Calkro_1334	fig|632516.3.peg.154|CallaDRAFT_0153	fig|632518.3.peg.1244|Calow_1159
TAG0153	1121259.3	fig|1121259.3.peg.2060	-	-	-	-	-	-	-	-	-	-	-
TAG0154	1121259.3;1387555.3;1387557.3;351627.8;608506.3;632292.3;632348.3	fig|1121259.3.peg.2061	-	fig|1387555.3.peg.429	fig|1387557.3.peg.340	-	fig|351627.8.peg.2746|Csac_2547	fig|608506.3.peg.81|COB47_0077	fig|632292.3.peg.67|Calhy_0061	-	fig|632348.3.peg.77|Calkro_0073	-	-
TAG0155	1121259.3;608506.3	fig|1121259.3.peg.2064	-	-	-	-	-	fig|608506.3.peg.84	-	-	-	-	-
TAG0156	1121259.3	fig|1121259.3.peg.2069	-	-	-	-	-	-	-	-	-	-	-
TAG0157	1121259.3	fig|1121259.3.peg.2070	-	-	-	-	-	-	-	-	-	-	-
TAG0158	1121259.3;632292.3;632348.3	fig|1121259.3.peg.2074	-	-	-	-	-	-	fig|632292.3.peg.79|Calhy_0072	-	fig|632348.3.peg.92|Calkro_0089	-	-
TAG0159	1121259.3;632292.3	fig|1121259.3.peg.2080	-	-	-	-	-	-	fig|632292.3.peg.87|Calhy_0080	-	-	-	-
TAG0160	1121259.3;632292.3;632348.3	fig|1121259.3.peg.2082	-	-	-	-	-	-	fig|632292.3.peg.89|Calhy_0082	-	fig|632348.3.peg.103|Calkro_0099	-	-
TAG0161	1121259.3;632292.3;632348.3	fig|1121259.3.peg.2083	-	-	-	-	-	-	fig|632292.3.peg.90|Calhy_0083	-	fig|632348.3.peg.104|Calkro_0100	-	-
TAG0162	1121259.3	fig|1121259.3.peg.2086	-	-	-	-	-	-	-	-	-	-	-
TAG0163	1121259.3	fig|1121259.3.peg.2087	-	-	-	-	-	-	-	-	-	-	-
TAG0164	1121259.3;1214564.3;1387557.3;351627.8;632292.3;632348.3	fig|1121259.3.peg.2093	fig|1214564.3.peg.1523	-	fig|1387557.3.peg.353	-	fig|351627.8.peg.2713|Csac_2516	-	fig|632292.3.peg.98|Calhy_0091	-	fig|632348.3.peg.112|Calkro_0108	-	-
TAG0165	1121259.3	fig|1121259.3.peg.2096	-	-	-	-	-	-	-	-	-	-	-
TAG0166	1121259.3	fig|1121259.3.peg.2097	-	-	-	-	-	-	-	-	-	-	-
TAG0167	1121259.3	fig|1121259.3.peg.2098	-	-	-	-	-	-	-	-	-	-	-
TAG0168	1121259.3	fig|1121259.3.peg.2099	-	-	-	-	-	-	-	-	-	-	-
TAG0169	1121259.3;632292.3	fig|1121259.3.peg.2101	-	-	-	-	-	-	fig|632292.3.peg.724|Calhy_0669	-	-	-	-
TAG0170	1121259.3	fig|1121259.3.peg.2117	-	-	-	-	-	-	-	-	-	-	-
