fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	ATHE_RS12780	Athe_2535
fig|31899.10.peg.108|SAMN05216182_0036	WP_015908882.1	ATHE_RS12940	Athe_2567
fig|31899.10.peg.110|SAMN05216182_0037	WP_011915897.1	ATHE_RS12945	Athe_2568
fig|31899.10.peg.112|SAMN05216182_0038	WP_015908883.1	ATHE_RS12950	Athe_2569
fig|31899.10.peg.113|SAMN05216182_0039	WP_015908884.1	ATHE_RS12955	Athe_2570
fig|31899.10.peg.116|SAMN05216182_0042	WP_015908886.1	ATHE_RS12965	Athe_2572
fig|31899.10.peg.121|SAMN05216182_0050	WP_015908887.1	ATHE_RS12990	Athe_2574
fig|31899.10.peg.122|SAMN05216182_0051	WP_015908888.1	ATHE_RS12995	Athe_2575
fig|31899.10.peg.123|SAMN05216182_0052	WP_015908889.1	ATHE_RS13000	Athe_2576
fig|31899.10.peg.124|SAMN05216182_0053	WP_015908890.1	ATHE_RS13005	Athe_2577
fig|31899.10.peg.125|SAMN05216182_0054	WP_015908891.1	ATHE_RS13010	Athe_2578
fig|31899.10.peg.126|SAMN05216182_0055	WP_015908892.1	ATHE_RS13015	Athe_2579
fig|31899.10.peg.127|SAMN05216182_0056	WP_015908893.1	ATHE_RS13020	Athe_2580
fig|31899.10.peg.128|SAMN05216182_0057	WP_015908894.1	ATHE_RS13025	Athe_2581
fig|31899.10.peg.129|SAMN05216182_0058	WP_015908895.1	ATHE_RS13030	Athe_2582
fig|31899.10.peg.130|SAMN05216182_0059	WP_015908896.1	ATHE_RS13035	Athe_2583
fig|31899.10.peg.131|SAMN05216182_0060	WP_015908897.1	ATHE_RS13040	Athe_2584
fig|31899.10.peg.133|SAMN05216182_0061	WP_015908898.1	ATHE_RS13045	Athe_2585
fig|31899.10.peg.134|SAMN05216182_0062	WP_015908899.1	ATHE_RS13050	Athe_2586
fig|31899.10.peg.135|SAMN05216182_0063	WP_013429342.1	ATHE_RS13055	Athe_2587
fig|31899.10.peg.140|SAMN05216182_0067	WP_015908904.1	ATHE_RS13070	Athe_2592
fig|31899.10.peg.142|SAMN05216182_0069	WP_015908906.1	ATHE_RS13080	Athe_2594
fig|31899.10.peg.143|SAMN05216182_0070	WP_015908907.1	ATHE_RS13085	Athe_2595
fig|31899.10.peg.146|SAMN05216182_0073	WP_015908910.1	ATHE_RS13100	Athe_2598
fig|31899.10.peg.147|SAMN05216182_0079	WP_015908911.1	ATHE_RS13130	Athe_2599
fig|31899.10.peg.148|SAMN05216182_0080	WP_015908912.1	ATHE_RS13135	Athe_2600
fig|31899.10.peg.149|SAMN05216182_0081	WP_015908913.1	ATHE_RS13140	Athe_2601
fig|31899.10.peg.150|SAMN05216182_0082	WP_015908914.1	ATHE_RS13145	Athe_2602
fig|31899.10.peg.151|SAMN05216182_0083	WP_015908915.1	ATHE_RS13150	Athe_2603
fig|31899.10.peg.152|SAMN05216182_0084	WP_015908916.1	ATHE_RS13155	Athe_2604
fig|31899.10.peg.153|SAMN05216182_0085	WP_041727244.1	ATHE_RS13160	Athe_2605
fig|31899.10.peg.155|SAMN05216182_0087	WP_015908919.1	ATHE_RS13170	Athe_2607
fig|31899.10.peg.156|SAMN05216182_0088	WP_015908920.1	ATHE_RS13175	Athe_2608
fig|31899.10.peg.157|SAMN05216182_0089	WP_015908921.1	ATHE_RS13180	Athe_2609
fig|31899.10.peg.158|SAMN05216182_0090	WP_015908922.1	ATHE_RS13185	Athe_2610
fig|31899.10.peg.159|SAMN05216182_0091	WP_015908923.1	ATHE_RS13190	Athe_2611
fig|31899.10.peg.160|SAMN05216182_0092	WP_015908924.1	ATHE_RS13195	Athe_2612
fig|31899.10.peg.162|SAMN05216182_0093	WP_015908925.1	ATHE_RS13200	Athe_2613
fig|31899.10.peg.163|SAMN05216182_0094	WP_015908926.1	ATHE_RS13205	Athe_2614
fig|31899.10.peg.164|SAMN05216182_0095	WP_015908927.1	ATHE_RS13210	Athe_2615
fig|31899.10.peg.165|SAMN05216182_0096	WP_015908928.1	ATHE_RS13215	Athe_2616
fig|31899.10.peg.166|SAMN05216182_0097	WP_015908929.1	ATHE_RS13220	Athe_2617
fig|31899.10.peg.169|SAMN05216182_0099	WP_015908931.1	ATHE_RS13230	Athe_2619
fig|31899.10.peg.170|SAMN05216182_0100	WP_015908932.1	ATHE_RS13235	Athe_2620
fig|31899.10.peg.172|SAMN05216182_0101	WP_015908933.1	ATHE_RS13240	Athe_2621
fig|31899.10.peg.173|SAMN05216182_0102	WP_015908934.1	ATHE_RS13245	Athe_2622
fig|31899.10.peg.174|SAMN05216182_0103	WP_011916100.1	ATHE_RS13250	Athe_2623
fig|31899.10.peg.175|SAMN05216182_0104	WP_015908935.1	ATHE_RS13255	Athe_2624
fig|31899.10.peg.176|SAMN05216182_0105	WP_015908936.1	ATHE_RS13260	Athe_2625
fig|31899.10.peg.178|SAMN05216182_0106	WP_015908937.1	ATHE_RS13265	Athe_2626
fig|31899.10.peg.179|SAMN05216182_0107	WP_015908938.1	ATHE_RS13270	Athe_2627
fig|31899.10.peg.183|SAMN05216182_0109	WP_015908941.1	ATHE_RS13275	Athe_2630
fig|31899.10.peg.184	WP_015908942.1	ATHE_RS13280	Athe_2631
fig|31899.10.peg.185	WP_015908943.1	ATHE_RS13285	Athe_2632
fig|31899.10.peg.186|SAMN05216182_0111	WP_015908944.1	ATHE_RS13290	Athe_2633
fig|31899.10.peg.188|SAMN05216182_0113	WP_015908946.1	ATHE_RS13295	Athe_2635
fig|31899.10.peg.193|SAMN05216182_0116	WP_015908949.1	ATHE_RS13305	Athe_2638
fig|31899.10.peg.195|SAMN05216182_0117	WP_015908950.1	ATHE_RS13310	Athe_2639
fig|31899.10.peg.196|SAMN05216182_0118	WP_015908951.1	ATHE_RS13315	Athe_2640
fig|31899.10.peg.197|SAMN05216182_0119	WP_015908952.1	ATHE_RS13320	Athe_2641
fig|31899.10.peg.198|SAMN05216182_0120	WP_015908953.1	ATHE_RS13325	Athe_2642
fig|31899.10.peg.199|SAMN05216182_0121	WP_013291477.1	ATHE_RS13330	Athe_2643
fig|31899.10.peg.200|SAMN05216182_0122	WP_015908954.1	ATHE_RS13335	Athe_2644
fig|31899.10.peg.201|SAMN05216182_0123	WP_015908955.1	ATHE_RS13340	Athe_2645
fig|31899.10.peg.202|SAMN05216182_0124	WP_015908956.1	ATHE_RS13345	Athe_2646
fig|31899.10.peg.203|SAMN05216182_0125	WP_015908957.1	ATHE_RS13350	Athe_2647
fig|31899.10.peg.204|SAMN05216182_0126	WP_015908958.1	ATHE_RS13355	Athe_2648
fig|31899.10.peg.205|SAMN05216182_0127	WP_015908959.1	ATHE_RS13360	Athe_2649
fig|31899.10.peg.209|SAMN05216182_0129	WP_015908960.1	ATHE_RS13370	Athe_2651
fig|31899.10.peg.210|SAMN05216182_0130	WP_015908961.1	ATHE_RS13375	Athe_2652
fig|31899.10.peg.211|SAMN05216182_0131	WP_015908962.1	ATHE_RS13385	Athe_2653
fig|31899.10.peg.212|SAMN05216182_0132	WP_015908963.1	ATHE_RS13390	Athe_2654
fig|31899.10.peg.215|SAMN05216182_0135	WP_013404366.1	ATHE_RS13410	Athe_2658
fig|31899.10.peg.216|SAMN05216182_0136	WP_015908965.1	ATHE_RS13415	Athe_2659
fig|31899.10.peg.218|SAMN05216182_0138	WP_015908967.1	ATHE_RS13425	Athe_2661
fig|31899.10.peg.219|SAMN05216182_0139	WP_015908968.1	ATHE_RS13430	Athe_2662
fig|31899.10.peg.220|SAMN05216182_0140	WP_015908969.1	ATHE_RS13435	Athe_2663
fig|31899.10.peg.221|SAMN05216182_0141	WP_015908970.1	ATHE_RS13440	Athe_2664
fig|31899.10.peg.233|SAMN05216182_0144	WP_015908974.1	ATHE_RS13460	Athe_2668
fig|31899.10.peg.234|SAMN05216182_0145	WP_015908975.1	ATHE_RS13465	Athe_2669
fig|31899.10.peg.235|SAMN05216182_0146	WP_015908976.1	ATHE_RS13470	Athe_2670
fig|31899.10.peg.236|SAMN05216182_0147	WP_015908977.1	ATHE_RS13475	Athe_2671
fig|31899.10.peg.237|SAMN05216182_0148	WP_015908978.1	ATHE_RS13480	Athe_2672
fig|31899.10.peg.238|SAMN05216182_0149	WP_015908979.1	ATHE_RS13485	Athe_2673
fig|31899.10.peg.245|SAMN05216182_0152	WP_015908981.1	ATHE_RS13500	Athe_2676
fig|31899.10.peg.248|SAMN05216182_0153	WP_015908982.1	ATHE_RS13510	Athe_2677
fig|31899.10.peg.251|SAMN05216182_0154	WP_015908983.1	ATHE_RS13520	Athe_2678
fig|31899.10.peg.252	WP_049760268.1	ATHE_RS13525	NA
fig|31899.10.peg.257|SAMN05216182_0158	WP_015908984.1	ATHE_RS13540	Athe_2682
fig|31899.10.peg.260|SAMN05216182_0160	WP_015908985.1	ATHE_RS13550	Athe_2684
fig|31899.10.peg.272|SAMN05216182_0164	WP_015908987.1	ATHE_RS13565	Athe_2687
fig|31899.10.peg.273|SAMN05216182_0165	WP_015908988.1	ATHE_RS13570	Athe_2688
fig|31899.10.peg.274|SAMN05216182_0166	WP_015908989.1	ATHE_RS13575	Athe_2689
fig|31899.10.peg.275|SAMN05216182_0167	WP_015908990.1	ATHE_RS13580	Athe_2690
fig|31899.10.peg.280|SAMN05216182_0170	WP_015908991.1	ATHE_RS13595	Athe_2692
fig|31899.10.peg.281|SAMN05216182_0171	WP_015908992.1	ATHE_RS13600	Athe_2693
fig|31899.10.peg.282|SAMN05216182_0172	WP_015908993.1	ATHE_RS13605	Athe_2694
fig|31899.10.peg.283|SAMN05216182_0173	WP_015908994.1	ATHE_RS13610	Athe_2695
fig|31899.10.peg.284|SAMN05216182_0174	WP_015908995.1	ATHE_RS13615	Athe_2696
fig|31899.10.peg.285|SAMN05216182_0175	WP_015908996.1	ATHE_RS13620	Athe_2697
fig|31899.10.peg.286|SAMN05216182_0176	WP_015908997.1	ATHE_RS13625	Athe_2698
fig|31899.10.peg.287|SAMN05216182_0177	WP_015908998.1	ATHE_RS13630	Athe_2699
fig|31899.10.peg.288|SAMN05216182_0178	WP_015908999.1	ATHE_RS13635	Athe_2700
fig|31899.10.peg.289|SAMN05216182_0179	WP_015909000.1	ATHE_RS13640	Athe_2701
fig|31899.10.peg.290|SAMN05216182_0180	WP_015909001.1	ATHE_RS13645	Athe_2702
fig|31899.10.peg.291|SAMN05216182_0181	WP_015909002.1	ATHE_RS13650	Athe_2703
fig|31899.10.peg.292|SAMN05216182_0182	WP_015909003.1	ATHE_RS13655	Athe_2704
fig|31899.10.peg.296|SAMN05216182_0185	WP_015909005.1	ATHE_RS13670	Athe_2707
fig|31899.10.peg.301|SAMN05216182_0188	WP_013404392.1	ATHE_RS13685	Athe_2709
fig|31899.10.peg.302|SAMN05216182_0189	WP_015909007.1	ATHE_RS13690	Athe_2710
fig|31899.10.peg.305|SAMN05216182_0190	WP_015909008.1	ATHE_RS13695	Athe_2711
fig|31899.10.peg.306|SAMN05216182_0191	WP_015909009.1	ATHE_RS13700	Athe_2712
fig|31899.10.peg.307|SAMN05216182_0192	WP_041727261.1	ATHE_RS13705	Athe_2713
fig|31899.10.peg.310|SAMN05216182_0194	WP_015909011.1	ATHE_RS13710	Athe_2714
fig|31899.10.peg.311|SAMN05216182_0195	WP_041727263.1	ATHE_RS13715	Athe_2715
fig|31899.10.peg.312|SAMN05216182_0196	WP_015909013.1	ATHE_RS13720	Athe_2716
fig|31899.10.peg.323|SAMN05216182_0198	WP_015909014.1	ATHE_RS13735	Athe_2718
fig|31899.10.peg.324|SAMN05216182_0199	WP_015909015.1	ATHE_RS13740	Athe_2719
fig|31899.10.peg.325|SAMN05216182_0200	WP_015909016.1	ATHE_RS13745	Athe_2720
fig|31899.10.peg.328|SAMN05216182_0201	WP_015909018.1	ATHE_RS13755	Athe_2722
fig|31899.10.peg.329|SAMN05216182_0202	WP_015909019.1	ATHE_RS13760	Athe_2723
fig|31899.10.peg.330|SAMN05216182_0203	WP_015909020.1	ATHE_RS13765	Athe_2724
fig|31899.10.peg.331|SAMN05216182_0205	WP_015909022.1	ATHE_RS13775	Athe_2726
fig|31899.10.peg.332|SAMN05216182_0206	WP_015909023.1	ATHE_RS13780	Athe_2727
fig|31899.10.peg.333|SAMN05216182_0207	WP_013404408.1	ATHE_RS14435	Athe_2728
fig|31899.10.peg.334|SAMN05216182_0208	WP_013431413.1	ATHE_RS13785	Athe_2729
fig|31899.10.peg.335|SAMN05216182_0209	WP_013404410.1	ATHE_RS13790	Athe_2730
fig|31899.10.peg.336|SAMN05216182_0210	WP_015909024.1	ATHE_RS13795	Athe_2731
fig|31899.10.peg.337|SAMN05216182_0211	WP_015909025.1	ATHE_RS13800	Athe_2732
fig|31899.10.peg.338|SAMN05216182_0212	WP_015909026.1	ATHE_RS13805	Athe_2733
fig|31899.10.peg.341|SAMN05216182_0215	WP_015909028.1	ATHE_RS13820	Athe_2736
fig|31899.10.peg.342|SAMN05216182_0216	WP_015909029.1	ATHE_RS13825	Athe_2737
fig|31899.10.peg.343|SAMN05216182_0217	WP_013404418.1	ATHE_RS13830	Athe_2738
fig|31899.10.peg.344|SAMN05216182_0218	WP_015909030.1	ATHE_RS13835	Athe_2739
fig|31899.10.peg.345|SAMN05216182_0219	WP_015909031.1	ATHE_RS13840	Athe_2740
fig|31899.10.peg.346|SAMN05216182_0220	WP_015909032.1	ATHE_RS13845	Athe_2741
fig|31899.10.peg.347|SAMN05216182_0221	WP_015909033.1	ATHE_RS13850	Athe_2742
fig|31899.10.peg.348|SAMN05216182_0222	WP_015909034.1	ATHE_RS13855	Athe_2743
fig|31899.10.peg.349|SAMN05216182_0223	WP_015909035.1	ATHE_RS13860	Athe_2744
fig|31899.10.peg.350|SAMN05216182_0224	WP_015909036.1	ATHE_RS13865	Athe_2745
fig|31899.10.peg.351|SAMN05216182_0225	WP_015909037.1	ATHE_RS13870	Athe_2746
fig|31899.10.peg.352|SAMN05216182_0226	WP_015909038.1	ATHE_RS13875	Athe_2747
fig|31899.10.peg.353|SAMN05216182_0227	WP_015909039.1	ATHE_RS13880	Athe_2748
fig|31899.10.peg.354|SAMN05216182_0228	WP_015909040.1	ATHE_RS13885	Athe_2749
fig|31899.10.peg.355|SAMN05216182_0229	WP_015909041.1	ATHE_RS13890	Athe_2750
fig|31899.10.peg.356|SAMN05216182_0230	WP_015909042.1	ATHE_RS13895	Athe_2751
fig|31899.10.peg.357|SAMN05216182_0231	WP_015909043.1	ATHE_RS13900	Athe_2752
fig|31899.10.peg.358|SAMN05216182_0232	WP_015909044.1	ATHE_RS13905	Athe_2753
fig|31899.10.peg.359|SAMN05216182_0233	WP_015909045.1	ATHE_RS13910	Athe_2754
fig|31899.10.peg.360|SAMN05216182_0234	WP_015909046.1	ATHE_RS13915	Athe_2755
fig|31899.10.peg.361|SAMN05216182_0235	WP_015909047.1	ATHE_RS13920	Athe_2756
fig|31899.10.peg.362|SAMN05216182_0236	WP_015909048.1	ATHE_RS13925	Athe_2757
fig|31899.10.peg.363|SAMN05216182_0237	WP_015909049.1	ATHE_RS13930	Athe_2758
fig|31899.10.peg.364|SAMN05216182_0238	WP_013431441.1	ATHE_RS13935	Athe_2759
fig|31899.10.peg.365|SAMN05216182_0239	WP_015909050.1	ATHE_RS13940	Athe_2760
fig|31899.10.peg.366|SAMN05216182_0240	WP_015909051.1	ATHE_RS14530	Athe_2761
fig|31899.10.peg.367|SAMN05216182_0241	WP_015909052.1	ATHE_RS14535	Athe_2762
fig|31899.10.peg.368|SAMN05216182_0242	WP_013291559.1	ATHE_RS13955	Athe_2763
fig|31899.10.peg.369|SAMN05216182_0243	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.370|SAMN05216182_0244	WP_015909053.1	ATHE_RS13965	Athe_2765
fig|31899.10.peg.371|SAMN05216182_0245	WP_015909054.1	ATHE_RS13970	Athe_2766
fig|31899.10.peg.372|SAMN05216182_0246	WP_015909055.1	ATHE_RS13975	Athe_2767
fig|31899.10.peg.373|SAMN05216182_0247	WP_013431448.1	ATHE_RS13980	Athe_2768
fig|31899.10.peg.374|SAMN05216182_0248	WP_012660677.1	ATHE_RS00005	Athe_0001
fig|31899.10.peg.376|SAMN05216182_0250	WP_012660679.1	ATHE_RS00010	Athe_0003
fig|31899.10.peg.377|SAMN05216182_0251	WP_012660680.1	ATHE_RS00015	Athe_0004
fig|31899.10.peg.378|SAMN05216182_0252	WP_012660681.1	ATHE_RS00020	Athe_0005
fig|31899.10.peg.382|SAMN05216182_0256	WP_012660684.1	ATHE_RS00030	Athe_0008
fig|31899.10.peg.384|SAMN05216182_0257	WP_012660685.1	ATHE_RS00035	Athe_0009
fig|31899.10.peg.388|SAMN05216182_0260	WP_012660688.1	ATHE_RS00045	Athe_0012
fig|31899.10.peg.389|SAMN05216182_0261	WP_012660689.1	ATHE_RS00050	Athe_0013
fig|31899.10.peg.390|SAMN05216182_0262	WP_012660690.1	ATHE_RS00055	Athe_0014
fig|31899.10.peg.391|SAMN05216182_0263	WP_012660691.1	ATHE_RS00060	Athe_0015
fig|31899.10.peg.392|SAMN05216182_0264	WP_012660692.1	ATHE_RS00065	Athe_0016
fig|31899.10.peg.393|SAMN05216182_0265	WP_012660693.1	ATHE_RS00070	Athe_0017
fig|31899.10.peg.396|SAMN05216182_0268	WP_012660694.1	ATHE_RS00080	Athe_0019
fig|31899.10.peg.397|SAMN05216182_0269	WP_012660695.1	ATHE_RS00085	Athe_0020
fig|31899.10.peg.400|SAMN05216182_0272	WP_012660696.1	ATHE_RS00095	Athe_0022
fig|31899.10.peg.401|SAMN05216182_0273	WP_012660697.1	ATHE_RS00100	Athe_0023
fig|31899.10.peg.403|SAMN05216182_0274	WP_012660698.1	ATHE_RS00105	Athe_0024
fig|31899.10.peg.405|SAMN05216182_0276	WP_012660699.1	ATHE_RS00110	Athe_0025
fig|31899.10.peg.406|SAMN05216182_0277	WP_012660700.1	ATHE_RS00115	Athe_0026
fig|31899.10.peg.408|SAMN05216182_0279	WP_012660701.1	ATHE_RS00120	Athe_0028
fig|31899.10.peg.409|SAMN05216182_0280	WP_012660702.1	ATHE_RS14050	Athe_0029
fig|31899.10.peg.411|SAMN05216182_0282	WP_012660703.1	ATHE_RS00135	Athe_0031
fig|31899.10.peg.412|SAMN05216182_0283	WP_012660704.1	ATHE_RS00140	Athe_0032
fig|31899.10.peg.413|SAMN05216182_0284	WP_012660705.1	ATHE_RS00145	Athe_0033
fig|31899.10.peg.414|SAMN05216182_0285	WP_012660706.1	ATHE_RS00150	Athe_0034
fig|31899.10.peg.415|SAMN05216182_0286	WP_012660707.1	ATHE_RS00155	Athe_0035
fig|31899.10.peg.416|SAMN05216182_0287	WP_012660708.1	ATHE_RS00160	Athe_0036
fig|31899.10.peg.417|SAMN05216182_0288	WP_012660709.1	ATHE_RS00165	Athe_0037
fig|31899.10.peg.418|SAMN05216182_0289	WP_012660710.1	ATHE_RS00170	Athe_0038
fig|31899.10.peg.419|SAMN05216182_0290	WP_012660711.1	ATHE_RS00175	Athe_0039
fig|31899.10.peg.421|SAMN05216182_0292	WP_012660713.1	ATHE_RS00185	Athe_0041
fig|31899.10.peg.422|SAMN05216182_0293	WP_012660714.1	ATHE_RS00190	Athe_0042
fig|31899.10.peg.423|SAMN05216182_0294	WP_012660715.1	ATHE_RS00195	Athe_0043
fig|31899.10.peg.424|SAMN05216182_0295	WP_012660716.1	ATHE_RS00200	Athe_0044
fig|31899.10.peg.425|SAMN05216182_0296	WP_012660717.1	ATHE_RS00205	Athe_0045
fig|31899.10.peg.426|SAMN05216182_0297	WP_012660718.1	ATHE_RS00210	Athe_0046
fig|31899.10.peg.427|SAMN05216182_0298	WP_012660719.1	ATHE_RS00215	Athe_0047
fig|31899.10.peg.428|SAMN05216182_0299	WP_012660720.1	ATHE_RS00220	Athe_0048
fig|31899.10.peg.429|SAMN05216182_0302	WP_012660721.1	ATHE_RS00235	Athe_0049
fig|31899.10.peg.430|SAMN05216182_0303	WP_012660722.1	ATHE_RS00240	Athe_0050
fig|31899.10.peg.431|SAMN05216182_0304	WP_012660723.1	ATHE_RS00245	Athe_0051
fig|31899.10.peg.432|SAMN05216182_0305	WP_012660724.1	ATHE_RS00250	Athe_0052
fig|31899.10.peg.433|SAMN05216182_0306	WP_012660725.1	ATHE_RS00255	Athe_0053
fig|31899.10.peg.434|SAMN05216182_0307	WP_012660726.1	ATHE_RS00260	Athe_0054
fig|31899.10.peg.435|SAMN05216182_0308	WP_012660727.1	ATHE_RS00265	Athe_0055
fig|31899.10.peg.436|SAMN05216182_0309	WP_012660728.1	ATHE_RS00270	Athe_0056
fig|31899.10.peg.438|SAMN05216182_0311	WP_012660730.1	ATHE_RS00280	Athe_0058
fig|31899.10.peg.439|SAMN05216182_0312	WP_012660731.1	ATHE_RS00285	Athe_0059
fig|31899.10.peg.440|SAMN05216182_0313	WP_012660732.1	ATHE_RS00290	Athe_0060
fig|31899.10.peg.441|SAMN05216182_0314	WP_012660733.1	ATHE_RS00295	Athe_0061
fig|31899.10.peg.442|SAMN05216182_0315	WP_012660734.1	ATHE_RS00300	Athe_0062
fig|31899.10.peg.443|SAMN05216182_0316	WP_015906706.1	ATHE_RS00305	Athe_0063
fig|31899.10.peg.444|SAMN05216182_0317	WP_015906707.1	ATHE_RS00310	Athe_0064
fig|31899.10.peg.445|SAMN05216182_0318	WP_041726932.1	ATHE_RS00315	Athe_0065
fig|31899.10.peg.446|SAMN05216182_0319	WP_041726934.1	ATHE_RS00320	NA
fig|31899.10.peg.447|SAMN05216182_0320	WP_015906709.1	ATHE_RS00325	NA
fig|31899.10.peg.448|SAMN05216182_0321	WP_015906710.1	ATHE_RS00330	Athe_0067
fig|31899.10.peg.449|SAMN05216182_0322	WP_015906711.1	ATHE_RS00335	Athe_0068
fig|31899.10.peg.450|SAMN05216182_0323	WP_015906712.1	ATHE_RS00340	Athe_0069
fig|31899.10.peg.456|SAMN05216182_0326	WP_015906714.1	ATHE_RS00355	Athe_0072
fig|31899.10.peg.457|SAMN05216182_0327	WP_015906715.1	ATHE_RS00360	Athe_0073
fig|31899.10.peg.458|SAMN05216182_0328	WP_015906716.1	ATHE_RS00365	Athe_0074
fig|31899.10.peg.461|SAMN05216182_0331	WP_015906718.1	ATHE_RS00380	Athe_0077
fig|31899.10.peg.462|SAMN05216182_0332	WP_015906719.1	ATHE_RS00385	Athe_0078
fig|31899.10.peg.463|SAMN05216182_0333	WP_015906720.1	ATHE_RS00390	Athe_0079
fig|31899.10.peg.464|SAMN05216182_0334	WP_013429135.1	ATHE_RS00395	Athe_0080
fig|31899.10.peg.465|SAMN05216182_0335	WP_013429136.1	ATHE_RS00400	Athe_0081
fig|31899.10.peg.466|SAMN05216182_0336	WP_015906721.1	ATHE_RS00405	Athe_0082
fig|31899.10.peg.467|SAMN05216182_0337	WP_015906722.1	ATHE_RS00410	Athe_0083
fig|31899.10.peg.468|SAMN05216182_0338	WP_015906723.1	ATHE_RS00415	Athe_0084
fig|31899.10.peg.469|SAMN05216182_0339	WP_015906724.1	ATHE_RS00420	Athe_0085
fig|31899.10.peg.470|SAMN05216182_0340	WP_015906725.1	ATHE_RS00425	Athe_0086
fig|31899.10.peg.472|SAMN05216182_0342	WP_015906727.1	ATHE_RS00435	Athe_0088
fig|31899.10.peg.473|SAMN05216182_0343	WP_015906728.1	ATHE_RS00440	Athe_0089
fig|31899.10.peg.474|SAMN05216182_0344	WP_015906729.1	ATHE_RS00445	Athe_0090
fig|31899.10.peg.475|SAMN05216182_0345	WP_015906730.1	ATHE_RS00450	Athe_0091
fig|31899.10.peg.476|SAMN05216182_0346	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.481|SAMN05216182_0351	WP_015906735.1	ATHE_RS00470	Athe_0096
fig|31899.10.peg.482|SAMN05216182_0352	WP_015906736.1	ATHE_RS00475	Athe_0097
fig|31899.10.peg.485|SAMN05216182_0355	WP_015906737.1	ATHE_RS00490	Athe_0100
fig|31899.10.peg.486|SAMN05216182_0356	WP_015906738.1	ATHE_RS00495	Athe_0101
fig|31899.10.peg.487|SAMN05216182_0357	WP_015906739.1	ATHE_RS00500	Athe_0102
fig|31899.10.peg.488|SAMN05216182_0358	WP_015906740.1	ATHE_RS00505	Athe_0103
fig|31899.10.peg.490|SAMN05216182_0360	WP_015906742.1	ATHE_RS00515	Athe_0105
fig|31899.10.peg.491|SAMN05216182_0361	WP_015906743.1	ATHE_RS00520	Athe_0106
fig|31899.10.peg.492|SAMN05216182_0362	WP_015906744.1	ATHE_RS00525	Athe_0107
fig|31899.10.peg.493|SAMN05216182_0363	WP_015906745.1	ATHE_RS00530	Athe_0108
fig|31899.10.peg.494|SAMN05216182_0364	WP_015906746.1	ATHE_RS00535	Athe_0109
fig|31899.10.peg.495|SAMN05216182_0365	WP_015906747.1	ATHE_RS00540	Athe_0110
fig|31899.10.peg.496|SAMN05216182_0366	WP_015906748.1	ATHE_RS00545	Athe_0111
fig|31899.10.peg.497|SAMN05216182_0367	WP_015906749.1	ATHE_RS00550	Athe_0112
fig|31899.10.peg.498|SAMN05216182_0368	WP_015906750.1	ATHE_RS00555	Athe_0113
