fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	ATHE_RS12780
fig|31899.10.peg.151|SAMN05216182_0083	WP_015908915.1	ATHE_RS13150
fig|31899.10.peg.152|SAMN05216182_0084	WP_015908916.1	ATHE_RS13155
fig|31899.10.peg.153|SAMN05216182_0085	WP_041727244.1	ATHE_RS13160
fig|31899.10.peg.155|SAMN05216182_0087	WP_015908919.1	ATHE_RS13170
fig|31899.10.peg.156|SAMN05216182_0088	WP_015908920.1	ATHE_RS13175
fig|31899.10.peg.157|SAMN05216182_0089	WP_015908921.1	ATHE_RS13180
fig|31899.10.peg.158|SAMN05216182_0090	WP_015908922.1	ATHE_RS13185
fig|31899.10.peg.159|SAMN05216182_0091	WP_015908923.1	ATHE_RS13190
fig|31899.10.peg.160|SAMN05216182_0092	WP_015908924.1	ATHE_RS13195
fig|31899.10.peg.162|SAMN05216182_0093	WP_015908925.1	ATHE_RS13200
fig|31899.10.peg.163|SAMN05216182_0094	WP_015908926.1	ATHE_RS13205
fig|31899.10.peg.164|SAMN05216182_0095	WP_015908927.1	ATHE_RS13210
fig|31899.10.peg.165|SAMN05216182_0096	WP_015908928.1	ATHE_RS13215
fig|31899.10.peg.166|SAMN05216182_0097	WP_015908929.1	ATHE_RS13220
fig|31899.10.peg.169|SAMN05216182_0099	WP_015908931.1	ATHE_RS13230
fig|31899.10.peg.170|SAMN05216182_0100	WP_015908932.1	ATHE_RS13235
fig|31899.10.peg.172|SAMN05216182_0101	WP_015908933.1	ATHE_RS13240
fig|31899.10.peg.173|SAMN05216182_0102	WP_015908934.1	ATHE_RS13245
fig|31899.10.peg.174|SAMN05216182_0103	WP_011916100.1	ATHE_RS13250
fig|31899.10.peg.175|SAMN05216182_0104	WP_015908935.1	ATHE_RS13255
fig|31899.10.peg.176|SAMN05216182_0105	WP_015908936.1	ATHE_RS13260
fig|31899.10.peg.178|SAMN05216182_0106	WP_015908937.1	ATHE_RS13265
fig|31899.10.peg.179|SAMN05216182_0107	WP_015908938.1	ATHE_RS13270
fig|31899.10.peg.183|SAMN05216182_0109	WP_015908941.1	ATHE_RS13275
fig|31899.10.peg.184	WP_015908942.1	ATHE_RS13280
fig|31899.10.peg.185	WP_015908943.1	ATHE_RS13285
fig|31899.10.peg.186|SAMN05216182_0111	WP_015908944.1	ATHE_RS13290
fig|31899.10.peg.188|SAMN05216182_0113	WP_015908946.1	ATHE_RS13295
fig|31899.10.peg.193|SAMN05216182_0116	WP_015908949.1	ATHE_RS13305
fig|31899.10.peg.195|SAMN05216182_0117	WP_015908950.1	ATHE_RS13310
fig|31899.10.peg.196|SAMN05216182_0118	WP_015908951.1	ATHE_RS13315
fig|31899.10.peg.197|SAMN05216182_0119	WP_015908952.1	ATHE_RS13320
fig|31899.10.peg.198|SAMN05216182_0120	WP_015908953.1	ATHE_RS13325
fig|31899.10.peg.199|SAMN05216182_0121	WP_013291477.1	ATHE_RS13330
fig|31899.10.peg.200|SAMN05216182_0122	WP_015908954.1	ATHE_RS13335
fig|31899.10.peg.201|SAMN05216182_0123	WP_015908955.1	ATHE_RS13340
fig|31899.10.peg.202|SAMN05216182_0124	WP_015908956.1	ATHE_RS13345
fig|31899.10.peg.203|SAMN05216182_0125	WP_015908957.1	ATHE_RS13350
fig|31899.10.peg.204|SAMN05216182_0126	WP_015908958.1	ATHE_RS13355
fig|31899.10.peg.205|SAMN05216182_0127	WP_015908959.1	ATHE_RS13360
fig|31899.10.peg.209|SAMN05216182_0129	WP_015908960.1	ATHE_RS13370
fig|31899.10.peg.210|SAMN05216182_0130	WP_015908961.1	ATHE_RS13375
fig|31899.10.peg.211|SAMN05216182_0131	WP_015908962.1	ATHE_RS13385
fig|31899.10.peg.212|SAMN05216182_0132	WP_015908963.1	ATHE_RS13390
fig|31899.10.peg.215|SAMN05216182_0135	WP_013404366.1	ATHE_RS13410
fig|31899.10.peg.216|SAMN05216182_0136	WP_015908965.1	ATHE_RS13415
fig|31899.10.peg.218|SAMN05216182_0138	WP_015908967.1	ATHE_RS13425
fig|31899.10.peg.219|SAMN05216182_0139	WP_015908968.1	ATHE_RS13430
fig|31899.10.peg.220|SAMN05216182_0140	WP_015908969.1	ATHE_RS13435
fig|31899.10.peg.221|SAMN05216182_0141	WP_015908970.1	ATHE_RS13440
fig|31899.10.peg.233|SAMN05216182_0144	WP_015908974.1	ATHE_RS13460
fig|31899.10.peg.234|SAMN05216182_0145	WP_015908975.1	ATHE_RS13465
fig|31899.10.peg.235|SAMN05216182_0146	WP_015908976.1	ATHE_RS13470
fig|31899.10.peg.236|SAMN05216182_0147	WP_015908977.1	ATHE_RS13475
fig|31899.10.peg.237|SAMN05216182_0148	WP_015908978.1	ATHE_RS13480
fig|31899.10.peg.238|SAMN05216182_0149	WP_015908979.1	ATHE_RS13485
fig|31899.10.peg.245|SAMN05216182_0152	WP_015908981.1	ATHE_RS13500
fig|31899.10.peg.248|SAMN05216182_0153	WP_015908982.1	ATHE_RS13510
fig|31899.10.peg.251|SAMN05216182_0154	WP_015908983.1	ATHE_RS13520
fig|31899.10.peg.252	WP_049760268.1	ATHE_RS13525
fig|31899.10.peg.257|SAMN05216182_0158	WP_015908984.1	ATHE_RS13540
fig|31899.10.peg.260|SAMN05216182_0160	WP_015908985.1	ATHE_RS13550
fig|31899.10.peg.272|SAMN05216182_0164	WP_015908987.1	ATHE_RS13565
fig|31899.10.peg.273|SAMN05216182_0165	WP_015908988.1	ATHE_RS13570
fig|31899.10.peg.274|SAMN05216182_0166	WP_015908989.1	ATHE_RS13575
fig|31899.10.peg.275|SAMN05216182_0167	WP_015908990.1	ATHE_RS13580
fig|31899.10.peg.280|SAMN05216182_0170	WP_015908991.1	ATHE_RS13595
fig|31899.10.peg.281|SAMN05216182_0171	WP_015908992.1	ATHE_RS13600
fig|31899.10.peg.282|SAMN05216182_0172	WP_015908993.1	ATHE_RS13605
fig|31899.10.peg.283|SAMN05216182_0173	WP_015908994.1	ATHE_RS13610
fig|31899.10.peg.284|SAMN05216182_0174	WP_015908995.1	ATHE_RS13615
fig|31899.10.peg.285|SAMN05216182_0175	WP_015908996.1	ATHE_RS13620
fig|31899.10.peg.286|SAMN05216182_0176	WP_015908997.1	ATHE_RS13625
fig|31899.10.peg.287|SAMN05216182_0177	WP_015908998.1	ATHE_RS13630
fig|31899.10.peg.288|SAMN05216182_0178	WP_015908999.1	ATHE_RS13635
fig|31899.10.peg.289|SAMN05216182_0179	WP_015909000.1	ATHE_RS13640
fig|31899.10.peg.290|SAMN05216182_0180	WP_015909001.1	ATHE_RS13645
fig|31899.10.peg.291|SAMN05216182_0181	WP_015909002.1	ATHE_RS13650
fig|31899.10.peg.292|SAMN05216182_0182	WP_015909003.1	ATHE_RS13655
fig|31899.10.peg.296|SAMN05216182_0185	WP_015909005.1	ATHE_RS13670
fig|31899.10.peg.301|SAMN05216182_0188	WP_013404392.1	ATHE_RS13685
fig|31899.10.peg.302|SAMN05216182_0189	WP_015909007.1	ATHE_RS13690
fig|31899.10.peg.305|SAMN05216182_0190	WP_015909008.1	ATHE_RS13695
fig|31899.10.peg.306|SAMN05216182_0191	WP_015909009.1	ATHE_RS13700
fig|31899.10.peg.307|SAMN05216182_0192	WP_041727261.1	ATHE_RS13705
fig|31899.10.peg.310|SAMN05216182_0194	WP_015909011.1	ATHE_RS13710
fig|31899.10.peg.311|SAMN05216182_0195	WP_041727263.1	ATHE_RS13715
fig|31899.10.peg.312|SAMN05216182_0196	WP_015909013.1	ATHE_RS13720
fig|31899.10.peg.323|SAMN05216182_0198	WP_015909014.1	ATHE_RS13735
fig|31899.10.peg.324|SAMN05216182_0199	WP_015909015.1	ATHE_RS13740
fig|31899.10.peg.325|SAMN05216182_0200	WP_015909016.1	ATHE_RS13745
fig|31899.10.peg.328|SAMN05216182_0201	WP_015909018.1	ATHE_RS13755
fig|31899.10.peg.329|SAMN05216182_0202	WP_015909019.1	ATHE_RS13760
fig|31899.10.peg.330|SAMN05216182_0203	WP_015909020.1	ATHE_RS13765
fig|31899.10.peg.331|SAMN05216182_0205	WP_015909022.1	ATHE_RS13775
fig|31899.10.peg.332|SAMN05216182_0206	WP_015909023.1	ATHE_RS13780
fig|31899.10.peg.333|SAMN05216182_0207	WP_013404408.1	ATHE_RS14435
fig|31899.10.peg.334|SAMN05216182_0208	WP_013431413.1	ATHE_RS13785
fig|31899.10.peg.335|SAMN05216182_0209	WP_013404410.1	ATHE_RS13790
fig|31899.10.peg.336|SAMN05216182_0210	WP_015909024.1	ATHE_RS13795
fig|31899.10.peg.337|SAMN05216182_0211	WP_015909025.1	ATHE_RS13800
fig|31899.10.peg.338|SAMN05216182_0212	WP_015909026.1	ATHE_RS13805
fig|31899.10.peg.341|SAMN05216182_0215	WP_015909028.1	ATHE_RS13820
fig|31899.10.peg.342|SAMN05216182_0216	WP_015909029.1	ATHE_RS13825
fig|31899.10.peg.343|SAMN05216182_0217	WP_013404418.1	ATHE_RS13830
fig|31899.10.peg.344|SAMN05216182_0218	WP_015909030.1	ATHE_RS13835
fig|31899.10.peg.345|SAMN05216182_0219	WP_015909031.1	ATHE_RS13840
fig|31899.10.peg.346|SAMN05216182_0220	WP_015909032.1	ATHE_RS13845
fig|31899.10.peg.347|SAMN05216182_0221	WP_015909033.1	ATHE_RS13850
fig|31899.10.peg.348|SAMN05216182_0222	WP_015909034.1	ATHE_RS13855
fig|31899.10.peg.349|SAMN05216182_0223	WP_015909035.1	ATHE_RS13860
fig|31899.10.peg.350|SAMN05216182_0224	WP_015909036.1	ATHE_RS13865
fig|31899.10.peg.351|SAMN05216182_0225	WP_015909037.1	ATHE_RS13870
fig|31899.10.peg.352|SAMN05216182_0226	WP_015909038.1	ATHE_RS13875
fig|31899.10.peg.353|SAMN05216182_0227	WP_015909039.1	ATHE_RS13880
fig|31899.10.peg.354|SAMN05216182_0228	WP_015909040.1	ATHE_RS13885
fig|31899.10.peg.355|SAMN05216182_0229	WP_015909041.1	ATHE_RS13890
fig|31899.10.peg.356|SAMN05216182_0230	WP_015909042.1	ATHE_RS13895
fig|31899.10.peg.357|SAMN05216182_0231	WP_015909043.1	ATHE_RS13900
fig|31899.10.peg.358|SAMN05216182_0232	WP_015909044.1	ATHE_RS13905
fig|31899.10.peg.359|SAMN05216182_0233	WP_015909045.1	ATHE_RS13910
fig|31899.10.peg.360|SAMN05216182_0234	WP_015909046.1	ATHE_RS13915
fig|31899.10.peg.361|SAMN05216182_0235	WP_015909047.1	ATHE_RS13920
fig|31899.10.peg.362|SAMN05216182_0236	WP_015909048.1	ATHE_RS13925
fig|31899.10.peg.363|SAMN05216182_0237	WP_015909049.1	ATHE_RS13930
fig|31899.10.peg.364|SAMN05216182_0238	WP_013431441.1	ATHE_RS13935
fig|31899.10.peg.365|SAMN05216182_0239	WP_015909050.1	ATHE_RS13940
fig|31899.10.peg.366|SAMN05216182_0240	WP_015909051.1	ATHE_RS14530
fig|31899.10.peg.367|SAMN05216182_0241	WP_015909052.1	ATHE_RS14535
fig|31899.10.peg.368|SAMN05216182_0242	WP_013291559.1	ATHE_RS13955
fig|31899.10.peg.369|SAMN05216182_0243	WP_015906731.1	ATHE_RS13960
fig|31899.10.peg.370|SAMN05216182_0244	WP_015909053.1	ATHE_RS13965
fig|31899.10.peg.371|SAMN05216182_0245	WP_015909054.1	ATHE_RS13970
fig|31899.10.peg.372|SAMN05216182_0246	WP_015909055.1	ATHE_RS13975
fig|31899.10.peg.373|SAMN05216182_0247	WP_013431448.1	ATHE_RS13980
fig|31899.10.peg.374|SAMN05216182_0248	WP_012660677.1	ATHE_RS00005
fig|31899.10.peg.376|SAMN05216182_0250	WP_012660679.1	ATHE_RS00010
fig|31899.10.peg.377|SAMN05216182_0251	WP_012660680.1	ATHE_RS00015
fig|31899.10.peg.378|SAMN05216182_0252	WP_012660681.1	ATHE_RS00020
fig|31899.10.peg.382|SAMN05216182_0256	WP_012660684.1	ATHE_RS00030
fig|31899.10.peg.384|SAMN05216182_0257	WP_012660685.1	ATHE_RS00035
fig|31899.10.peg.388|SAMN05216182_0260	WP_012660688.1	ATHE_RS00045
fig|31899.10.peg.389|SAMN05216182_0261	WP_012660689.1	ATHE_RS00050
fig|31899.10.peg.390|SAMN05216182_0262	WP_012660690.1	ATHE_RS00055
fig|31899.10.peg.391|SAMN05216182_0263	WP_012660691.1	ATHE_RS00060
fig|31899.10.peg.392|SAMN05216182_0264	WP_012660692.1	ATHE_RS00065
fig|31899.10.peg.393|SAMN05216182_0265	WP_012660693.1	ATHE_RS00070
fig|31899.10.peg.396|SAMN05216182_0268	WP_012660694.1	ATHE_RS00080
fig|31899.10.peg.397|SAMN05216182_0269	WP_012660695.1	ATHE_RS00085
fig|31899.10.peg.400|SAMN05216182_0272	WP_012660696.1	ATHE_RS00095
fig|31899.10.peg.401|SAMN05216182_0273	WP_012660697.1	ATHE_RS00100
fig|31899.10.peg.403|SAMN05216182_0274	WP_012660698.1	ATHE_RS00105
fig|31899.10.peg.405|SAMN05216182_0276	WP_012660699.1	ATHE_RS00110
fig|31899.10.peg.406|SAMN05216182_0277	WP_012660700.1	ATHE_RS00115
fig|31899.10.peg.408|SAMN05216182_0279	WP_012660701.1	ATHE_RS00120
fig|31899.10.peg.409|SAMN05216182_0280	WP_012660702.1	ATHE_RS14050
fig|31899.10.peg.411|SAMN05216182_0282	WP_012660703.1	ATHE_RS00135
fig|31899.10.peg.412|SAMN05216182_0283	WP_012660704.1	ATHE_RS00140
fig|31899.10.peg.413|SAMN05216182_0284	WP_012660705.1	ATHE_RS00145
fig|31899.10.peg.414|SAMN05216182_0285	WP_012660706.1	ATHE_RS00150
fig|31899.10.peg.415|SAMN05216182_0286	WP_012660707.1	ATHE_RS00155
fig|31899.10.peg.416|SAMN05216182_0287	WP_012660708.1	ATHE_RS00160
fig|31899.10.peg.417|SAMN05216182_0288	WP_012660709.1	ATHE_RS00165
fig|31899.10.peg.418|SAMN05216182_0289	WP_012660710.1	ATHE_RS00170
fig|31899.10.peg.419|SAMN05216182_0290	WP_012660711.1	ATHE_RS00175
fig|31899.10.peg.421|SAMN05216182_0292	WP_012660713.1	ATHE_RS00185
fig|31899.10.peg.422|SAMN05216182_0293	WP_012660714.1	ATHE_RS00190
fig|31899.10.peg.423|SAMN05216182_0294	WP_012660715.1	ATHE_RS00195
fig|31899.10.peg.424|SAMN05216182_0295	WP_012660716.1	ATHE_RS00200
fig|31899.10.peg.425|SAMN05216182_0296	WP_012660717.1	ATHE_RS00205
fig|31899.10.peg.426|SAMN05216182_0297	WP_012660718.1	ATHE_RS00210
fig|31899.10.peg.427|SAMN05216182_0298	WP_012660719.1	ATHE_RS00215
fig|31899.10.peg.428|SAMN05216182_0299	WP_012660720.1	ATHE_RS00220
fig|31899.10.peg.429|SAMN05216182_0302	WP_012660721.1	ATHE_RS00235
fig|31899.10.peg.430|SAMN05216182_0303	WP_012660722.1	ATHE_RS00240
fig|31899.10.peg.431|SAMN05216182_0304	WP_012660723.1	ATHE_RS00245
fig|31899.10.peg.432|SAMN05216182_0305	WP_012660724.1	ATHE_RS00250
fig|31899.10.peg.433|SAMN05216182_0306	WP_012660725.1	ATHE_RS00255
fig|31899.10.peg.434|SAMN05216182_0307	WP_012660726.1	ATHE_RS00260
fig|31899.10.peg.435|SAMN05216182_0308	WP_012660727.1	ATHE_RS00265
fig|31899.10.peg.436|SAMN05216182_0309	WP_012660728.1	ATHE_RS00270
fig|31899.10.peg.438|SAMN05216182_0311	WP_012660730.1	ATHE_RS00280
fig|31899.10.peg.439|SAMN05216182_0312	WP_012660731.1	ATHE_RS00285
fig|31899.10.peg.440|SAMN05216182_0313	WP_012660732.1	ATHE_RS00290
fig|31899.10.peg.441|SAMN05216182_0314	WP_012660733.1	ATHE_RS00295
fig|31899.10.peg.442|SAMN05216182_0315	WP_012660734.1	ATHE_RS00300
fig|31899.10.peg.443|SAMN05216182_0316	WP_015906706.1	ATHE_RS00305
fig|31899.10.peg.444|SAMN05216182_0317	WP_015906707.1	ATHE_RS00310
fig|31899.10.peg.445|SAMN05216182_0318	WP_041726932.1	ATHE_RS00315
fig|31899.10.peg.446|SAMN05216182_0319	WP_041726934.1	ATHE_RS00320
fig|31899.10.peg.447|SAMN05216182_0320	WP_015906709.1	ATHE_RS00325
fig|31899.10.peg.448|SAMN05216182_0321	WP_015906710.1	ATHE_RS00330
fig|31899.10.peg.449|SAMN05216182_0322	WP_015906711.1	ATHE_RS00335
fig|31899.10.peg.450|SAMN05216182_0323	WP_015906712.1	ATHE_RS00340
fig|31899.10.peg.456|SAMN05216182_0326	WP_015906714.1	ATHE_RS00355
fig|31899.10.peg.457|SAMN05216182_0327	WP_015906715.1	ATHE_RS00360
fig|31899.10.peg.458|SAMN05216182_0328	WP_015906716.1	ATHE_RS00365
fig|31899.10.peg.461|SAMN05216182_0331	WP_015906718.1	ATHE_RS00380
fig|31899.10.peg.462|SAMN05216182_0332	WP_015906719.1	ATHE_RS00385
fig|31899.10.peg.463|SAMN05216182_0333	WP_015906720.1	ATHE_RS00390
fig|31899.10.peg.464|SAMN05216182_0334	WP_013429135.1	ATHE_RS00395
fig|31899.10.peg.465|SAMN05216182_0335	WP_013429136.1	ATHE_RS00400
fig|31899.10.peg.466|SAMN05216182_0336	WP_015906721.1	ATHE_RS00405
fig|31899.10.peg.467|SAMN05216182_0337	WP_015906722.1	ATHE_RS00410
fig|31899.10.peg.468|SAMN05216182_0338	WP_015906723.1	ATHE_RS00415
fig|31899.10.peg.469|SAMN05216182_0339	WP_015906724.1	ATHE_RS00420
fig|31899.10.peg.470|SAMN05216182_0340	WP_015906725.1	ATHE_RS00425
fig|31899.10.peg.472|SAMN05216182_0342	WP_015906727.1	ATHE_RS00435
fig|31899.10.peg.473|SAMN05216182_0343	WP_015906728.1	ATHE_RS00440
fig|31899.10.peg.474|SAMN05216182_0344	WP_015906729.1	ATHE_RS00445
fig|31899.10.peg.475|SAMN05216182_0345	WP_015906730.1	ATHE_RS00450
fig|31899.10.peg.476|SAMN05216182_0346	WP_015906731.1	ATHE_RS13960
fig|31899.10.peg.481|SAMN05216182_0351	WP_015906735.1	ATHE_RS00470
fig|31899.10.peg.482|SAMN05216182_0352	WP_015906736.1	ATHE_RS00475
fig|31899.10.peg.485|SAMN05216182_0355	WP_015906737.1	ATHE_RS00490
fig|31899.10.peg.486|SAMN05216182_0356	WP_015906738.1	ATHE_RS00495
fig|31899.10.peg.487|SAMN05216182_0357	WP_015906739.1	ATHE_RS00500
fig|31899.10.peg.488|SAMN05216182_0358	WP_015906740.1	ATHE_RS00505
fig|31899.10.peg.490|SAMN05216182_0360	WP_015906742.1	ATHE_RS00515
fig|31899.10.peg.491|SAMN05216182_0361	WP_015906743.1	ATHE_RS00520
fig|31899.10.peg.492|SAMN05216182_0362	WP_015906744.1	ATHE_RS00525
fig|31899.10.peg.493|SAMN05216182_0363	WP_015906745.1	ATHE_RS00530
fig|31899.10.peg.494|SAMN05216182_0364	WP_015906746.1	ATHE_RS00535
fig|31899.10.peg.495|SAMN05216182_0365	WP_015906747.1	ATHE_RS00540
fig|31899.10.peg.496|SAMN05216182_0366	WP_015906748.1	ATHE_RS00545
fig|31899.10.peg.497|SAMN05216182_0367	WP_015906749.1	ATHE_RS00550
fig|31899.10.peg.498|SAMN05216182_0368	WP_015906750.1	ATHE_RS00555
fig|31899.10.peg.499|SAMN05216182_0369	WP_015906751.1	ATHE_RS00560
fig|31899.10.peg.500|SAMN05216182_0370	WP_015906752.1	ATHE_RS00565
fig|31899.10.peg.501|SAMN05216182_0371	WP_015906753.1	ATHE_RS00570
fig|31899.10.peg.502|SAMN05216182_0372	WP_015906754.1	ATHE_RS00575
fig|31899.10.peg.503|SAMN05216182_0373	WP_015906755.1	ATHE_RS00580
fig|31899.10.peg.504|SAMN05216182_0374	WP_015906756.1	ATHE_RS00585
fig|31899.10.peg.505|SAMN05216182_0375	WP_015906757.1	ATHE_RS00590
fig|31899.10.peg.506|SAMN05216182_0376	WP_015906758.1	ATHE_RS00595
fig|31899.10.peg.507|SAMN05216182_0377	WP_015906759.1	ATHE_RS00600
fig|31899.10.peg.508|SAMN05216182_0378	WP_015906760.1	ATHE_RS00605
fig|31899.10.peg.509|SAMN05216182_0379	WP_015906761.1	ATHE_RS00610
fig|31899.10.peg.510|SAMN05216182_0380	WP_041726941.1	ATHE_RS00615
fig|31899.10.peg.511|SAMN05216182_0381	WP_015906763.1	ATHE_RS00620
fig|31899.10.peg.512|SAMN05216182_0382	WP_015906764.1	ATHE_RS00625
fig|31899.10.peg.522|SAMN05216182_0385	WP_013429593.1	ATHE_RS11550
fig|31899.10.peg.523|SAMN05216182_0386	WP_015906766.1	ATHE_RS00645
fig|31899.10.peg.531|SAMN05216182_0390	WP_015906768.1	ATHE_RS00665
fig|31899.10.peg.532|SAMN05216182_0391	WP_015906769.1	ATHE_RS00670
fig|31899.10.peg.534|SAMN05216182_0393	WP_015906771.1	ATHE_RS00680
fig|31899.10.peg.535|SAMN05216182_0394	WP_015906772.1	ATHE_RS00685
fig|31899.10.peg.537|SAMN05216182_0397	WP_015906774.1	ATHE_RS00695
fig|31899.10.peg.538|SAMN05216182_0398	WP_015906775.1	ATHE_RS00700
fig|31899.10.peg.541|SAMN05216182_0401	WP_015906776.1	ATHE_RS00710
fig|31899.10.peg.542|SAMN05216182_0402	WP_015906777.1	ATHE_RS00715
fig|31899.10.peg.543	WP_015906778.1	ATHE_RS00720
fig|31899.10.peg.544	WP_015906779.1	ATHE_RS00725
fig|31899.10.peg.545|SAMN05216182_0404	WP_013431304.1	ATHE_RS00730
fig|31899.10.peg.547|SAMN05216182_0406	WP_015906781.1	ATHE_RS00740
fig|31899.10.peg.548|SAMN05216182_0407	WP_015906782.1	ATHE_RS00745
fig|31899.10.peg.549|SAMN05216182_0408	WP_015906783.1	ATHE_RS00750
fig|31899.10.peg.550|SAMN05216182_0409	WP_015906784.1	ATHE_RS00755
fig|31899.10.peg.551|SAMN05216182_0410	WP_015906785.1	ATHE_RS00760
fig|31899.10.peg.552|SAMN05216182_0411	WP_015906786.1	ATHE_RS00765
fig|31899.10.peg.553|SAMN05216182_0412	WP_015906787.1	ATHE_RS00770
fig|31899.10.peg.554|SAMN05216182_0413	WP_015906788.1	ATHE_RS00775
fig|31899.10.peg.555|SAMN05216182_0414	WP_041726951.1	ATHE_RS00780
fig|31899.10.peg.557|SAMN05216182_0416	WP_015906790.1	ATHE_RS00790
fig|31899.10.peg.558|SAMN05216182_0417	WP_015906791.1	ATHE_RS00795
fig|31899.10.peg.559|SAMN05216182_0418	WP_013404300.1	ATHE_RS00800
fig|31899.10.peg.561|SAMN05216182_0420	WP_015906793.1	ATHE_RS00810
fig|31899.10.peg.562|SAMN05216182_0421	WP_015906794.1	ATHE_RS00815
fig|31899.10.peg.563|SAMN05216182_0422	WP_015906795.1	ATHE_RS00820
fig|31899.10.peg.564|SAMN05216182_0423	WP_015906796.1	ATHE_RS00825
fig|31899.10.peg.565|SAMN05216182_0424	WP_015906797.1	ATHE_RS00830
fig|31899.10.peg.566|SAMN05216182_0425	WP_015906798.1	ATHE_RS00835
fig|31899.10.peg.568|SAMN05216182_0426	WP_015906799.1	ATHE_RS00840
