fig|31899.10.peg.70	WP_015908853.1	ATHE_RS12780	Athe_2535
fig|31899.10.peg.113	WP_015908884.1	ATHE_RS12955	Athe_2570
fig|31899.10.peg.116	WP_015908886.1	ATHE_RS12965	Athe_2572
fig|31899.10.peg.121	WP_015908887.1	ATHE_RS12990	Athe_2574
fig|31899.10.peg.122	WP_015908888.1	ATHE_RS12995	Athe_2575
fig|31899.10.peg.123	WP_015908889.1	ATHE_RS13000	Athe_2576
fig|31899.10.peg.124	WP_015908890.1	ATHE_RS13005	Athe_2577
fig|31899.10.peg.125	WP_015908891.1	ATHE_RS13010	Athe_2578
fig|31899.10.peg.126	WP_015908892.1	ATHE_RS13015	Athe_2579
fig|31899.10.peg.127	WP_015908893.1	ATHE_RS13020	Athe_2580
fig|31899.10.peg.128	WP_015908894.1	ATHE_RS13025	Athe_2581
fig|31899.10.peg.129	WP_015908895.1	ATHE_RS13030	Athe_2582
fig|31899.10.peg.130	WP_015908896.1	ATHE_RS13035	Athe_2583
fig|31899.10.peg.131	WP_015908897.1	ATHE_RS13040	Athe_2584
fig|31899.10.peg.133	WP_015908898.1	ATHE_RS13045	Athe_2585
fig|31899.10.peg.134	WP_015908899.1	ATHE_RS13050	Athe_2586
fig|31899.10.peg.135	WP_013429342.1	ATHE_RS13055	Athe_2587
fig|31899.10.peg.140	WP_015908904.1	ATHE_RS13070	Athe_2592
fig|31899.10.peg.142	WP_015908906.1	ATHE_RS13080	Athe_2594
fig|31899.10.peg.143	WP_015908907.1	ATHE_RS13085	Athe_2595
fig|31899.10.peg.146	WP_015908910.1	ATHE_RS13100	Athe_2598
fig|31899.10.peg.147	WP_015908911.1	ATHE_RS13130	Athe_2599
fig|31899.10.peg.148	WP_015908912.1	ATHE_RS13135	Athe_2600
fig|31899.10.peg.149	WP_015908913.1	ATHE_RS13140	Athe_2601
fig|31899.10.peg.150	WP_015908914.1	ATHE_RS13145	Athe_2602
fig|31899.10.peg.151	WP_015908915.1	ATHE_RS13150	Athe_2603
fig|31899.10.peg.152	WP_015908916.1	ATHE_RS13155	Athe_2604
fig|31899.10.peg.153	WP_041727244.1	ATHE_RS13160	Athe_2605
fig|31899.10.peg.155	WP_015908919.1	ATHE_RS13170	Athe_2607
fig|31899.10.peg.156	WP_015908920.1	ATHE_RS13175	Athe_2608
fig|31899.10.peg.157	WP_015908921.1	ATHE_RS13180	Athe_2609
fig|31899.10.peg.158	WP_015908922.1	ATHE_RS13185	Athe_2610
fig|31899.10.peg.159	WP_015908923.1	ATHE_RS13190	Athe_2611
fig|31899.10.peg.160	WP_015908924.1	ATHE_RS13195	Athe_2612
fig|31899.10.peg.162	WP_015908925.1	ATHE_RS13200	Athe_2613
fig|31899.10.peg.163	WP_015908926.1	ATHE_RS13205	Athe_2614
fig|31899.10.peg.164	WP_015908927.1	ATHE_RS13210	Athe_2615
fig|31899.10.peg.165	WP_015908928.1	ATHE_RS13215	Athe_2616
fig|31899.10.peg.166	WP_015908929.1	ATHE_RS13220	Athe_2617
fig|31899.10.peg.169	WP_015908931.1	ATHE_RS13230	Athe_2619
fig|31899.10.peg.170	WP_015908932.1	ATHE_RS13235	Athe_2620
fig|31899.10.peg.172	WP_015908933.1	ATHE_RS13240	Athe_2621
fig|31899.10.peg.173	WP_015908934.1	ATHE_RS13245	Athe_2622
fig|31899.10.peg.174	WP_011916100.1	ATHE_RS13250	Athe_2623
fig|31899.10.peg.175	WP_015908935.1	ATHE_RS13255	Athe_2624
fig|31899.10.peg.176	WP_015908936.1	ATHE_RS13260	Athe_2625
fig|31899.10.peg.178	WP_015908937.1	ATHE_RS13265	Athe_2626
fig|31899.10.peg.179	WP_015908938.1	ATHE_RS13270	Athe_2627
fig|31899.10.peg.183	WP_015908941.1	ATHE_RS13275	Athe_2630
fig|31899.10.peg.184	WP_015908942.1	ATHE_RS13280	Athe_2631
fig|31899.10.peg.185	WP_015908943.1	ATHE_RS13285	Athe_2632
fig|31899.10.peg.186	WP_015908944.1	ATHE_RS13290	Athe_2633
fig|31899.10.peg.188	WP_015908946.1	ATHE_RS13295	Athe_2635
fig|31899.10.peg.193	WP_015908949.1	ATHE_RS13305	Athe_2638
fig|31899.10.peg.195	WP_015908950.1	ATHE_RS13310	Athe_2639
fig|31899.10.peg.196	WP_015908951.1	ATHE_RS13315	Athe_2640
fig|31899.10.peg.197	WP_015908952.1	ATHE_RS13320	Athe_2641
fig|31899.10.peg.198	WP_015908953.1	ATHE_RS13325	Athe_2642
fig|31899.10.peg.199	WP_013291477.1	ATHE_RS13330	Athe_2643
fig|31899.10.peg.200	WP_015908954.1	ATHE_RS13335	Athe_2644
fig|31899.10.peg.201	WP_015908955.1	ATHE_RS13340	Athe_2645
fig|31899.10.peg.202	WP_015908956.1	ATHE_RS13345	Athe_2646
fig|31899.10.peg.203	WP_015908957.1	ATHE_RS13350	Athe_2647
fig|31899.10.peg.204	WP_015908958.1	ATHE_RS13355	Athe_2648
fig|31899.10.peg.205	WP_015908959.1	ATHE_RS13360	Athe_2649
fig|31899.10.peg.209	WP_015908960.1	ATHE_RS13370	Athe_2651
fig|31899.10.peg.210	WP_015908961.1	ATHE_RS13375	Athe_2652
fig|31899.10.peg.211	WP_015908962.1	ATHE_RS13385	Athe_2653
fig|31899.10.peg.212	WP_015908963.1	ATHE_RS13390	Athe_2654
fig|31899.10.peg.215	WP_013404366.1	ATHE_RS13410	Athe_2658
fig|31899.10.peg.216	WP_015908965.1	ATHE_RS13415	Athe_2659
fig|31899.10.peg.218	WP_015908967.1	ATHE_RS13425	Athe_2661
fig|31899.10.peg.219	WP_015908968.1	ATHE_RS13430	Athe_2662
fig|31899.10.peg.220	WP_015908969.1	ATHE_RS13435	Athe_2663
fig|31899.10.peg.221	WP_015908970.1	ATHE_RS13440	Athe_2664
fig|31899.10.peg.233	WP_015908974.1	ATHE_RS13460	Athe_2668
fig|31899.10.peg.234	WP_015908975.1	ATHE_RS13465	Athe_2669
fig|31899.10.peg.235	WP_015908976.1	ATHE_RS13470	Athe_2670
fig|31899.10.peg.236	WP_015908977.1	ATHE_RS13475	Athe_2671
fig|31899.10.peg.237	WP_015908978.1	ATHE_RS13480	Athe_2672
fig|31899.10.peg.238	WP_015908979.1	ATHE_RS13485	Athe_2673
fig|31899.10.peg.245	WP_015908981.1	ATHE_RS13500	Athe_2676
fig|31899.10.peg.248	WP_015908982.1	ATHE_RS13510	Athe_2677
fig|31899.10.peg.251	WP_015908983.1	ATHE_RS13520	Athe_2678
fig|31899.10.peg.252	WP_049760268.1	ATHE_RS13525	NA
fig|31899.10.peg.257	WP_015908984.1	ATHE_RS13540	Athe_2682
fig|31899.10.peg.260	WP_015908985.1	ATHE_RS13550	Athe_2684
fig|31899.10.peg.272	WP_015908987.1	ATHE_RS13565	Athe_2687
fig|31899.10.peg.273	WP_015908988.1	ATHE_RS13570	Athe_2688
fig|31899.10.peg.274	WP_015908989.1	ATHE_RS13575	Athe_2689
fig|31899.10.peg.275	WP_015908990.1	ATHE_RS13580	Athe_2690
fig|31899.10.peg.280	WP_015908991.1	ATHE_RS13595	Athe_2692
fig|31899.10.peg.281	WP_015908992.1	ATHE_RS13600	Athe_2693
fig|31899.10.peg.282	WP_015908993.1	ATHE_RS13605	Athe_2694
fig|31899.10.peg.283	WP_015908994.1	ATHE_RS13610	Athe_2695
fig|31899.10.peg.284	WP_015908995.1	ATHE_RS13615	Athe_2696
fig|31899.10.peg.285	WP_015908996.1	ATHE_RS13620	Athe_2697
fig|31899.10.peg.286	WP_015908997.1	ATHE_RS13625	Athe_2698
fig|31899.10.peg.287	WP_015908998.1	ATHE_RS13630	Athe_2699
fig|31899.10.peg.288	WP_015908999.1	ATHE_RS13635	Athe_2700
fig|31899.10.peg.289	WP_015909000.1	ATHE_RS13640	Athe_2701
fig|31899.10.peg.290	WP_015909001.1	ATHE_RS13645	Athe_2702
fig|31899.10.peg.291	WP_015909002.1	ATHE_RS13650	Athe_2703
fig|31899.10.peg.292	WP_015909003.1	ATHE_RS13655	Athe_2704
fig|31899.10.peg.296	WP_015909005.1	ATHE_RS13670	Athe_2707
fig|31899.10.peg.301	WP_013404392.1	ATHE_RS13685	Athe_2709
fig|31899.10.peg.302	WP_015909007.1	ATHE_RS13690	Athe_2710
fig|31899.10.peg.305	WP_015909008.1	ATHE_RS13695	Athe_2711
fig|31899.10.peg.306	WP_015909009.1	ATHE_RS13700	Athe_2712
fig|31899.10.peg.307	WP_041727261.1	ATHE_RS13705	Athe_2713
fig|31899.10.peg.310	WP_015909011.1	ATHE_RS13710	Athe_2714
fig|31899.10.peg.311	WP_041727263.1	ATHE_RS13715	Athe_2715
fig|31899.10.peg.312	WP_015909013.1	ATHE_RS13720	Athe_2716
fig|31899.10.peg.323	WP_015909014.1	ATHE_RS13735	Athe_2718
fig|31899.10.peg.324	WP_015909015.1	ATHE_RS13740	Athe_2719
fig|31899.10.peg.325	WP_015909016.1	ATHE_RS13745	Athe_2720
fig|31899.10.peg.328	WP_015909018.1	ATHE_RS13755	Athe_2722
fig|31899.10.peg.329	WP_015909019.1	ATHE_RS13760	Athe_2723
fig|31899.10.peg.330	WP_015909020.1	ATHE_RS13765	Athe_2724
fig|31899.10.peg.331	WP_015909022.1	ATHE_RS13775	Athe_2726
fig|31899.10.peg.332	WP_015909023.1	ATHE_RS13780	Athe_2727
fig|31899.10.peg.333	WP_013404408.1	ATHE_RS14435	Athe_2728
fig|31899.10.peg.334	WP_013431413.1	ATHE_RS13785	Athe_2729
fig|31899.10.peg.335	WP_013404410.1	ATHE_RS13790	Athe_2730
fig|31899.10.peg.336	WP_015909024.1	ATHE_RS13795	Athe_2731
fig|31899.10.peg.337	WP_015909025.1	ATHE_RS13800	Athe_2732
fig|31899.10.peg.338	WP_015909026.1	ATHE_RS13805	Athe_2733
fig|31899.10.peg.341	WP_015909028.1	ATHE_RS13820	Athe_2736
fig|31899.10.peg.342	WP_015909029.1	ATHE_RS13825	Athe_2737
fig|31899.10.peg.343	WP_013404418.1	ATHE_RS13830	Athe_2738
fig|31899.10.peg.344	WP_015909030.1	ATHE_RS13835	Athe_2739
fig|31899.10.peg.345	WP_015909031.1	ATHE_RS13840	Athe_2740
fig|31899.10.peg.346	WP_015909032.1	ATHE_RS13845	Athe_2741
fig|31899.10.peg.347	WP_015909033.1	ATHE_RS13850	Athe_2742
fig|31899.10.peg.348	WP_015909034.1	ATHE_RS13855	Athe_2743
fig|31899.10.peg.349	WP_015909035.1	ATHE_RS13860	Athe_2744
fig|31899.10.peg.350	WP_015909036.1	ATHE_RS13865	Athe_2745
fig|31899.10.peg.351	WP_015909037.1	ATHE_RS13870	Athe_2746
fig|31899.10.peg.352	WP_015909038.1	ATHE_RS13875	Athe_2747
fig|31899.10.peg.353	WP_015909039.1	ATHE_RS13880	Athe_2748
fig|31899.10.peg.354	WP_015909040.1	ATHE_RS13885	Athe_2749
fig|31899.10.peg.355	WP_015909041.1	ATHE_RS13890	Athe_2750
fig|31899.10.peg.356	WP_015909042.1	ATHE_RS13895	Athe_2751
fig|31899.10.peg.357	WP_015909043.1	ATHE_RS13900	Athe_2752
fig|31899.10.peg.358	WP_015909044.1	ATHE_RS13905	Athe_2753
fig|31899.10.peg.359	WP_015909045.1	ATHE_RS13910	Athe_2754
fig|31899.10.peg.360	WP_015909046.1	ATHE_RS13915	Athe_2755
fig|31899.10.peg.361	WP_015909047.1	ATHE_RS13920	Athe_2756
fig|31899.10.peg.362	WP_015909048.1	ATHE_RS13925	Athe_2757
fig|31899.10.peg.363	WP_015909049.1	ATHE_RS13930	Athe_2758
fig|31899.10.peg.364	WP_013431441.1	ATHE_RS13935	Athe_2759
fig|31899.10.peg.365	WP_015909050.1	ATHE_RS13940	Athe_2760
fig|31899.10.peg.366	WP_015909051.1	ATHE_RS14530	Athe_2761
fig|31899.10.peg.367	WP_015909052.1	ATHE_RS14535	Athe_2762
fig|31899.10.peg.368	WP_013291559.1	ATHE_RS13955	Athe_2763
fig|31899.10.peg.369	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.370	WP_015909053.1	ATHE_RS13965	Athe_2765
fig|31899.10.peg.371	WP_015909054.1	ATHE_RS13970	Athe_2766
fig|31899.10.peg.372	WP_015909055.1	ATHE_RS13975	Athe_2767
fig|31899.10.peg.373	WP_013431448.1	ATHE_RS13980	Athe_2768
fig|31899.10.peg.374	WP_012660677.1	ATHE_RS00005	Athe_0001
fig|31899.10.peg.376	WP_012660679.1	ATHE_RS00010	Athe_0003
fig|31899.10.peg.377	WP_012660680.1	ATHE_RS00015	Athe_0004
fig|31899.10.peg.378	WP_012660681.1	ATHE_RS00020	Athe_0005
fig|31899.10.peg.382	WP_012660684.1	ATHE_RS00030	Athe_0008
fig|31899.10.peg.384	WP_012660685.1	ATHE_RS00035	Athe_0009
fig|31899.10.peg.388	WP_012660688.1	ATHE_RS00045	Athe_0012
fig|31899.10.peg.389	WP_012660689.1	ATHE_RS00050	Athe_0013
fig|31899.10.peg.390	WP_012660690.1	ATHE_RS00055	Athe_0014
fig|31899.10.peg.391	WP_012660691.1	ATHE_RS00060	Athe_0015
fig|31899.10.peg.392	WP_012660692.1	ATHE_RS00065	Athe_0016
fig|31899.10.peg.393	WP_012660693.1	ATHE_RS00070	Athe_0017
fig|31899.10.peg.396	WP_012660694.1	ATHE_RS00080	Athe_0019
fig|31899.10.peg.397	WP_012660695.1	ATHE_RS00085	Athe_0020
fig|31899.10.peg.400	WP_012660696.1	ATHE_RS00095	Athe_0022
fig|31899.10.peg.401	WP_012660697.1	ATHE_RS00100	Athe_0023
fig|31899.10.peg.403	WP_012660698.1	ATHE_RS00105	Athe_0024
fig|31899.10.peg.405	WP_012660699.1	ATHE_RS00110	Athe_0025
fig|31899.10.peg.406	WP_012660700.1	ATHE_RS00115	Athe_0026
fig|31899.10.peg.408	WP_012660701.1	ATHE_RS00120	Athe_0028
fig|31899.10.peg.409	WP_012660702.1	ATHE_RS14050	Athe_0029
fig|31899.10.peg.411	WP_012660703.1	ATHE_RS00135	Athe_0031
fig|31899.10.peg.412	WP_012660704.1	ATHE_RS00140	Athe_0032
fig|31899.10.peg.413	WP_012660705.1	ATHE_RS00145	Athe_0033
fig|31899.10.peg.414	WP_012660706.1	ATHE_RS00150	Athe_0034
fig|31899.10.peg.415	WP_012660707.1	ATHE_RS00155	Athe_0035
fig|31899.10.peg.416	WP_012660708.1	ATHE_RS00160	Athe_0036
fig|31899.10.peg.417	WP_012660709.1	ATHE_RS00165	Athe_0037
fig|31899.10.peg.418	WP_012660710.1	ATHE_RS00170	Athe_0038
fig|31899.10.peg.419	WP_012660711.1	ATHE_RS00175	Athe_0039
fig|31899.10.peg.421	WP_012660713.1	ATHE_RS00185	Athe_0041
fig|31899.10.peg.422	WP_012660714.1	ATHE_RS00190	Athe_0042
fig|31899.10.peg.423	WP_012660715.1	ATHE_RS00195	Athe_0043
fig|31899.10.peg.424	WP_012660716.1	ATHE_RS00200	Athe_0044
fig|31899.10.peg.425	WP_012660717.1	ATHE_RS00205	Athe_0045
fig|31899.10.peg.426	WP_012660718.1	ATHE_RS00210	Athe_0046
fig|31899.10.peg.427	WP_012660719.1	ATHE_RS00215	Athe_0047
fig|31899.10.peg.428	WP_012660720.1	ATHE_RS00220	Athe_0048
fig|31899.10.peg.429	WP_012660721.1	ATHE_RS00235	Athe_0049
fig|31899.10.peg.430	WP_012660722.1	ATHE_RS00240	Athe_0050
fig|31899.10.peg.431	WP_012660723.1	ATHE_RS00245	Athe_0051
fig|31899.10.peg.432	WP_012660724.1	ATHE_RS00250	Athe_0052
fig|31899.10.peg.433	WP_012660725.1	ATHE_RS00255	Athe_0053
fig|31899.10.peg.434	WP_012660726.1	ATHE_RS00260	Athe_0054
fig|31899.10.peg.435	WP_012660727.1	ATHE_RS00265	Athe_0055
fig|31899.10.peg.436	WP_012660728.1	ATHE_RS00270	Athe_0056
fig|31899.10.peg.438	WP_012660730.1	ATHE_RS00280	Athe_0058
fig|31899.10.peg.439	WP_012660731.1	ATHE_RS00285	Athe_0059
fig|31899.10.peg.440	WP_012660732.1	ATHE_RS00290	Athe_0060
fig|31899.10.peg.441	WP_012660733.1	ATHE_RS00295	Athe_0061
fig|31899.10.peg.442	WP_012660734.1	ATHE_RS00300	Athe_0062
fig|31899.10.peg.443	WP_015906706.1	ATHE_RS00305	Athe_0063
fig|31899.10.peg.444	WP_015906707.1	ATHE_RS00310	Athe_0064
fig|31899.10.peg.445	WP_041726932.1	ATHE_RS00315	Athe_0065
fig|31899.10.peg.446	WP_041726934.1	ATHE_RS00320	NA
fig|31899.10.peg.447	WP_015906709.1	ATHE_RS00325	NA
fig|31899.10.peg.448	WP_015906710.1	ATHE_RS00330	Athe_0067
fig|31899.10.peg.449	WP_015906711.1	ATHE_RS00335	Athe_0068
fig|31899.10.peg.450	WP_015906712.1	ATHE_RS00340	Athe_0069
fig|31899.10.peg.456	WP_015906714.1	ATHE_RS00355	Athe_0072
fig|31899.10.peg.457	WP_015906715.1	ATHE_RS00360	Athe_0073
fig|31899.10.peg.458	WP_015906716.1	ATHE_RS00365	Athe_0074
fig|31899.10.peg.461	WP_015906718.1	ATHE_RS00380	Athe_0077
fig|31899.10.peg.462	WP_015906719.1	ATHE_RS00385	Athe_0078
fig|31899.10.peg.463	WP_015906720.1	ATHE_RS00390	Athe_0079
fig|31899.10.peg.464	WP_013429135.1	ATHE_RS00395	Athe_0080
fig|31899.10.peg.465	WP_013429136.1	ATHE_RS00400	Athe_0081
fig|31899.10.peg.466	WP_015906721.1	ATHE_RS00405	Athe_0082
fig|31899.10.peg.467	WP_015906722.1	ATHE_RS00410	Athe_0083
fig|31899.10.peg.468	WP_015906723.1	ATHE_RS00415	Athe_0084
fig|31899.10.peg.469	WP_015906724.1	ATHE_RS00420	Athe_0085
fig|31899.10.peg.470	WP_015906725.1	ATHE_RS00425	Athe_0086
fig|31899.10.peg.472	WP_015906727.1	ATHE_RS00435	Athe_0088
fig|31899.10.peg.473	WP_015906728.1	ATHE_RS00440	Athe_0089
fig|31899.10.peg.474	WP_015906729.1	ATHE_RS00445	Athe_0090
fig|31899.10.peg.475	WP_015906730.1	ATHE_RS00450	Athe_0091
fig|31899.10.peg.476	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.481	WP_015906735.1	ATHE_RS00470	Athe_0096
fig|31899.10.peg.482	WP_015906736.1	ATHE_RS00475	Athe_0097
fig|31899.10.peg.485	WP_015906737.1	ATHE_RS00490	Athe_0100
fig|31899.10.peg.486	WP_015906738.1	ATHE_RS00495	Athe_0101
fig|31899.10.peg.487	WP_015906739.1	ATHE_RS00500	Athe_0102
fig|31899.10.peg.488	WP_015906740.1	ATHE_RS00505	Athe_0103
fig|31899.10.peg.490	WP_015906742.1	ATHE_RS00515	Athe_0105
fig|31899.10.peg.491	WP_015906743.1	ATHE_RS00520	Athe_0106
fig|31899.10.peg.492	WP_015906744.1	ATHE_RS00525	Athe_0107
fig|31899.10.peg.493	WP_015906745.1	ATHE_RS00530	Athe_0108
fig|31899.10.peg.494	WP_015906746.1	ATHE_RS00535	Athe_0109
fig|31899.10.peg.495	WP_015906747.1	ATHE_RS00540	Athe_0110
fig|31899.10.peg.496	WP_015906748.1	ATHE_RS00545	Athe_0111
fig|31899.10.peg.497	WP_015906749.1	ATHE_RS00550	Athe_0112
fig|31899.10.peg.498	WP_015906750.1	ATHE_RS00555	Athe_0113
fig|31899.10.peg.499	WP_015906751.1	ATHE_RS00560	Athe_0114
fig|31899.10.peg.500	WP_015906752.1	ATHE_RS00565	Athe_0115
fig|31899.10.peg.501	WP_015906753.1	ATHE_RS00570	Athe_0116
fig|31899.10.peg.502	WP_015906754.1	ATHE_RS00575	Athe_0117
fig|31899.10.peg.503	WP_015906755.1	ATHE_RS00580	Athe_0118
fig|31899.10.peg.504	WP_015906756.1	ATHE_RS00585	Athe_0119
fig|31899.10.peg.505	WP_015906757.1	ATHE_RS00590	Athe_0120
fig|31899.10.peg.506	WP_015906758.1	ATHE_RS00595	Athe_0121
fig|31899.10.peg.507	WP_015906759.1	ATHE_RS00600	Athe_0122
fig|31899.10.peg.508	WP_015906760.1	ATHE_RS00605	Athe_0123
fig|31899.10.peg.509	WP_015906761.1	ATHE_RS00610	Athe_0124
fig|31899.10.peg.510	WP_041726941.1	ATHE_RS00615	Athe_0125
fig|31899.10.peg.511	WP_015906763.1	ATHE_RS00620	Athe_0126
fig|31899.10.peg.512	WP_015906764.1	ATHE_RS00625	Athe_0127
fig|31899.10.peg.522	WP_013429593.1	ATHE_RS11550	Athe_2293
fig|31899.10.peg.523	WP_015906766.1	ATHE_RS00645	Athe_0131
fig|31899.10.peg.531	WP_015906768.1	ATHE_RS00665	Athe_0135
fig|31899.10.peg.532	WP_015906769.1	ATHE_RS00670	Athe_0136
fig|31899.10.peg.534	WP_015906771.1	ATHE_RS00680	Athe_0138
fig|31899.10.peg.535	WP_015906772.1	ATHE_RS00685	Athe_0139
fig|31899.10.peg.537	WP_015906774.1	ATHE_RS00695	Athe_0142
fig|31899.10.peg.538	WP_015906775.1	ATHE_RS00700	Athe_0143
fig|31899.10.peg.541	WP_015906776.1	ATHE_RS00710	Athe_0146
fig|31899.10.peg.542	WP_015906777.1	ATHE_RS00715	Athe_0147
fig|31899.10.peg.543	WP_015906778.1	ATHE_RS00720	Athe_0148
fig|31899.10.peg.544	WP_015906779.1	ATHE_RS00725	Athe_0149
fig|31899.10.peg.545	WP_013431304.1	ATHE_RS00730	Athe_0150
fig|31899.10.peg.547	WP_015906781.1	ATHE_RS00740	Athe_0152
fig|31899.10.peg.548	WP_015906782.1	ATHE_RS00745	Athe_0153
fig|31899.10.peg.549	WP_015906783.1	ATHE_RS00750	Athe_0154
fig|31899.10.peg.550	WP_015906784.1	ATHE_RS00755	Athe_0155
fig|31899.10.peg.551	WP_015906785.1	ATHE_RS00760	Athe_0156
fig|31899.10.peg.552	WP_015906786.1	ATHE_RS00765	Athe_0157
fig|31899.10.peg.553	WP_015906787.1	ATHE_RS00770	Athe_0158
fig|31899.10.peg.554	WP_015906788.1	ATHE_RS00775	Athe_0159
fig|31899.10.peg.555	WP_041726951.1	ATHE_RS00780	NA
fig|31899.10.peg.557	WP_015906790.1	ATHE_RS00790	Athe_0161
fig|31899.10.peg.558	WP_015906791.1	ATHE_RS00795	Athe_0162
fig|31899.10.peg.559	WP_013404300.1	ATHE_RS00800	Athe_0163
fig|31899.10.peg.561	WP_015906793.1	ATHE_RS00810	Athe_0165
fig|31899.10.peg.562	WP_015906794.1	ATHE_RS00815	Athe_0166
fig|31899.10.peg.563	WP_015906795.1	ATHE_RS00820	Athe_0167
fig|31899.10.peg.564	WP_015906796.1	ATHE_RS00825	Athe_0168
fig|31899.10.peg.565	WP_015906797.1	ATHE_RS00830	Athe_0169
fig|31899.10.peg.566	WP_015906798.1	ATHE_RS00835	Athe_0170
fig|31899.10.peg.568	WP_015906799.1	ATHE_RS00840	Athe_0171
fig|31899.10.peg.569	WP_015906800.1	ATHE_RS00845	Athe_0172
fig|31899.10.peg.570	WP_011917919.1	ATHE_RS00850	Athe_0173
fig|31899.10.peg.571	WP_015906801.1	ATHE_RS00855	Athe_0174
fig|31899.10.peg.572	WP_013431286.1	ATHE_RS00860	Athe_0175
fig|31899.10.peg.573	WP_013431285.1	ATHE_RS00865	Athe_0176
fig|31899.10.peg.574	WP_015906802.1	ATHE_RS00870	Athe_0177
fig|31899.10.peg.575	WP_015906803.1	ATHE_RS00875	Athe_0178
fig|31899.10.peg.576	WP_015906804.1	ATHE_RS00880	Athe_0179
fig|31899.10.peg.577	WP_015906805.1	ATHE_RS00885	Athe_0180
fig|31899.10.peg.578	WP_013431280.1	ATHE_RS00890	Athe_0181
fig|31899.10.peg.580	WP_015906807.1	ATHE_RS00900	Athe_0183
fig|31899.10.peg.581	WP_015906808.1	ATHE_RS00905	Athe_0184
fig|31899.10.peg.582	WP_015906809.1	ATHE_RS00910	Athe_0185
fig|31899.10.peg.583	WP_015906810.1	ATHE_RS00915	Athe_0186
fig|31899.10.peg.585	WP_015906731.1	ATHE_RS13960	Athe_2764
fig|31899.10.peg.587	WP_015906812.1	ATHE_RS00930	Athe_0190
fig|31899.10.peg.588	WP_015906813.1	ATHE_RS00935	Athe_0191
fig|31899.10.peg.589	WP_015906814.1	ATHE_RS00940	Athe_0192
fig|31899.10.peg.590	WP_015906815.1	ATHE_RS00945	Athe_0193
fig|31899.10.peg.591	WP_015906816.1	ATHE_RS00950	Athe_0194
fig|31899.10.peg.592	WP_015906817.1	ATHE_RS00955	Athe_0195
fig|31899.10.peg.593	WP_015906818.1	ATHE_RS00960	Athe_0196
fig|31899.10.peg.594	WP_015906819.1	ATHE_RS00965	Athe_0197
fig|31899.10.peg.595	WP_015906820.1	ATHE_RS00970	Athe_0198
fig|31899.10.peg.596	WP_015906821.1	ATHE_RS00975	Athe_0199
fig|31899.10.peg.597	WP_015906822.1	ATHE_RS00980	Athe_0200
fig|31899.10.peg.598	WP_013431266.1	ATHE_RS00985	Athe_0201
fig|31899.10.peg.599	WP_015906823.1	ATHE_RS00990	Athe_0202
fig|31899.10.peg.600	WP_015906824.1	ATHE_RS00995	Athe_0203
fig|31899.10.peg.602	WP_015906825.1	ATHE_RS01000	Athe_0204
fig|31899.10.peg.603	WP_015906826.1	ATHE_RS01005	Athe_0205
fig|31899.10.peg.604	WP_015906827.1	ATHE_RS01010	Athe_0206
fig|31899.10.peg.605	WP_015906828.1	ATHE_RS01015	Athe_0207
