# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000094.1	1	370	-	WP_045414052.1	WP_045414052.1		IS200/IS605 family transposase			NTOU1_RS14575	370	123	partial
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000094.1	455	673	+							NTOU1_RS14580	219		old_locus_tag=TR39_RS14425
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000094.1	455	673	+	WP_045414055.1	WP_045414055.1		hypothetical protein			NTOU1_RS14580	219	72	
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000093.1	369	1016	-							NTOU1_RS14570	648		partial;pseudo
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000093.1	369	1016	-				IS5/IS1182 family transposase			NTOU1_RS14570	648		partial;pseudo
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000092.1	1	414	-							NTOU1_RS14560	414		partial;pseudo;old_locus_tag=TR39_RS14410
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000092.1	1	414	-				IS110 family transposase			NTOU1_RS14560	414		partial;pseudo
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000092.1	530	657	-							NTOU1_RS14565	128		partial;pseudo
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000092.1	530	657	-				TetR family transcriptional regulator			NTOU1_RS14565	128		partial;pseudo
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	1	371	-							NTOU1_RS14535	371		partial;pseudo;old_locus_tag=TR39_RS14685
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	1	371	-				hypothetical protein			NTOU1_RS14535	371		partial;pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	430	1107	-							NTOU1_RS14540	678		old_locus_tag=TR39_RS14690
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	430	1107	-	WP_052410060.1	WP_052410060.1		transposase			NTOU1_RS14540	678	225	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	1209	1442	-							NTOU1_RS14545	234		old_locus_tag=TR39_RS14395
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	1209	1442	-	WP_045414035.1	WP_045414035.1		hypothetical protein			NTOU1_RS14545	234	77	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	1635	2453	-							NTOU1_RS14550	819		old_locus_tag=TR39_RS14400
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	1635	2453	-	WP_045414038.1	WP_045414038.1		hypothetical protein			NTOU1_RS14550	819	272	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	2516	2950	-							NTOU1_RS14555	435		old_locus_tag=TR39_RS14405
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000091.1	2516	2950	-	WP_045414041.1	WP_045414041.1		hypothetical protein			NTOU1_RS14555	435	144	
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000090.1	841	3457	+							NTOU1_RS14530	2617		partial;old_locus_tag=TR39_RS14385
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000090.1	841	3457	+				23S ribosomal RNA			NTOU1_RS14530	2617		partial
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000089.1	192	1126	-							NTOU1_RS14525	935		partial;pseudo;old_locus_tag=TR39_RS14380
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000089.1	192	1126	-				IS110 family transposase			NTOU1_RS14525	935		partial;pseudo
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	1	263	+							NTOU1_RS14485	263		partial;pseudo;old_locus_tag=TR39_RS14345
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	1	263	+				hypothetical protein			NTOU1_RS14485	263		partial;pseudo
gene	tRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	488	563	-							NTOU1_RS14490	76		old_locus_tag=TR39_RS14350
tRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	488	563	-				tRNA-Phe			NTOU1_RS14490	76		anticodon=GAA
gene	tRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	586	662	-							NTOU1_RS14495	77		old_locus_tag=TR39_RS14355
tRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	586	662	-				tRNA-Asp			NTOU1_RS14495	77		anticodon=GTC
gene	tRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	681	756	-							NTOU1_RS14500	76		old_locus_tag=TR39_RS14360
tRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	681	756	-				tRNA-Met			NTOU1_RS14500	76		anticodon=CAT
gene	tRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	765	839	-							NTOU1_RS14505	75		old_locus_tag=TR39_RS14365
tRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	765	839	-				tRNA-Glu			NTOU1_RS14505	75		anticodon=TTC
gene	tRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	846	920	-							NTOU1_RS14510	75		old_locus_tag=TR39_RS14370
tRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	846	920	-				tRNA-Asn			NTOU1_RS14510	75		anticodon=GTT
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	928	1082	-					rrf		NTOU1_RS14515	155		old_locus_tag=TR39_RS14680
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	928	1082	-				5S ribosomal RNA	rrf		NTOU1_RS14515	155		
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	1123	1671	-							NTOU1_RS14520	549		partial;old_locus_tag=TR39_RS14375
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000088.1	1123	1671	-				23S ribosomal RNA			NTOU1_RS14520	549		partial
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000087.1	3	755	+							NTOU1_RS14480	753		partial;pseudo;old_locus_tag=TR39_RS14340
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000087.1	3	755	+				MFS transporter			NTOU1_RS14480	753		partial;pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000086.1	133	348	+							NTOU1_RS14465	216		old_locus_tag=TR39_RS14325
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000086.1	133	348	+	WP_045414007.1	WP_045414007.1		XRE family transcriptional regulator			NTOU1_RS14465	216	71	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000086.1	342	563	+							NTOU1_RS14470	222		old_locus_tag=TR39_RS14330
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000086.1	342	563	+	WP_045414011.1	WP_045414011.1		hypothetical protein			NTOU1_RS14470	222	73	
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000086.1	560	851	+							NTOU1_RS14475	292		partial;pseudo;old_locus_tag=TR39_RS14335
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000086.1	560	851	+				cell filamentation protein Fic			NTOU1_RS14475	292		partial;pseudo
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000085.1	1	209	+							NTOU1_RS14450	209		partial;pseudo;old_locus_tag=TR39_RS14310
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000085.1	1	209	+				hypothetical protein			NTOU1_RS14450	209		partial;pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000085.1	389	1315	-							NTOU1_RS14455	927		old_locus_tag=TR39_RS14315
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000085.1	389	1315	-	WP_045414002.1	WP_045414002.1		gfo/Idh/MocA family oxidoreductase			NTOU1_RS14455	927	308	
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000085.1	1506	1695	+							NTOU1_RS14460	190		partial;pseudo;old_locus_tag=TR39_RS14320
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000085.1	1506	1695	+				hypothetical protein			NTOU1_RS14460	190		partial;pseudo
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000084.1	10	401	-							NTOU1_RS14435	392		partial;pseudo;old_locus_tag=TR39_RS14300
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000084.1	10	401	-				hypothetical protein			NTOU1_RS14435	392		partial;pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000084.1	443	997	-							NTOU1_RS14440	555		old_locus_tag=TR39_RS14305
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000084.1	443	997	-	WP_045413994.1	WP_045413994.1		hypothetical protein			NTOU1_RS14440	555	184	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000084.1	1179	1457	-							NTOU1_RS14445	279		
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000084.1	1179	1457	-	WP_082243712.1	WP_082243712.1		CHAP domain-containing protein			NTOU1_RS14445	279	92	
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000083.1	1	470	-							NTOU1_RS14420	470		partial;pseudo;old_locus_tag=TR39_RS14285
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000083.1	1	470	-				transcriptional regulator			NTOU1_RS14420	470		partial;pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000083.1	574	996	-							NTOU1_RS14425	423		old_locus_tag=TR39_RS14290
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000083.1	574	996	-	WP_045413986.1	WP_045413986.1		membrane protein			NTOU1_RS14425	423	140	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000083.1	1012	1356	-							NTOU1_RS14430	345		old_locus_tag=TR39_RS14295
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000083.1	1012	1356	-	WP_045413989.1	WP_045413989.1		hypothetical protein			NTOU1_RS14430	345	114	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000082.1	255	638	-							NTOU1_RS14410	384		old_locus_tag=TR39_RS14275
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000082.1	255	638	-	WP_045413977.1	WP_045413977.1		acetyl-CoA carboxylase biotin carboxyl carrier protein subunit			NTOU1_RS14410	384	127	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000082.1	838	2388	-							NTOU1_RS14415	1551		old_locus_tag=TR39_RS14280
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000082.1	838	2388	-	WP_045413979.1	WP_045413979.1		methylmalonyl-CoA carboxyltransferase			NTOU1_RS14415	1551	516	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	250	807	-							NTOU1_RS14335	558		old_locus_tag=TR39_RS14205
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	250	807	-	WP_082243711.1	WP_082243711.1		DUF116 domain-containing protein			NTOU1_RS14335	558	185	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	804	1745	-							NTOU1_RS14340	942		old_locus_tag=TR39_RS14210
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	804	1745	-	WP_045413944.1	WP_045413944.1		methionyl-tRNA formyltransferase			NTOU1_RS14340	942	313	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	1747	2223	-							NTOU1_RS14345	477		old_locus_tag=TR39_RS14215
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	1747	2223	-	WP_045413947.1	WP_045413947.1		peptide deformylase			NTOU1_RS14345	477	158	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	2235	4430	-							NTOU1_RS14350	2196		old_locus_tag=TR39_RS14220
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	2235	4430	-	WP_045413950.1	WP_045413950.1		primosomal protein N'			NTOU1_RS14350	2196	731	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	4463	5662	-							NTOU1_RS14355	1200		old_locus_tag=TR39_RS14225
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	4463	5662	-	WP_045413952.1	WP_045413952.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC			NTOU1_RS14355	1200	399	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	5674	5883	-							NTOU1_RS14360	210		old_locus_tag=TR39_RS14230
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	5674	5883	-	WP_014758588.1	WP_014758588.1		DNA-directed RNA polymerase subunit omega			NTOU1_RS14360	210	69	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	5884	6504	-							NTOU1_RS14365	621		old_locus_tag=TR39_RS14235
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	5884	6504	-	WP_045413955.1	WP_045413955.1		guanylate kinase			NTOU1_RS14365	621	206	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	6510	6794	-							NTOU1_RS14370	285		old_locus_tag=TR39_RS14240
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	6510	6794	-	WP_045413958.1	WP_045413958.1		DUF370 domain-containing protein			NTOU1_RS14370	285	94	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	6808	7683	-							NTOU1_RS14375	876		old_locus_tag=TR39_RS14245
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	6808	7683	-	WP_045413973.1	WP_045413973.1		YicC family protein			NTOU1_RS14375	876	291	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	7723	8556	-							NTOU1_RS14380	834		old_locus_tag=TR39_RS14250
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	7723	8556	-	WP_045413961.1	WP_045413961.1		diaminopimelate epimerase			NTOU1_RS14380	834	277	
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	8737	10455	+							NTOU1_RS14385	1719		pseudo;old_locus_tag=TR39_RS14255
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	8737	10455	+				hypothetical protein			NTOU1_RS14385	1719		pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	10465	11019	-							NTOU1_RS14390	555		old_locus_tag=TR39_RS14260
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	10465	11019	-	WP_045413964.1	WP_045413964.1		RNA 2',3'-cyclic phosphodiesterase			NTOU1_RS14390	555	184	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	11042	11593	-							NTOU1_RS14395	552		old_locus_tag=TR39_RS14265
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	11042	11593	-	WP_045413967.1	WP_045413967.1		N-acetyltransferase			NTOU1_RS14395	552	183	
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	11691	11845	-					rrf		NTOU1_RS14400	155		old_locus_tag=TR39_RS14675
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	11691	11845	-				5S ribosomal RNA	rrf		NTOU1_RS14400	155		
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	11886	12444	-							NTOU1_RS14405	559		partial;old_locus_tag=TR39_RS14270
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000081.1	11886	12444	-				23S ribosomal RNA			NTOU1_RS14405	559		partial
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	1	189	+							NTOU1_RS14285	189		old_locus_tag=TR39_RS14155
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	1	189	+	WP_045413922.1	WP_045413922.1		hypothetical protein			NTOU1_RS14285	189	62	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	471	974	+							NTOU1_RS14290	504		old_locus_tag=TR39_RS14160
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	471	974	+	WP_045413925.1	WP_045413925.1		hypothetical protein			NTOU1_RS14290	504	167	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	1143	1583	-							NTOU1_RS14295	441		old_locus_tag=TR39_RS14165
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	1143	1583	-	WP_045413927.1	WP_045413927.1		hypothetical protein			NTOU1_RS14295	441	146	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	1760	2599	+							NTOU1_RS14300	840		old_locus_tag=TR39_RS14170
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	1760	2599	+	WP_045413939.1	WP_045413939.1		transposase			NTOU1_RS14300	840	279	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	2769	3524	+							NTOU1_RS14305	756		old_locus_tag=TR39_RS14175
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	2769	3524	+	WP_045413929.1	WP_045413929.1		hypothetical protein			NTOU1_RS14305	756	251	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	3511	4146	+							NTOU1_RS14310	636		old_locus_tag=TR39_RS14180
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	3511	4146	+	WP_045413931.1	WP_045413931.1		hypothetical protein			NTOU1_RS14310	636	211	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	4329	4559	+							NTOU1_RS14315	231		old_locus_tag=TR39_RS14185
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	4329	4559	+	WP_045413933.1	WP_045413933.1		DNA-binding response regulator			NTOU1_RS14315	231	76	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	4615	5166	+							NTOU1_RS14320	552		old_locus_tag=TR39_RS14190
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	4615	5166	+	WP_045413935.1	WP_045413935.1		hypothetical protein			NTOU1_RS14320	552	183	
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	5346	6213	+							NTOU1_RS14325	868		pseudo;old_locus_tag=TR39_RS14195
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	5346	6213	+				transposase			NTOU1_RS14325	868		pseudo
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	6445	6647	+							NTOU1_RS14330	203		partial;pseudo;old_locus_tag=TR39_RS14200
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000080.1	6445	6647	+				hypothetical protein			NTOU1_RS14330	203		partial;pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000079.1	253	921	-							NTOU1_RS14265	669		old_locus_tag=TR39_RS14670
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000079.1	253	921	-	WP_082243710.1	WP_082243710.1		hypothetical protein			NTOU1_RS14265	669	222	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000079.1	1118	2224	-							NTOU1_RS14270	1107		old_locus_tag=TR39_RS14140
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000079.1	1118	2224	-	WP_045413907.1	WP_045413907.1		hypothetical protein			NTOU1_RS14270	1107	368	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000079.1	2388	2588	-							NTOU1_RS14275	201		old_locus_tag=TR39_RS14145
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000079.1	2388	2588	-	WP_045413910.1	WP_045413910.1		hypothetical protein			NTOU1_RS14275	201	66	
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000079.1	2582	2791	-							NTOU1_RS14280	210		old_locus_tag=TR39_RS14150
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000079.1	2582	2791	-	WP_045413914.1	WP_045413914.1		hypothetical protein			NTOU1_RS14280	210	69	
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000078.1	1	423	-							NTOU1_RS14210	423		partial;pseudo;old_locus_tag=TR39_RS14080
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000078.1	1	423	-				transposase			NTOU1_RS14210	423		partial;pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000078.1	994	2193	+							NTOU1_RS14215	1200		old_locus_tag=TR39_RS14085
