Tag	31899.1
TAG0623	fig|31899.10.peg.1110
TAG0707	"fig|31899.10.peg.1051,fig|31899.10.peg.1961"
TAG0739	fig|31899.10.peg.1738
TAG0775	fig|31899.10.peg.2258
TAG0817	fig|31899.10.peg.2296
TAG0821	fig|31899.10.peg.2304
TAG0828	fig|31899.10.peg.2748
TAG0829	fig|31899.10.peg.2746
TAG0836	-
TAG0844	fig|31899.10.peg.931
TAG0850	-
TAG0851	fig|31899.10.peg.1757
TAG0852	fig|31899.10.peg.134
TAG0873	-
TAG0874	-
TAG0881	fig|31899.10.peg.2334
TAG0909	"fig|31899.10.peg.1490,fig|31899.10.peg.1997,fig|31899.10.peg.2000"
TAG0967	fig|31899.10.peg.333
TAG0999	-
TAG1009	fig|31899.10.peg.1493
TAG1020	-
TAG1069	fig|31899.10.peg.1735
TAG1073	fig|31899.10.peg.364
TAG1075	fig|31899.10.peg.2245
TAG1079	fig|31899.10.peg.1264
TAG1115	fig|31899.10.peg.2202
TAG1116	fig|31899.10.peg.363
TAG1120	fig|31899.10.peg.1701
TAG1129	-
TAG1131	fig|31899.10.peg.1081
TAG1142	fig|31899.10.peg.1092
TAG1144	-
TAG1163	-
TAG1170	-
TAG1176	fig|31899.10.peg.1915
TAG1177	fig|31899.10.peg.361
TAG1189	-
TAG1196	fig|31899.10.peg.2330
TAG1215	-
TAG1223	fig|31899.10.peg.2031
TAG1224	"fig|31899.10.peg.2032,fig|31899.10.peg.957"
TAG1226	-
TAG1248	fig|31899.10.peg.719
TAG1261	-
TAG1264	-
TAG1271	fig|31899.10.peg.2977
TAG1277	fig|31899.10.peg.2131
TAG1296	fig|31899.10.peg.357
TAG1332	-
TAG1361	fig|31899.10.peg.351
TAG1367	fig|31899.10.peg.2611
TAG1368	-
TAG1373	-
TAG1383	-
TAG1386	fig|31899.10.peg.2584
TAG1402	-
TAG1421	fig|31899.10.peg.1162
TAG1423	fig|31899.10.peg.2039
TAG1452	-
TAG1453	-
TAG1454	-
TAG1455	"fig|31899.10.peg.1321,fig|31899.10.peg.2196,fig|31899.10.peg.2197"
TAG1457	-
TAG1459	-
TAG1460	-
TAG1461	-
TAG1465	fig|31899.10.peg.1963
TAG1467	fig|31899.10.peg.1634
TAG1478	fig|31899.10.peg.2188
TAG1486	fig|31899.10.peg.2187
TAG1487	fig|31899.10.peg.2186
TAG1490	fig|31899.10.peg.2178
TAG1503	fig|31899.10.peg.1793
TAG1536	fig|31899.10.peg.2849
TAG1540	fig|31899.10.peg.2607
TAG1549	fig|31899.10.peg.1930
TAG1551	fig|31899.10.peg.733
TAG1552	-
TAG1568	-
TAG1605	-
TAG1622	-
TAG1631	fig|31899.10.peg.1345
TAG1673	fig|31899.10.peg.1924
TAG1676	fig|31899.10.peg.1939
TAG1677	fig|31899.10.peg.1938
TAG1678	fig|31899.10.peg.1937
TAG1682	-
TAG1683	-
TAG1684	-
TAG1685	-
TAG1686	-
TAG1687	-
TAG1688	-
TAG1689	-
TAG1690	-
TAG1691	-
TAG1692	-
TAG1693	-
TAG1694	-
TAG1695	-
TAG1696	-
TAG1697	-
TAG1698	-
TAG1699	-
TAG1700	-
TAG1701	-
TAG1702	-
TAG1703	"fig|31899.10.peg.236,fig|31899.10.peg.3055"
TAG1704	-
TAG1705	-
TAG1706	-
TAG1707	-
TAG1708	-
TAG1709	-
TAG1710	"fig|31899.10.peg.195,fig|31899.10.peg.2455,fig|31899.10.peg.2742,fig|31899.10.peg.726"
TAG1711	-
TAG1712	-
TAG1713	-
TAG1714	-
TAG1715	-
TAG1716	-
TAG1717	-
TAG1718	-
TAG1719	-
TAG1720	fig|31899.10.peg.572
TAG1721	-
TAG1722	-
TAG1723	fig|31899.10.peg.575
TAG1724	-
TAG1725	-
TAG1726	-
TAG1727	-
TAG1728	-
TAG1729	-
TAG1730	-
TAG1731	-
TAG1732	"fig|31899.10.peg.1030,fig|31899.10.peg.1055,fig|31899.10.peg.124,fig|31899.10.peg.1311,fig|31899.10.peg.2576,fig|31899.10.peg.2599,fig|31899.10.peg.2628,fig|31899.10.peg.2642,fig|31899.10.peg.2881,fig|31899.10.peg.2907,fig|31899.10.peg.2954,fig|31899.10.peg.470,fig|31899.10.peg.573,fig|31899.10.peg.816,fig|31899.10.peg.89"
TAG1733	-
TAG1734	fig|31899.10.peg.2445
TAG1735	-
TAG1736	-
TAG1737	-
TAG1738	-
TAG1739	-
TAG1740	-
TAG1741	-
TAG1742	-
TAG1743	-
TAG1744	-
TAG1745	-
TAG1746	-
TAG1747	-
TAG1748	-
TAG1749	-
TAG1750	-
TAG1751	-
TAG1752	"fig|31899.10.peg.2831,fig|31899.10.peg.486,fig|31899.10.peg.490"
TAG1753	-
TAG1754	-
TAG1755	-
TAG1756	-
TAG1757	-
TAG1758	-
TAG1759	-
TAG1760	-
TAG1761	-
TAG1762	-
TAG1763	-
TAG1764	-
TAG1765	-
TAG1766	-
TAG1767	-
TAG1768	-
TAG1769	-
TAG1770	-
TAG1771	-
TAG1772	-
TAG1773	-
TAG1774	-
TAG1775	fig|31899.10.peg.1314
TAG1776	-
TAG1777	-
TAG1778	-
TAG1779	-
TAG1780	-
TAG1781	-
TAG1782	-
TAG1783	-
TAG1784	-
TAG1785	-
TAG1786	-
TAG1787	-
TAG1788	-
TAG1789	-
TAG1790	-
TAG1791	-
TAG1792	-
TAG1793	-
TAG1794	-
TAG1795	-
TAG1796	-
TAG1797	-
TAG1798	-
TAG1799	-
TAG1800	-
TAG1801	-
TAG1802	fig|31899.10.peg.1655
TAG1803	-
TAG1804	-
TAG1805	-
TAG1806	-
TAG1807	-
TAG1808	-
TAG1809	-
TAG1810	-
TAG1811	-
TAG1812	-
TAG1813	-
TAG1814	-
TAG1815	-
TAG1816	-
TAG1817	-
TAG1818	-
TAG1819	-
TAG1820	-
TAG1821	-
TAG1822	-
TAG1823	-
TAG1824	-
TAG1825	-
TAG1826	-
TAG1827	-
TAG1828	-
TAG1829	-
TAG1830	-
TAG1831	-
TAG1832	-
TAG1833	-
TAG1834	-
TAG1835	-
TAG1836	-
TAG1837	-
TAG1838	-
TAG1839	-
TAG1840	fig|31899.10.peg.1403
TAG1841	-
TAG1842	-
TAG1843	-
TAG1844	-
TAG1845	-
TAG1846	fig|31899.10.peg.1576
TAG1847	-
TAG1848	-
TAG1849	-
TAG1850	-
TAG1851	-
TAG1852	-
TAG1853	-
TAG1854	-
TAG1855	-
TAG1856	fig|31899.10.peg.1027
TAG1857	-
TAG1858	-
TAG1859	-
TAG1860	-
TAG1861	-
TAG1862	-
TAG1863	-
TAG1864	-
TAG1865	-
TAG1866	-
TAG1867	-
TAG1868	-
TAG1869	-
TAG1870	-
TAG1871	-
TAG1872	-
TAG1873	-
TAG1874	-
TAG1875	-
TAG1876	-
TAG1877	-
TAG1878	-
TAG1879	-
TAG1880	-
TAG1881	-
TAG1882	-
TAG1883	-
TAG1884	-
TAG1885	-
TAG1886	-
TAG1887	-
TAG1888	-
TAG1889	-
TAG1890	-
TAG1891	-
TAG1892	-
TAG1893	-
TAG1894	-
TAG1895	-
TAG1896	-
TAG1897	-
TAG1898	-
TAG1899	-
TAG1900	-
TAG1901	-
TAG1902	-
TAG1903	-
TAG1904	-
TAG1905	-
TAG1906	-
TAG1907	-
TAG1908	-
TAG1909	-
TAG1910	-
TAG1911	-
TAG1912	-
TAG1913	-
TAG1914	-
TAG1915	-
TAG1916	-
TAG1917	-
TAG1918	-
TAG1919	-
TAG1920	-
TAG1921	-
TAG1922	-
TAG1923	-
TAG1924	-
TAG1925	-
TAG1926	-
TAG1927	-
TAG1928	-
TAG1929	-
TAG1930	-
TAG1931	-
TAG1932	-
TAG1933	-
TAG1934	-
TAG1935	-
TAG1936	-
TAG1937	-
TAG1938	-
TAG1939	-
TAG1940	fig|31899.10.peg.1439
TAG1941	-
TAG1942	-
TAG1943	fig|31899.10.peg.2429
TAG1944	fig|31899.10.peg.2275
TAG1945	-
TAG1946	-
TAG1947	-
TAG1948	-
TAG1949	-
TAG1950	-
TAG1951	-
TAG1952	-
TAG1953	-
TAG1954	-
TAG1955	-
TAG1956	-
TAG1957	-
TAG1958	-
TAG1959	-
TAG1960	-
TAG1961	-
TAG1962	-
TAG1963	-
TAG1964	-
TAG1965	fig|31899.10.peg.3128
TAG1966	-
TAG1967	-
TAG1968	-
TAG1969	-
TAG1970	-
TAG1971	-
TAG1972	-
TAG1973	-
TAG1974	-
TAG1975	-
TAG1976	-
TAG1977	-
TAG1978	-
TAG1979	-
TAG1980	-
TAG1981	-
TAG1982	-
TAG1983	-
TAG1984	-
TAG1985	-
TAG1986	-
TAG1987	-
TAG1988	-
TAG1989	-
TAG1990	-
TAG1991	-
TAG1992	-
TAG1993	-
TAG1994	-
TAG1995	-
TAG1996	-
TAG1997	-
TAG1998	-
TAG1999	-
TAG2000	-
TAG2001	-
TAG2002	-
TAG2003	-
TAG2004	-
TAG2005	-
TAG2006	-
TAG2007	-
TAG2008	-
TAG2009	-
TAG2010	-
TAG2011	-
TAG2012	-
TAG2013	-
TAG2014	-
TAG2015	-
TAG2016	-
TAG2017	-
TAG2018	-
TAG2019	-
TAG2020	-
TAG2021	-
TAG2022	-
TAG2023	-
TAG2024	-
TAG2025	-
TAG2026	-
TAG2027	-
TAG2028	-
TAG2029	-
TAG2030	-
TAG2031	-
TAG2032	-
TAG2033	-
TAG2034	-
TAG2035	-
TAG2036	-
TAG2037	-
TAG2038	-
TAG2039	-
TAG2040	-
TAG2041	-
TAG2042	-
TAG2043	-
TAG2044	-
TAG2045	-
TAG2046	-
TAG2047	-
TAG2048	-
TAG2049	-
TAG2050	-
TAG2051	-
TAG2052	-
TAG2053	-
TAG2054	-
TAG2055	-
TAG2056	-
TAG2057	-
TAG2058	-
TAG2059	-
TAG2060	-
TAG2061	-
TAG2062	-
TAG2063	-
TAG2064	-
TAG2065	-
TAG2066	-
TAG2067	-
TAG2068	-
TAG2069	-
TAG2070	-
TAG2071	-
TAG2072	-
TAG2073	-
TAG2074	-
TAG2075	-
TAG2076	-
TAG2077	-
TAG2078	-
TAG2079	-
TAG2080	-
TAG2081	-
TAG2082	-
TAG2083	-
TAG2084	-
TAG2085	-
TAG2086	-
TAG2087	-
TAG2088	fig|31899.10.peg.1072
TAG2089	"fig|31899.10.peg.170,fig|31899.10.peg.598"
TAG2090	-
TAG2091	-
TAG2092	-
TAG2093	-
TAG2094	-
TAG2095	-
TAG2096	-
TAG2097	-
TAG2098	-
TAG2099	-
TAG2100	-
TAG2101	-
TAG2102	-
TAG2103	-
TAG2104	-
TAG2105	-
TAG2106	-
TAG2107	-
TAG2108	-
TAG2109	-
TAG2110	-
TAG2111	-
TAG2112	-
TAG2113	-
TAG2114	-
TAG2115	-
TAG2116	-
TAG2117	-
TAG2118	-
TAG2119	-
TAG2120	-
TAG2121	-
TAG2122	-
TAG2123	-
TAG2124	-
TAG2125	-
TAG2126	-
TAG2127	-
TAG2128	-
TAG2129	-
TAG2130	fig|31899.10.peg.2910
TAG2131	-
TAG2132	-
TAG2133	-
TAG2134	-
TAG2135	-
TAG2136	-
TAG2137	-
TAG2138	-
TAG2139	-
TAG2140	-
TAG2141	-
TAG2142	-
TAG2143	fig|31899.10.peg.1913
TAG2144	-
TAG2145	-
TAG2146	-
TAG2147	-
TAG2148	-
TAG2149	-
TAG2150	-
TAG2151	-
TAG2152	-
TAG2153	-
TAG2154	-
TAG2155	-
TAG2156	-
TAG2157	-
TAG2158	-
TAG2159	-
TAG2160	fig|31899.10.peg.131
TAG2161	-
TAG2162	-
TAG2163	-
TAG2164	-
TAG2165	-
TAG2166	-
TAG2167	-
TAG2168	-
TAG2169	-
TAG2170	-
TAG2171	-
TAG2172	-
TAG2173	-
TAG2174	-
TAG2175	-
TAG2176	-
TAG2177	-
TAG2178	-
TAG2179	-
TAG2180	-
TAG2181	-
TAG2182	-
TAG2183	-
TAG2184	-
TAG2185	-
TAG2186	-
TAG2187	-
TAG2188	-
TAG2189	-
TAG2190	-
TAG2191	-
TAG2192	-
TAG2193	-
TAG2194	-
TAG2195	fig|31899.10.peg.1095
TAG2196	-
TAG2197	-
TAG2198	-
TAG2199	-
TAG2200	-
TAG2201	-
TAG2202	-
TAG2203	-
TAG2204	fig|31899.10.peg.2817
TAG2205	-
TAG2206	fig|31899.10.peg.3091
TAG2207	-
TAG2208	-
TAG2209	-
TAG2210	-
TAG2211	-
TAG2212	-
TAG2213	-
TAG2214	-
TAG2215	-
TAG2216	-
TAG2217	-
TAG2218	-
TAG2219	-
TAG2220	-
TAG2221	-
TAG2222	-
TAG2223	-
TAG2224	-
TAG2225	-
TAG2226	-
TAG2227	-
TAG2228	-
TAG2229	-
TAG2230	-
TAG2231	-
TAG2232	-
TAG2233	fig|31899.10.peg.371
TAG2234	-
TAG2235	-
TAG2236	-
TAG2237	-
TAG2248	fig|31899.10.peg.531
TAG2251	fig|31899.10.peg.534
TAG2254	fig|31899.10.peg.596
TAG2257	-
TAG2277	fig|31899.10.peg.1708
TAG2279	-
TAG2286	fig|31899.10.peg.1573
TAG2289	-
TAG2305	fig|31899.10.peg.2457
TAG2308	-
TAG2310	-
TAG2313	-
TAG2314	-
TAG2318	-
TAG2350	fig|31899.10.peg.1139
TAG2370	fig|31899.10.peg.2424
TAG2372	fig|31899.10.peg.1751
TAG2379	fig|31899.10.peg.2792
TAG2382	-
TAG2383	fig|31899.10.peg.2619
TAG2420	fig|31899.10.peg.639
TAG2423	fig|31899.10.peg.3044
TAG2436	"fig|31899.10.peg.2673,fig|31899.10.peg.2967"
TAG2437	-
TAG2440	fig|31899.10.peg.1667
TAG2441	-
TAG2443	fig|31899.10.peg.2671
TAG2453	-
TAG2476	-
TAG2509	-
TAG2529	fig|31899.10.peg.1144
TAG2540	-
TAG2558	-
TAG2584	fig|31899.10.peg.1319
TAG2602	fig|31899.10.peg.2123
TAG2615	fig|31899.10.peg.1659
TAG2618	fig|31899.10.peg.641
TAG2623	-
TAG2639	fig|31899.10.peg.930
TAG2644	fig|31899.10.peg.1299
TAG2648	fig|31899.10.peg.1136
TAG2649	-
TAG2650	-
TAG2672	fig|31899.10.peg.1542
TAG2693	fig|31899.10.peg.674
TAG2695	-
TAG2703	-
TAG2713	-
TAG2714	-
TAG2716	fig|31899.10.peg.1584
TAG2738	fig|31899.10.peg.2450
TAG2757	-
TAG2759	-
TAG2760	fig|31899.10.peg.2443
TAG2761	-
TAG2764	"fig|31899.10.peg.217,fig|31899.10.peg.511"
TAG2769	fig|31899.10.peg.1515
TAG2776	fig|31899.10.peg.1903
TAG2778	fig|31899.10.peg.1762
TAG2779	fig|31899.10.peg.2048
TAG2802	-
TAG2803	-
TAG2808	-
TAG2810	-
TAG2819	-
TAG2820	fig|31899.10.peg.2004
TAG2822	fig|31899.10.peg.1233
TAG2825	-
TAG2835	fig|31899.10.peg.1444
TAG2836	fig|31899.10.peg.1447
TAG2847	-
TAG2866	fig|31899.10.peg.633
TAG2869	-
TAG2871	-
TAG2883	fig|31899.10.peg.646
TAG2884	fig|31899.10.peg.648
TAG2885	fig|31899.10.peg.1912
TAG2888	fig|31899.10.peg.1467
TAG2891	fig|31899.10.peg.1297
TAG2894	fig|31899.10.peg.3113
TAG2901	-
TAG2904	-
TAG2907	-
TAG2909	fig|31899.10.peg.848
TAG2916	-
TAG2921	-
TAG2922	-
TAG2930	-
TAG2965	fig|31899.10.peg.2771
TAG2967	-
TAG2971	fig|31899.10.peg.2474
TAG2983	-
TAG2989	fig|31899.10.peg.833
TAG2996	fig|31899.10.peg.616
TAG2997	fig|31899.10.peg.1088
TAG3001	fig|31899.10.peg.1249
TAG3006	fig|31899.10.peg.2654
TAG3007	-
TAG3012	fig|31899.10.peg.841
TAG3019	fig|31899.10.peg.2908
TAG3024	-
TAG3025	-
TAG3030	-
TAG3034	-
TAG3036	-
TAG3041	fig|31899.10.peg.2930
TAG3046	-
TAG3047	"fig|31899.10.peg.1034,fig|31899.10.peg.1313,fig|31899.10.peg.2601,fig|31899.10.peg.487,fig|31899.10.peg.87"
TAG3061	-
TAG3063	-
TAG3064	fig|31899.10.peg.2498
TAG3075	fig|31899.10.peg.1819
TAG3092	-
TAG3093	"fig|31899.10.peg.2633,fig|31899.10.peg.968"
TAG3094	-
TAG3099	fig|31899.10.peg.1511
TAG3100	fig|31899.10.peg.1540
TAG3112	fig|31899.10.peg.2878
TAG3121	fig|31899.10.peg.2851
TAG3123	fig|31899.10.peg.2793
TAG3124	fig|31899.10.peg.2758
TAG3137	fig|31899.10.peg.2950
TAG3145	fig|31899.10.peg.171
TAG3147	fig|31899.10.peg.178
TAG3181	fig|31899.10.peg.927
TAG3190	fig|31899.10.peg.2068
TAG3196	-
TAG3197	-
TAG3220	fig|31899.10.peg.2107
TAG3227	fig|31899.10.peg.2953
TAG3263	fig|31899.10.peg.1217
TAG3331	fig|31899.10.peg.193
TAG3335	fig|31899.10.peg.706
TAG3360	fig|31899.10.peg.602
TAG3364	fig|31899.10.peg.583
TAG3365	"fig|31899.10.peg.1057,fig|31899.10.peg.580"
TAG3381	-
TAG3382	-
TAG3389	fig|31899.10.peg.1186
TAG3392	-
TAG3393	fig|31899.10.peg.1073
TAG3408	fig|31899.10.peg.1983
TAG3426	fig|31899.10.peg.775
TAG3428	-
TAG3464	-
TAG3469	fig|31899.10.peg.1796
TAG3471	"fig|31899.10.peg.2205,fig|31899.10.peg.2779"
TAG3472	fig|31899.10.peg.2199
TAG3479	fig|31899.10.peg.1349
TAG3482	fig|31899.10.peg.1771
TAG3485	-
TAG3492	fig|31899.10.peg.1260
TAG3495	fig|31899.10.peg.2276
TAG3506	-
TAG3534	-
TAG3551	fig|31899.10.peg.1936
TAG3559	fig|31899.10.peg.2688
TAG3580	fig|31899.10.peg.2288
TAG3587	fig|31899.10.peg.1560
TAG3588	-
TAG3590	"fig|31899.10.peg.1398,fig|31899.10.peg.2808"
TAG3595	fig|31899.10.peg.1900
TAG3623	-
TAG3628	fig|31899.10.peg.1942
TAG3629	fig|31899.10.peg.1941
TAG3640	fig|31899.10.peg.2704
TAG3660	fig|31899.10.peg.1906
TAG3662	fig|31899.10.peg.2055
TAG3670	fig|31899.10.peg.1558
TAG3672	-
TAG3674	-
TAG3702	fig|31899.10.peg.1280
TAG3712	fig|31899.10.peg.1211
TAG3740	"fig|31899.10.peg.1800,fig|31899.10.peg.2319"
TAG3777	-
TAG3779	-
TAG3782	-
TAG3784	fig|31899.10.peg.306
TAG3787	fig|31899.10.peg.1865
TAG3791	fig|31899.10.peg.797
TAG3847	fig|31899.10.peg.2306
TAG3850	fig|31899.10.peg.2326
TAG3856	fig|31899.10.peg.1637
TAG3857	-
TAG3858	-
TAG3860	-
TAG3864	"fig|31899.10.peg.1850,fig|31899.10.peg.2283,fig|31899.10.peg.2293"
TAG3868	fig|31899.10.peg.444
TAG3872	fig|31899.10.peg.2701
TAG3873	fig|31899.10.peg.2714
TAG3895	fig|31899.10.peg.1808
TAG3915	-
TAG3917	-
TAG3918	fig|31899.10.peg.987
TAG3924	fig|31899.10.peg.1719
TAG3927	fig|31899.10.peg.2175
TAG3930	fig|31899.10.peg.2145
TAG3931	fig|31899.10.peg.2338
TAG3933	fig|31899.10.peg.2918
TAG3938	fig|31899.10.peg.2737
TAG3939	fig|31899.10.peg.627
TAG3946	-
TAG3983	-
TAG3996	-
TAG4000	"fig|31899.10.peg.2176,fig|31899.10.peg.2180,fig|31899.10.peg.2750,fig|31899.10.peg.622"
TAG4004	fig|31899.10.peg.614
TAG4015	-
TAG4032	fig|31899.10.peg.2016
TAG4037	-
TAG4078	-
TAG4098	-
TAG4108	fig|31899.10.peg.2194
TAG4110	fig|31899.10.peg.2253
TAG4111	fig|31899.10.peg.1085
TAG4134	fig|31899.10.peg.3034
TAG4136	fig|31899.10.peg.2933
TAG4137	fig|31899.10.peg.1002
TAG4138	fig|31899.10.peg.1786
TAG4140	-
TAG4170	fig|31899.10.peg.1802
TAG4181	fig|31899.10.peg.1565
TAG4184	fig|31899.10.peg.2456
TAG4186	fig|31899.10.peg.123
TAG4190	-
TAG4191	fig|31899.10.peg.1206
TAG4199	"fig|31899.10.peg.2360,fig|31899.10.peg.658"
TAG4220	-
TAG4239	fig|31899.10.peg.2005
TAG4278	fig|31899.10.peg.2034
TAG4282	fig|31899.10.peg.2681
TAG4327	fig|31899.10.peg.2776
TAG4335	"fig|31899.10.peg.2394,fig|31899.10.peg.2395"
TAG4340	-
TAG4341	fig|31899.10.peg.2026
TAG4348	-
TAG4349	fig|31899.10.peg.2128
TAG4370	fig|31899.10.peg.1838
TAG4381	-
TAG4403	fig|31899.10.peg.1766
TAG4472	"fig|31899.10.peg.2358,fig|31899.10.peg.522"
TAG4496	-
TAG4512	fig|31899.10.peg.3025
TAG4516	fig|31899.10.peg.2732
TAG4525	fig|31899.10.peg.3000
TAG4614	"fig|31899.10.peg.1221,fig|31899.10.peg.2152,fig|31899.10.peg.2164"
TAG4617	fig|31899.10.peg.1580
TAG4629	fig|31899.10.peg.2672
TAG4690	"fig|31899.10.peg.2042,fig|31899.10.peg.2223"
TAG4693	fig|31899.10.peg.1142
TAG4694	-
TAG4701	fig|31899.10.peg.1344
TAG4707	fig|31899.10.peg.1575
TAG4711	fig|31899.10.peg.945
TAG4712	fig|31899.10.peg.946
TAG4717	fig|31899.10.peg.807
TAG4731	-
TAG4734	fig|31899.10.peg.1076
TAG4756	fig|31899.10.peg.78
TAG4759	fig|31899.10.peg.2335
TAG4767	fig|31899.10.peg.1512
TAG4770	-
TAG4775	-
TAG4778	"fig|31899.10.peg.1645,fig|31899.10.peg.1646"
TAG4781	fig|31899.10.peg.2461
TAG4791	-
TAG4799	-
TAG4813	fig|31899.10.peg.1229
TAG4816	fig|31899.10.peg.2983
TAG4820	fig|31899.10.peg.1764
TAG4833	fig|31899.10.peg.2819
TAG4835	fig|31899.10.peg.1608
TAG4846	-
TAG4869	fig|31899.10.peg.3118
TAG4893	-
TAG4895	-
TAG4897	-
TAG4899	fig|31899.10.peg.2770
TAG4904	fig|31899.10.peg.608
TAG4929	fig|31899.10.peg.334
TAG4932	-
TAG4944	-
TAG4951	fig|31899.10.peg.894
TAG4963	-
TAG4964	-
TAG4974	-
TAG4979	-
TAG5019	"fig|31899.10.peg.1954,fig|31899.10.peg.2341"
TAG5062	-
TAG5064	-
TAG5090	-
TAG5112	fig|31899.10.peg.1060
TAG5121	fig|31899.10.peg.568
TAG5132	-
TAG5141	-
TAG5198	fig|31899.10.peg.1157
TAG5215	fig|31899.10.peg.2490
TAG5223	-
TAG5230	fig|31899.10.peg.934
TAG5249	-
TAG5287	-
TAG5288	-
TAG5295	-
TAG5296	-
TAG5297	-
TAG5298	-
TAG5299	-
TAG5300	-
TAG5304	-
TAG5308	-
TAG5316	"fig|31899.10.peg.1726,fig|31899.10.peg.2909,fig|31899.10.peg.755"
TAG5331	-
TAG5341	-
TAG5343	-
TAG5350	-
TAG5351	fig|31899.10.peg.1437
TAG5353	-
TAG5374	-
TAG5377	fig|31899.10.peg.1769
TAG5394	fig|31899.10.peg.3083
TAG5425	-
TAG5439	fig|31899.10.peg.2221
TAG5442	-
TAG5443	-
TAG5493	fig|31899.10.peg.1848
TAG5511	-
TAG5541	fig|31899.10.peg.2454
TAG5579	fig|31899.10.peg.1527
TAG5709	-
TAG5734	-
TAG5741	-
TAG5742	-
TAG5745	-
TAG5762	-
TAG5807	fig|31899.10.peg.1235
TAG5903	fig|31899.10.peg.1804
TAG5917	-
TAG5924	fig|31899.10.peg.1610
TAG5961	fig|31899.10.peg.1478
TAG5994	fig|31899.10.peg.1746
TAG6061	fig|31899.10.peg.359
TAG6069	fig|31899.10.peg.130
TAG6080	-
TAG6082	-
TAG6083	-
TAG6122	-
TAG6142	-
TAG6192	-
TAG6201	-
TAG6232	-
TAG6239	fig|31899.10.peg.2805
TAG6244	fig|31899.10.peg.1269
TAG6249	-
TAG6269	-
TAG6279	-
TAG6286	-
TAG6293	-
TAG6294	-
TAG6298	fig|31899.10.peg.2777
TAG6307	-
TAG6355	fig|31899.10.peg.969
TAG6371	-
TAG6387	-
TAG6390	fig|31899.10.peg.2285
TAG6394	fig|31899.10.peg.1978
TAG6405	-
TAG6420	fig|31899.10.peg.2615
TAG6456	fig|31899.10.peg.2339
TAG6478	-
TAG6479	fig|31899.10.peg.2858
TAG6505	-
TAG6534	-
TAG6540	fig|31899.10.peg.196
TAG6564	-
TAG6593	fig|31899.10.peg.2460
TAG6600	-
TAG6617	-
TAG6649	-
TAG6664	-
TAG6665	-
TAG6666	-
TAG6671	-
TAG6672	-
TAG6675	-
TAG6692	-
TAG6693	-
TAG6700	fig|31899.10.peg.1873
TAG6730	-
TAG6775	-
TAG6816	-
TAG6844	fig|31899.10.peg.129
TAG6851	-
TAG6853	-
TAG6861	fig|31899.10.peg.1827
TAG6862	fig|31899.10.peg.376
TAG6866	fig|31899.10.peg.570
TAG6871	-
TAG6928	-
TAG6929	-
TAG6958	fig|31899.10.peg.1455
TAG7018	"fig|31899.10.peg.1562,fig|31899.10.peg.2678,fig|31899.10.peg.2691"
TAG7024	-
