Tag	1094508.3	203119.11	31899.1	394503.7
TAG0060	fig|1094508.3.peg.1756|Tsac_1733	-	fig|31899.10.peg.1709|SAMN05216182_1499	-
TAG0061	-	-	-	-
TAG0062	-	-	-	-
TAG0063	fig|1094508.3.peg.1763|Tsac_1739	fig|203119.11.peg.1347|Cthe_1277	fig|31899.10.peg.1713|SAMN05216182_1503	fig|394503.7.peg.1936|Ccel_1881
TAG0064	-	-	-	-
TAG0065	-	-	-	-
TAG0066	fig|1094508.3.peg.1769|Tsac_1745	fig|203119.11.peg.1080|Cthe_1028	fig|31899.10.peg.1986|SAMN05216182_1772	fig|394503.7.peg.2195|Ccel_2136
TAG0067	-	-	-	-
TAG0068	-	-	-	-
TAG0069	fig|1094508.3.peg.1778|Tsac_1754	fig|203119.11.peg.980|Cthe_0933	fig|31899.10.peg.1640|SAMN05216182_1436	fig|394503.7.peg.708|Ccel_0685
TAG0070	fig|1094508.3.peg.1783|Tsac_1759	fig|203119.11.peg.974|Cthe_0927	fig|31899.10.peg.1654|SAMN05216182_1447	fig|394503.7.peg.720|Ccel_0696
TAG0071	-	-	fig|31899.10.peg.677|SAMN05216182_0529	-
TAG0072	fig|1094508.3.peg.1787|Tsac_1763	fig|203119.11.peg.811|Cthe_0769	fig|31899.10.peg.1446|SAMN05216182_1245	fig|394503.7.peg.734|Ccel_0710
TAG0073	-	-	-	-
TAG0074	-	-	-	-
TAG0075	-	-	-	-
TAG0076	-	-	-	-
TAG0077	-	-	-	-
TAG0078	-	-	-	-
TAG0079	-	-	-	-
TAG0080	-	-	-	-
TAG0081	-	-	-	-
TAG0082	-	-	-	-
TAG0083	-	-	-	-
TAG0084	-	-	-	-
TAG0085	-	-	-	-
TAG0086	-	-	-	-
TAG0087	-	-	-	-
TAG0088	-	-	-	-
TAG0089	-	-	-	-
TAG0090	-	-	-	-
TAG0091	-	-	-	-
TAG0092	-	-	-	-
TAG0093	-	-	-	-
TAG0094	-	-	-	-
TAG0095	-	-	-	-
TAG0096	-	-	-	-
TAG0097	-	-	-	-
TAG0098	-	-	-	-
TAG0099	-	-	-	-
TAG0100	-	-	-	-
TAG0101	-	-	-	-
TAG0102	-	-	-	-
TAG0103	-	-	-	fig|394503.7.peg.2681|Ccel_2606
TAG0104	-	-	-	-
TAG0105	-	-	-	-
TAG0106	-	-	-	-
TAG0107	-	-	-	-
TAG0108	-	-	-	-
TAG0109	-	-	-	-
TAG0110	-	-	-	-
TAG0111	-	-	-	-
TAG0112	-	-	-	-
TAG0113	-	-	-	-
TAG0114	-	-	-	-
TAG0115	fig|1094508.3.peg.1825|Tsac_1801	fig|203119.11.peg.513|Cthe_0486	fig|31899.10.peg.2707|SAMN05216182_2465	fig|394503.7.peg.2086|Ccel_2030
TAG0116	-	-	-	-
TAG0117	-	-	-	-
TAG0118	-	-	-	-
TAG0119	fig|1094508.3.peg.1832|Tsac_1808	fig|203119.11.peg.522|Cthe_0495	fig|31899.10.peg.2699|SAMN05216182_2457	fig|394503.7.peg.2078|Ccel_2022
TAG0120	-	-	-	-
TAG0121	-	-	-	-
TAG0122	-	-	-	-
TAG0123	-	-	-	-
TAG0124	-	-	-	-
TAG0125	fig|1094508.3.peg.1842|Tsac_1818	fig|203119.11.peg.1050|Cthe_0999	fig|31899.10.peg.2322|SAMN05216182_2109	fig|394503.7.peg.467|Ccel_0449
TAG0126	-	-	-	-
TAG0127	-	-	-	-
TAG0128	-	-	-	-
TAG0129	fig|1094508.3.peg.1854|Tsac_1829	fig|203119.11.peg.1039|Cthe_0988	fig|31899.10.peg.1535|SAMN05216182_1333	fig|394503.7.peg.478|Ccel_0460
TAG0130	-	-	-	-
TAG0131	-	-	-	-
TAG0132	-	-	-	-
TAG0133	-	-	-	-
TAG0134	-	-	-	-
TAG0135	-	-	-	-
TAG0136	-	-	-	-
TAG0137	-	-	-	-
TAG0138	-	-	-	-
TAG0139	fig|1094508.3.peg.1870|Tsac_1845	fig|203119.11.peg.1109|Cthe_1052	fig|31899.10.peg.1464|SAMN05216182_1262	fig|394503.7.peg.697|Ccel_0674
TAG0140	-	-	-	-
TAG0141	-	-	-	-
TAG0142	-	-	-	-
TAG0143	-	-	-	-
TAG0144	-	-	-	-
TAG0145	-	-	-	-
TAG0146	-	-	-	fig|394503.7.peg.3411|Ccel_3335
TAG0147	-	-	-	-
TAG0148	-	-	-	-
TAG0149	-	-	-	-
TAG0150	-	-	-	-
TAG0151	-	-	-	-
TAG0152	-	-	-	-
TAG0153	-	-	-	-
TAG0154	-	-	-	-
TAG0155	-	-	-	-
TAG0156	-	-	-	-
TAG0157	-	-	-	-
TAG0158	-	-	-	-
TAG0159	-	-	-	-
TAG0160	-	-	-	-
TAG0161	-	-	-	-
TAG0162	-	-	-	-
TAG0163	-	-	-	-
TAG0164	-	-	-	-
TAG0165	-	-	fig|31899.10.peg.1702|SAMN05216182_1492	-
TAG0166	-	-	-	-
TAG0167	-	-	-	-
TAG0168	-	-	-	-
TAG0169	-	-	-	-
TAG0170	-	-	-	-
TAG0171	-	-	-	-
TAG0172	-	-	-	-
TAG0173	-	-	-	-
TAG0174	-	-	-	-
TAG0175	-	-	-	-
TAG0176	-	-	-	-
TAG0177	-	-	-	-
TAG0178	-	-	-	-
TAG0179	-	-	-	-
TAG0180	-	-	-	-
TAG0181	-	-	-	-
TAG0182	-	-	-	-
TAG0183	-	-	-	-
TAG0184	-	-	-	-
TAG0185	-	-	-	-
TAG0186	-	-	-	-
TAG0187	-	-	-	-
TAG0188	-	-	-	-
TAG0189	-	-	-	-
TAG0190	-	-	-	-
TAG0191	-	-	-	-
TAG0192	-	-	-	-
TAG0193	-	-	-	-
TAG0194	-	-	-	-
TAG0195	fig|1094508.3.peg.1705|Tsac_1682	fig|203119.11.peg.194|Cthe_0182	fig|31899.10.peg.1597|SAMN05216182_1395	fig|394503.7.peg.1389|Ccel_1348
TAG0196	fig|1094508.3.peg.283	-	-	-
TAG0197	-	-	-	-
TAG0198	-	-	-	-
TAG0199	-	-	-	-
TAG0200	-	fig|203119.11.peg.951|Cthe_0905	-	-
TAG0201	fig|1094508.3.peg.2025|Tsac_1999	fig|203119.11.peg.1408|Cthe_1331	fig|31899.10.peg.1026|SAMN05216182_0858	fig|394503.7.peg.2002|Ccel_1946
TAG0202	-	-	-	-
TAG0203	-	-	-	-
TAG0204	-	-	-	-
TAG0205	-	-	-	-
TAG0206	-	-	-	-
TAG0207	-	-	-	-
TAG0208	-	-	-	-
TAG0209	-	-	-	-
TAG0210	-	-	-	-
TAG0211	-	-	-	-
TAG0212	-	-	-	-
TAG0213	-	-	-	-
TAG0214	-	-	-	-
TAG0215	-	-	-	-
TAG0216	-	-	-	-
TAG0217	-	-	fig|31899.10.peg.592|SAMN05216182_0450	-
TAG0218	-	-	-	-
TAG0219	"fig|1094508.3.peg.2044|Tsac_2018,fig|1094508.3.peg.306|Tsac_0304"	fig|203119.11.peg.2244|Cthe_2115	-	-
TAG0220	-	-	-	-
TAG0221	-	-	-	-
TAG0222	-	-	-	-
TAG0223	-	-	-	-
TAG0224	-	-	-	-
TAG0225	-	-	-	-
TAG0226	-	-	-	-
TAG0227	-	-	-	-
TAG0228	-	-	-	-
TAG0229	-	-	-	-
TAG0230	-	-	-	-
TAG0231	-	-	-	-
TAG0232	"fig|1094508.3.peg.493|Tsac_0488,fig|1094508.3.peg.986|Tsac_0975"	fig|203119.11.peg.367|Cthe_0344	fig|31899.10.peg.1543|SAMN05216182_1341	fig|394503.7.peg.145|Ccel_0138
TAG0233	"fig|1094508.3.peg.811|Tsac_0805,fig|1094508.3.peg.975|Tsac_0964"	fig|203119.11.peg.1974|Cthe_1866	fig|31899.10.peg.2349|SAMN05216182_2136	"fig|394503.7.peg.1867|Ccel_1814,fig|394503.7.peg.2998|Ccel_2912"
TAG0234	-	-	-	-
TAG0235	-	-	-	-
TAG0236	-	-	-	-
TAG0237	-	-	-	-
TAG0238	fig|1094508.3.peg.2224|Tsac_2197	fig|203119.11.peg.1290|Cthe_1222	fig|31899.10.peg.1693|SAMN05216182_1484	fig|394503.7.peg.1479|Ccel_1437
TAG0239	-	-	-	-
TAG0240	-	-	-	-
TAG0241	-	-	-	-
TAG0242	-	-	-	-
TAG0243	-	-	-	-
TAG0244	-	-	-	-
TAG0245	-	-	-	-
TAG0246	-	-	-	-
TAG0247	-	-	-	-
TAG0248	-	-	-	-
TAG0249	-	-	-	-
TAG0250	-	-	-	-
TAG0251	-	-	-	-
TAG0252	-	-	-	-
TAG0253	-	-	-	-
TAG0254	-	-	-	-
TAG0255	-	-	-	-
TAG0256	-	-	-	-
TAG0257	-	-	-	-
TAG0258	-	-	-	-
TAG0259	-	-	-	-
TAG0260	-	-	-	-
TAG0261	-	-	-	-
TAG0262	-	-	-	-
TAG0263	-	-	-	-
TAG0264	-	-	-	-
TAG0265	-	-	-	-
TAG0266	-	-	-	-
TAG0267	fig|1094508.3.peg.1896|Tsac_1871	fig|203119.11.peg.825|Cthe_0783	fig|31899.10.peg.1994|SAMN05216182_1780	fig|394503.7.peg.1750|Ccel_1699
TAG0268	-	-	-	-
TAG0269	-	-	-	-
TAG0270	-	-	-	-
TAG0271	-	-	-	-
TAG0272	-	-	-	-
TAG0273	fig|1094508.3.peg.580|Tsac_0574	fig|203119.11.peg.115|Cthe_0107	fig|31899.10.peg.993|SAMN05216182_0825	fig|394503.7.peg.2060|Ccel_2003
TAG0274	-	-	-	-
TAG0275	fig|1094508.3.peg.577|Tsac_0571	fig|203119.11.peg.112|Cthe_0104	fig|31899.10.peg.996|SAMN05216182_0828	fig|394503.7.peg.2063|Ccel_2006
TAG0276	-	-	-	-
TAG0277	-	-	-	-
TAG0278	-	-	-	-
TAG0279	-	-	-	-
TAG0280	-	-	-	-
TAG0281	-	-	-	-
TAG0282	-	-	-	-
TAG0283	-	-	-	-
TAG0284	-	-	-	-
TAG0285	-	-	-	-
TAG0286	-	-	-	-
TAG0287	-	fig|203119.11.peg.921|Cthe_0876	-	-
TAG0288	-	-	-	-
TAG0289	-	-	-	-
TAG0290	-	-	-	-
TAG0291	-	-	-	-
TAG0292	-	-	-	-
TAG0293	fig|1094508.3.peg.1752|Tsac_1728	fig|203119.11.peg.599|Cthe_0576	fig|31899.10.peg.1528|SAMN05216182_1326	fig|394503.7.peg.1581|Ccel_1537
TAG0294	fig|1094508.3.peg.1260|Tsac_1246	fig|203119.11.peg.3257|Cthe_3046	-	fig|394503.7.peg.2554|Ccel_2477
TAG0295	-	-	-	-
TAG0296	-	-	-	-
TAG0297	-	-	-	-
TAG0298	fig|1094508.3.peg.1736|Tsac_1712	fig|203119.11.peg.3312|Cthe_3100	fig|31899.10.peg.2670|SAMN05216182_2428	-
TAG0299	-	-	-	-
TAG0300	-	-	-	-
TAG0301	-	-	-	-
TAG0302	fig|1094508.3.peg.1726|Tsac_1703	fig|203119.11.peg.999|Cthe_0952	fig|31899.10.peg.1866|SAMN05216182_1654	fig|394503.7.peg.635|Ccel_0613
TAG0303	-	-	-	-
TAG0304	-	-	-	-
TAG0305	-	-	-	-
TAG0306	-	-	-	-
TAG0307	-	-	-	-
TAG0308	-	-	-	-
TAG0309	-	-	-	-
TAG0310	-	-	-	-
TAG0311	-	-	-	-
TAG0312	-	-	-	-
TAG0313	-	-	-	-
TAG0314	-	-	-	-
TAG0315	-	-	-	-
TAG0316	-	-	-	-
TAG0317	-	-	-	-
TAG0318	-	-	-	-
TAG0319	-	-	-	-
TAG0320	-	-	-	-
TAG0321	-	-	-	-
TAG0322	-	-	-	-
TAG0323	-	-	-	-
TAG0324	-	-	-	-
TAG0325	-	-	-	-
TAG0326	-	-	-	-
TAG0327	-	-	-	-
TAG0328	-	-	-	-
TAG0329	-	-	-	-
TAG0330	-	-	-	-
TAG0331	-	-	-	-
TAG0332	-	fig|203119.11.peg.609|Cthe_0585	-	"fig|394503.7.peg.420|Ccel_0405,fig|394503.7.peg.875|Ccel_0843"
TAG0333	-	-	-	-
TAG0334	-	-	-	-
TAG0335	-	-	-	-
TAG0336	-	-	-	-
TAG0337	-	-	-	-
TAG0338	-	-	-	-
TAG0339	-	-	-	-
TAG0340	-	-	-	-
TAG0341	-	-	-	-
TAG0342	-	-	-	-
TAG0343	-	-	-	-
TAG0344	-	-	-	-
TAG0345	-	-	-	-
TAG0346	-	-	-	-
TAG0347	-	-	-	-
TAG0348	-	-	-	-
TAG0349	-	-	-	-
TAG0350	-	-	-	-
TAG0351	-	-	-	-
TAG0352	-	-	-	-
TAG0353	fig|1094508.3.peg.1759|Tsac_1736	-	fig|31899.10.peg.2687|SAMN05216182_2445	-
TAG0354	-	-	-	-
TAG0355	-	-	-	-
TAG0356	-	-	-	-
TAG0357	-	-	-	-
TAG0358	fig|1094508.3.peg.1234|Tsac_1220	-	-	fig|394503.7.peg.1941|Ccel_1886
TAG0359	-	-	-	-
TAG0360	-	-	-	-
TAG0361	-	-	-	-
TAG0362	-	-	-	-
TAG0363	-	-	-	-
TAG0364	-	-	-	-
TAG0365	-	-	-	-
TAG0366	fig|1094508.3.peg.382|Tsac_0376	"fig|203119.11.peg.1456|Cthe_1376,fig|203119.11.peg.307|Cthe_0290"	fig|31899.10.peg.2478|SAMN05216182_2261	fig|394503.7.peg.1494|Ccel_1452
TAG0367	fig|1094508.3.peg.1619|Tsac_1597	fig|203119.11.peg.1073|Cthe_1021	fig|31899.10.peg.149|SAMN05216182_0081	fig|394503.7.peg.2185
TAG0368	-	-	-	-
TAG0369	-	-	-	-
TAG0370	-	-	-	-
TAG0371	-	-	-	-
TAG0372	-	-	-	-
TAG0373	-	-	-	-
TAG0374	-	-	-	-
TAG0375	fig|1094508.3.peg.1541|Tsac_1520	fig|203119.11.peg.1014|Cthe_0965	-	fig|394503.7.peg.1373|Ccel_1333
TAG0376	-	-	-	-
TAG0377	"fig|1094508.3.peg.1916|Tsac_1892,fig|1094508.3.peg.1931|Tsac_1907,fig|1094508.3.peg.2125|Tsac_2098"	"fig|203119.11.peg.1299|Cthe_1231,fig|203119.11.peg.3394|Cthe_3179,fig|203119.11.peg.712|Cthe_0679"	"fig|31899.10.peg.1742|SAMN05216182_1532,fig|31899.10.peg.1767|SAMN05216182_1557,fig|31899.10.peg.2054|SAMN05216182_1847"	"fig|394503.7.peg.1411|Ccel_1370,fig|394503.7.peg.1801|Ccel_1749,fig|394503.7.peg.505|Ccel_0487"
TAG0378	-	-	-	-
TAG0379	-	-	-	-
TAG0380	-	-	-	-
TAG0381	fig|1094508.3.peg.1930|Tsac_1906	"fig|203119.11.peg.127|Cthe_0118,fig|203119.11.peg.3101|Cthe_2898"	"fig|31899.10.peg.2191|SAMN05216182_1971,fig|31899.10.peg.855|SAMN05216182_0696"	"fig|394503.7.peg.2354|Ccel_2286,fig|394503.7.peg.414|Ccel_0398"
TAG0382	fig|1094508.3.peg.37|Tsac_0036	fig|203119.11.peg.710|Cthe_0677	fig|31899.10.peg.2284|SAMN05216182_2072	fig|394503.7.peg.3285|Ccel_3205
TAG0383	-	-	-	-
TAG0384	-	-	-	-
TAG0385	fig|1094508.3.peg.1934|Tsac_1910	fig|203119.11.peg.378|Cthe_0355	fig|31899.10.peg.1831|SAMN05216182_1621	-
TAG0386	-	-	-	fig|394503.7.peg.2345|Ccel_2277
TAG0387	fig|1094508.3.peg.1947|Tsac_1922	fig|203119.11.peg.869|Cthe_0827	fig|31899.10.peg.1777|SAMN05216182_1567	fig|394503.7.peg.1954|Ccel_1899
TAG0388	-	-	-	-
TAG0389	fig|1094508.3.peg.1951|Tsac_1926	fig|203119.11.peg.874|Cthe_0832	fig|31899.10.peg.1482|SAMN05216182_1280	fig|394503.7.peg.1958|Ccel_1903
TAG0390	-	-	-	-
TAG0391	-	-	-	-
TAG0392	-	-	-	-
TAG0393	fig|1094508.3.peg.1909|Tsac_1885	fig|203119.11.peg.737|Cthe_0701	fig|31899.10.peg.1807|SAMN05216182_1597	fig|394503.7.peg.1788|Ccel_1736
TAG0394	-	-	-	-
TAG0395	-	-	-	-
TAG0396	fig|1094508.3.peg.1957|Tsac_1932	fig|203119.11.peg.882|Cthe_0839	fig|31899.10.peg.1475|SAMN05216182_1273	fig|394503.7.peg.1965|Ccel_1910
TAG0397	-	-	-	-
TAG0398	-	-	-	-
TAG0399	-	-	-	-
TAG0400	-	-	-	-
TAG0401	fig|1094508.3.peg.1973|Tsac_1948	-	-	fig|394503.7.peg.2484|Ccel_2409
TAG0402	-	-	-	-
TAG0403	-	-	-	-
TAG0404	-	-	-	-
TAG0405	-	-	-	-
TAG0406	-	-	-	-
TAG0407	fig|1094508.3.peg.1982|Tsac_1957	fig|203119.11.peg.1165|Cthe_1106	fig|31899.10.peg.2397|SAMN05216182_2183	fig|394503.7.peg.2488|Ccel_2413
TAG0408	-	-	-	-
TAG0409	-	-	-	-
TAG0410	-	-	-	-
TAG0411	fig|1094508.3.peg.1970|Tsac_1945	fig|203119.11.peg.2591|Cthe_2437	fig|31899.10.peg.2209|SAMN05216182_1991	"fig|394503.7.peg.2501|Ccel_2426,fig|394503.7.peg.388|Ccel_0372"
TAG0412	fig|1094508.3.peg.1984|Tsac_1959	fig|203119.11.peg.898|Cthe_0854	fig|31899.10.peg.2405|SAMN05216182_2189	fig|394503.7.peg.686|Ccel_0663
TAG0413	-	-	-	-
TAG0414	-	-	-	-
TAG0415	-	-	-	-
TAG0416	-	-	-	-
TAG0417	-	-	-	-
TAG0418	-	-	-	-
TAG0419	-	-	-	-
TAG0420	-	-	-	-
TAG0421	-	-	-	fig|394503.7.peg.458
TAG0422	-	-	-	-
TAG0423	fig|1094508.3.peg.1995|Tsac_1970	fig|203119.11.peg.1062|Cthe_1011	-	fig|394503.7.peg.1529|Ccel_1486
TAG0424	-	-	-	-
TAG0425	fig|1094508.3.peg.2004|Tsac_1979	fig|203119.11.peg.162|Cthe_0151	fig|31899.10.peg.1694|SAMN05216182_1485	fig|394503.7.peg.2306|Ccel_2240
TAG0426	-	-	-	-
TAG0427	-	-	-	-
TAG0428	-	-	-	-
TAG0429	-	-	-	-
TAG0430	-	-	-	-
TAG0431	-	-	-	-
TAG0432	-	-	-	-
TAG0433	-	-	-	-
TAG0434	-	-	-	-
TAG0435	-	-	-	-
TAG0436	-	-	-	-
TAG0437	-	-	-	-
TAG0438	-	-	-	-
TAG0439	-	-	-	-
TAG0440	-	-	-	-
TAG0441	-	-	-	-
TAG0442	-	-	-	-
TAG0443	-	-	-	-
TAG0444	-	-	-	-
TAG0445	-	-	-	-
TAG0446	-	-	-	-
TAG0447	-	-	-	-
TAG0448	-	-	-	-
TAG0449	-	-	-	-
TAG0450	-	-	-	-
TAG0451	-	-	-	-
TAG0452	-	-	-	-
TAG0453	-	-	-	-
TAG0454	-	-	-	-
TAG0455	-	-	-	-
TAG0456	-	-	-	-
TAG0457	-	-	-	-
TAG0458	-	-	-	-
TAG0459	-	-	-	-
TAG0460	-	-	fig|31899.10.peg.1703|SAMN05216182_1493	fig|394503.7.peg.1648|Ccel_1598
TAG0461	-	-	-	-
TAG0462	-	-	-	-
TAG0463	-	-	-	-
TAG0464	-	-	-	-
TAG0465	-	-	-	-
TAG0466	-	-	-	-
TAG0467	-	-	-	-
TAG0468	fig|1094508.3.peg.98|Tsac_0096	-	-	fig|394503.7.peg.1872
TAG0469	-	-	fig|31899.10.peg.1392|SAMN05216182_1198	-
TAG0470	-	-	-	-
TAG0471	-	-	-	-
TAG0472	-	-	-	-
TAG0473	-	-	-	-
TAG0474	-	-	-	-
TAG0475	-	-	-	-
TAG0476	-	-	-	-
TAG0477	-	-	-	-
TAG0478	-	-	-	-
TAG0479	-	-	-	-
TAG0480	-	-	-	-
TAG0481	-	-	-	-
TAG0482	-	-	-	-
TAG0483	-	-	-	-
TAG0484	-	-	-	-
TAG0485	-	-	-	-
TAG0486	-	-	-	-
TAG0487	-	-	-	-
TAG0488	-	-	-	-
TAG0489	-	-	-	-
TAG0490	-	-	-	-
TAG0491	-	-	-	-
TAG0492	fig|1094508.3.peg.2276|Tsac_2247	-	-	-
TAG0493	fig|1094508.3.peg.1722|Tsac_1699	fig|203119.11.peg.1117|Cthe_1060	fig|31899.10.peg.1949|SAMN05216182_1735	fig|394503.7.peg.1732|Ccel_1681
TAG0494	-	-	-	-
TAG0495	-	-	-	-
TAG0496	-	-	-	-
TAG0497	-	-	-	-
TAG0498	-	-	-	-
TAG0499	-	-	-	-
TAG0500	-	-	-	-
TAG0501	fig|1094508.3.peg.1214|Tsac_1200	fig|203119.11.peg.1171|Cthe_1111	fig|31899.10.peg.2452|SAMN05216182_2235	fig|394503.7.peg.2827|Ccel_2741
TAG0502	-	-	-	-
TAG0503	-	-	-	-
TAG0504	-	-	-	-
TAG0505	-	-	-	-
TAG0506	-	-	-	-
TAG0507	fig|1094508.3.peg.2168|Tsac_2141	-	-	-
TAG0508	-	-	-	-
TAG0509	-	-	-	-
TAG0510	-	-	-	-
TAG0511	-	-	-	-
TAG0512	-	-	-	-
TAG0513	-	-	-	-
TAG0514	-	-	-	-
TAG0515	-	-	-	-
TAG0516	-	-	-	-
TAG0517	-	-	-	-
TAG0518	-	-	-	-
TAG0519	-	-	-	-
TAG0520	-	-	-	-
TAG0521	-	-	-	-
TAG0522	-	-	-	-
TAG0523	-	-	-	-
TAG0524	-	-	-	-
TAG0525	-	-	-	-
TAG0526	-	-	-	-
TAG0527	-	-	-	-
TAG0528	-	-	-	-
TAG0529	-	-	-	-
TAG0530	-	-	-	-
TAG0531	-	-	-	-
TAG0532	fig|1094508.3.peg.2155|Tsac_2128	fig|203119.11.peg.362|Cthe_0340	fig|31899.10.peg.1785|SAMN05216182_1575	fig|394503.7.peg.2300|Ccel_2234
TAG0533	fig|1094508.3.peg.2157|Tsac_2130	"fig|203119.11.peg.360|Cthe_0338,fig|203119.11.peg.453|Cthe_0428"	fig|31899.10.peg.1783|SAMN05216182_1573	"fig|394503.7.peg.2302|Ccel_2236,fig|394503.7.peg.2375|Ccel_2305"
TAG0534	-	-	-	-
TAG0535	-	-	-	-
TAG0536	fig|1094508.3.peg.2656|Tsac_2620	fig|203119.11.peg.2917|Cthe_2743	fig|31899.10.peg.2345|SAMN05216182_2132	fig|394503.7.peg.843|Ccel_0814
TAG0537	-	-	-	-
TAG0538	-	-	-	-
TAG0539	-	-	fig|31899.10.peg.2422|SAMN05216182_2206	fig|394503.7.peg.32|Ccel_0030
TAG0540	"fig|1094508.3.peg.132|Tsac_0131,fig|1094508.3.peg.1701|Tsac_1678,fig|1094508.3.peg.1829|Tsac_1805"	"fig|203119.11.peg.2433|Cthe_2285,fig|203119.11.peg.518|Cthe_0491,fig|203119.11.peg.851|Cthe_0809,fig|203119.11.peg.923|Cthe_0878"	"fig|31899.10.peg.1008|SAMN05216182_0839,fig|31899.10.peg.2280|SAMN05216182_2068,fig|31899.10.peg.2653|SAMN05216182_2413,fig|31899.10.peg.2703|SAMN05216182_2461"	"fig|394503.7.peg.2082|Ccel_2026,fig|394503.7.peg.2157|Ccel_2099,fig|394503.7.peg.2385|Ccel_2314,fig|394503.7.peg.610|Ccel_0588"
TAG0541	-	-	-	-
TAG0542	fig|1094508.3.peg.318|Tsac_0316	fig|203119.11.peg.2768|Cthe_2598	fig|31899.10.peg.1074|SAMN05216182_0898	fig|394503.7.peg.274|Ccel_0260
TAG0543	-	-	-	-
TAG0544	-	-	-	-
TAG0545	fig|1094508.3.peg.2702|Tsac_2664	-	-	-
TAG0546	-	-	-	-
TAG0547	-	-	-	-
TAG0548	-	-	-	-
TAG0549	-	-	-	-
TAG0550	-	-	-	-
TAG0551	-	-	-	-
TAG0552	-	-	-	-
TAG0553	-	-	-	-
TAG0554	-	-	-	-
TAG0555	-	-	-	-
TAG0556	-	-	-	-
TAG0557	-	-	-	-
TAG0558	-	-	-	-
TAG0559	-	-	-	-
TAG0560	-	-	-	-
TAG0561	-	-	-	-
TAG0562	-	-	-	-
TAG0563	-	-	-	-
TAG0564	-	-	-	-
TAG0565	-	-	-	-
TAG0566	-	-	-	-
TAG0567	-	-	-	-
TAG0568	-	-	-	-
TAG0569	-	-	-	-
TAG0570	-	-	-	-
TAG0571	-	-	-	-
TAG0572	-	-	-	-
TAG0573	-	-	-	-
TAG0574	-	-	-	-
TAG0575	-	-	-	-
TAG0576	-	-	-	-
TAG0577	-	-	-	-
TAG0578	-	-	-	-
TAG0579	-	-	-	-
TAG0580	-	-	-	-
TAG0581	-	-	-	-
TAG0582	-	-	-	-
TAG0583	-	-	-	-
TAG0584	-	-	-	-
TAG0585	-	-	-	-
TAG0586	-	-	-	-
TAG0587	-	-	-	-
TAG0588	-	-	-	-
TAG0589	-	-	-	-
TAG0590	-	-	-	-
TAG0591	-	-	-	-
TAG0592	-	-	-	-
TAG0593	-	-	-	-
TAG0594	-	-	-	-
TAG0595	-	-	-	-
TAG0596	-	-	-	-
TAG0597	-	-	-	-
TAG0598	fig|1094508.3.peg.1460|Tsac_1439	-	-	-
TAG0599	-	-	-	-
TAG0600	-	-	-	-
TAG0601	-	-	-	-
TAG0602	-	-	-	-
TAG0603	-	-	-	-
TAG0604	-	-	-	-
TAG0605	-	-	-	-
TAG0606	-	-	-	-
TAG0607	-	-	-	-
