Tag	1094508.3	203119.11	394503.7
TAG0393	Tsac_1885	Cthe_0701	Ccel_1736
TAG0396	Tsac_1932	Cthe_0839	Ccel_1910
TAG0401	Tsac_1948	-	Ccel_2409
TAG0407	Tsac_1957	Cthe_1106	Ccel_2413
TAG0411	Tsac_1945	Cthe_2437	"Ccel_2426,Ccel_0372"
TAG0412	Tsac_1959	Cthe_0854	Ccel_0663
TAG0421	-	-	-
TAG0423	Tsac_1970	Cthe_1011	Ccel_1486
TAG0425	Tsac_1979	Cthe_0151	Ccel_2240
TAG0460	-	-	Ccel_1598
TAG0468	Tsac_0096	-	-
TAG0469	-	-	-
TAG0492	Tsac_2247	-	-
TAG0493	Tsac_1699	Cthe_1060	Ccel_1681
TAG0501	Tsac_1200	Cthe_1111	Ccel_2741
TAG0507	Tsac_2141	-	-
TAG0532	Tsac_2128	Cthe_0340	Ccel_2234
TAG0533	Tsac_2130	"Cthe_0338,Cthe_0428"	"Ccel_2236,Ccel_2305"
TAG0536	Tsac_2620	Cthe_2743	Ccel_0814
TAG0539	-	-	Ccel_0030
TAG0540	"Tsac_0131,Tsac_1678,Tsac_1805"	"Cthe_2285,Cthe_0491,Cthe_0809,Cthe_0878"	"Ccel_2026,Ccel_2099,Ccel_2314,Ccel_0588"
TAG0542	Tsac_0316	Cthe_2598	Ccel_0260
TAG0545	Tsac_2664	-	-
TAG0598	Tsac_1439	-	-
TAG0612	Tsac_2343	-	-
TAG0621	Tsac_1573	Cthe_0443	Ccel_2066
TAG0623	Tsac_0569	Cthe_2713	Ccel_0302
TAG0707	Tsac_2493	Cthe_1283	Ccel_1887
TAG0739	Tsac_2102	Cthe_1240	Ccel_1364
TAG0775	-	-	-
TAG0817	Tsac_0558	Cthe_0440	Ccel_2069
TAG0821	Tsac_0687	-	-
TAG0828	Tsac_0089	Cthe_0549	-
TAG0829	Tsac_0087	Cthe_0547	Ccel_1156
TAG0836	Tsac_2360	-	-
TAG0844	Tsac_2357	-	-
TAG0850	-	"Cthe_0608,Cthe_0609"	"Ccel_1760,Ccel_1761"
TAG0851	Tsac_2050	Cthe_1073	Ccel_0572
TAG0852	-	Cthe_1762	Ccel_0468
TAG0873	Tsac_2427	"-,Cthe_1722"	Ccel_2837
TAG0874	Tsac_1145	-	-
TAG0881	-	-	Ccel_2933
TAG0909	-	Cthe_0615	"Ccel_1218,Ccel_1392,Ccel_1756,Ccel_0669"
TAG0967	Tsac_0305	-	-
TAG0999	-	Cthe_2049	-
TAG1009	Tsac_0016	Cthe_3174	Ccel_2085
TAG1020	Tsac_2398	-	-
TAG1069	Tsac_0809	Cthe_0178	Ccel_1344
TAG1073	Tsac_0548	Cthe_2366	Ccel_3487
TAG1075	Tsac_1020	Cthe_2912	Ccel_0767
TAG1079	Tsac_1004	Cthe_2725	Ccel_0313
TAG1104	-	-	Ccel_1687
TAG1115	Tsac_2012	Cthe_0872	Ccel_3216
TAG1116	Tsac_0547	Cthe_2365	Ccel_3486
TAG1120	Tsac_1151	Cthe_2354	Ccel_3478
TAG1129	-	Cthe_2582	Ccel_1331
TAG1131	Tsac_0935	Cthe_2255	Ccel_0083
TAG1142	Tsac_0823	Cthe_2659	Ccel_3083
TAG1144	Tsac_0375	-	-
TAG1163	Tsac_0812	Cthe_1402	Ccel_0797
TAG1170	-	Cthe_2347	-
TAG1176	Tsac_1426	Cthe_2609	Ccel_0273
TAG1177	Tsac_0545	Cthe_2363	Ccel_3484
TAG1189	"Tsac_2175,Tsac_2232"	-	-
TAG1196	-	Cthe_1352	Ccel_2929
TAG1215	Tsac_1146	Cthe_2701	Ccel_2921
TAG1223	Tsac_0750	-	-
TAG1224	Tsac_0749	"Cthe_2404,Cthe_3159"	"Ccel_2175,Ccel_0023"
TAG1226	Tsac_0535	Cthe_2204	Ccel_0132
TAG1248	Tsac_0664	Cthe_2095	Ccel_0168
TAG1261	-	Cthe_1659	-
TAG1264	-	Cthe_1658	Ccel_2080
TAG1271	Tsac_0611	Cthe_2502	Ccel_3440
TAG1277	Tsac_0625	Cthe_3114	-
TAG1296	Tsac_0542	Cthe_2377	Ccel_0007
TAG1332	-	"Cthe_0292,Cthe_2958"	Ccel_0418
TAG1361	Tsac_0631	Cthe_3090	Ccel_2422
TAG1367	Tsac_0981	Cthe_1786	Ccel_0336
TAG1368	-	Cthe_1785	Ccel_0337
TAG1373	Tsac_1301	-	-
TAG1383	-	Cthe_2215	Ccel_2001
TAG1386	Tsac_2576	Cthe_1937	Ccel_3402
TAG1402	Tsac_0173	-	-
TAG1421	Tsac_1413	Cthe_2739	Ccel_0809
TAG1423	Tsac_2526	-	Ccel_3459
TAG1452	Tsac_2636	-	Ccel_1266
TAG1453	Tsac_2635	-	Ccel_1267
TAG1454	Tsac_2634	-	Ccel_1268
TAG1455	"Tsac_1042,Tsac_1043,Tsac_0253,Tsac_2633"	"Cthe_1801,Cthe_2934,Cthe_2936"	"Ccel_1184,Ccel_1269,Ccel_0789,Ccel_0791"
TAG1457	Tsac_2644	-	Ccel_1270
TAG1459	Tsac_2641	-	Ccel_1271
TAG1460	Tsac_2639	-	Ccel_1273
TAG1461	Tsac_2637	-	-
TAG1465	Tsac_0292	"Cthe_1051,Cthe_2636"	Ccel_0675
TAG1467	"Tsac_1476,Tsac_2540"	Cthe_2183	Ccel_3407
TAG1478	Tsac_2683	Cthe_2248	Ccel_0090
TAG1486	Tsac_2682	Cthe_2247	Ccel_0091
TAG1487	Tsac_2681	Cthe_2246	Ccel_0092
TAG1490	Tsac_2675	Cthe_2239	Ccel_0099
TAG1503	Tsac_2118	Cthe_0092	Ccel_2559
TAG1536	Tsac_2480	-	Ccel_0627
TAG1540	"Tsac_1147,Tsac_2364"	Cthe_2703	Ccel_2920
TAG1549	Tsac_1243	Cthe_0309	Ccel_1413
TAG1551	Tsac_1357	Cthe_0116	Ccel_2287
TAG1552	Tsac_2488	-	-
TAG1568	Tsac_0219	-	-
TAG1581	-	-	Ccel_2788
TAG1582	-	-	Ccel_2787
TAG1584	-	-	Ccel_2786
TAG1585	-	-	Ccel_2783
TAG1586	-	-	Ccel_2782
TAG1587	-	-	Ccel_2781
TAG1590	-	-	Ccel_2780
TAG1592	-	-	Ccel_2772
TAG1593	-	-	Ccel_2771
TAG1594	-	-	Ccel_2770
TAG1601	-	-	Ccel_2755
TAG1602	-	-	-
TAG1605	-	Cthe_1635	Ccel_2752
TAG1611	-	-	Ccel_2747
TAG1615	-	-	Ccel_2738
TAG1616	-	-	Ccel_2737
TAG1622	-	Cthe_0522	-
TAG1631	Tsac_0523	Cthe_2256	Ccel_0082
TAG1636	-	-	Ccel_2733
TAG1638	-	-	Ccel_2731
TAG1673	Tsac_2587	Cthe_0375	Ccel_2202
TAG1676	Tsac_2580	Cthe_1248	Ccel_2183
TAG1677	Tsac_2579	Cthe_1247	Ccel_2182
TAG1678	Tsac_2578	Cthe_1246	Ccel_2181
TAG1682	Tsac_0099	-	-
TAG1683	Tsac_0101	-	-
TAG1684	-	-	-
TAG1685	Tsac_1071	-	-
TAG1686	Tsac_1072	-	-
TAG1687	Tsac_1076	-	-
TAG1688	-	-	-
TAG1689	-	-	-
TAG1690	Tsac_1080	-	-
TAG1691	Tsac_1081	-	-
TAG1692	Tsac_1082	-	-
TAG1693	Tsac_1085	-	-
TAG1694	Tsac_1088	-	-
TAG1695	Tsac_1089	-	-
TAG1696	Tsac_1091	-	-
TAG1697	-	-	-
TAG1698	Tsac_1092	-	-
TAG1699	Tsac_1093	-	-
TAG1700	Tsac_1094	-	-
TAG1701	Tsac_1095	-	-
TAG1702	Tsac_1096	-	-
TAG1703	Tsac_1106	-	-
TAG1704	Tsac_1108	-	-
TAG1705	-	-	-
TAG1706	-	-	-
TAG1707	Tsac_1113	Cthe_3142	Ccel_0634
TAG1708	Tsac_1115	-	-
TAG1709	-	-	-
TAG1710	"Tsac_1122,Tsac_1193,Tsac_0241,-"	"Cthe_1697,Cthe_0245"	"Ccel_1065,Ccel_1143,Ccel_0236"
TAG1711	-	-	-
TAG1712	Tsac_1125	-	-
TAG1713	Tsac_1126	-	-
TAG1714	Tsac_1127	-	-
TAG1715	Tsac_1133	-	-
TAG1716	Tsac_1137	-	-
TAG1717	-	-	-
TAG1718	Tsac_1152	-	-
TAG1719	Tsac_1154	-	-
TAG1720	Tsac_1158	-	-
TAG1721	Tsac_1160	-	-
TAG1722	Tsac_1161	-	-
TAG1723	Tsac_1162	-	-
TAG1724	Tsac_1165	-	-
TAG1725	-	-	-
TAG1726	-	-	-
TAG1727	Tsac_1194	-	-
TAG1728	Tsac_1207	-	-
TAG1729	Tsac_1215	-	-
TAG1730	Tsac_0123	-	-
TAG1731	Tsac_1271	-	-
TAG1732	"Tsac_1159,Tsac_1272,Tsac_1350,Tsac_1446,Tsac_1458,Tsac_1464,Tsac_0149,Tsac_1511,Tsac_1515,Tsac_0165,Tsac_0201,Tsac_2089,Tsac_2256,Tsac_2302,Tsac_2323,Tsac_0340,Tsac_0495,Tsac_0694"	"Cthe_1018,Cthe_2125"	"Ccel_1015,Ccel_1027,Ccel_1135,Ccel_0144,Ccel_0152,Ccel_0202,Ccel_2110,Ccel_2457,Ccel_2995,Ccel_3244"
TAG1733	Tsac_1274	-	-
TAG1734	Tsac_1276	-	Ccel_2451
TAG1735	Tsac_1282	-	-
TAG1736	Tsac_1289	-	-
TAG1737	Tsac_1290	-	-
TAG1738	Tsac_1291	-	-
TAG1739	Tsac_0129	-	-
TAG1740	Tsac_1299	-	-
TAG1741	-	-	-
TAG1742	-	-	-
TAG1743	Tsac_1328	-	-
TAG1744	-	-	-
TAG1745	-	-	-
TAG1746	Tsac_1334	-	-
TAG1747	Tsac_1341	-	-
TAG1748	"Tsac_1343,Tsac_1513"	-	-
TAG1749	Tsac_1346	-	-
TAG1750	-	-	-
TAG1751	Tsac_1356	-	-
TAG1752	"Tsac_0136,Tsac_0137,Tsac_0140"	Cthe_0393	"Ccel_1223,Ccel_1642,Ccel_1987,Ccel_2687,Ccel_0054"
TAG1753	Tsac_1367	-	-
TAG1754	-	-	-
TAG1755	Tsac_1368	-	-
TAG1756	"Tsac_1370,Tsac_0467"	Cthe_1886	Ccel_1559
TAG1757	Tsac_1372	-	-
TAG1758	Tsac_1373	-	-
TAG1759	Tsac_1374	-	-
TAG1760	-	-	-
TAG1761	Tsac_1375	-	-
TAG1762	Tsac_1376	-	-
TAG1763	-	-	-
TAG1764	Tsac_1380	-	-
TAG1765	Tsac_1381	-	-
TAG1766	-	-	-
TAG1767	Tsac_1391	-	-
TAG1768	-	-	-
TAG1769	-	-	-
TAG1770	Tsac_1402	-	-
TAG1771	"Tsac_1404,Tsac_1409"	-	-
TAG1772	Tsac_1408	-	-
TAG1773	Tsac_0141	-	-
TAG1774	-	-	-
TAG1775	Tsac_1448	-	Ccel_0141
TAG1776	Tsac_0147	-	-
TAG1777	Tsac_1472	-	-
TAG1778	Tsac_1473	-	-
TAG1779	Tsac_0148	-	-
TAG1780	Tsac_1505	-	-
TAG1781	Tsac_1506	-	-
TAG1782	-	-	-
TAG1783	Tsac_1514	-	-
TAG1784	Tsac_1525	-	-
TAG1785	Tsac_1545	-	-
TAG1786	-	-	-
TAG1787	Tsac_1557	-	-
TAG1788	Tsac_1584	-	-
TAG1789	Tsac_0161	-	-
TAG1790	Tsac_1624	-	-
TAG1791	Tsac_1627	-	-
TAG1792	Tsac_1629	-	-
TAG1793	Tsac_1641	-	-
TAG1794	-	-	-
TAG1795	Tsac_1664	-	-
TAG1796	Tsac_1666	-	-
TAG1797	-	-	-
TAG1798	Tsac_1668	-	-
TAG1799	-	-	-
TAG1800	-	-	-
TAG1801	Tsac_1741	-	-
TAG1802	Tsac_1760	Cthe_0926	Ccel_0697
TAG1803	Tsac_0180	-	-
TAG1804	Tsac_0181	-	-
TAG1805	Tsac_0183	-	-
TAG1806	-	-	-
TAG1807	Tsac_0185	-	-
TAG1808	Tsac_0186	-	-
TAG1809	Tsac_1849	-	-
TAG1810	Tsac_0187	-	-
TAG1811	Tsac_0188	-	-
TAG1812	Tsac_0194	-	-
TAG1813	Tsac_1952	-	-
TAG1814	Tsac_1953	-	-
TAG1815	-	-	-
TAG1816	Tsac_1966	-	-
TAG1817	Tsac_1983	-	-
TAG1818	Tsac_1985	-	-
TAG1819	Tsac_1986	-	-
TAG1820	Tsac_1992	-	-
TAG1821	Tsac_1993	-	-
TAG1822	Tsac_1994	-	-
TAG1823	-	-	-
TAG1824	Tsac_2007	-	-
TAG1825	Tsac_2016	-	-
TAG1826	Tsac_2017	-	-
TAG1827	Tsac_2028	-	-
TAG1828	Tsac_2032	-	-
TAG1829	Tsac_2033	-	-
TAG1830	Tsac_0205	-	-
TAG1831	Tsac_2035	-	-
TAG1832	Tsac_2036	-	-
TAG1833	Tsac_2037	-	-
TAG1834	-	-	-
TAG1835	Tsac_2059	-	-
TAG1836	Tsac_2063	-	-
TAG1837	Tsac_2080	-	-
TAG1838	Tsac_2084	-	-
TAG1839	Tsac_2088	-	-
TAG1840	"Tsac_1202,Tsac_2091"	-	-
TAG1841	Tsac_0211	Cthe_2430	-
TAG1842	Tsac_2096	-	-
TAG1843	"Tsac_0214,Tsac_0216"	-	-
TAG1844	Tsac_2148	-	-
TAG1845	Tsac_2163	-	-
TAG1846	"Tsac_1064,Tsac_2180"	-	-
TAG1847	Tsac_0220	-	-
TAG1848	Tsac_0221	-	-
TAG1849	-	-	-
TAG1850	Tsac_2219	-	-
TAG1851	-	-	-
TAG1852	-	-	-
TAG1853	Tsac_2251	-	-
TAG1854	-	-	-
TAG1855	Tsac_2252	-	-
TAG1856	Tsac_2253	-	Ccel_0428
TAG1857	"Tsac_0151,Tsac_2258,Tsac_0342"	Cthe_1020	-
TAG1858	Tsac_2262	-	-
TAG1859	Tsac_2276	-	-
TAG1860	Tsac_0229	-	-
TAG1861	Tsac_2281	-	-
TAG1862	Tsac_2283	-	-
TAG1863	Tsac_2289	-	-
TAG1864	Tsac_2291	-	-
TAG1865	Tsac_2293	-	-
TAG1866	Tsac_2294	-	-
TAG1867	Tsac_2300	-	-
TAG1868	Tsac_2305	-	-
TAG1869	-	-	-
TAG1870	Tsac_2311	-	-
TAG1871	Tsac_2312	-	-
TAG1872	-	-	-
TAG1873	Tsac_2325	-	-
TAG1874	-	-	-
TAG1875	Tsac_2340	-	-
TAG1876	Tsac_0236	-	-
TAG1877	Tsac_2373	-	-
TAG1878	Tsac_2374	-	-
TAG1879	-	-	-
TAG1880	Tsac_2377	-	-
TAG1881	-	-	-
TAG1882	Tsac_2378	-	-
TAG1883	Tsac_2381	-	-
TAG1884	Tsac_2383	-	-
TAG1885	Tsac_2384	-	-
TAG1886	Tsac_2390	-	-
TAG1887	Tsac_2392	-	-
TAG1888	-	-	-
TAG1889	-	-	-
TAG1890	Tsac_2399	-	-
TAG1891	-	-	-
TAG1892	-	-	-
TAG1893	-	-	-
TAG1894	Tsac_2403	-	-
TAG1895	Tsac_2404	-	-
TAG1896	Tsac_2406	-	-
TAG1897	Tsac_2407	-	-
TAG1898	Tsac_2409	-	-
TAG1899	Tsac_2410	-	-
TAG1900	Tsac_2411	-	-
TAG1901	Tsac_2412	-	-
TAG1902	Tsac_2413	-	-
TAG1903	Tsac_2414	-	-
TAG1904	Tsac_2415	-	-
TAG1905	Tsac_2416	-	-
TAG1906	Tsac_2417	-	-
TAG1907	Tsac_2420	-	-
TAG1908	Tsac_2421	Cthe_1715	-
TAG1909	Tsac_2422	-	-
TAG1910	Tsac_2423	-	-
TAG1911	Tsac_2424	-	-
TAG1912	Tsac_2426	-	-
TAG1913	Tsac_2428	-	-
TAG1914	Tsac_2430	-	-
TAG1915	Tsac_2431	-	-
TAG1916	Tsac_2433	-	-
TAG1917	-	-	-
TAG1918	Tsac_2435	-	-
TAG1919	Tsac_2436	-	-
TAG1920	Tsac_2437	-	-
TAG1921	Tsac_2438	-	-
TAG1922	Tsac_2441	-	-
TAG1923	Tsac_2443	-	-
TAG1924	Tsac_2444	-	-
TAG1925	Tsac_2447	-	-
TAG1926	Tsac_2448	-	-
TAG1927	Tsac_2449	-	-
TAG1928	Tsac_2450	-	-
TAG1929	Tsac_2451	-	-
TAG1930	Tsac_2454	-	-
TAG1931	-	-	-
TAG1932	Tsac_2481	-	-
TAG1933	Tsac_2502	-	-
TAG1934	Tsac_2506	-	-
TAG1935	Tsac_2513	-	-
TAG1936	Tsac_2516	-	-
TAG1937	-	-	-
TAG1938	Tsac_2519	-	-
TAG1939	Tsac_2521	-	-
TAG1940	Tsac_2531	-	-
TAG1941	Tsac_2534	-	-
TAG1942	-	-	-
TAG1943	Tsac_2557	Cthe_2961	Ccel_0044
TAG1944	Tsac_2563	Cthe_1388	Ccel_1455
TAG1945	Tsac_0259	-	-
TAG1946	-	-	-
TAG1947	Tsac_0260	-	-
TAG1948	Tsac_2585	-	-
TAG1949	Tsac_2595	-	-
TAG1950	Tsac_2611	-	-
TAG1951	-	-	-
TAG1952	-	-	-
TAG1953	Tsac_2667	-	-
TAG1954	-	-	-
TAG1955	Tsac_2673	-	-
TAG1956	Tsac_2685	-	-
TAG1957	Tsac_2687	-	-
TAG1958	Tsac_2688	-	-
TAG1959	Tsac_2689	-	-
TAG1960	Tsac_2691	-	-
TAG1961	Tsac_2692	-	-
TAG1962	Tsac_2693	-	-
TAG1963	Tsac_2694	-	-
TAG1964	Tsac_2695	-	-
TAG1965	Tsac_2696	-	-
TAG1966	Tsac_2697	-	-
TAG1967	-	-	-
TAG1968	Tsac_2699	-	-
TAG1969	Tsac_2700	-	-
TAG1970	Tsac_2701	-	-
TAG1971	Tsac_2702	-	-
TAG1972	Tsac_2705	-	-
TAG1973	Tsac_2706	-	-
TAG1974	Tsac_2707	-	-
TAG1975	Tsac_2708	-	-
TAG1976	Tsac_2709	-	-
TAG1977	Tsac_2710	-	-
TAG1978	Tsac_2711	-	-
TAG1979	Tsac_2712	-	-
TAG1980	Tsac_2714	-	-
TAG1981	Tsac_2715	-	-
TAG1982	Tsac_2716	-	-
TAG1983	Tsac_2717	-	-
TAG1984	Tsac_2718	-	-
TAG1985	Tsac_2719	-	-
TAG1986	Tsac_2720	-	-
TAG1987	Tsac_2721	-	-
TAG1988	Tsac_2722	-	-
TAG1989	Tsac_2724	-	-
TAG1990	Tsac_2725	-	-
TAG1991	-	-	-
TAG1992	-	-	-
TAG1993	Tsac_2727	-	-
TAG1994	Tsac_2728	-	-
TAG1995	Tsac_2729	-	-
TAG1996	Tsac_2732	-	-
TAG1997	Tsac_2736	-	-
TAG1998	Tsac_2737	-	-
TAG1999	-	-	-
TAG2000	Tsac_2738	-	-
TAG2001	Tsac_2739	-	-
TAG2002	Tsac_2740	-	-
TAG2003	Tsac_2741	-	-
TAG2004	Tsac_2742	-	-
TAG2005	Tsac_2744	-	-
TAG2006	Tsac_2745	-	-
TAG2007	Tsac_2746	-	-
TAG2008	Tsac_2748	-	-
TAG2009	Tsac_2749	-	-
TAG2010	Tsac_2750	-	-
TAG2011	Tsac_2751	-	-
TAG2012	Tsac_2752	-	-
TAG2013	Tsac_2753	-	-
TAG2014	Tsac_2754	-	-
TAG2015	Tsac_2755	-	-
TAG2016	Tsac_2757	-	-
TAG2017	Tsac_2758	-	-
TAG2018	Tsac_2759	-	-
TAG2019	Tsac_2760	-	-
TAG2020	Tsac_2761	-	-
TAG2021	Tsac_2762	-	-
TAG2022	Tsac_2764	-	-
TAG2023	Tsac_2765	-	-
TAG2024	Tsac_2767	-	-
TAG2025	Tsac_2770	-	-
TAG2026	Tsac_2771	-	-
TAG2027	Tsac_2772	-	-
TAG2028	-	-	-
TAG2029	Tsac_2773	-	-
TAG2030	Tsac_2774	-	-
TAG2031	Tsac_2775	-	-
TAG2032	Tsac_2776	-	-
TAG2033	Tsac_2778	-	-
TAG2034	Tsac_2779	-	-
TAG2035	-	-	-
TAG2036	-	-	-
TAG2037	Tsac_2781	-	-
TAG2038	Tsac_2782	-	-
TAG2039	Tsac_2783	-	-
TAG2040	Tsac_2784	-	-
TAG2041	Tsac_2786	-	-
TAG2042	Tsac_2787	-	-
TAG2043	Tsac_2788	-	-
TAG2044	Tsac_2789	-	-
TAG2045	Tsac_2790	-	-
TAG2046	Tsac_2791	-	-
TAG2047	Tsac_2793	-	-
TAG2048	Tsac_2794	-	-
TAG2049	Tsac_2795	-	-
TAG2050	Tsac_2796	-	-
TAG2051	Tsac_2797	-	-
TAG2052	Tsac_2798	-	-
TAG2053	Tsac_2799	-	-
TAG2054	Tsac_2800	-	-
TAG2055	Tsac_2803	-	-
TAG2056	Tsac_2807	-	-
TAG2057	Tsac_2808	-	-
TAG2058	Tsac_2809	-	-
TAG2059	Tsac_2811	-	-
TAG2060	Tsac_2812	-	-
TAG2061	Tsac_2815	-	-
TAG2062	Tsac_2816	-	-
TAG2063	Tsac_2817	-	-
TAG2064	Tsac_2818	-	-
TAG2065	Tsac_2820	-	-
TAG2066	-	-	-
TAG2067	Tsac_2822	-	-
TAG2068	Tsac_2823	-	-
TAG2069	Tsac_2824	-	-
TAG2070	Tsac_2825	-	-
TAG2071	Tsac_2826	-	-
TAG2072	Tsac_2827	-	-
TAG2073	Tsac_0286	-	-
TAG2074	Tsac_0287	-	-
TAG2075	Tsac_0290	-	-
TAG2076	-	-	-
TAG2077	Tsac_0329	-	-
TAG2078	Tsac_0332	-	-
TAG2079	Tsac_0344	-	-
TAG2080	Tsac_0345	-	-
TAG2081	-	-	-
TAG2082	Tsac_0357	-	-
TAG2083	Tsac_0358	-	-
TAG2084	Tsac_0361	-	-
TAG2085	Tsac_0364	-	-
TAG2086	-	-	-
TAG2087	Tsac_0378	-	-
TAG2088	Tsac_0379	Cthe_2327	Ccel_3388
TAG2089	"Tsac_2076,Tsac_0384"	-	Ccel_1190
TAG2090	Tsac_0385	-	-
TAG2091	Tsac_0401	-	-
TAG2092	Tsac_0402	-	-
TAG2093	Tsac_0403	-	-
TAG2094	Tsac_0404	-	-
TAG2095	Tsac_0405	-	-
TAG2096	Tsac_0406	-	-
TAG2097	Tsac_0407	-	-
TAG2098	Tsac_0415	-	-
TAG2099	Tsac_0428	-	-
TAG2100	Tsac_0429	-	-
TAG2101	Tsac_0432	-	-
TAG2102	Tsac_0451	-	-
TAG2103	-	-	-
TAG2104	Tsac_0453	-	-
TAG2105	Tsac_0454	-	-
TAG2106	Tsac_0458	-	-
TAG2107	Tsac_0460	-	-
TAG2108	-	-	-
TAG2109	-	-	-
TAG2110	-	-	-
TAG2111	Tsac_0464	-	-
TAG2112	Tsac_0465	-	-
TAG2113	"Tsac_1371,Tsac_0468"	-	-
TAG2114	Tsac_0469	-	-
TAG2115	Tsac_0470	-	-
TAG2116	Tsac_0472	-	-
TAG2117	Tsac_0473	-	-
TAG2118	Tsac_0475	-	-
TAG2119	Tsac_0476	-	-
TAG2120	-	-	-
TAG2121	-	-	-
TAG2122	-	-	-
TAG2123	Tsac_0480	-	-
TAG2124	Tsac_0481	-	-
TAG2125	Tsac_0484	-	-
TAG2126	Tsac_0485	-	-
TAG2127	Tsac_0486	-	-
TAG2128	Tsac_0487	-	-
TAG2129	-	-	-
TAG2130	Tsac_0499	-	-
TAG2131	Tsac_0500	-	-
TAG2132	Tsac_0502	-	-
TAG2133	Tsac_0504	-	-
TAG2134	Tsac_0049	-	-
TAG2135	Tsac_0506	-	-
TAG2136	Tsac_0507	-	-
TAG2137	Tsac_0508	-	-
TAG2138	Tsac_0509	-	-
TAG2139	Tsac_0510	-	-
TAG2140	Tsac_0516	-	-
TAG2141	Tsac_0528	-	-
TAG2142	-	-	-
TAG2143	Tsac_0054	-	Ccel_1464
TAG2144	Tsac_0582	-	-
TAG2145	Tsac_0583	-	-
TAG2146	Tsac_0584	-	-
TAG2147	Tsac_0585	-	-
TAG2148	Tsac_0586	-	-
TAG2149	-	-	-
TAG2150	Tsac_0592	-	-
TAG2151	Tsac_0593	-	-
TAG2152	Tsac_0596	-	-
TAG2153	Tsac_0600	-	-
TAG2154	Tsac_0601	-	-
TAG2155	Tsac_0603	-	-
TAG2156	Tsac_0604	-	-
TAG2157	-	-	-
TAG2158	-	-	-
TAG2159	Tsac_0621	-	-
TAG2160	Tsac_0650	Cthe_2099	Ccel_0165
TAG2161	Tsac_0654	-	-
TAG2162	Tsac_0659	-	-
TAG2163	Tsac_0660	-	-
TAG2164	Tsac_0661	-	-
TAG2165	Tsac_0662	-	-
TAG2166	-	-	-
TAG2167	-	-	-
TAG2168	Tsac_0674	-	-
TAG2169	-	-	-
TAG2170	Tsac_0691	-	-
TAG2171	-	-	-
TAG2172	Tsac_0707	-	-
TAG2173	Tsac_0709	-	-
TAG2174	-	-	-
TAG2175	Tsac_0711	-	-
TAG2176	-	-	-
TAG2177	Tsac_0712	-	-
