reaction,pH,ionic strength [M],dG'0 [kJ/mol],uncertainty [kJ/mol],ln(Reversibility Index),comment
R00566,7.0,0.0,-3.27,6.15,-5.49,
R00570,7.0,0.0,0.42,2.34,0.09,
R00573,7.0,0.0,-25.51,2.63,-4.92,
R00575,7.0,0.0,-0.03,2.65,-1.54,
R00578,7.0,0.0,-31.76,3.65,-5.64,
R00582,7.0,0.0,-12.39,0.28,-7.94,
R00586,7.0,0.0,-2.33,2.93,-0.47,
R00619,7.0,0.0,0.24,2.45,0.05,
R00651,7.0,0.0,-56.35,3.03,-11.37,
R00658,7.0,0.0,-4.32,0.30,-1.74,
R00660,7.0,0.0,-10.82,3.71,-2.18,
R00662,7.0,0.0,-42.35,3.85,-16.00,
R00674,7.0,0.0,-50.76,1.12,-9.05,
R00691,7.0,0.0,-78.71,11.07,-25.78,
R00694,7.0,0.0,-1.25,2.07,-0.25,
R00703,7.0,0.0,29.96,0.46,6.05,
R00709,7.0,0.0,5.00,3.19,-1.96,
R00732,7.0,0.0,-18.50,11.06,-5.75,
R00734,7.0,0.0,-0.77,2.07,-0.15,
R00742,7.0,0.0,-4.59,1.49,-0.62,
R00756,7.0,0.0,-10.94,0.67,-2.21,
R00760,7.0,0.0,-13.13,0.59,-2.65,
R00764,7.0,0.0,0.14,0.70,0.03,
R00768,7.0,0.0,-13.92,2.24,-2.81,
R00771,7.0,0.0,1.02,0.38,0.41,
R00772,7.0,0.0,-3.03,1.16,-1.22,
R00801,7.0,0.0,-24.67,1.28,-11.24,
R00842,7.0,0.0,29.70,0.73,5.99,
R00847,7.0,0.0,-10.83,2.08,-2.19,
R00856,7.0,0.0,-2.18,1.69,-0.44,
R00868,7.0,0.0,13.56,1.21,2.74,
R00883,7.0,0.0,0.05,3.23,0.01,
R00885,7.0,0.0,-10.26,2.93,-2.07,
R00895,7.0,0.0,-18.21,4.70,-3.67,
R00896,7.0,0.0,-18.21,4.70,-3.67,
R00897,7.0,0.0,-51.49,5.24,-10.39,
R00921,7.0,0.0,23.47,3.29,4.74,
R00936,7.0,0.0,-28.41,1.16,-5.73,
R00939,7.0,0.0,-26.86,1.11,-5.42,
R00942,7.0,0.0,nan,nan,nan,reaction is not chemically balanced
R00943,7.0,0.0,-3.46,1.94,-0.47,
R00945,7.0,0.0,7.84,1.24,1.58,
R00946,7.0,0.0,-2.21,5.18,-0.45,
R00948,7.0,0.0,-8.78,1.36,-1.77,
R00952,7.0,0.0,6.34,1.69,1.28,
R00964,7.0,0.0,-13.32,4.18,-2.69,
R00965,7.0,0.0,-29.54,8.61,-12.55,
R00966,7.0,0.0,-16.89,4.39,-3.41,
R00968,7.0,0.0,-12.54,4.38,-2.53,
R00985,7.0,0.0,-93.68,7.53,-18.91,
R00986,7.0,0.0,-106.31,7.58,-19.93,
R00994,7.0,0.0,-2.11,4.70,-3.10,
R00999,7.0,0.0,-54.49,4.72,-17.90,
R01010,7.0,0.0,-17.17,2.17,-9.22,
R01015,7.0,0.0,5.85,0.55,2.36,
R01030,7.0,0.0,-250.73,70710.68,-72.07,
R01049,7.0,0.0,4.42,1.45,0.89,
R01054,7.0,0.0,-19.81,3.82,-9.94,
R01056,7.0,0.0,2.36,0.76,0.95,
R01057,7.0,0.0,-12.02,1.52,-4.85,
R01061,7.0,0.0,6.87,0.41,3.87,
R01066,7.0,0.0,20.33,1.51,0.87,
R01067,7.0,0.0,12.00,1.92,2.42,
R01068,7.0,0.0,24.43,0.53,1.97,
R01071,7.0,0.0,-4147.75,100000.00,5.60,
R01072,7.0,0.0,63.09,2.72,12.95,
R01073,7.0,0.0,58.68,3.62,11.84,
R01074,7.0,0.0,1165.19,100000.00,235.14,
R01078,7.0,0.0,-444.35,154737.40,-53.21,
R01082,7.0,0.0,3.47,0.28,1.40,
R01083,7.0,0.0,20.86,1.38,1.01,
R01086,7.0,0.0,14.54,2.93,-0.69,
R01090,7.0,0.0,-0.85,1.58,-0.17,
R01092,7.0,0.0,-9.61,1.51,-1.94,
R01100,7.0,0.0,-10.74,1.05,-7.50,
R01101,7.0,0.0,-10.72,1.69,-7.49,
R01103,7.0,0.0,2.23,4.38,-4.00,
R01104,7.0,0.0,-2.09,3.02,-5.17,
R01127,7.0,0.0,19.70,5.44,7.95,
R01130,7.0,0.0,23.65,3.98,4.77,
R01132,7.0,0.0,30.66,1.58,6.19,
R01135,7.0,0.0,2.14,2.13,0.29,
R01150,7.0,0.0,-24.24,4.25,-3.26,
R01157,7.0,0.0,-58.59,6.31,-20.37,
R01158,7.0,0.0,-2.85,2.24,-0.38,
R01175,7.0,0.0,27.42,3.91,5.53,
R01183,7.0,0.0,1.11,1.66,0.22,
R01194,7.0,0.0,-3.01,2.38,-5.41,
R01196,7.0,0.0,-23.15,6.67,-2.34,
R01199,7.0,0.0,-3.36,8.02,-0.34,
R01209,7.0,0.0,-36.94,1.40,-14.91,
R01210,7.0,0.0,-15.47,3.35,-2.08,
R01213,7.0,0.0,16.55,1.35,3.34,
R01214,7.0,0.0,0.56,3.47,0.11,
R01216,7.0,0.0,19.08,5.08,0.53,
R01220,7.0,0.0,8.15,1.14,1.64,
R01224,7.0,0.0,-45.59,4.19,-9.20,
R01226,7.0,0.0,7.35,5.05,1.48,
R01229,7.0,0.0,32.12,2.22,6.48,
R01230,7.0,0.0,-308.03,67656.96,-41.44,
R01248,7.0,0.0,-55.42,2.95,-11.18,
R01251,7.0,0.0,-53.87,2.93,-10.87,
R01280,7.0,0.0,-13.82,6.42,-1.86,
R01287,7.0,0.0,-64.52,5.45,-13.02,
R01288,7.0,0.0,-55.43,5.78,-11.19,
R01325,7.0,0.0,12.04,1.13,4.86,
R01326,7.0,0.0,-12.90,1.42,-2.60,
R01329,7.0,0.0,4.39,2.90,-3.42,
R01353,7.0,0.0,35.23,2.82,7.11,
R01373,7.0,0.0,-69.74,11.32,-23.37,
R01397,7.0,0.0,-24.03,2.93,-4.85,
R01398,7.0,0.0,-34.85,2.93,-7.03,
R01402,7.0,0.0,13.40,2.93,2.70,
R01432,7.0,0.0,3.67,0.58,1.48,
R01433_kz,7.0,0.0,nan,nan,nan,reaction is empty
R01444,7.0,0.0,-13.78,3.05,-8.31,
R01445_kz,7.0,0.0,nan,nan,nan,reaction is empty
R01466,7.0,0.0,-31.40,2.81,-13.05,
R01470,7.0,0.0,-242.78,70710.68,-69.93,
R01482,7.0,0.0,0.61,2.93,0.25,
R01512,7.0,0.0,-17.73,0.44,-3.58,
R01513,7.0,0.0,35.37,0.56,7.14,
R01514,7.0,0.0,-8.73,0.63,-1.76,
R01518,7.0,0.0,2.95,0.36,1.19,
R01526,7.0,0.0,-21.19,1.78,-4.28,
R01529,7.0,0.0,-3.41,1.15,-1.38,
R01541,7.0,0.0,-15.80,3.87,-3.19,
R01542,7.0,0.0,-15.85,3.71,-3.20,
R01555,7.0,0.0,4.91,1.53,0.99,
R01561,7.0,0.0,11.06,1.33,2.23,
R01570,7.0,0.0,7.07,4.48,1.43,
R01579,7.0,0.0,-18.48,3.93,-9.58,
R01580,7.0,0.0,0.21,2.92,0.04,
R01625,7.0,0.0,nan,nan,nan,reaction is empty
R01626,7.0,0.0,nan,nan,nan,reaction is empty
R01639,7.0,0.0,-18.48,2.03,-3.73,
R01641,7.0,0.0,3.45,1.92,0.70,
R01651,7.0,0.0,-16.76,4.14,-2.25,
R01652,7.0,0.0,-20.05,4.33,-10.00,
R01655,7.0,0.0,-1.48,0.92,-0.60,
R01658,7.0,0.0,-78.09,2.79,-15.76,
R01663,7.0,0.0,-23.27,2.53,-10.87,
R01665,7.0,0.0,0.30,2.93,0.06,
R01668,7.0,0.0,-41.17,2.43,-15.68,
R01714,7.0,0.0,-54.97,3.83,-19.40,
R01715,7.0,0.0,-49.40,4.64,-19.94,
R01716,7.0,0.0,-19.17,3.06,-3.87,
R01718,7.0,0.0,-8.43,0.85,-6.87,
R01724,7.0,0.0,-37.70,2.95,-6.32,
R01728,7.0,0.0,-9.04,11.29,-4.22,
R01737,7.0,0.0,-5.02,3.21,-1.01,
R01761,7.0,0.0,4.90,1.69,1.98,
R01762,7.0,0.0,nan,nan,nan,reaction is empty
R01771,7.0,0.0,-33.57,4.49,-6.77,
R01775,7.0,0.0,24.62,1.70,4.97,
R01776,7.0,0.0,-24.62,4.73,-4.97,
R01785,7.0,0.0,12.36,1.94,-1.28,
R01790_kz,7.0,0.0,nan,nan,nan,reaction is empty
R01799,7.0,0.0,nan,nan,nan,reaction is empty
R01801,7.0,0.0,nan,nan,nan,reaction is empty
R01818,7.0,0.0,4.65,1.50,1.88,
R01826,7.0,0.0,-74.69,2.35,-15.07,
R01829,7.0,0.0,14.08,2.81,-0.82,
R01855,7.0,0.0,-42.61,2.43,-16.07,
R01856,7.0,0.0,2825.51,100000.00,-11.86,
R01859,7.0,0.0,-4.02,5.26,-0.54,
R01863,7.0,0.0,11.09,1.07,2.24,
R01869,7.0,0.0,11.19,1.20,2.26,
R01870,7.0,0.0,-12.64,1.31,-2.55,
R01876,7.0,0.0,2.07,1.31,0.42,
R01878,7.0,0.0,-14.94,1.11,-8.62,
R01900,7.0,0.0,-1.83,1.13,-0.74,
R01902,7.0,0.0,-19.34,2.49,-3.90,
R01920,7.0,0.0,4.96,100000.00,1.00,
R01954,7.0,0.0,3.97,1.47,0.53,
R01969,7.0,0.0,19.26,3.77,3.89,
R01983,7.0,0.0,1.34,2.07,0.54,
R01993,7.0,0.0,-1.29,1.69,-0.52,
R02003,7.0,0.0,-81.39,2.94,-16.43,
R02030,7.0,0.0,nan,nan,nan,reaction is empty
R02036,7.0,0.0,-43.45,2.57,-17.54,
R02059,7.0,0.0,-8.92,3.78,-7.01,
R02060,7.0,0.0,-2.46,1.69,-0.99,
R02061,7.0,0.0,-81.39,2.94,-16.43,
R02071,7.0,0.0,-13.89,1.30,-2.80,
R02090,7.0,0.0,2.89,2.93,0.58,
R02093,7.0,0.0,4.22,2.62,0.85,
R02094,7.0,0.0,-3.26,2.93,-0.66,
R02098,7.0,0.0,-0.16,1.29,-0.03,
R02100,7.0,0.0,-38.48,2.56,-14.96,
R02110,7.0,0.0,nan,nan,nan,reaction is empty
R02110_kz,7.0,0.0,nan,nan,nan,reaction is empty
R02112_kz,7.0,0.0,nan,nan,nan,reaction is empty
R02135,7.0,0.0,-68.62,4.46,-23.07,
R02142,7.0,0.0,26.83,2.44,5.41,
R02147,7.0,0.0,14.45,2.07,2.92,
R02199,7.0,0.0,-7.09,3.52,-1.43,
R02236,7.0,0.0,15.21,3.13,3.07,
R02237,7.0,0.0,-15.80,3.37,-2.13,
R02239,7.0,0.0,nan,nan,nan,reaction is empty
R02240,7.0,0.0,nan,nan,nan,reaction is empty
R02258,7.0,0.0,30.10,1.50,6.07,
R02262,7.0,0.0,19.29,2.93,0.58,
R02263,7.0,0.0,5.89,2.93,-3.02,
R02272,7.0,0.0,8.87,0.67,3.58,
R02282,7.0,0.0,5.21,2.93,1.05,
R02283,7.0,0.0,-4.25,3.37,-0.86,
R02291,7.0,0.0,-16.30,1.69,0.13,
R02294,7.0,0.0,-12.03,2.93,-2.43,
R02295,7.0,0.0,13.92,3.09,2.81,
R02296,7.0,0.0,18.96,2.41,3.83,
R02297,7.0,0.0,13.79,2.93,2.78,
R02298,7.0,0.0,26.40,4.70,5.33,
R02301,7.0,0.0,-75.40,7.55,-14.94,
R02322,7.0,0.0,5.17,5.58,-3.21,
R02328,7.0,0.0,-2.69,2.93,-0.54,
R02340,7.0,0.0,19.23,2.93,0.57,
R02360_kz,7.0,0.0,nan,nan,nan,reaction is empty
R02412,7.0,0.0,-16.54,2.84,-3.34,
R02413,7.0,0.0,11.66,1.31,2.35,
R02421,7.0,0.0,nan,nan,nan,reaction is empty
R02437,7.0,0.0,0.13,1.69,0.05,
R02439,7.0,0.0,-7.39,2.29,-1.49,
R02454,7.0,0.0,-20.22,1.83,-4.08,
R02472,7.0,0.0,21.09,2.93,4.26,
R02473,7.0,0.0,-41.91,1.33,-5.64,
R02484,7.0,0.0,4.56,2.70,0.92,
R02485,7.0,0.0,-21.31,1.98,-10.34,
R02508,7.0,0.0,58.97,5.57,11.90,
R02539,7.0,0.0,-5.61,2.00,-0.75,
R02557,7.0,0.0,12.54,3.39,2.53,
R02558,7.0,0.0,-10.43,1.80,-7.41,
R02568,7.0,0.0,28.59,1.15,3.09,
R02628,7.0,0.0,nan,nan,nan,reaction is empty
R02649,7.0,0.0,28.46,3.08,5.74,
R02689,7.0,0.0,nan,nan,nan,reaction is empty
R02707,7.0,0.0,25.39,1.85,11.44,
R02720,7.0,0.0,-54.71,2.56,-19.33,
R02722,7.0,0.0,-31.53,3.14,-6.36,
R02727,7.0,0.0,7.68,1.19,1.55,
R02728,7.0,0.0,-7.53,0.74,-3.04,
R02733,7.0,0.0,-7.04,2.34,-6.50,
R02734,7.0,0.0,8.16,3.74,-2.41,
R02735,7.0,0.0,-1.65,2.93,-0.67,
R02748,7.0,0.0,11.36,1.69,2.29,
R02749,7.0,0.0,-26.85,3.51,-10.84,
R02777,7.0,0.0,0.96,1.59,0.19,
R02783,7.0,0.0,-22.68,3.20,-3.05,
R02788,7.0,0.0,-27.81,2.27,-3.74,
R02853,7.0,0.0,-18.71,2.69,-9.64,
R02864,7.0,0.0,nan,nan,nan,reaction is not chemically balanced
R02869,7.0,0.0,4.95,100000.00,1.00,
R02887_kz,7.0,0.0,-27.65,6.14,-12.49,
R02918,7.0,0.0,nan,nan,nan,reaction is empty
R02926,7.0,0.0,15.73,3.17,-0.37,
R02971,7.0,0.0,-8.80,1.24,-1.78,
R02984,7.0,0.0,2.32,1.95,0.93,
R02985,7.0,0.0,-3.70,1.77,-5.60,
R03005,7.0,0.0,-24.79,4.70,-5.00,
R03013,7.0,0.0,-17.28,2.18,-9.26,
R03014,7.0,0.0,2.37,2.76,0.48,
R03018,7.0,0.0,-2.88,4.12,-0.58,
R03024,7.0,0.0,-861.24,141421.36,-5.73,
R03035,7.0,0.0,-25.42,5.18,-5.13,
R03038,7.0,0.0,nan,nan,nan,reaction is empty
R03066,7.0,0.0,-26.73,2.99,-2.59,
R03067,7.0,0.0,-73.62,6.52,-14.86,
R03083,7.0,0.0,-153.35,6.26,-45.87,
R03084,7.0,0.0,-5.29,2.07,-2.14,
R03132,7.0,0.0,-833.30,122474.49,-8.03,
R03163,7.0,0.0,5.46,2.93,2.20,
R03165,7.0,0.0,-313.95,400000.00,-126.71,
R03171,7.0,0.0,-15.49,3.35,-2.08,
R03182,7.0,0.0,14.91,6.85,2.01,
R03191,7.0,0.0,-62.15,1.28,-12.54,
R03192,7.0,0.0,-60.60,1.30,-12.23,
R03193,7.0,0.0,-26.75,2.29,-3.60,
R03194,7.0,0.0,-263.16,289730.33,-35.40,
R03197,7.0,0.0,-75.94,12.42,-19.43,
R03217,7.0,0.0,-68.06,5.24,-13.73,
R03223,7.0,0.0,-34.58,2.93,-6.98,
R03231,7.0,0.0,-0.75,0.00,-0.15,
R03232,7.0,0.0,nan,nan,nan,reaction is empty
R03241,7.0,0.0,-13.68,3.01,-2.76,
R03243,7.0,0.0,-11.28,2.93,-2.28,
R03260,7.0,0.0,-58.97,5.57,-11.90,
R03269,7.0,0.0,-21.66,3.09,-10.43,
R03291,7.0,0.0,-55.38,7.20,-11.18,
R03293,7.0,0.0,-53.83,7.20,-10.86,
R03313,7.0,0.0,15.58,1.62,5.28,
R03348,7.0,0.0,35.62,4.30,8.51,
R03443,7.0,0.0,15.55,1.62,5.27,
R03457,7.0,0.0,-44.44,1.95,-17.94,
R03458,7.0,0.0,30.83,1.68,6.22,
R03459,7.0,0.0,275.56,67656.96,69.54,
R03460,7.0,0.0,-12.48,2.30,-2.52,
R03471,7.0,0.0,-8.47,1.24,-1.71,
R03472,7.0,0.0,-182.79,100000.00,-27.00,
R03503,7.0,0.0,11.91,5.89,2.40,
R03508,7.0,0.0,-80.11,6.01,-26.16,
R03509,7.0,0.0,-10.06,1.35,-4.06,
R03531,7.0,0.0,-54.72,2.56,-19.33,
R03601,7.0,0.0,298.87,141421.36,-0.01,
R03634,7.0,0.0,0.47,2.38,-4.48,
R03646,7.0,0.0,nan,nan,nan,reaction is empty
R03647,7.0,0.0,nan,nan,nan,reaction is empty
R03650,7.0,0.0,nan,nan,nan,reaction is empty
R03651,7.0,0.0,nan,nan,nan,reaction is empty
R03654,7.0,0.0,nan,nan,nan,reaction is empty
R03655,7.0,0.0,nan,nan,nan,reaction is empty
R03656,7.0,0.0,nan,nan,nan,reaction is empty
R03657,7.0,0.0,nan,nan,nan,reaction is empty
R03658,7.0,0.0,nan,nan,nan,reaction is empty
R03659,7.0,0.0,nan,nan,nan,reaction is empty
R03660,7.0,0.0,nan,nan,nan,reaction is empty
R03661,7.0,0.0,nan,nan,nan,reaction is empty
R03662,7.0,0.0,nan,nan,nan,reaction is empty
R03663,7.0,0.0,nan,nan,nan,reaction is empty
R03664,7.0,0.0,nan,nan,nan,reaction is empty
R03665,7.0,0.0,nan,nan,nan,reaction is empty
R03789,7.0,0.0,nan,nan,nan,reaction is empty
R03801,7.0,0.0,-13.88,6.85,-8.34,
R03802,7.0,0.0,-12.93,1.78,-8.08,
R03896,7.0,0.0,9.39,2.41,3.79,
R03898,7.0,0.0,8.96,2.83,3.62,
R03905,7.0,0.0,nan,nan,nan,reaction is empty
R03940,7.0,0.0,nan,nan,nan,reaction is empty
R03947,7.0,0.0,2433.29,232257.75,-7.90,
R03968,7.0,0.0,0.31,1.91,0.13,
R04001,7.0,0.0,-3.78,1.90,-1.53,
R04035,7.0,0.0,-1826.66,141421.36,-30.97,
R04037,7.0,0.0,-2707.23,116582.80,-0.19,
R04109,7.0,0.0,nan,nan,nan,reaction is empty
R04112,7.0,0.0,0.88,2.32,-4.37,
R04144,7.0,0.0,-25.15,2.32,-3.38,
R04173,7.0,0.0,8.25,0.38,1.67,
R04198,7.0,0.0,-54.24,1.50,-10.95,
R04199,7.0,0.0,-52.69,1.51,-10.63,
R04206,7.0,0.0,-5.58,1.48,-2.25,
R04208,7.0,0.0,12.63,48207.30,-0.72,
R04212,7.0,0.0,nan,nan,nan,reaction is empty
R04231,7.0,0.0,-49.46,4.96,-6.65,
R04292,7.0,0.0,216.93,4.24,43.78,
R04325,7.0,0.0,5.18,5.69,1.04,
R04326,7.0,0.0,3.70,5.67,0.75,
R04377,7.0,0.0,nan,nan,nan,reaction is empty
R04378,7.0,0.0,37.63,3.67,7.59,
R04383,7.0,0.0,-2.00,0.47,-0.81,
R04391,7.0,0.0,-8.89,1.24,-1.79,
R04405,7.0,0.0,-38.91,6.19,-7.85,
R04420,7.0,0.0,-10.08,2.47,-4.07,
R04426,7.0,0.0,22.38,0.99,4.52,
R04440,7.0,0.0,20.76,1.01,4.19,
R04441,7.0,0.0,-36.94,1.40,-14.91,
R04457,7.0,0.0,-97.01,8.43,-19.58,
R04463,7.0,0.0,30.50,48207.30,1.54,
R04509,7.0,0.0,9.83,4.47,1.98,
R04519,7.0,0.0,nan,nan,nan,reaction is empty
R04559,7.0,0.0,25.66,2.93,2.30,
R04560,7.0,0.0,6.16,2.93,1.24,
R04573,7.0,0.0,-29.02,1.74,-3.90,
R04591,7.0,0.0,-68.48,5.21,-9.21,
R04617,7.0,0.0,-29.05,1.74,-3.91,
R04620,7.0,0.0,-92.77,6.94,-23.27,
R04639,7.0,0.0,-28.99,9.30,-11.70,
R04640,7.0,0.0,-9.61,1.35,-3.88,
R04672,7.0,0.0,0.18,1.92,0.04,
R04751,7.0,0.0,25.30,3.66,5.11,
R04771,7.0,0.0,-58.66,141421.36,-10.25,
R04773,7.0,0.0,nan,nan,nan,reaction is empty
R04783,7.0,0.0,-12.93,1.78,-8.08,
R04929,7.0,0.0,842.19,141421.36,-0.52,
R04936,7.0,0.0,47.14,141421.36,-4.61,
R04944,7.0,0.0,259.57,141421.36,-0.49,
R04945,7.0,0.0,249.90,141421.36,-8.07,
R04946,7.0,0.0,258.99,141421.36,-8.16,
R04972,7.0,0.0,-75.94,12.42,-19.43,
R04998,7.0,0.0,25.67,4.21,2.30,
R05030,7.0,0.0,-13.89,2.30,-1.87,
R05032,7.0,0.0,-15.53,3.49,-3.13,
R05046,7.0,0.0,-39.62,6.63,-15.27,
R05048,7.0,0.0,-9.78,1.35,-3.95,
R05052,7.0,0.0,-9.03,1.91,-1.82,
R05068,7.0,0.0,20.76,1.01,4.19,
R05069,7.0,0.0,0.00,0.00,0.00,
R05070,7.0,0.0,-36.93,1.40,-14.90,
R05071,7.0,0.0,0.00,0.00,0.00,
