# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	16219	17388	-	AFK85055.1			hypothetical protein			Tsac_0017	1170	389	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	17484	18062	-							Tsac_0018	579		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	17484	18062	-	AFK85056.1			metal dependent phosphohydrolase			Tsac_0018	579	192	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	18146	18568	-							Tsac_0019	423		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	18146	18568	-	AFK85057.1			protein of unknown function DUF86			Tsac_0019	423	140	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	18570	18998	-							Tsac_0020	429		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	18570	18998	-	AFK85058.1			DNA polymerase beta domain protein region			Tsac_0020	429	142	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	19349	20194	+							Tsac_0021	846		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	19349	20194	+	AFK85059.1			protein of unknown function DUF2520-containing protein			Tsac_0021	846	281	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	20187	21011	+							Tsac_0022	825		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	20187	21011	+	AFK85060.1			3-methyl-2-oxobutanoate hydroxymethyltransferase			Tsac_0022	825	274	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	21011	21859	+							Tsac_0023	849		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	21011	21859	+	AFK85061.1			Pantothenate synthetase			Tsac_0023	849	282	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	21859	22212	+							Tsac_0024	354		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	21859	22212	+	AFK85062.1			Aspartate 1-decarboxylase			Tsac_0024	354	117	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	22258	23334	-							Tsac_0025	1077		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	22258	23334	-	AFK85063.1			Capsule synthesis protein, CapA			Tsac_0025	1077	358	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	23449	24666	-							Tsac_0026	1218		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	23449	24666	-	AFK85064.1			Tyrosyl-tRNA synthetase			Tsac_0026	1218	405	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	24710	25300	-							Tsac_0027	591		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	24710	25300	-	AFK85065.1			metal dependent phosphohydrolase			Tsac_0027	591	196	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	25383	27305	-							Tsac_0028	1923		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	25383	27305	-	AFK85066.1			aconitate hydratase			Tsac_0028	1923	640	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	27323	28474	-							Tsac_0029	1152		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	27323	28474	-	AFK85067.1			homocitrate synthase			Tsac_0029	1152	383	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	28595	29431	-							Tsac_0030	837		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	28595	29431	-	AFK85068.1			transcriptional antiterminator, BglG			Tsac_0030	837	278	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	29460	29948	-							Tsac_0031	489		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	29460	29948	-	AFK85069.1			PTS system, glucose subfamily, IIA subunit			Tsac_0031	489	162	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	30049	31437	-							Tsac_0032	1389		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	30049	31437	-	AFK85070.1			PTS system, N-acetylglucosamine-specific IIBC subunit			Tsac_0032	1389	462	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	31592	32542	-							Tsac_0033	951		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	31592	32542	-	AFK85071.1			hypothetical protein			Tsac_0033	951	316	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	32672	34318	-							Tsac_0034	1647		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	32672	34318	-	AFK85072.1			methyl-accepting chemotaxis sensory transducer			Tsac_0034	1647	548	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	34415	35710	-							Tsac_0035	1296		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	34415	35710	-	AFK85073.1			pyrimidine-nucleoside phosphorylase			Tsac_0035	1296	431	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	35726	36895	-							Tsac_0036	1170		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	35726	36895	-	AFK85074.1			Phosphopentomutase			Tsac_0036	1170	389	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	36954	37349	-							Tsac_0037	396		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	36954	37349	-	AFK85075.1			cytidine deaminase			Tsac_0037	396	131	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	37364	38086	-							Tsac_0038	723		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	37364	38086	-	AFK85076.1			transcriptional regulator, GntR family with UTRA sensor domain-containing protein			Tsac_0038	723	240	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	38095	39018	-							Tsac_0039	924		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	38095	39018	-	AFK85077.1			ABC-type transporter, integral membrane subunit			Tsac_0039	924	307	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	39015	40070	-							Tsac_0040	1056		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	39015	40070	-	AFK85078.1			ABC-type transporter, integral membrane subunit			Tsac_0040	1056	351	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	40073	41599	-							Tsac_0041	1527		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	40073	41599	-	AFK85079.1			ABC transporter related protein			Tsac_0041	1527	508	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	41651	42709	-							Tsac_0042	1059		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	41651	42709	-	AFK85080.1			basic membrane lipoprotein			Tsac_0042	1059	352	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	42917	43552	-							Tsac_0043	636		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	42917	43552	-	AFK85081.1			Formiminotransferase-cyclodeaminase			Tsac_0043	636	211	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	43611	44507	-							Tsac_0044	897		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	43611	44507	-	AFK85082.1			glutamate formiminotransferase			Tsac_0044	897	298	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	44620	46488	-							Tsac_0045	1869		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	44620	46488	-	AFK85083.1			hypothetical protein			Tsac_0045	1869	622	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	47065	50592	+							Tsac_0046	3528		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	47065	50592	+	AFK85084.1			pyruvate ferredoxin/flavodoxin oxidoreductase			Tsac_0046	3528	1175	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	50735	51946	+							Tsac_0047	1212		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	50735	51946	+	AFK85085.1			isocitrate dehydrogenase, NADP-dependent			Tsac_0047	1212	403	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	52019	52966	+							Tsac_0048	948		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	52019	52966	+	AFK85086.1			Auxin Efflux Carrier			Tsac_0048	948	315	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	52991	53548	-							Tsac_0049	558		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	52991	53548	-	AFK85087.1			hypothetical protein			Tsac_0049	558	185	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	53765	54223	+							Tsac_0050	459		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	53765	54223	+	AFK85088.1			FMN-binding domain protein			Tsac_0050	459	152	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	54351	55436	+							Tsac_0051	1086		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	54351	55436	+	AFK85089.1			protein of unknown function DUF125 transmembrane			Tsac_0051	1086	361	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	55440	55946	-							Tsac_0052	507		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	55440	55946	-	AFK85090.1			hypothetical protein			Tsac_0052	507	168	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	55959	56570	-							Tsac_0053	612		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	55959	56570	-	AFK85091.1			heat shock protein DnaJ domain protein			Tsac_0053	612	203	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	56546	57448	-							Tsac_0054	903		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	56546	57448	-	AFK85092.1			hypothetical protein			Tsac_0054	903	300	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	57529	58020	-							Tsac_0055	492		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	57529	58020	-	AFK85093.1			protein of unknown function DUF988			Tsac_0055	492	163	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	58087	58482	-							Tsac_0056	396		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	58087	58482	-	AFK85094.1			PilT protein domain protein			Tsac_0056	396	131	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	58472	58687	-							Tsac_0057	216		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	58472	58687	-	AFK85095.1			Protein of unknown function DUF2191			Tsac_0057	216	71	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	58792	59553	-							Tsac_0058	762		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	58792	59553	-	AFK85096.1			Cobalamin synthase			Tsac_0058	762	253	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	59555	60133	-							Tsac_0059	579		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	59555	60133	-	AFK85097.1			cobalbumin biosynthesis protein			Tsac_0059	579	192	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	60155	61204	-							Tsac_0060	1050		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	60155	61204	-	AFK85098.1			aminotransferase class I and II			Tsac_0060	1050	349	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	61215	61946	-							Tsac_0061	732		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	61215	61946	-	AFK85099.1			hypothetical protein			Tsac_0061	732	243	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	61956	62441	-							Tsac_0062	486		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	61956	62441	-	AFK85100.1			hypothetical protein			Tsac_0062	486	161	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	62438	63394	-							Tsac_0063	957		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	62438	63394	-	AFK85101.1			Cobalamin biosynthesis protein cbiB			Tsac_0063	957	318	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	63397	64911	-							Tsac_0064	1515		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	63397	64911	-	AFK85102.1			Cobyric acid synthase			Tsac_0064	1515	504	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	64901	66283	-							Tsac_0065	1383		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	64901	66283	-	AFK85103.1			Cobyrinic acid A,C-diamide synthase			Tsac_0065	1383	460	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	66276	67076	-							Tsac_0066	801		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	66276	67076	-	AFK85104.1			ABC transporter related protein			Tsac_0066	801	266	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	67078	68067	-							Tsac_0067	990		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	67078	68067	-	AFK85105.1			ABC-type transporter, integral membrane subunit			Tsac_0067	990	329	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	68069	69019	-							Tsac_0068	951		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	68069	69019	-	AFK85106.1			ABC-type transporter, periplasmic subunit			Tsac_0068	951	316	
gene	pseudogene	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	69717	70379	-							Tsac_0069	663		pseudo
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	70833	71633	-							Tsac_0071	801		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	70833	71633	-	AFK85107.1			hypothetical protein			Tsac_0071	801	266	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	71757	72392	-							Tsac_0072	636		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	71757	72392	-	AFK85108.1			hypothetical protein			Tsac_0072	636	211	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	72681	73496	-							Tsac_0073	816		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	72681	73496	-	AFK85109.1			hypothetical protein			Tsac_0073	816	271	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	73925	74482	+							Tsac_0074	558		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	73925	74482	+	AFK85110.1			RNA polymerase, sigma-24 subunit, ECF subfamily			Tsac_0074	558	185	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	74479	75231	+							Tsac_0075	753		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	74479	75231	+	AFK85111.1			hypothetical protein			Tsac_0075	753	250	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	75463	76914	-							Tsac_0076	1452		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	75463	76914	-	AFK85112.1			amino acid permease-associated region			Tsac_0076	1452	483	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	77074	78210	-							Tsac_0077	1137		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	77074	78210	-	AFK85113.1			RNA methylase			Tsac_0077	1137	378	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	78284	79018	-							Tsac_0078	735		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	78284	79018	-	AFK85114.1			Methyltransferase type 12			Tsac_0078	735	244	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	79174	80031	+							Tsac_0079	858		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	79174	80031	+	AFK85115.1			Uncharacterized conserved protein UCP018688			Tsac_0079	858	285	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	80111	80599	+							Tsac_0080	489		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	80111	80599	+	AFK85116.1			transcriptional regulator, AsnC family			Tsac_0080	489	162	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	80596	81759	+							Tsac_0081	1164		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	80596	81759	+	AFK85117.1			aminotransferase class I and II			Tsac_0081	1164	387	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	81775	81927	-							Tsac_0082	153		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	81775	81927	-	AFK85118.1			hypothetical protein			Tsac_0082	153	50	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	81940	83754	-							Tsac_0083	1815		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	81940	83754	-	AFK85119.1			ferrous iron transport protein B			Tsac_0083	1815	604	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	83774	84004	-							Tsac_0084	231		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	83774	84004	-	AFK85120.1			FeoA family protein			Tsac_0084	231	76	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	84097	84648	-							Tsac_0085	552		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	84097	84648	-	AFK85121.1			phosphoesterase PA-phosphatase related protein			Tsac_0085	552	183	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	84800	85225	+							Tsac_0086	426		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	84800	85225	+	AFK85122.1			ferric uptake regulator, Fur family			Tsac_0086	426	141	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	85222	86103	+							Tsac_0087	882		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	85222	86103	+	AFK85123.1			ABC-type metal ion transporter, periplasmic subunit			Tsac_0087	882	293	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	86124	86897	+							Tsac_0088	774		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	86124	86897	+	AFK85124.1			ABC transporter related protein			Tsac_0088	774	257	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	86912	87712	+							Tsac_0089	801		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	86912	87712	+	AFK85125.1			ABC-type transporter, integral membrane subunit			Tsac_0089	801	266	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	87739	87936	-							Tsac_0090	198		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	87739	87936	-	AFK85126.1			hypothetical protein			Tsac_0090	198	65	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	88266	88808	-							Tsac_0091	543		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	88266	88808	-	AFK85127.1			hypothetical protein			Tsac_0091	543	180	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	89066	89401	-							Tsac_0092	336		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	89066	89401	-	AFK85128.1			transcriptional regulator, LuxR family			Tsac_0092	336	111	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	89696	89872	-							Tsac_0093	177		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	89696	89872	-	AFK85129.1			hypothetical protein			Tsac_0093	177	58	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	89909	90331	-							Tsac_0094	423		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	89909	90331	-	AFK85130.1			hypothetical protein			Tsac_0094	423	140	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	90772	91458	-							Tsac_0095	687		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	90772	91458	-	AFK85131.1			hypothetical protein			Tsac_0095	687	228	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	91613	92395	-							Tsac_0096	783		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	91613	92395	-	AFK85132.1			transcriptional regulator, LuxR family			Tsac_0096	783	260	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	92623	92943	-							Tsac_0097	321		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	92623	92943	-	AFK85133.1			hypothetical protein			Tsac_0097	321	106	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	93104	93694	-							Tsac_0098	591		
