reaction,pH,ionic strength [M],dG'0 [kJ/mol],uncertainty [kJ/mol],ln(Reversibility Index),comment
R00939,7.0,0.25,-25.19,1.11,-5.08,
R00942,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
R00943,7.0,0.25,-2.67,1.94,-0.36,
R00945,7.0,0.25,6.76,1.24,1.36,
R00946,7.0,0.25,-3.25,5.18,-0.66,
R00948,7.0,0.25,-8.33,1.36,-1.68,
R00952,7.0,0.25,4.04,1.69,0.82,
R00964,7.0,0.25,-18.28,4.18,-3.69,
R00965,7.0,0.25,-26.03,8.61,-11.61,
R00966,7.0,0.25,-16.51,4.39,-3.33,
R00968,7.0,0.25,-15.47,4.38,-3.12,
R00985,7.0,0.25,-91.96,7.53,-18.56,
R00986,7.0,0.25,-106.21,7.58,-19.91,
R00994,7.0,0.25,-2.53,4.70,-3.17,
R00999,7.0,0.25,-58.86,4.72,-18.79,
R01010,7.0,0.25,-14.96,2.17,-8.63,
R01015,7.0,0.25,5.58,0.55,2.25,
R01030,7.0,0.25,-254.53,70710.68,-73.09,
R01049,7.0,0.25,-0.31,1.45,-0.06,
R01054,7.0,0.25,-22.66,3.82,-10.70,
R01056,7.0,0.25,2.08,0.76,0.84,
R01057,7.0,0.25,-11.48,1.52,-4.63,
R01061,7.0,0.25,4.60,0.41,3.51,
R01066,7.0,0.25,20.30,1.51,0.86,
R01067,7.0,0.25,10.19,1.92,2.06,
R01068,7.0,0.25,22.39,0.53,1.42,
R01071,7.0,0.25,-4126.09,100000.00,9.97,
R01072,7.0,0.25,60.44,2.72,12.52,
R01073,7.0,0.25,60.21,3.62,12.15,
R01074,7.0,0.25,1166.24,100000.00,235.35,
R01078,7.0,0.25,-444.34,154737.40,-53.21,
R01082,7.0,0.25,3.43,0.28,1.38,
R01083,7.0,0.25,16.14,1.38,-0.26,
R01086,7.0,0.25,11.48,2.93,-1.52,
R01090,7.0,0.25,0.35,1.58,0.07,
R01092,7.0,0.25,-13.77,1.51,-2.78,
R01100,7.0,0.25,-10.74,1.05,-7.50,
R01101,7.0,0.25,-10.72,1.69,-7.49,
R01103,7.0,0.25,2.23,4.38,-4.00,
R01104,7.0,0.25,-2.09,3.02,-5.17,
R01127,7.0,0.25,19.59,5.44,7.91,
R01130,7.0,0.25,19.53,3.98,3.94,
R01132,7.0,0.25,28.91,1.58,5.83,
R01135,7.0,0.25,4.72,2.13,0.63,
R01150,7.0,0.25,-25.73,4.25,-3.46,
R01157,7.0,0.25,-58.59,6.31,-20.37,
R01158,7.0,0.25,-10.12,2.24,-1.36,
R01175,7.0,0.25,32.27,3.91,6.51,
R01183,7.0,0.25,-2.53,1.66,-0.51,
R01194,7.0,0.25,-3.01,2.38,-5.41,
R01196,7.0,0.25,-18.04,6.67,-1.82,
R01199,7.0,0.25,-1.79,8.02,-0.18,
R01209,7.0,0.25,-36.93,1.40,-14.91,
R01210,7.0,0.25,-22.12,3.35,-2.98,
R01213,7.0,0.25,23.65,1.35,4.77,
R01214,7.0,0.25,1.75,3.47,0.35,
R01216,7.0,0.25,19.08,5.08,0.53,
R01220,7.0,0.25,8.77,1.14,1.77,
R01224,7.0,0.25,-43.40,4.19,-8.76,
R01226,7.0,0.25,6.28,5.05,1.27,
R01229,7.0,0.25,29.62,2.22,5.98,
R01230,7.0,0.25,-309.73,67656.96,-41.67,
R01248,7.0,0.25,-50.29,2.95,-10.15,
R01251,7.0,0.25,-50.16,2.93,-10.12,
R01280,7.0,0.25,-10.73,6.42,-1.44,
R01287,7.0,0.25,-64.50,5.45,-13.02,
R01288,7.0,0.25,-56.58,5.78,-11.42,
R01325,7.0,0.25,8.47,1.13,3.42,
R01326,7.0,0.25,-16.85,1.42,-3.40,
R01329,7.0,0.25,4.39,2.90,-3.42,
R01353,7.0,0.25,32.68,2.82,6.59,
R01373,7.0,0.25,-67.58,11.32,-22.79,
R01397,7.0,0.25,-22.21,2.93,-4.48,
R01398,7.0,0.25,-29.95,2.93,-6.04,
R01402,7.0,0.25,10.74,2.93,2.17,
R01432,7.0,0.25,3.67,0.58,1.48,
R01433_kz,7.0,0.25,nan,nan,nan,reaction is empty
R01444,7.0,0.25,-13.78,3.05,-8.31,
R01445_kz,7.0,0.25,nan,nan,nan,reaction is empty
R01466,7.0,0.25,-29.38,2.81,-12.51,
R01470,7.0,0.25,-246.58,70710.68,-70.95,
R01482,7.0,0.25,0.61,2.93,0.25,
R01512,7.0,0.25,-19.32,0.44,-3.90,
R01513,7.0,0.25,33.93,0.56,6.85,
R01514,7.0,0.25,-12.85,0.63,-2.59,
R01518,7.0,0.25,4.52,0.36,1.82,
R01526,7.0,0.25,-25.09,1.78,-5.06,
R01529,7.0,0.25,-3.39,1.15,-1.37,
R01541,7.0,0.25,-20.15,3.87,-4.07,
R01542,7.0,0.25,-12.21,3.71,-2.46,
R01555,7.0,0.25,2.60,1.53,0.53,
R01561,7.0,0.25,8.38,1.33,1.69,
R01570,7.0,0.25,5.02,4.48,1.01,
R01579,7.0,0.25,-19.92,3.93,-9.96,
R01580,7.0,0.25,-0.25,2.92,-0.05,
R01625,7.0,0.25,nan,nan,nan,reaction is empty
R01626,7.0,0.25,nan,nan,nan,reaction is empty
R01639,7.0,0.25,-22.35,2.03,-4.51,
R01641,7.0,0.25,3.88,1.92,0.78,
R01651,7.0,0.25,-23.40,4.14,-3.15,
R01652,7.0,0.25,-16.81,4.33,-9.13,
R01655,7.0,0.25,-4.70,0.92,-1.90,
R01658,7.0,0.25,-76.62,2.79,-15.46,
R01663,7.0,0.25,-24.36,2.53,-11.16,
R01665,7.0,0.25,0.95,2.93,0.19,
R01668,7.0,0.25,-42.81,2.43,-16.13,
R01714,7.0,0.25,-45.82,3.83,-16.93,
R01715,7.0,0.25,-48.67,4.64,-19.64,
R01716,7.0,0.25,-17.89,3.06,-3.61,
R01718,7.0,0.25,-8.43,0.85,-6.87,
R01724,7.0,0.25,-35.06,2.95,-6.02,
R01728,7.0,0.25,-10.53,11.29,-4.46,
R01737,7.0,0.25,-10.01,3.21,-2.02,
R01761,7.0,0.25,4.90,1.69,1.98,
R01762,7.0,0.25,nan,nan,nan,reaction is empty
R01771,7.0,0.25,-37.09,4.49,-7.49,
R01775,7.0,0.25,22.39,1.70,4.52,
R01776,7.0,0.25,-28.54,4.73,-5.76,
R01785,7.0,0.25,12.83,1.94,-1.15,
R01790_kz,7.0,0.25,nan,nan,nan,reaction is empty
R01799,7.0,0.25,nan,nan,nan,reaction is empty
R01801,7.0,0.25,nan,nan,nan,reaction is empty
R01818,7.0,0.25,4.52,1.50,1.82,
R01826,7.0,0.25,-74.59,2.35,-15.05,
R01829,7.0,0.25,20.84,2.81,1.00,
R01855,7.0,0.25,-44.23,2.43,-16.51,
R01856,7.0,0.25,2801.48,100000.00,-18.33,
R01859,7.0,0.25,-2.74,5.26,-0.37,
R01863,7.0,0.25,8.81,1.07,1.78,
R01869,7.0,0.25,9.68,1.20,1.95,
R01870,7.0,0.25,-8.93,1.31,-1.80,
R01876,7.0,0.25,-0.14,1.31,-0.03,
R01878,7.0,0.25,-15.40,1.11,-8.75,
R01900,7.0,0.25,1.62,1.13,0.66,
R01902,7.0,0.25,-23.51,2.49,-4.74,
R01920,7.0,0.25,3.46,100000.00,0.70,
R01954,7.0,0.25,1.35,1.47,0.18,
R01969,7.0,0.25,16.73,3.77,3.38,
R01983,7.0,0.25,1.34,2.07,0.54,
R01993,7.0,0.25,-4.42,1.69,-1.78,
R02003,7.0,0.25,-77.97,2.94,-15.74,
R02030,7.0,0.25,nan,nan,nan,reaction is empty
R02036,7.0,0.25,-42.84,2.57,-17.29,
R02059,7.0,0.25,-7.92,3.78,-6.74,
R02060,7.0,0.25,-2.67,1.69,-1.08,
R02061,7.0,0.25,-77.97,2.94,-15.74,
R02071,7.0,0.25,-15.53,1.30,-3.13,
R02090,7.0,0.25,4.61,2.93,0.93,
R02093,7.0,0.25,0.08,2.62,0.02,
R02094,7.0,0.25,-1.46,2.93,-0.29,
R02098,7.0,0.25,1.02,1.29,0.21,
R02100,7.0,0.25,-37.26,2.56,-14.63,
R02110,7.0,0.25,nan,nan,nan,reaction is empty
R02110_kz,7.0,0.25,nan,nan,nan,reaction is empty
R02112_kz,7.0,0.25,nan,nan,nan,reaction is empty
R02135,7.0,0.25,-70.54,4.46,-23.59,
R02142,7.0,0.25,25.14,2.44,5.07,
R02147,7.0,0.25,11.78,2.07,2.38,
R02199,7.0,0.25,-5.90,3.52,-1.19,
R02236,7.0,0.25,15.71,3.13,3.17,
R02237,7.0,0.25,-18.10,3.37,-2.43,
R02239,7.0,0.25,nan,nan,nan,reaction is empty
R02240,7.0,0.25,nan,nan,nan,reaction is empty
R02258,7.0,0.25,26.46,1.50,5.34,
R02262,7.0,0.25,19.76,2.93,0.71,
R02263,7.0,0.25,6.37,2.93,-2.89,
R02272,7.0,0.25,8.98,0.67,3.63,
R02282,7.0,0.25,2.30,2.93,0.46,
R02283,7.0,0.25,-2.96,3.37,-0.60,
R02291,7.0,0.25,-20.35,1.69,-0.52,
R02294,7.0,0.25,-15.02,2.93,-3.03,
R02295,7.0,0.25,9.64,3.09,1.94,
R02296,7.0,0.25,16.29,2.41,3.29,
R02297,7.0,0.25,11.08,2.93,2.24,
R02298,7.0,0.25,23.72,4.70,4.79,
R02301,7.0,0.25,-72.72,7.55,-14.50,
R02322,7.0,0.25,2.66,5.58,-3.89,
R02328,7.0,0.25,1.17,2.93,0.24,
R02340,7.0,0.25,19.20,2.93,0.56,
R02360_kz,7.0,0.25,nan,nan,nan,reaction is empty
R02412,7.0,0.25,-23.70,2.84,-4.78,
R02413,7.0,0.25,9.45,1.31,1.91,
R02421,7.0,0.25,nan,nan,nan,reaction is empty
R02437,7.0,0.25,0.13,1.69,0.05,
R02439,7.0,0.25,-11.29,2.29,-2.28,
R02454,7.0,0.25,-16.58,1.83,-3.35,
R02472,7.0,0.25,18.88,2.93,3.81,
R02473,7.0,0.25,-44.43,1.33,-5.98,
R02484,7.0,0.25,2.47,2.70,0.50,
R02485,7.0,0.25,-21.75,1.98,-10.46,
R02508,7.0,0.25,61.73,5.57,12.46,
R02539,7.0,0.25,-11.20,2.00,-1.51,
R02557,7.0,0.25,10.01,3.39,2.02,
R02558,7.0,0.25,-10.43,1.80,-7.41,
R02568,7.0,0.25,28.91,1.15,3.17,
R02628,7.0,0.25,nan,nan,nan,reaction is empty
R02649,7.0,0.25,24.35,3.08,4.91,
R02689,7.0,0.25,nan,nan,nan,reaction is empty
R02707,7.0,0.25,22.36,1.85,10.62,
R02720,7.0,0.25,-47.44,2.56,-17.37,
R02722,7.0,0.25,-31.54,3.14,-6.36,
R02727,7.0,0.25,5.38,1.19,1.09,
R02728,7.0,0.25,-7.37,0.74,-2.98,
R02733,7.0,0.25,-7.14,2.34,-6.53,
R02734,7.0,0.25,7.96,3.74,-2.46,
R02735,7.0,0.25,-1.65,2.93,-0.67,
R02748,7.0,0.25,9.23,1.69,1.86,
R02749,7.0,0.25,-26.77,3.51,-10.80,
R02777,7.0,0.25,-1.22,1.59,-0.25,
R02783,7.0,0.25,-30.54,3.20,-4.11,
R02788,7.0,0.25,-24.80,2.27,-3.34,
R02853,7.0,0.25,-16.21,2.69,-8.97,
R02864,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
R02869,7.0,0.25,1.89,100000.00,0.38,
R02887_kz,7.0,0.25,-27.65,6.14,-12.49,
R02918,7.0,0.25,nan,nan,nan,reaction is empty
R02926,7.0,0.25,15.73,3.17,-0.37,
R02971,7.0,0.25,-16.38,1.24,-3.31,
R02984,7.0,0.25,2.23,1.95,0.90,
R02985,7.0,0.25,-3.70,1.77,-5.60,
R03005,7.0,0.25,-24.89,4.70,-5.02,
R03013,7.0,0.25,-18.27,2.18,-9.52,
R03014,7.0,0.25,-1.80,2.76,-0.36,
R03018,7.0,0.25,-9.38,4.12,-1.89,
R03024,7.0,0.25,-860.14,141421.36,-5.43,
R03035,7.0,0.25,-20.77,5.18,-4.19,
R03038,7.0,0.25,nan,nan,nan,reaction is empty
R03066,7.0,0.25,-26.73,2.99,-2.59,
R03067,7.0,0.25,-62.10,6.52,-12.53,
R03083,7.0,0.25,-150.53,6.26,-45.11,
R03084,7.0,0.25,-5.29,2.07,-2.14,
R03132,7.0,0.25,-834.61,122474.49,-8.30,
R03163,7.0,0.25,5.46,2.93,2.20,
R03165,7.0,0.25,-313.95,400000.00,-126.72,
R03171,7.0,0.25,-22.12,3.35,-2.98,
R03182,7.0,0.25,11.81,6.85,1.59,
R03191,7.0,0.25,-58.48,1.28,-11.80,
R03192,7.0,0.25,-58.35,1.30,-11.77,
R03193,7.0,0.25,-28.23,2.29,-3.80,
R03194,7.0,0.25,-263.17,289730.33,-35.41,
R03197,7.0,0.25,-33.84,12.42,-13.76,
R03217,7.0,0.25,-69.65,5.24,-14.06,
R03223,7.0,0.25,-28.84,2.93,-5.82,
R03231,7.0,0.25,-0.58,0.00,-0.12,
R03232,7.0,0.25,nan,nan,nan,reaction is empty
R03241,7.0,0.25,-17.86,3.01,-3.60,
R03243,7.0,0.25,-8.29,2.93,-1.67,
R03260,7.0,0.25,-61.73,5.57,-12.46,
R03269,7.0,0.25,-21.24,3.09,-10.32,
R03291,7.0,0.25,-50.12,7.20,-10.12,
R03293,7.0,0.25,-49.99,7.20,-10.09,
R03313,7.0,0.25,10.77,1.62,4.50,
R03348,7.0,0.25,28.89,4.30,7.43,
R03443,7.0,0.25,7.69,1.62,4.01,
R03457,7.0,0.25,-41.23,1.95,-16.64,
R03458,7.0,0.25,28.36,1.68,5.72,
R03459,7.0,0.25,275.49,67656.96,69.52,
R03460,7.0,0.25,-16.73,2.30,-3.38,
R03471,7.0,0.25,-9.24,1.24,-1.87,
R03472,7.0,0.25,-183.56,100000.00,-27.09,
R03503,7.0,0.25,-2.15,5.89,-0.43,
R03508,7.0,0.25,-75.35,6.01,-24.88,
R03509,7.0,0.25,-9.83,1.35,-3.97,
R03531,7.0,0.25,-47.44,2.56,-17.37,
R03601,7.0,0.25,298.86,141421.36,-0.02,
R03634,7.0,0.25,0.47,2.38,-4.48,
R03646,7.0,0.25,nan,nan,nan,reaction is empty
R03647,7.0,0.25,nan,nan,nan,reaction is empty
R03650,7.0,0.25,nan,nan,nan,reaction is empty
R03651,7.0,0.25,nan,nan,nan,reaction is empty
R03654,7.0,0.25,nan,nan,nan,reaction is empty
R03655,7.0,0.25,nan,nan,nan,reaction is empty
R03656,7.0,0.25,nan,nan,nan,reaction is empty
R03657,7.0,0.25,nan,nan,nan,reaction is empty
R03658,7.0,0.25,nan,nan,nan,reaction is empty
R03659,7.0,0.25,nan,nan,nan,reaction is empty
R03660,7.0,0.25,nan,nan,nan,reaction is empty
R03661,7.0,0.25,nan,nan,nan,reaction is empty
R03662,7.0,0.25,nan,nan,nan,reaction is empty
R03663,7.0,0.25,nan,nan,nan,reaction is empty
R03664,7.0,0.25,nan,nan,nan,reaction is empty
R03665,7.0,0.25,nan,nan,nan,reaction is empty
R03789,7.0,0.25,nan,nan,nan,reaction is empty
R03801,7.0,0.25,-13.88,6.85,-8.34,
R03802,7.0,0.25,-12.93,1.78,-8.08,
R03896,7.0,0.25,9.36,2.41,3.78,
R03898,7.0,0.25,8.80,2.83,3.55,
R03905,7.0,0.25,nan,nan,nan,reaction is empty
R03940,7.0,0.25,nan,nan,nan,reaction is empty
R03947,7.0,0.25,2429.64,232257.75,-8.64,
R03968,7.0,0.25,0.37,1.91,0.15,
R04001,7.0,0.25,-3.71,1.90,-1.50,
R04035,7.0,0.25,-1813.17,141421.36,-27.34,
R04037,7.0,0.25,-2706.81,116582.80,-0.02,
R04109,7.0,0.25,nan,nan,nan,reaction is empty
R04112,7.0,0.25,0.87,2.32,-4.37,
R04144,7.0,0.25,-26.12,2.32,-3.51,
R04173,7.0,0.25,10.90,0.38,2.20,
R04198,7.0,0.25,-50.60,1.50,-10.21,
R04199,7.0,0.25,-50.47,1.51,-10.19,
R04206,7.0,0.25,-5.56,1.48,-2.24,
R04208,7.0,0.25,10.06,48207.30,-1.14,
R04212,7.0,0.25,nan,nan,nan,reaction is empty
R04231,7.0,0.25,-51.77,4.96,-6.97,
R04292,7.0,0.25,217.31,4.24,43.85,
R04325,7.0,0.25,1.40,5.69,0.28,
R04326,7.0,0.25,-3.30,5.67,-0.67,
R04377,7.0,0.25,nan,nan,nan,reaction is empty
R04378,7.0,0.25,36.95,3.67,7.46,
R04383,7.0,0.25,-2.00,0.47,-0.81,
R04391,7.0,0.25,-15.37,1.24,-3.10,
R04405,7.0,0.25,-38.91,6.19,-7.85,
R04420,7.0,0.25,-10.10,2.47,-4.08,
R04426,7.0,0.25,18.69,0.99,3.77,
R04440,7.0,0.25,18.54,1.01,3.74,
R04441,7.0,0.25,-36.93,1.40,-14.91,
R04457,7.0,0.25,-96.09,8.43,-19.39,
R04463,7.0,0.25,30.95,48207.30,1.60,
R04509,7.0,0.25,8.21,4.47,1.66,
R04519,7.0,0.25,nan,nan,nan,reaction is empty
R04559,7.0,0.25,23.28,2.93,1.66,
R04560,7.0,0.25,7.04,2.93,1.42,
R04573,7.0,0.25,-30.62,1.74,-4.12,
R04591,7.0,0.25,-72.11,5.21,-9.70,
R04617,7.0,0.25,-30.65,1.74,-4.12,
R04620,7.0,0.25,-77.18,6.94,-20.75,
R04639,7.0,0.25,-36.91,9.30,-14.90,
R04640,7.0,0.25,-9.77,1.35,-3.94,
R04672,7.0,0.25,0.62,1.92,0.12,
R04751,7.0,0.25,37.65,3.66,7.60,
R04771,7.0,0.25,-59.52,141421.36,-10.39,
R04773,7.0,0.25,nan,nan,nan,reaction is empty
R04783,7.0,0.25,-12.93,1.78,-8.09,
R04929,7.0,0.25,843.26,141421.36,-0.31,
R04936,7.0,0.25,47.14,141421.36,-4.61,
R04944,7.0,0.25,261.61,141421.36,-0.08,
R04945,7.0,0.25,248.30,141421.36,-8.39,
R04946,7.0,0.25,256.22,141421.36,-8.72,
R04972,7.0,0.25,-33.84,12.42,-13.76,
R04998,7.0,0.25,25.64,4.21,2.29,
R05030,7.0,0.25,-10.52,2.30,-1.42,
R05032,7.0,0.25,-12.56,3.49,-2.53,
R05046,7.0,0.25,-38.22,6.63,-14.89,
R05048,7.0,0.25,-9.77,1.35,-3.94,
R05052,7.0,0.25,-9.41,1.91,-1.90,
R05068,7.0,0.25,18.54,1.01,3.74,
R05069,7.0,0.25,0.00,0.00,0.00,
R05070,7.0,0.25,-36.93,1.40,-14.90,
R05071,7.0,0.25,0.00,0.00,0.00,
