# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	11631	12038	+							SAMN05216182_2873	408		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	11631	12038	+	SMR98663.1			HTH domain-containing protein			SAMN05216182_2873	408	135	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	12493	12651	+							SAMN05216182_2874	159		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	12493	12651	+	SMR98664.1			Ribbon-helix-helix protein, copG family			SAMN05216182_2874	159	52	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	12644	12814	+							SAMN05216182_2875	171		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	12644	12814	+	SMR98665.1			hypothetical protein			SAMN05216182_2875	171	56	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	12890	13054	+							SAMN05216182_2876	165		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	12890	13054	+	SMR98666.1			hypothetical protein			SAMN05216182_2876	165	54	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	13277	15433	+							SAMN05216182_2877	2157		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	13277	15433	+	SMR98667.1			Winged helix-turn-helix DNA-binding			SAMN05216182_2877	2157	718	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	16067	16183	+							SAMN05216182_2878	117		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	16067	16183	+	SMR98668.1			hypothetical protein			SAMN05216182_2878	117	38	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	16893	17471	+							SAMN05216182_2879	579		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	16893	17471	+	SMR98669.1			hypothetical protein			SAMN05216182_2879	579	192	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	17502	18434	+							SAMN05216182_2880	933		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	17502	18434	+	SMR98670.1			RNA polymerase sporulation-specific sigma factor			SAMN05216182_2880	933	310	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	19922	20329	+							SAMN05216182_2881	408		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	19922	20329	+	SMR98671.1			HTH domain-containing protein			SAMN05216182_2881	408	135	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	20784	20942	+							SAMN05216182_2882	159		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	20784	20942	+	SMR98672.1			Ribbon-helix-helix protein, copG family			SAMN05216182_2882	159	52	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	20935	21105	+							SAMN05216182_2883	171		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	20935	21105	+	SMR98673.1			hypothetical protein			SAMN05216182_2883	171	56	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	21181	21345	+							SAMN05216182_2884	165		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	21181	21345	+	SMR98674.1			hypothetical protein			SAMN05216182_2884	165	54	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	21568	23724	+							SAMN05216182_2885	2157		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	21568	23724	+	SMR98675.1			Winged helix-turn-helix DNA-binding			SAMN05216182_2885	2157	718	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	24358	24474	+							SAMN05216182_2886	117		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	24358	24474	+	SMR98676.1			hypothetical protein			SAMN05216182_2886	117	38	
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	25066	25760	+							SAMN05216182_2887	695		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	25791	26721	+							SAMN05216182_2888	931		pseudo
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	28473	28685	+							SAMN05216182_2889	213		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	28473	28685	+	SMR98677.1			hypothetical protein			SAMN05216182_2889	213	70	
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	28864	29695	+							SAMN05216182_2890	832		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	29695	31049	+							SAMN05216182_2891	1355		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	31220	32196	+							SAMN05216182_2892	977		pseudo
gene	tRNA	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	32238	32311	-							SAMN05216182_2893	74		
tRNA		GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	32238	32311	-				tRNA-Pro			SAMN05216182_2893	74		
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	32411	32875	+							SAMN05216182_2894	465		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	32411	32875	+	SMR98678.1			Protein of unknown function			SAMN05216182_2894	465	154	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	32885	33682	+							SAMN05216182_2895	798		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	32885	33682	+	SMR98679.1			5-methyltetrahydrofolate--homocysteine methyltransferase			SAMN05216182_2895	798	265	
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	33707	34984	+							SAMN05216182_2896	1278		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	35001	35513	+							SAMN05216182_2897	513		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	35604	35747	+							SAMN05216182_2898	144		pseudo
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	1	183	-							SAMN05216182_0001	183		partial
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	1	183	-	SMR96014.1			hypothetical protein			SAMN05216182_0001	183	61	partial
gene	tRNA	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	262	331	-							SAMN05216182_0002	70		
tRNA		GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	262	331	-				tRNA-His			SAMN05216182_0002	70		
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	464	667	-							SAMN05216182_0003	204		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	464	667	-	SMR96015.1			hypothetical protein			SAMN05216182_0003	204	67	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	726	1250	-							SAMN05216182_0004	525		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	726	1250	-	SMR96016.1			hypothetical protein			SAMN05216182_0004	525	174	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	1278	1631	-							SAMN05216182_0005	354		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	1278	1631	-	SMR96017.1			hypothetical protein			SAMN05216182_0005	354	117	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	1628	1822	-							SAMN05216182_0006	195		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	1628	1822	-	SMR96018.1			Helix-turn-helix			SAMN05216182_0006	195	64	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	2018	2455	+							SAMN05216182_0007	438		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	2018	2455	+	SMR96019.1			Helix-turn-helix			SAMN05216182_0007	438	145	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	2463	2897	+							SAMN05216182_0008	435		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	2463	2897	+	SMR96020.1			protein of unknown function			SAMN05216182_0008	435	144	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	2894	4015	+							SAMN05216182_0009	1122		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	2894	4015	+	SMR96021.1			Site-specific recombinase XerD			SAMN05216182_0009	1122	373	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	4504	5517	+							SAMN05216182_0010	1014		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	4504	5517	+	SMR96022.1			biotin synthase			SAMN05216182_0010	1014	337	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	5599	6948	-							SAMN05216182_0011	1350		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	5599	6948	-	SMR96023.1			adenosylmethionine-8-amino-7-oxononanoate aminotransferase			SAMN05216182_0011	1350	449	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	6942	7673	-							SAMN05216182_0012	732		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	6942	7673	-	SMR96024.1			dethiobiotin synthetase			SAMN05216182_0012	732	243	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	7696	8274	-							SAMN05216182_0013	579		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	7696	8274	-	SMR96025.1			biotin transport system substrate-specific component			SAMN05216182_0013	579	192	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	8476	8664	-							SAMN05216182_0014	189		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	8476	8664	-	SMR96026.1			hypothetical protein			SAMN05216182_0014	189	62	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	8802	9083	+							SAMN05216182_0015	282		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	8802	9083	+	SMR96027.1			transcriptional regulator, AbrB family			SAMN05216182_0015	282	93	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	9080	9340	+							SAMN05216182_0016	261		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	9080	9340	+	SMR96028.1			hypothetical protein			SAMN05216182_0016	261	86	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	9780	10052	+							SAMN05216182_0017	273		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	9780	10052	+	SMR96029.1			hypothetical protein			SAMN05216182_0017	273	90	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	10049	12322	+							SAMN05216182_0018	2274		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	10049	12322	+	SMR96030.1			methionine synthase (B12-independent)			SAMN05216182_0018	2274	757	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	12392	13900	-							SAMN05216182_0019	1509		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	12392	13900	-	SMR96031.1			two component transcriptional regulator, AraC family			SAMN05216182_0019	1509	502	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	13875	15677	-							SAMN05216182_0020	1803		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	13875	15677	-	SMR96032.1			two-component system, sensor histidine kinase YesM			SAMN05216182_0020	1803	600	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	15726	16628	-							SAMN05216182_0021	903		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	15726	16628	-	SMR96033.1			carbohydrate ABC transporter membrane protein 2, CUT1 family			SAMN05216182_0021	903	300	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	16657	17583	-							SAMN05216182_0022	927		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	16657	17583	-	SMR96034.1			carbohydrate ABC transporter membrane protein 1, CUT1 family			SAMN05216182_0022	927	308	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	17708	19354	-							SAMN05216182_0023	1647		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	17708	19354	-	SMR96035.1			carbohydrate ABC transporter substrate-binding protein, CUT1 family			SAMN05216182_0023	1647	548	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	19603	20589	-							SAMN05216182_0024	987		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	19603	20589	-	SMR96036.1			beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase			SAMN05216182_0024	987	328	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	20716	21669	-							SAMN05216182_0025	954		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	20716	21669	-	SMR96037.1			transcriptional regulator, LacI family			SAMN05216182_0025	954	317	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	21773	22945	-							SAMN05216182_0026	1173		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	21773	22945	-	SMR96038.1			mannobiose 2-epimerase			SAMN05216182_0026	1173	390	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	23123	23767	-							SAMN05216182_0027	645		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	23123	23767	-	SMR96039.1			Trehalose utilisation			SAMN05216182_0027	645	214	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	23801	24256	-							SAMN05216182_0028	456		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	23801	24256	-	SMR96040.1			Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein			SAMN05216182_0028	456	151	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	24522	25469	+							SAMN05216182_0029	948		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	24522	25469	+	SMR96041.1			MoxR-like ATPase			SAMN05216182_0029	948	315	
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	25596	25952	-							SAMN05216182_0030	357		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	26029	27240	+							SAMN05216182_0031	1212		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	27157	28248	-							SAMN05216182_0032	1092		pseudo
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	28449	28865	-							SAMN05216182_0033	417		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	28449	28865	-	SMR96042.1			hemerythrin			SAMN05216182_0033	417	138	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	29018	30109	-							SAMN05216182_0034	1092		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	29018	30109	-	SMR96043.1			Alpha-tubulin suppressor			SAMN05216182_0034	1092	363	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	30182	31597	-							SAMN05216182_0035	1416		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	30182	31597	-	SMR96044.1			Antitoxin component YwqK of the YwqJK toxin-antitoxin module			SAMN05216182_0035	1416	471	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	31611	33761	-							SAMN05216182_0036	2151		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	31611	33761	-	SMR96045.1			intein C-terminal splicing region/intein N-terminal splicing region			SAMN05216182_0036	2151	716	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	34178	34594	-							SAMN05216182_0037	417		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	34178	34594	-	SMR96046.1			hemerythrin			SAMN05216182_0037	417	138	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	34747	35838	-							SAMN05216182_0038	1092		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	34747	35838	-	SMR96047.1			Alpha-tubulin suppressor			SAMN05216182_0038	1092	363	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	35911	37329	-							SAMN05216182_0039	1419		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	35911	37329	-	SMR96048.1			hypothetical protein			SAMN05216182_0039	1419	472	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	37343	38650	-							SAMN05216182_0040	1308		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	37343	38650	-	SMR96049.1			intein C-terminal splicing region/intein N-terminal splicing region			SAMN05216182_0040	1308	435	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	38599	42021	-							SAMN05216182_0041	3423		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	38599	42021	-	SMR96050.1			Transglutaminase-like enzyme, putative cysteine protease			SAMN05216182_0041	3423	1140	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	42100	46926	-							SAMN05216182_0042	4827		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	42100	46926	-	SMR96051.1			Streptogramin lyase			SAMN05216182_0042	4827	1608	
gene	rRNA	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	47485	47601	-							SAMN05216182_0043	117		
rRNA		GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	47485	47601	-				5S ribosomal RNA . Bacterial TSU			SAMN05216182_0043	117		
gene	rRNA	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	47675	50646	-							SAMN05216182_0044	2972		
rRNA		GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	47675	50646	-				23S ribosomal RNA . Bacterial LSU			SAMN05216182_0044	2972		
gene	rRNA	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	50787	52335	-							SAMN05216182_0045	1549		
rRNA		GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	50787	52335	-				16S ribosomal RNA . Bacterial SSU			SAMN05216182_0045	1549		
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	52615	52818	-							SAMN05216182_0046	204		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	52865	54096	+							SAMN05216182_0047	1232		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000001.1	54104	54286	-							SAMN05216182_0048	183		pseudo
